"","angstrom","value","u","line"
"37",3680,3.290415,0.00992791039321,TRUE
"45",3720,3.093637,0.00851373444601004,TRUE
"48",3735,3.049475,0.0272813931726399,TRUE
"49",3740,3.232852,0.0754038419257601,TRUE
"51",3750,2.929734,0.11131992023296,TRUE
"53",3760,3.468405,0.0277625243168101,TRUE
"54",3765,3.326405,0.01311373103104,TRUE
"55",3770,2.860492,0.19686738276676,TRUE
"57",3780,3.586085,0.14662205923876,TRUE
"58",3785,3.776028,0.12730381377156,TRUE
"60",3795,2.978046,0.34778159084601,TRUE
"61",3800,2.839961,0.26806972227025,TRUE
"62",3805,3.387672,0.0160852654872901,TRUE
"63",3810,3.816152,0.16233558169921,TRUE
"64",3815,3.745923,0.15623117906881,TRUE
"65",3820,3.525727,0.0940359397478401,TRUE
"66",3825,3.565331,0.0165442105504899,TRUE
"67",3830,3.21039,0.13665820086361,TRUE
"68",3835,2.694164,0.55113905167876,TRUE
"69",3840,3.076944,0.0390416500281601,TRUE
"70",3845,3.578598,0.0261964907208899,TRUE
"71",3850,3.759456,0.0320466208464901,TRUE
"72",3855,3.824715,0.0288313268444099,TRUE
"73",3860,3.782958,0.02027588036356,TRUE
"74",3865,3.688611,0.04034345410624,TRUE
"75",3870,3.601552,0.0667552119220901,TRUE
"76",3875,3.551936,0.0421628318288099,TRUE
"78",3885,2.84555,0.30653441268025,TRUE
"79",3890,2.501479,0.41202765047844,TRUE
"81",3900,3.379952,0.02087478825721,TRUE
"82",3905,3.536813,0.0522537081264901,TRUE
"83",3910,3.609508,0.0315235053619601,TRUE
"84",3915,3.614762,0.00878223882496001,TRUE
"87",3930,3.323628,0.0284972550076901,TRUE
"88",3935,3.393064,0.01715782994641,TRUE
"89",3940,3.461202,0.02086664031841,TRUE
"90",3945,3.441312,0.0577978816616099,TRUE
"91",3950,3.417727,0.0954952763336101,TRUE
"92",3955,3.378992,0.0729805362308101,TRUE
"94",3965,2.659329,0.20872964865636,TRUE
"95",3970,2.248477,0.55106763632449,TRUE
"96",3975,2.608026,0.0355999914561601,TRUE
"97",3980,3.001701,0.0165636642600101,TRUE
"98",3985,3.165159,0.0338207547776399,TRUE
"99",3990,3.241049,0.02927476514169,TRUE
"116",4075,3.005296,0.01342727055121,TRUE
"117",4080,2.971486,0.0360074913409599,TRUE
"118",4085,2.95206,0.04098268238724,TRUE
"119",4090,2.86776,0.01329948658756,TRUE
"120",4095,2.591692,0.02821553343504,TRUE
"121",4100,2.149446,0.36283648535281,TRUE
"122",4105,2.167321,0.13920323690025,TRUE
"124",4115,2.735971,0.0320218856515601,TRUE
"125",4120,2.767631,0.02856062820121,TRUE
"164",4315,2.393155,0.01688931568921,TRUE
"165",4320,2.377279,0.0272640529948901,TRUE
"166",4325,2.337607,0.02733701798881,TRUE
"168",4335,2.067229,0.0545738657102499,TRUE
"169",4340,1.835712,0.27370799987521,TRUE
"170",4345,1.85547,0.05179952954401,TRUE
"172",4355,2.149607,0.02178549432081,TRUE
"173",4360,2.23278,0.01772058828969,TRUE
"268",4835,1.610691,0.01205799451921,TRUE
"269",4840,1.611197,0.01505060322481,TRUE
"270",4845,1.572273,0.01212009433569,TRUE
"272",4855,1.393284,0.02504689229641,TRUE
"273",4860,1.254738,0.11640699951409,TRUE
"274",4865,1.225882,0.02719329623521,TRUE
"614",6565,0.453545,0.00970134382115999,TRUE
