"","angstrom","value","u","line"
"37",3680,3.121872,0.00992791039321,TRUE
"45",3720,3.084663,0.00851373444601004,TRUE
"48",3735,3.08587,0.0272813931726399,TRUE
"49",3740,3.360993,0.0754038419257601,TRUE
"51",3750,3.034148,0.11131992023296,TRUE
"53",3760,3.415236,0.0277625243168101,TRUE
"54",3765,3.261799,0.01311373103104,TRUE
"55",3770,3.061951,0.19686738276676,TRUE
"57",3780,3.446079,0.14662205923876,TRUE
"58",3785,3.407203,0.12730381377156,TRUE
"60",3795,3.108603,0.34778159084601,TRUE
"61",3800,3.100788,0.26806972227025,TRUE
"62",3805,3.316078,0.0160852654872901,TRUE
"63",3810,3.445807,0.16233558169921,TRUE
"64",3815,3.363542,0.15623117906881,TRUE
"65",3820,3.234468,0.0940359397478401,TRUE
"66",3825,3.293835,0.0165442105504899,TRUE
"67",3830,3.100412,0.13665820086361,TRUE
"68",3835,2.801269,0.55113905167876,TRUE
"69",3840,3.049429,0.0390416500281601,TRUE
"70",3845,3.235647,0.0261964907208899,TRUE
"71",3850,3.264982,0.0320466208464901,TRUE
"72",3855,3.256268,0.0288313268444099,TRUE
"73",3860,3.250956,0.02027588036356,TRUE
"74",3865,3.188838,0.04034345410624,TRUE
"75",3870,3.153281,0.0667552119220901,TRUE
"76",3875,3.179305,0.0421628318288099,TRUE
"78",3885,2.973772,0.30653441268025,TRUE
"79",3890,2.780901,0.41202765047844,TRUE
"81",3900,3.190658,0.02087478825721,TRUE
"82",3905,3.225214,0.0522537081264901,TRUE
"83",3910,3.15631,0.0315235053619601,TRUE
"84",3915,3.087626,0.00878223882496001,TRUE
"87",3930,2.891438,0.0284972550076901,TRUE
"88",3935,2.884478,0.01715782994641,TRUE
"89",3940,3.067256,0.02086664031841,TRUE
"90",3945,3.101714,0.0577978816616099,TRUE
"91",3950,3.070925,0.0954952763336101,TRUE
"92",3955,3.02748,0.0729805362308101,TRUE
"94",3965,2.679076,0.20872964865636,TRUE
"95",3970,2.473683,0.55106763632449,TRUE
"96",3975,2.851043,0.0355999914561601,TRUE
"97",3980,2.986284,0.0165636642600101,TRUE
"98",3985,2.974729,0.0338207547776399,TRUE
"99",3990,2.959828,0.02927476514169,TRUE
"116",4075,2.553409,0.01342727055121,TRUE
"117",4080,2.587605,0.0360074913409599,TRUE
"118",4085,2.579479,0.04098268238724,TRUE
"119",4090,2.567555,0.01329948658756,TRUE
"120",4095,2.481457,0.02821553343504,TRUE
"121",4100,2.266193,0.36283648535281,TRUE
"122",4105,2.405041,0.13920323690025,TRUE
"124",4115,2.534445,0.0320218856515601,TRUE
"125",4120,2.488911,0.02856062820121,TRUE
"164",4315,2.229102,0.01688931568921,TRUE
"165",4320,2.225754,0.0272640529948901,TRUE
"166",4325,2.250612,0.02733701798881,TRUE
"168",4335,2.089776,0.0545738657102499,TRUE
"169",4340,1.92623,0.27370799987521,TRUE
"170",4345,1.990057,0.05179952954401,TRUE
"172",4355,2.186278,0.02178549432081,TRUE
"173",4360,2.203703,0.01772058828969,TRUE
"268",4835,1.696638,0.01205799451921,TRUE
"269",4840,1.728305,0.01505060322481,TRUE
"270",4845,1.687173,0.01212009433569,TRUE
"272",4855,1.48952,0.02504689229641,TRUE
"273",4860,1.318068,0.11640699951409,TRUE
"274",4865,1.456017,0.02719329623521,TRUE
"614",6565,0.433903,0.00970134382115999,TRUE
