"","angstrom","value","u","line"
"37",3680,2.467147,0.00992791039321,TRUE
"45",3720,2.45872,0.00851373444601004,TRUE
"48",3735,2.423799,0.0272813931726399,TRUE
"49",3740,2.72037,0.0754038419257601,TRUE
"51",3750,2.401453,0.11131992023296,TRUE
"53",3760,2.858646,0.0277625243168101,TRUE
"54",3765,2.658339,0.01311373103104,TRUE
"55",3770,2.334059,0.19686738276676,TRUE
"57",3780,2.988145,0.14662205923876,TRUE
"58",3785,2.95986,0.12730381377156,TRUE
"60",3795,2.444964,0.34778159084601,TRUE
"61",3800,2.450362,0.26806972227025,TRUE
"62",3805,2.825847,0.0160852654872901,TRUE
"63",3810,3.066952,0.16233558169921,TRUE
"64",3815,2.954015,0.15623117906881,TRUE
"65",3820,2.830239,0.0940359397478401,TRUE
"66",3825,2.911325,0.0165442105504899,TRUE
"67",3830,2.656319,0.13665820086361,TRUE
"68",3835,2.318177,0.55113905167876,TRUE
"69",3840,2.65998,0.0390416500281601,TRUE
"70",3845,2.995733,0.0261964907208899,TRUE
"71",3850,3.096476,0.0320466208464901,TRUE
"72",3855,3.083369,0.0288313268444099,TRUE
"73",3860,3.082289,0.02027588036356,TRUE
"74",3865,3.005562,0.04034345410624,TRUE
"75",3870,2.935829,0.0667552119220901,TRUE
"76",3875,2.918098,0.0421628318288099,TRUE
"78",3885,2.442151,0.30653441268025,TRUE
"79",3890,2.306707,0.41202765047844,TRUE
"81",3900,3.011585,0.02087478825721,TRUE
"82",3905,3.055196,0.0522537081264901,TRUE
"83",3910,3.058499,0.0315235053619601,TRUE
"84",3915,3.037191,0.00878223882496001,TRUE
"87",3930,2.822129,0.0284972550076901,TRUE
"88",3935,2.886467,0.01715782994641,TRUE
"89",3940,3.040572,0.02086664031841,TRUE
"90",3945,3.023123,0.0577978816616099,TRUE
"91",3950,2.980866,0.0954952763336101,TRUE
"92",3955,2.948567,0.0729805362308101,TRUE
"94",3965,2.296398,0.20872964865636,TRUE
"95",3970,2.11471,0.55106763632449,TRUE
"96",3975,2.53795,0.0355999914561601,TRUE
"97",3980,2.806859,0.0165636642600101,TRUE
"98",3985,2.92732,0.0338207547776399,TRUE
"99",3990,2.947963,0.02927476514169,TRUE
"116",4075,2.627695,0.01342727055121,TRUE
"117",4080,2.68044,0.0360074913409599,TRUE
"118",4085,2.649041,0.04098268238724,TRUE
"119",4090,2.563541,0.01329948658756,TRUE
"120",4095,2.345188,0.02821553343504,TRUE
"121",4100,2.00112,0.36283648535281,TRUE
"122",4105,2.167266,0.13920323690025,TRUE
"124",4115,2.54249,0.0320218856515601,TRUE
"125",4120,2.541908,0.02856062820121,TRUE
"164",4315,2.344451,0.01688931568921,TRUE
"165",4320,2.317547,0.0272640529948901,TRUE
"166",4325,2.326941,0.02733701798881,TRUE
"168",4335,2.013153,0.0545738657102499,TRUE
"169",4340,1.732199,0.27370799987521,TRUE
"170",4345,1.889142,0.05179952954401,TRUE
"172",4355,2.251484,0.02178549432081,TRUE
"173",4360,2.278582,0.01772058828969,TRUE
"268",4835,1.625453,0.01205799451921,TRUE
"269",4840,1.611852,0.01505060322481,TRUE
"270",4845,1.594424,0.01212009433569,TRUE
"272",4855,1.395086,0.02504689229641,TRUE
"273",4860,1.23758,0.11640699951409,TRUE
"274",4865,1.345055,0.02719329623521,TRUE
"614",6565,0.491131,0.00970134382115999,TRUE
