"","angstrom","value","u","line"
"37",3680,2.486899,0.00992791039321,TRUE
"45",3720,2.409457,0.00851373444601004,TRUE
"48",3735,2.359264,0.0272813931726399,TRUE
"49",3740,2.634647,0.0754038419257601,TRUE
"51",3750,2.293136,0.11131992023296,TRUE
"53",3760,2.954125,0.0277625243168101,TRUE
"54",3765,2.762844,0.01311373103104,TRUE
"55",3770,2.296398,0.19686738276676,TRUE
"57",3780,3.170585,0.14662205923876,TRUE
"58",3785,3.351454,0.12730381377156,TRUE
"60",3795,2.443274,0.34778159084601,TRUE
"61",3800,2.378041,0.26806972227025,TRUE
"62",3805,3.013901,0.0160852654872901,TRUE
"63",3810,3.443532,0.16233558169921,TRUE
"64",3815,3.432026,0.15623117906881,TRUE
"65",3820,3.227279,0.0940359397478401,TRUE
"66",3825,3.188194,0.0165442105504899,TRUE
"67",3830,2.702127,0.13665820086361,TRUE
"68",3835,2.227773,0.55113905167876,TRUE
"69",3840,2.635837,0.0390416500281601,TRUE
"70",3845,3.207731,0.0261964907208899,TRUE
"71",3850,3.473169,0.0320466208464901,TRUE
"72",3855,3.544153,0.0288313268444099,TRUE
"73",3860,3.543777,0.02027588036356,TRUE
"74",3865,3.470426,0.04034345410624,TRUE
"75",3870,3.370861,0.0667552119220901,TRUE
"76",3875,3.273494,0.0421628318288099,TRUE
"78",3885,2.360652,0.30653441268025,TRUE
"79",3890,2.127159,0.41202765047844,TRUE
"81",3900,3.203598,0.02087478825721,TRUE
"82",3905,3.394311,0.0522537081264901,TRUE
"83",3910,3.464101,0.0315235053619601,TRUE
"84",3915,3.453123,0.00878223882496001,TRUE
"87",3930,3.238145,0.0284972550076901,TRUE
"88",3935,3.28861,0.01715782994641,TRUE
"89",3940,3.390767,0.02086664031841,TRUE
"90",3945,3.350771,0.0577978816616099,TRUE
"91",3950,3.269003,0.0954952763336101,TRUE
"92",3955,3.119823,0.0729805362308101,TRUE
"94",3965,2.282819,0.20872964865636,TRUE
"95",3970,1.925824,0.55106763632449,TRUE
"96",3975,2.358512,0.0355999914561601,TRUE
"97",3980,2.835714,0.0165636642600101,TRUE
"98",3985,3.054482,0.0338207547776399,TRUE
"99",3990,3.14348,0.02927476514169,TRUE
"116",4075,2.924573,0.01342727055121,TRUE
"117",4080,2.88831,0.0360074913409599,TRUE
"118",4085,2.817917,0.04098268238724,TRUE
"119",4090,2.667233,0.01329948658756,TRUE
"120",4095,2.262539,0.02821553343504,TRUE
"121",4100,1.794532,0.36283648535281,TRUE
"122",4105,1.913638,0.13920323690025,TRUE
"124",4115,2.60553,0.0320218856515601,TRUE
"125",4120,2.668295,0.02856062820121,TRUE
"164",4315,2.350765,0.01688931568921,TRUE
"165",4320,2.319305,0.0272640529948901,TRUE
"166",4325,2.255063,0.02733701798881,TRUE
"168",4335,1.770826,0.0545738657102499,TRUE
"169",4340,1.479347,0.27370799987521,TRUE
"170",4345,1.63899,0.05179952954401,TRUE
"172",4355,2.1679,0.02178549432081,TRUE
"173",4360,2.261876,0.01772058828969,TRUE
"268",4835,1.625604,0.01205799451921,TRUE
"269",4840,1.597924,0.01505060322481,TRUE
"270",4845,1.536246,0.01212009433569,TRUE
"272",4855,1.238995,0.02504689229641,TRUE
"273",4860,1.066785,0.11640699951409,TRUE
"274",4865,1.151652,0.02719329623521,TRUE
"614",6565,0.422269,0.00970134382115999,TRUE
