"","angstrom","value","u","line"
"37",3680,1.954197,0.00992791039321,TRUE
"45",3720,2.189156,0.00851373444601004,TRUE
"48",3735,2.108036,0.0272813931726399,TRUE
"49",3740,2.436388,0.0754038419257601,TRUE
"51",3750,2.142647,0.11131992023296,TRUE
"53",3760,2.578032,0.0277625243168101,TRUE
"54",3765,2.412449,0.01311373103104,TRUE
"55",3770,2.150441,0.19686738276676,TRUE
"57",3780,2.647018,0.14662205923876,TRUE
"58",3785,2.666001,0.12730381377156,TRUE
"60",3795,2.210742,0.34778159084601,TRUE
"61",3800,2.237739,0.26806972227025,TRUE
"62",3805,2.551016,0.0160852654872901,TRUE
"63",3810,2.647969,0.16233558169921,TRUE
"64",3815,2.698554,0.15623117906881,TRUE
"65",3820,2.666892,0.0940359397478401,TRUE
"66",3825,2.65276,0.0165442105504899,TRUE
"67",3830,2.431187,0.13665820086361,TRUE
"68",3835,2.105276,0.55113905167876,TRUE
"69",3840,2.404933,0.0390416500281601,TRUE
"70",3845,2.633819,0.0261964907208899,TRUE
"71",3850,2.628039,0.0320466208464901,TRUE
"72",3855,2.593071,0.0288313268444099,TRUE
"73",3860,2.542095,0.02027588036356,TRUE
"74",3865,2.527002,0.04034345410624,TRUE
"75",3870,2.54685,0.0667552119220901,TRUE
"76",3875,2.5033,0.0421628318288099,TRUE
"78",3885,2.21692,0.30653441268025,TRUE
"79",3890,2.040607,0.41202765047844,TRUE
"81",3900,2.558914,0.02087478825721,TRUE
"82",3905,2.560631,0.0522537081264901,TRUE
"83",3910,2.534166,0.0315235053619601,TRUE
"84",3915,2.494763,0.00878223882496001,TRUE
"87",3930,2.305268,0.0284972550076901,TRUE
"88",3935,2.280266,0.01715782994641,TRUE
"89",3940,2.445332,0.02086664031841,TRUE
"90",3945,2.463647,0.0577978816616099,TRUE
"91",3950,2.459002,0.0954952763336101,TRUE
"92",3955,2.455952,0.0729805362308101,TRUE
"94",3965,2.036598,0.20872964865636,TRUE
"95",3970,1.789385,0.55106763632449,TRUE
"96",3975,2.192722,0.0355999914561601,TRUE
"97",3980,2.363902,0.0165636642600101,TRUE
"98",3985,2.370164,0.0338207547776399,TRUE
"99",3990,2.373161,0.02927476514169,TRUE
"116",4075,2.158551,0.01342727055121,TRUE
"117",4080,2.165171,0.0360074913409599,TRUE
"118",4085,2.155553,0.04098268238724,TRUE
"119",4090,2.110099,0.01329948658756,TRUE
"120",4095,1.96686,0.02821553343504,TRUE
"121",4100,1.703547,0.36283648535281,TRUE
"122",4105,1.876774,0.13920323690025,TRUE
"124",4115,2.102903,0.0320218856515601,TRUE
"125",4120,2.082572,0.02856062820121,TRUE
"164",4315,1.910451,0.01688931568921,TRUE
"165",4320,1.919809,0.0272640529948901,TRUE
"166",4325,1.922393,0.02733701798881,TRUE
"168",4335,1.729203,0.0545738657102499,TRUE
"169",4340,1.500695,0.27370799987521,TRUE
"170",4345,1.67343,0.05179952954401,TRUE
"172",4355,1.892871,0.02178549432081,TRUE
"173",4360,1.89389,0.01772058828969,TRUE
"268",4835,1.534156,0.01205799451921,TRUE
"269",4840,1.518266,0.01505060322481,TRUE
"270",4845,1.476652,0.01212009433569,TRUE
"272",4855,1.390513,0.02504689229641,TRUE
"273",4860,1.258583,0.11640699951409,TRUE
"274",4865,1.32992,0.02719329623521,TRUE
"614",6565,0.601516,0.00970134382115999,TRUE
