"","angstrom","value","u","line"
"37",3680,1.043768,0.00992791039321,TRUE
"45",3720,1.110044,0.00851373444601004,TRUE
"48",3735,1.166549,0.0272813931726399,TRUE
"49",3740,1.413123,0.0754038419257601,TRUE
"51",3750,1.174282,0.11131992023296,TRUE
"53",3760,1.713677,0.0277625243168101,TRUE
"54",3765,1.530534,0.01311373103104,TRUE
"55",3770,1.227975,0.19686738276676,TRUE
"57",3780,2.091764,0.14662205923876,TRUE
"58",3785,2.245004,0.12730381377156,TRUE
"60",3795,1.434,0.34778159084601,TRUE
"61",3800,1.327223,0.26806972227025,TRUE
"62",3805,1.882828,0.0160852654872901,TRUE
"63",3810,2.335364,0.16233558169921,TRUE
"64",3815,2.538407,0.15623117906881,TRUE
"65",3820,2.498887,0.0940359397478401,TRUE
"66",3825,2.286891,0.0165442105504899,TRUE
"67",3830,1.784024,0.13665820086361,TRUE
"68",3835,1.306505,0.55113905167876,TRUE
"69",3840,1.604814,0.0390416500281601,TRUE
"70",3845,2.187338,0.0261964907208899,TRUE
"71",3850,2.562356,0.0320466208464901,TRUE
"72",3855,2.717794,0.0288313268444099,TRUE
"73",3860,2.737169,0.02027588036356,TRUE
"74",3865,2.683117,0.04034345410624,TRUE
"75",3870,2.616486,0.0667552119220901,TRUE
"76",3875,2.434257,0.0421628318288099,TRUE
"78",3885,1.510266,0.30653441268025,TRUE
"79",3890,1.221866,0.41202765047844,TRUE
"81",3900,2.204364,0.02087478825721,TRUE
"82",3905,2.515807,0.0522537081264901,TRUE
"83",3910,2.674729,0.0315235053619601,TRUE
"84",3915,2.755537,0.00878223882496001,TRUE
"87",3930,2.749774,0.0284972550076901,TRUE
"88",3935,2.687147,0.01715782994641,TRUE
"89",3940,2.763383,0.02086664031841,TRUE
"90",3945,2.738262,0.0577978816616099,TRUE
"91",3950,2.616255,0.0954952763336101,TRUE
"92",3955,2.375185,0.0729805362308101,TRUE
"94",3965,1.513816,0.20872964865636,TRUE
"95",3970,1.162687,0.55106763632449,TRUE
"96",3975,1.521002,0.0355999914561601,TRUE
"97",3980,2.045921,0.0165636642600101,TRUE
"98",3985,2.343363,0.0338207547776399,TRUE
"99",3990,2.516267,0.02927476514169,TRUE
"116",4075,2.379805,0.01342727055121,TRUE
"117",4080,2.316481,0.0360074913409599,TRUE
"118",4085,2.219456,0.04098268238724,TRUE
"119",4090,1.996184,0.01329948658756,TRUE
"120",4095,1.570253,0.02821553343504,TRUE
"121",4100,1.146163,0.36283648535281,TRUE
"122",4105,1.277407,0.13920323690025,TRUE
"124",4115,2.090565,0.0320218856515601,TRUE
"125",4120,2.254113,0.02856062820121,TRUE
"164",4315,2.127432,0.01688931568921,TRUE
"165",4320,2.056321,0.0272640529948901,TRUE
"166",4325,1.941361,0.02733701798881,TRUE
"168",4335,1.355617,0.0545738657102499,TRUE
"169",4340,1.035223,0.27370799987521,TRUE
"170",4345,1.201928,0.05179952954401,TRUE
"172",4355,1.85573,0.02178549432081,TRUE
"173",4360,2.003997,0.01772058828969,TRUE
"268",4835,1.480387,0.01205799451921,TRUE
"269",4840,1.462256,0.01505060322481,TRUE
"270",4845,1.395076,0.01212009433569,TRUE
"272",4855,1.085879,0.02504689229641,TRUE
"273",4860,0.868596,0.11640699951409,TRUE
"274",4865,0.815058,0.02719329623521,TRUE
"614",6565,0.404823,0.00970134382115999,TRUE
