"","angstrom","value","u","line"
"37",3680,0.333161,0.00992791039321,TRUE
"45",3720,0.274831,0.00851373444601004,TRUE
"48",3735,0.18718,0.0272813931726399,TRUE
"49",3740,0.182179,0.0754038419257601,TRUE
"51",3750,0.211342,0.11131992023296,TRUE
"53",3760,0.250223,0.0277625243168101,TRUE
"54",3765,0.276544,0.01311373103104,TRUE
"55",3770,0.309707,0.19686738276676,TRUE
"57",3780,0.361891,0.14662205923876,TRUE
"58",3785,0.341875,0.12730381377156,TRUE
"60",3795,0.283122,0.34778159084601,TRUE
"61",3800,0.273237,0.26806972227025,TRUE
"62",3805,0.272055,0.0160852654872901,TRUE
"63",3810,0.262314,0.16233558169921,TRUE
"64",3815,0.23052,0.15623117906881,TRUE
"65",3820,0.190171,0.0940359397478401,TRUE
"66",3825,0.159296,0.0165442105504899,TRUE
"67",3830,0.147074,0.13665820086361,TRUE
"68",3835,0.156642,0.55113905167876,TRUE
"69",3840,0.175831,0.0390416500281601,TRUE
"70",3845,0.190814,0.0261964907208899,TRUE
"71",3850,0.196445,0.0320466208464901,TRUE
"72",3855,0.192347,0.0288313268444099,TRUE
"73",3860,0.188543,0.02027588036356,TRUE
"74",3865,0.193918,0.04034345410624,TRUE
"75",3870,0.202411,0.0667552119220901,TRUE
"76",3875,0.207871,0.0421628318288099,TRUE
"78",3885,0.242711,0.30653441268025,TRUE
"79",3890,0.27053,0.41202765047844,TRUE
"81",3900,0.308319,0.02087478825721,TRUE
"82",3905,0.289504,0.0522537081264901,TRUE
"83",3910,0.304522,0.0315235053619601,TRUE
"84",3915,0.313195,0.00878223882496001,TRUE
"87",3930,0.21757,0.0284972550076901,TRUE
"88",3935,0.193678,0.01715782994641,TRUE
"89",3940,0.20497,0.02086664031841,TRUE
"90",3945,0.248561,0.0577978816616099,TRUE
"91",3950,0.294971,0.0954952763336101,TRUE
"92",3955,0.311761,0.0729805362308101,TRUE
"94",3965,0.26512,0.20872964865636,TRUE
"95",3970,0.255314,0.55106763632449,TRUE
"96",3975,0.295029,0.0355999914561601,TRUE
"97",3980,0.369976,0.0165636642600101,TRUE
"98",3985,0.448092,0.0338207547776399,TRUE
"99",3990,0.506346,0.02927476514169,TRUE
"116",4075,0.520632,0.01342727055121,TRUE
"117",4080,0.560053,0.0360074913409599,TRUE
"118",4085,0.602615,0.04098268238724,TRUE
"119",4090,0.62888,0.01329948658756,TRUE
"120",4095,0.627317,0.02821553343504,TRUE
"121",4100,0.610573,0.36283648535281,TRUE
"122",4105,0.598754,0.13920323690025,TRUE
"124",4115,0.608423,0.0320218856515601,TRUE
"125",4120,0.616376,0.02856062820121,TRUE
"164",4315,0.584659,0.01688931568921,TRUE
"165",4320,0.647957,0.0272640529948901,TRUE
"166",4325,0.69663,0.02733701798881,TRUE
"168",4335,0.746119,0.0545738657102499,TRUE
"169",4340,0.752557,0.27370799987521,TRUE
"170",4345,0.75088,0.05179952954401,TRUE
"172",4355,0.778011,0.02178549432081,TRUE
"173",4360,0.796798,0.01772058828969,TRUE
"268",4835,0.988199,0.01205799451921,TRUE
"269",4840,0.99197,0.01505060322481,TRUE
"270",4845,0.993614,0.01212009433569,TRUE
"272",4855,0.95392,0.02504689229641,TRUE
"273",4860,0.919395,0.11640699951409,TRUE
"274",4865,0.894303,0.02719329623521,TRUE
"614",6565,0.907381,0.00970134382115999,TRUE
