"","angstrom","value","u","line"
"37",3680,0.106199,0.00992791039321,TRUE
"45",3720,0.088891,0.00851373444601004,TRUE
"48",3735,0.101496,0.0272813931726399,TRUE
"49",3740,0.101685,0.0754038419257601,TRUE
"51",3750,0.094548,0.11131992023296,TRUE
"53",3760,0.100558,0.0277625243168101,TRUE
"54",3765,0.108608,0.01311373103104,TRUE
"55",3770,0.11704,0.19686738276676,TRUE
"57",3780,0.129217,0.14662205923876,TRUE
"58",3785,0.132093,0.12730381377156,TRUE
"60",3795,0.135256,0.34778159084601,TRUE
"61",3800,0.137929,0.26806972227025,TRUE
"62",3805,0.140545,0.0160852654872901,TRUE
"63",3810,0.139668,0.16233558169921,TRUE
"64",3815,0.131697,0.15623117906881,TRUE
"65",3820,0.116192,0.0940359397478401,TRUE
"66",3825,0.097742,0.0165442105504899,TRUE
"67",3830,0.084149,0.13665820086361,TRUE
"68",3835,0.081621,0.55113905167876,TRUE
"69",3840,0.090408,0.0390416500281601,TRUE
"70",3845,0.104141,0.0261964907208899,TRUE
"71",3850,0.1146,0.0320466208464901,TRUE
"72",3855,0.117358,0.0288313268444099,TRUE
"73",3860,0.114509,0.02027588036356,TRUE
"74",3865,0.112617,0.04034345410624,TRUE
"75",3870,0.116868,0.0667552119220901,TRUE
"76",3875,0.126651,0.0421628318288099,TRUE
"78",3885,0.139228,0.30653441268025,TRUE
"79",3890,0.134264,0.41202765047844,TRUE
"81",3900,0.121497,0.02087478825721,TRUE
"82",3905,0.125231,0.0522537081264901,TRUE
"83",3910,0.134818,0.0315235053619601,TRUE
"84",3915,0.143135,0.00878223882496001,TRUE
"87",3930,0.121414,0.0284972550076901,TRUE
"88",3935,0.113967,0.01715782994641,TRUE
"89",3940,0.117114,0.02086664031841,TRUE
"90",3945,0.128934,0.0577978816616099,TRUE
"91",3950,0.141505,0.0954952763336101,TRUE
"92",3955,0.146541,0.0729805362308101,TRUE
"94",3965,0.134458,0.20872964865636,TRUE
"95",3970,0.134389,0.55106763632449,TRUE
"96",3975,0.148772,0.0355999914561601,TRUE
"97",3980,0.175702,0.0165636642600101,TRUE
"98",3985,0.205194,0.0338207547776399,TRUE
"99",3990,0.225985,0.02927476514169,TRUE
"116",4075,0.244118,0.01342727055121,TRUE
"117",4080,0.253061,0.0360074913409599,TRUE
"118",4085,0.272149,0.04098268238724,TRUE
"119",4090,0.291769,0.01329948658756,TRUE
"120",4095,0.301792,0.02821553343504,TRUE
"121",4100,0.29769,0.36283648535281,TRUE
"122",4105,0.283434,0.13920323690025,TRUE
"124",4115,0.262614,0.0320218856515601,TRUE
"125",4120,0.267988,0.02856062820121,TRUE
"164",4315,0.310617,0.01688931568921,TRUE
"165",4320,0.336638,0.0272640529948901,TRUE
"166",4325,0.362171,0.02733701798881,TRUE
"168",4335,0.393947,0.0545738657102499,TRUE
"169",4340,0.399827,0.27370799987521,TRUE
"170",4345,0.405019,0.05179952954401,TRUE
"172",4355,0.42824,0.02178549432081,TRUE
"173",4360,0.441304,0.01772058828969,TRUE
"268",4835,0.656737,0.01205799451921,TRUE
"269",4840,0.661939,0.01505060322481,TRUE
"270",4845,0.67009,0.01212009433569,TRUE
"272",4855,0.685962,0.02504689229641,TRUE
"273",4860,0.690605,0.11640699951409,TRUE
"274",4865,0.691985,0.02719329623521,TRUE
"614",6565,1.406479,0.00970134382115999,TRUE
