"","angstrom","value","u","line"
"37",3680,4.342082,0.00992791039321,TRUE
"45",3720,4.15338,0.00851373444601004,TRUE
"48",3735,4.189288,0.0272813931726399,TRUE
"49",3740,4.306595,0.0754038419257601,TRUE
"51",3750,4.026992,0.11131992023296,TRUE
"53",3760,3.989812,0.0277625243168101,TRUE
"54",3765,4.010306,0.01311373103104,TRUE
"55",3770,3.909907,0.19686738276676,TRUE
"57",3780,4.335312,0.14662205923876,TRUE
"58",3785,4.337678,0.12730381377156,TRUE
"60",3795,3.802136,0.34778159084601,TRUE
"61",3800,3.978751,0.26806972227025,TRUE
"62",3805,4.225565,0.0160852654872901,TRUE
"63",3810,4.214251,0.16233558169921,TRUE
"64",3815,4.149306,0.15623117906881,TRUE
"65",3820,4.08527,0.0940359397478401,TRUE
"66",3825,4.068363,0.0165442105504899,TRUE
"67",3830,3.919586,0.13665820086361,TRUE
"68",3835,3.722685,0.55113905167876,TRUE
"69",3840,3.938784,0.0390416500281601,TRUE
"70",3845,4.158281,0.0261964907208899,TRUE
"71",3850,4.187984,0.0320466208464901,TRUE
"72",3855,4.162157,0.0288313268444099,TRUE
"73",3860,4.109375,0.02027588036356,TRUE
"74",3865,4.067517,0.04034345410624,TRUE
"75",3870,4.077858,0.0667552119220901,TRUE
"76",3875,4.024016,0.0421628318288099,TRUE
"78",3885,3.597227,0.30653441268025,TRUE
"79",3890,3.511724,0.41202765047844,TRUE
"81",3900,3.926458,0.02087478825721,TRUE
"82",3905,3.975184,0.0522537081264901,TRUE
"83",3910,3.949728,0.0315235053619601,TRUE
"84",3915,3.905879,0.00878223882496001,TRUE
"87",3930,3.773357,0.0284972550076901,TRUE
"88",3935,3.781025,0.01715782994641,TRUE
"89",3940,3.873202,0.02086664031841,TRUE
"90",3945,3.828063,0.0577978816616099,TRUE
"91",3950,3.792201,0.0954952763336101,TRUE
"92",3955,3.723078,0.0729805362308101,TRUE
"94",3965,3.255591,0.20872964865636,TRUE
"95",3970,3.105763,0.55106763632449,TRUE
"96",3975,3.391574,0.0355999914561601,TRUE
"97",3980,3.546606,0.0165636642600101,TRUE
"98",3985,3.619766,0.0338207547776399,TRUE
"99",3990,3.628308,0.02927476514169,TRUE
"116",4075,3.259472,0.01342727055121,TRUE
"117",4080,3.261627,0.0360074913409599,TRUE
"118",4085,3.192139,0.04098268238724,TRUE
"119",4090,3.10598,0.01329948658756,TRUE
"120",4095,2.922164,0.02821553343504,TRUE
"121",4100,2.699117,0.36283648535281,TRUE
"122",4105,2.82761,0.13920323690025,TRUE
"124",4115,3.105893,0.0320218856515601,TRUE
"125",4120,3.120809,0.02856062820121,TRUE
"164",4315,2.598858,0.01688931568921,TRUE
"165",4320,2.585913,0.0272640529948901,TRUE
"166",4325,2.566941,0.02733701798881,TRUE
"168",4335,2.345432,0.0545738657102499,TRUE
"169",4340,2.201079,0.27370799987521,TRUE
"170",4345,2.32141,0.05179952954401,TRUE
"172",4355,2.561296,0.02178549432081,TRUE
"173",4360,2.534755,0.01772058828969,TRUE
"268",4835,1.688756,0.01205799451921,TRUE
"269",4840,1.683827,0.01505060322481,TRUE
"270",4845,1.660887,0.01212009433569,TRUE
"272",4855,1.490948,0.02504689229641,TRUE
"273",4860,1.356238,0.11640699951409,TRUE
"274",4865,1.424238,0.02719329623521,TRUE
"614",6565,0.463864,0.00970134382115999,TRUE
