"","angstrom","value","u","line"
"37",3680,0.348127,0.00992791039321,TRUE
"45",3720,0.285284,0.00851373444601004,TRUE
"48",3735,0.235427,0.0272813931726399,TRUE
"49",3740,0.238582,0.0754038419257601,TRUE
"51",3750,0.236759,0.11131992023296,TRUE
"53",3760,0.288054,0.0277625243168101,TRUE
"54",3765,0.306012,0.01311373103104,TRUE
"55",3770,0.359978,0.19686738276676,TRUE
"57",3780,0.425277,0.14662205923876,TRUE
"58",3785,0.391251,0.12730381377156,TRUE
"60",3795,0.290602,0.34778159084601,TRUE
"61",3800,0.307605,0.26806972227025,TRUE
"62",3805,0.337474,0.0160852654872901,TRUE
"63",3810,0.325929,0.16233558169921,TRUE
"64",3815,0.25431,0.15623117906881,TRUE
"65",3820,0.195734,0.0940359397478401,TRUE
"66",3825,0.175018,0.0165442105504899,TRUE
"67",3830,0.173713,0.13665820086361,TRUE
"68",3835,0.179235,0.55113905167876,TRUE
"69",3840,0.202645,0.0390416500281601,TRUE
"70",3845,0.237699,0.0261964907208899,TRUE
"71",3850,0.236994,0.0320466208464901,TRUE
"72",3855,0.215274,0.0288313268444099,TRUE
"73",3860,0.207414,0.02027588036356,TRUE
"74",3865,0.227317,0.04034345410624,TRUE
"75",3870,0.228141,0.0667552119220901,TRUE
"76",3875,0.245154,0.0421628318288099,TRUE
"78",3885,0.295646,0.30653441268025,TRUE
"79",3890,0.350196,0.41202765047844,TRUE
"81",3900,0.382582,0.02087478825721,TRUE
"82",3905,0.394058,0.0522537081264901,TRUE
"83",3910,0.426503,0.0315235053619601,TRUE
"84",3915,0.415831,0.00878223882496001,TRUE
"87",3930,0.180189,0.0284972550076901,TRUE
"88",3935,0.173369,0.01715782994641,TRUE
"89",3940,0.248568,0.02086664031841,TRUE
"90",3945,0.335262,0.0577978816616099,TRUE
"91",3950,0.407283,0.0954952763336101,TRUE
"92",3955,0.414041,0.0729805362308101,TRUE
"94",3965,0.230912,0.20872964865636,TRUE
"95",3970,0.217274,0.55106763632449,TRUE
"96",3975,0.340912,0.0355999914561601,TRUE
"97",3980,0.478694,0.0165636642600101,TRUE
"98",3985,0.544308,0.0338207547776399,TRUE
"99",3990,0.571512,0.02927476514169,TRUE
"116",4075,0.601542,0.01342727055121,TRUE
"117",4080,0.640265,0.0360074913409599,TRUE
"118",4085,0.697509,0.04098268238724,TRUE
"119",4090,0.708937,0.01329948658756,TRUE
"120",4095,0.654967,0.02821553343504,TRUE
"121",4100,0.609416,0.36283648535281,TRUE
"122",4105,0.633659,0.13920323690025,TRUE
"124",4115,0.67893,0.0320218856515601,TRUE
"125",4120,0.669352,0.02856062820121,TRUE
"164",4315,0.667592,0.01688931568921,TRUE
"165",4320,0.767836,0.0272640529948901,TRUE
"166",4325,0.742498,0.02733701798881,TRUE
"168",4335,0.759104,0.0545738657102499,TRUE
"169",4340,0.725922,0.27370799987521,TRUE
"170",4345,0.762572,0.05179952954401,TRUE
"172",4355,0.794551,0.02178549432081,TRUE
"173",4360,0.817179,0.01772058828969,TRUE
"268",4835,1.000382,0.01205799451921,TRUE
"269",4840,0.991541,0.01505060322481,TRUE
"270",4845,0.999907,0.01212009433569,TRUE
"272",4855,0.914851,0.02504689229641,TRUE
"273",4860,0.85385,0.11640699951409,TRUE
"274",4865,0.876193,0.02719329623521,TRUE
"614",6565,0.835761,0.00970134382115999,TRUE
