"","angstrom","value","u","line"
"37",3680,0.705934,0.00992791039321,TRUE
"45",3720,0.735217,0.00851373444601004,TRUE
"48",3735,0.677785,0.0272813931726399,TRUE
"49",3740,0.731365,0.0754038419257601,TRUE
"51",3750,0.699447,0.11131992023296,TRUE
"53",3760,0.792166,0.0277625243168101,TRUE
"54",3765,0.775987,0.01311373103104,TRUE
"55",3770,0.769249,0.19686738276676,TRUE
"57",3780,0.922484,0.14662205923876,TRUE
"58",3785,0.912147,0.12730381377156,TRUE
"60",3795,0.752418,0.34778159084601,TRUE
"61",3800,0.782707,0.26806972227025,TRUE
"62",3805,0.889083,0.0160852654872901,TRUE
"63",3810,0.932997,0.16233558169921,TRUE
"64",3815,0.894415,0.15623117906881,TRUE
"65",3820,0.846802,0.0940359397478401,TRUE
"66",3825,0.767141,0.0165442105504899,TRUE
"67",3830,0.672511,0.13665820086361,TRUE
"68",3835,0.621487,0.55113905167876,TRUE
"69",3840,0.713738,0.0390416500281601,TRUE
"70",3845,0.856994,0.0261964907208899,TRUE
"71",3850,0.920923,0.0320466208464901,TRUE
"72",3855,0.922043,0.0288313268444099,TRUE
"73",3860,0.919806,0.02027588036356,TRUE
"74",3865,0.950811,0.04034345410624,TRUE
"75",3870,0.919853,0.0667552119220901,TRUE
"76",3875,0.880024,0.0421628318288099,TRUE
"78",3885,0.73537,0.30653441268025,TRUE
"79",3890,0.72181,0.41202765047844,TRUE
"81",3900,0.88191,0.02087478825721,TRUE
"82",3905,0.879928,0.0522537081264901,TRUE
"83",3910,0.90823,0.0315235053619601,TRUE
"84",3915,0.907956,0.00878223882496001,TRUE
"87",3930,0.579468,0.0284972550076901,TRUE
"88",3935,0.544553,0.01715782994641,TRUE
"89",3940,0.677512,0.02086664031841,TRUE
"90",3945,0.789724,0.0577978816616099,TRUE
"91",3950,0.847835,0.0954952763336101,TRUE
"92",3955,0.845909,0.0729805362308101,TRUE
"94",3965,0.603141,0.20872964865636,TRUE
"95",3970,0.569927,0.55106763632449,TRUE
"96",3975,0.72219,0.0355999914561601,TRUE
"97",3980,0.870179,0.0165636642600101,TRUE
"98",3985,0.954189,0.0338207547776399,TRUE
"99",3990,1.00543,0.02927476514169,TRUE
"116",4075,1.037406,0.01342727055121,TRUE
"117",4080,1.053639,0.0360074913409599,TRUE
"118",4085,1.075246,0.04098268238724,TRUE
"119",4090,1.062176,0.01329948658756,TRUE
"120",4095,0.984902,0.02821553343504,TRUE
"121",4100,0.89498,0.36283648535281,TRUE
"122",4105,0.924948,0.13920323690025,TRUE
"124",4115,1.05937,0.0320218856515601,TRUE
"125",4120,1.081892,0.02856062820121,TRUE
"164",4315,1.017387,0.01688931568921,TRUE
"165",4320,1.051299,0.0272640529948901,TRUE
"166",4325,1.032402,0.02733701798881,TRUE
"168",4335,0.963565,0.0545738657102499,TRUE
"169",4340,0.889755,0.27370799987521,TRUE
"170",4345,0.947353,0.05179952954401,TRUE
"172",4355,1.06731,0.02178549432081,TRUE
"173",4360,1.110858,0.01772058828969,TRUE
"268",4835,1.141489,0.01205799451921,TRUE
"269",4840,1.134888,0.01505060322481,TRUE
"270",4845,1.118132,0.01212009433569,TRUE
"272",4855,1.053773,0.02504689229641,TRUE
"273",4860,0.987659,0.11640699951409,TRUE
"274",4865,0.951117,0.02719329623521,TRUE
"614",6565,0.664225,0.00970134382115999,TRUE
