"","angstrom","value"
"1",3500,0.905543
"2",3505,0.916023
"3",3510,0.922815
"4",3515,0.919272
"5",3520,0.916501
"6",3525,0.917938
"7",3530,0.925882
"8",3535,0.934025
"9",3540,0.934882
"10",3545,0.928635
"11",3550,0.922378
"12",3555,0.919969
"13",3560,0.917202
"14",3565,0.90607
"15",3570,0.894498
"16",3575,0.893153
"17",3580,0.892547
"18",3585,0.887421
"19",3590,0.889092
"20",3595,0.895562
"21",3600,0.897085
"22",3605,0.896206
"23",3610,0.883098
"24",3615,0.881046
"25",3620,0.885908
"26",3625,0.896548
"27",3630,0.899074
"28",3635,0.90141
"29",3640,0.903462
"30",3645,0.900716
"31",3650,0.907777
"32",3655,0.919733
"33",3660,0.921648
"34",3665,0.91967
"35",3670,0.917523
"36",3675,0.90844
"37",3680,0.897727
"38",3685,0.89579
"39",3690,0.904367
"40",3695,0.916081
"41",3700,0.920332
"42",3705,0.942691
"43",3710,0.962079
"44",3715,1.006473
"45",3720,1.015919
"46",3725,1.066856
"47",3730,1.07168
"48",3735,1.02315
"49",3740,1.15286
"50",3745,1.121979
"51",3750,1.014114
"52",3755,1.176449
"53",3760,1.308511
"54",3765,1.20392
"55",3770,1.058592
"56",3775,1.254845
"57",3780,1.547439
"58",3785,1.629362
"59",3790,1.421449
"60",3795,1.132716
"61",3800,1.151134
"62",3805,1.51222
"63",3810,1.808515
"64",3815,1.906824
"65",3820,1.848355
"66",3825,1.605863
"67",3830,1.239301
"68",3835,1.024814
"69",3840,1.288405
"70",3845,1.665269
"71",3850,1.967488
"72",3855,2.133631
"73",3860,2.222178
"74",3865,2.2409
"75",3870,2.131039
"76",3875,1.892601
"77",3880,1.56164
"78",3885,1.171697
"79",3890,1.066769
"80",3895,1.381757
"81",3900,1.757191
"82",3905,2.015894
"83",3910,2.211767
"84",3915,2.313839
"85",3920,2.364872
"86",3925,2.32377
"87",3930,2.086366
"88",3935,2.056262
"89",3940,2.212616
"90",3945,2.212184
"91",3950,2.072719
"92",3955,1.877199
"93",3960,1.55922
"94",3965,1.143353
"95",3970,0.985721
"96",3975,1.275134
"97",3980,1.649597
"98",3985,1.946936
"99",3990,2.155706
"100",3995,2.272316
"101",4000,2.340788
"102",4005,2.3644
"103",4010,2.392617
"104",4015,2.402697
"105",4020,2.406213
"106",4025,2.385914
"107",4030,2.363976
"108",4035,2.362967
"109",4040,2.357623
"110",4045,2.349137
"111",4050,2.356597
"112",4055,2.33783
"113",4060,2.307925
"114",4065,2.256997
"115",4070,2.182526
"116",4075,2.097172
"117",4080,2.005089
"118",4085,1.871567
"119",4090,1.642101
"120",4095,1.327834
"121",4100,1.073181
"122",4105,1.113944
"123",4110,1.364009
"124",4115,1.621284
"125",4120,1.831318
"126",4125,1.968552
"127",4130,2.060154
"128",4135,2.15128
"129",4140,2.214909
"130",4145,2.249613
"131",4150,2.268199
"132",4155,2.269451
"133",4160,2.269143
"134",4165,2.263573
"135",4170,2.225933
"136",4175,2.195532
"137",4180,2.1812
"138",4185,2.18156
"139",4190,2.199191
"140",4195,2.208719
"141",4200,2.211377
"142",4205,2.247003
"143",4210,2.257165
"144",4215,2.229093
"145",4220,2.201925
"146",4225,2.167549
