"","angstrom","value"
"1",3500,0.997953
"2",3505,0.997785
"3",3510,1.016038
"4",3515,1.018435
"5",3520,1.012465
"6",3525,1.023303
"7",3530,1.008399
"8",3535,1.046132
"9",3540,1.034793
"10",3545,1.03285
"11",3550,1.049964
"12",3555,1.052768
"13",3560,1.029538
"14",3565,1.023738
"15",3570,1.001969
"16",3575,1.011953
"17",3580,1.028238
"18",3585,1.018423
"19",3590,1.0021
"20",3595,1.049375
"21",3600,1.03913
"22",3605,1.016458
"23",3610,1.010884
"24",3615,1.001821
"25",3620,1.019078
"26",3625,0.975411
"27",3630,1.007491
"28",3635,1.073214
"29",3640,1.076111
"30",3645,1.051565
"31",3650,1.088098
"32",3655,1.172481
"33",3660,1.161843
"34",3665,1.102997
"35",3670,1.135821
"36",3675,1.122117
"37",3680,1.123208
"38",3685,1.192392
"39",3690,1.258846
"40",3695,1.337674
"41",3700,1.430692
"42",3705,1.403133
"43",3710,1.507156
"44",3715,1.597798
"45",3720,1.550719
"46",3725,1.603971
"47",3730,1.719475
"48",3735,1.528735
"49",3740,1.834131
"50",3745,1.815526
"51",3750,1.481155
"52",3755,1.707409
"53",3760,1.821167
"54",3765,1.761558
"55",3770,1.49964
"56",3775,1.754472
"57",3780,2.142891
"58",3785,2.150461
"59",3790,2.014764
"60",3795,1.619869
"61",3800,1.594912
"62",3805,1.992057
"63",3810,2.190697
"64",3815,2.148788
"65",3820,2.08799
"66",3825,1.915005
"67",3830,1.627287
"68",3835,1.303448
"69",3840,1.608717
"70",3845,1.960846
"71",3850,2.06248
"72",3855,2.055842
"73",3860,2.097518
"74",3865,2.125586
"75",3870,2.094177
"76",3875,1.989293
"77",3880,1.863924
"78",3885,1.518592
"79",3890,1.342296
"80",3895,1.671137
"81",3900,1.895728
"82",3905,1.98861
"83",3910,2.065531
"84",3915,2.017117
"85",3920,1.994412
"86",3925,1.926177
"87",3930,1.543643
"88",3935,1.462547
"89",3940,1.867962
"90",3945,1.991711
"91",3950,2.004248
"92",3955,1.960846
"93",3960,1.787118
"94",3965,1.342237
"95",3970,1.083356
"96",3975,1.52475
"97",3980,1.821452
"98",3985,1.920538
"99",3990,2.014816
"100",3995,2.03251
"101",4000,2.012168
"102",4005,2.000628
"103",4010,2.0053
"104",4015,2.007179
"105",4020,2.032551
"106",4025,1.982206
"107",4030,1.956514
"108",4035,1.985736
"109",4040,2.001518
"110",4045,1.978801
"111",4050,1.96842
"112",4055,1.964268
"113",4060,1.955254
"114",4065,1.925589
"115",4070,1.898224
"116",4075,1.873044
"117",4080,1.892036
"118",4085,1.84933
"119",4090,1.77093
"120",4095,1.572442
"121",4100,1.254304
"122",4105,1.339095
"123",4110,1.6547
"124",4115,1.81492
"125",4120,1.825516
"126",4125,1.800541
"127",4130,1.782093
"128",4135,1.854357
"129",4140,1.882793
"130",4145,1.870649
"131",4150,1.867063
"132",4155,1.864745
"133",4160,1.884405
"134",4165,1.88937
"135",4170,1.822864
"136",4175,1.72956
"137",4180,1.751942
"138",4185,1.800206
"139",4190,1.826992
"140",4195,1.816464
"141",4200,1.778799
"142",4205,1.808183
"143",4210,1.851541
"144",4215,1.852048
"145",4220,1.817504
"146",4225,1.758871
"147",4230,1.778235
"148",4235,1.743435
"149",4240,1.78112
"150",4245,1.774856
"151",4250,1.774353
"152",4255,1.775121
"153",4260,1.756879
"154",4265,1.759132
"155",4270,1.707301
"156",4275,1.723972
"157",4280,1.741711
"158",4285,1.712192
"159",4290,1.70012
"160",4295,1.690627
"161",4300,1.640993
"162",4305,1.649164
"163",4310,1.666918
"164",4315,1.651324
"165",4320,1.659697
"166",4325,1.618246
"167",4330,1.563164
"168",4335,1.353267
"169",4340,1.110095
"170",4345,1.277715
"171",4350,1.497614
"172",4355,1.623106
"173",4360,1.703499
"174",4365,1.727084
"175",4370,1.707527
"176",4375,1.69211
"177",4380,1.680365
"178",4385,1.601901
"179",4390,1.633761
"180",4395,1.629837
"181",4400,1.64492
"182",4405,1.657114
"183",4410,1.643665
"184",4415,1.588077
"185",4420,1.578447
"186",4425,1.59783
"187",4430,1.59013
"188",4435,1.590393
"189",4440,1.593923
"190",4445,1.581872
"191",4450,1.599362
"192",4455,1.59373
"193",4460,1.599534
"194",4465,1.607574
"195",4470,1.589623
"196",4475,1.601345
"197",4480,1.536738
"198",4485,1.558975
"199",4490,1.575472
"200",4495,1.59251
"201",4500,1.604268
"202",4505,1.594992
"203",4510,1.607001
"204",4515,1.584587
"205",4520,1.532427
"206",4525,1.544679
"207",4530,1.547235
"208",4535,1.551713
"209",4540,1.555232
"210",4545,1.534031
"211",4550,1.490406
"212",4555,1.506469
"213",4560,1.4932
"214",4565,1.544124
"215",4570,1.579207
"216",4575,1.538391
"217",4580,1.480207
"218",4585,1.450513
"219",4590,1.49642
"220",4595,1.538285
"221",4600,1.532792
"222",4605,1.539166
"223",4610,1.533615
"224",4615,1.509671
"225",4620,1.505104
"226",4625,1.51266
"227",4630,1.479002
"228",4635,1.485422
"229",4640,1.529733
"230",4645,1.520114
"231",4650,1.515754
"232",4655,1.511883
"233",4660,1.524766
"234",4665,1.49547
"235",4670,1.496096
"236",4675,1.519126
"237",4680,1.503469
"238",4685,1.512855
"239",4690,1.5033
"240",4695,1.501288
"241",4700,1.501726
"242",4705,1.497966
"243",4710,1.4685
"244",4715,1.458151
"245",4720,1.45321
"246",4725,1.429538
"247",4730,1.417146
"248",4735,1.43305
"249",4740,1.456928
"250",4745,1.466078
"251",4750,1.460587
"252",4755,1.439401
"253",4760,1.402567
"254",4765,1.386064
"255",4770,1.408361
"256",4775,1.416235
"257",4780,1.401884
"258",4785,1.407833
"259",4790,1.408021
"260",4795,1.408
"261",4800,1.401588
"262",4805,1.395249
"263",4810,1.399907
"264",4815,1.382484
"265",4820,1.359903
"266",4825,1.361251
"267",4830,1.355526
"268",4835,1.351158
"269",4840,1.338914
"270",4845,1.304746
"271",4850,1.221392
"272",4855,1.070597
"273",4860,0.898993
"274",4865,0.990835
"275",4870,1.15118
"276",4875,1.210916
"277",4880,1.242382
"278",4885,1.265134
"279",4890,1.285202
"280",4895,1.317155
"281",4900,1.331129
"282",4905,1.32701
"283",4910,1.338894
"284",4915,1.344147
"285",4920,1.281387
"286",4925,1.284893
"287",4930,1.326815
"288",4935,1.330589
"289",4940,1.353745
"290",4945,1.359168
"291",4950,1.34475
"292",4955,1.306958
"293",4960,1.32582
"294",4965,1.321425
"295",4970,1.308833
"296",4975,1.319007
"297",4980,1.303208
"298",4985,1.293799
"299",4990,1.284568
"300",4995,1.281137
"301",5000,1.260561
"302",5005,1.247484
"303",5010,1.240711
"304",5015,1.204866
"305",5020,1.199384
"306",5025,1.25236
"307",5030,1.247539
"308",5035,1.23502
"309",5040,1.217629
"310",5045,1.230752
"311",5050,1.237853
"312",5055,1.238449
"313",5060,1.245874
"314",5065,1.24806
"315",5070,1.244027
"316",5075,1.237858
"317",5080,1.227607
"318",5085,1.235519
"319",5090,1.248455
"320",5095,1.227791
"321",5100,1.207503
"322",5105,1.223442
"323",5110,1.228971
"324",5115,1.230286
"325",5120,1.213103
"326",5125,1.198371
"327",5130,1.206492
"328",5135,1.200525
"329",5140,1.192747
"330",5145,1.18336
