"","angstrom","value"
"1",3500,0.743361
"2",3505,0.753585
"3",3510,0.78171
"4",3515,0.784512
"5",3520,0.783512
"6",3525,0.783372
"7",3530,0.791654
"8",3535,0.798493
"9",3540,0.804158
"10",3545,0.811355
"11",3550,0.813693
"12",3555,0.806216
"13",3560,0.796437
"14",3565,0.785492
"15",3570,0.774543
"16",3575,0.768548
"17",3580,0.761431
"18",3585,0.75399
"19",3590,0.767759
"20",3595,0.789487
"21",3600,0.789367
"22",3605,0.774385
"23",3610,0.777436
"24",3615,0.785498
"25",3620,0.810973
"26",3625,0.832639
"27",3630,0.829821
"28",3635,0.837842
"29",3640,0.850484
"30",3645,0.847529
"31",3650,0.86319
"32",3655,0.890639
"33",3660,0.896781
"34",3665,0.889172
"35",3670,0.882618
"36",3675,0.870197
"37",3680,0.857354
"38",3685,0.860288
"39",3690,0.879706
"40",3695,0.899303
"41",3700,0.903545
"42",3705,0.892443
"43",3710,0.911418
"44",3715,0.963476
"45",3720,0.985184
"46",3725,1.009118
"47",3730,0.998037
"48",3735,0.994534
"49",3740,1.07307
"50",3745,1.040978
"51",3750,1.009308
"52",3755,1.131175
"53",3760,1.202599
"54",3765,1.123809
"55",3770,1.06295
"56",3775,1.237761
"57",3780,1.473887
"58",3785,1.495046
"59",3790,1.31177
"60",3795,1.108518
"61",3800,1.154128
"62",3805,1.421522
"63",3810,1.619604
"64",3815,1.6636
"65",3820,1.606307
"66",3825,1.422113
"67",3830,1.151479
"68",3835,1.015123
"69",3840,1.190135
"70",3845,1.491089
"71",3850,1.711522
"72",3855,1.848522
"73",3860,1.941537
"74",3865,1.974505
"75",3870,1.888317
"76",3875,1.702931
"77",3880,1.446132
"78",3885,1.156703
"79",3890,1.065588
"80",3895,1.252937
"81",3900,1.502454
"82",3905,1.704556
"83",3910,1.84391
"84",3915,1.892106
"85",3920,1.904559
"86",3925,1.778903
"87",3930,1.463239
"88",3935,1.401883
"89",3940,1.659537
"90",3945,1.801666
"91",3950,1.770534
"92",3955,1.658345
"93",3960,1.427453
"94",3965,1.09635
"95",3970,0.974779
"96",3975,1.219832
"97",3980,1.540635
"98",3985,1.761891
"99",3990,1.892855
"100",3995,1.950454
"101",4000,1.996033
"102",4005,2.061325
"103",4010,2.132927
"104",4015,2.177936
"105",4020,2.181525
"106",4025,2.140315
"107",4030,2.094525
"108",4035,2.113626
"109",4040,2.133487
"110",4045,2.104898
"111",4050,2.092689
"112",4055,2.096287
"113",4060,2.078611
"114",4065,2.029898
"115",4070,1.953293
"116",4075,1.856521
"117",4080,1.802658
"118",4085,1.754367
"119",4090,1.618306
"120",4095,1.361296
"121",4100,1.139122
"122",4105,1.198008
"123",4110,1.457709
"124",4115,1.676696
"125",4120,1.777204
"126",4125,1.811385
"127",4130,1.855402
"128",4135,1.957947
"129",4140,2.032293
"130",4145,2.029982
"131",4150,2.008222
"132",4155,1.99942
"133",4160,2.024927
"134",4165,2.044978
"135",4170,1.997035
"136",4175,1.9332
"137",4180,1.935722
"138",4185,1.980034
"139",4190,2.018585
"140",4195,2.007726
"141",4200,1.97327
"142",4205,1.989479
"143",4210,2.030869
"144",4215,2.042488
"145",4220,2.01716
"146",4225,1.978726
"147",4230,1.967719
"148",4235,1.968837
"149",4240,1.981659
"150",4245,1.978462
"151",4250,1.967856
"152",4255,1.983506
"153",4260,2.00914
"154",4265,2.018796
"155",4270,1.982651
"156",4275,1.965176
"157",4280,1.96602
"158",4285,1.923459
"159",4290,1.86681
"160",4295,1.809739
"161",4300,1.746104
"162",4305,1.727182
"163",4310,1.737556
"164",4315,1.730538
"165",4320,1.689455
"166",4325,1.588789
"167",4330,1.41537
"168",4335,1.173651
"169",4340,1.026457
"170",4345,1.13985
"171",4350,1.371079
"172",4355,1.563409
"173",4360,1.700029
"174",4365,1.776444
"175",4370,1.799323
"176",4375,1.810457
"177",4380,1.804716
"178",4385,1.784834
"179",4390,1.792158
"180",4395,1.792865
"181",4400,1.793772
"182",4405,1.817453
"183",4410,1.820925
"184",4415,1.796812
"185",4420,1.807998
"186",4425,1.837958
"187",4430,1.840111
"188",4435,1.828619
"189",4440,1.803333
"190",4445,1.780718
"191",4450,1.776571
"192",4455,1.755697
"193",4460,1.73229
"194",4465,1.728575
"195",4470,1.75194
"196",4475,1.777331
"197",4480,1.763337
"198",4485,1.757005
"199",4490,1.769785
"200",4495,1.790079
"201",4500,1.820419
"202",4505,1.843319
"203",4510,1.832903
"204",4515,1.788823
"205",4520,1.730496
"206",4525,1.693771
"207",4530,1.695101
"208",4535,1.738178
"209",4540,1.762472
"210",4545,1.719373
"211",4550,1.648034
"212",4555,1.638452
"213",4560,1.684748
"214",4565,1.720006
"215",4570,1.735593
"216",4575,1.7176
"217",4580,1.67162
"218",4585,1.650947
"219",4590,1.665869
"220",4595,1.691196
"221",4600,1.692336
"222",4605,1.706097
"223",4610,1.707121
"224",4615,1.662365
"225",4620,1.6636
"226",4625,1.6617
"227",4630,1.638674
"228",4635,1.658081
"229",4640,1.672433
"230",4645,1.640858
"231",4650,1.639676
"232",4655,1.640826
"233",4660,1.634748
"234",4665,1.56134
"235",4670,1.583945
"236",4675,1.625683
"237",4680,1.619963
"238",4685,1.632521
"239",4690,1.632679
"240",4695,1.614823
