"","angstrom","value"
"1",3500,0.663717
"2",3505,0.66563
"3",3510,0.728611
"4",3515,0.725663
"5",3520,0.713116
"6",3525,0.696153
"7",3530,0.692791
"8",3535,0.672577
"9",3540,0.684653
"10",3545,0.679889
"11",3550,0.682013
"12",3555,0.726716
"13",3560,0.711817
"14",3565,0.674904
"15",3570,0.644561
"16",3575,0.653646
"17",3580,0.652753
"18",3585,0.630058
"19",3590,0.614787
"20",3595,0.628192
"21",3600,0.643782
"22",3605,0.640827
"23",3610,0.637711
"24",3615,0.653454
"25",3620,0.663919
"26",3625,0.655756
"27",3630,0.644628
"28",3635,0.652009
"29",3640,0.67862
"30",3645,0.684862
"31",3650,0.6841
"32",3655,0.760523
"33",3660,0.76724
"34",3665,0.768587
"35",3670,0.764578
"36",3675,0.710465
"37",3680,0.685023
"38",3685,0.679726
"39",3690,0.690251
"40",3695,0.707286
"41",3700,0.711521
"42",3705,0.700727
"43",3710,0.746339
"44",3715,0.799773
"45",3720,0.776897
"46",3725,0.809832
"47",3730,0.793996
"48",3735,0.75015
"49",3740,0.850286
"50",3745,0.833162
"51",3750,0.80637
"52",3755,0.940661
"53",3760,0.978974
"54",3765,0.93207
"55",3770,0.874954
"56",3775,1.024055
"57",3780,1.210757
"58",3785,1.208016
"59",3790,1.059974
"60",3795,0.882561
"61",3800,0.939978
"62",3805,1.172527
"63",3810,1.320387
"64",3815,1.345539
"65",3820,1.31108
"66",3825,1.167096
"67",3830,0.975513
"68",3835,0.859599
"69",3840,1.034281
"70",3845,1.296095
"71",3850,1.450561
"72",3855,1.491909
"73",3860,1.526884
"74",3865,1.576212
"75",3870,1.537158
"76",3875,1.390712
"77",3880,1.206624
"78",3885,0.966689
"79",3890,0.910002
"80",3895,1.112919
"81",3900,1.327765
"82",3905,1.481641
"83",3910,1.593426
"84",3915,1.581117
"85",3920,1.574003
"86",3925,1.464904
"87",3930,1.161051
"88",3935,1.098345
"89",3940,1.400407
"90",3945,1.513482
"91",3950,1.489937
"92",3955,1.421689
"93",3960,1.23314
"94",3965,0.928944
"95",3970,0.798074
"96",3975,1.025464
"97",3980,1.296629
"98",3985,1.477964
"99",3990,1.598851
"100",3995,1.657392
"101",4000,1.676918
"102",4005,1.705636
"103",4010,1.758037
"104",4015,1.801619
"105",4020,1.839639
"106",4025,1.803569
"107",4030,1.810085
"108",4035,1.815056
"109",4040,1.840987
"110",4045,1.796193
"111",4050,1.796499
"112",4055,1.740345
"113",4060,1.694861
"114",4065,1.676547
"115",4070,1.671606
"116",4075,1.619925
"117",4080,1.551133
"118",4085,1.493088
"119",4090,1.383023
"120",4095,1.185663
"121",4100,0.968957
"122",4105,1.033231
"123",4110,1.291404
"124",4115,1.494509
"125",4120,1.583286
"126",4125,1.640209
"127",4130,1.658113
"128",4135,1.740398
"129",4140,1.767369
"130",4145,1.770111
"131",4150,1.754299
"132",4155,1.740198
"133",4160,1.770702
"134",4165,1.777731
"135",4170,1.743243
"136",4175,1.691478
"137",4180,1.68889
"138",4185,1.707951
"139",4190,1.742877
"140",4195,1.704615
"141",4200,1.678623
"142",4205,1.719779
"143",4210,1.752769
"144",4215,1.743873
"145",4220,1.706832
"146",4225,1.67517
"147",4230,1.689322
"148",4235,1.670736
"149",4240,1.711805
"150",4245,1.702416
"151",4250,1.691284
"152",4255,1.702816
"153",4260,1.712414
"154",4265,1.734888
"155",4270,1.697483
"156",4275,1.699442
"157",4280,1.741246
"158",4285,1.670251
"159",4290,1.595434
"160",4295,1.565073
"161",4300,1.50207
"162",4305,1.485493
"163",4310,1.475934
"164",4315,1.462988
"165",4320,1.450173
"166",4325,1.379624
"167",4330,1.285784
"168",4335,1.09389
"169",4340,0.906358
"170",4345,1.013105
"171",4350,1.226155
"172",4355,1.376618
"173",4360,1.504558
"174",4365,1.564427
"175",4370,1.558496
"176",4375,1.575677
"177",4380,1.592097
"178",4385,1.577176
"179",4390,1.596662
"180",4395,1.586208
"181",4400,1.567894
"182",4405,1.57724
"183",4410,1.573716
"184",4415,1.535876
"185",4420,1.538277
"186",4425,1.557981
"187",4430,1.554698
"188",4435,1.547274
