"","angstrom","value"
"1",3500,1.881767
"2",3505,1.87947
"3",3510,1.820046
"4",3515,1.831529
"5",3520,1.838981
"6",3525,1.816472
"7",3530,1.844932
"8",3535,1.848406
"9",3540,1.844946
"10",3545,1.839201
"11",3550,1.81862
"12",3555,1.794781
"13",3560,1.801255
"14",3565,1.780834
"15",3570,1.769826
"16",3575,1.760047
"17",3580,1.757233
"18",3585,1.753028
"19",3590,1.739246
"20",3595,1.719926
"21",3600,1.71883
"22",3605,1.703089
"23",3610,1.71989
"24",3615,1.76786
"25",3620,1.747581
"26",3625,1.717172
"27",3630,1.724764
"28",3635,1.708212
"29",3640,1.694654
"30",3645,1.704651
"31",3650,1.681628
"32",3655,1.731177
"33",3660,1.749188
"34",3665,1.707018
"35",3670,1.710425
"36",3675,1.722697
"37",3680,1.714939
"38",3685,1.698699
"39",3690,1.717409
"40",3695,1.680816
"41",3700,1.679062
"42",3705,1.642533
"43",3710,1.641335
"44",3715,1.731629
"45",3720,1.693426
"46",3725,1.786413
"47",3730,1.828248
"48",3735,1.69274
"49",3740,2.014111
"50",3745,1.938542
"51",3750,1.639223
"52",3755,2.023023
"53",3760,2.352442
"54",3765,2.069666
"55",3770,1.651756
"56",3775,2.07148
"57",3780,2.691471
"58",3785,2.850717
"59",3790,2.512944
"60",3795,1.824399
"61",3800,1.803901
"62",3805,2.49006
"63",3810,3.008976
"64",3815,3.098268
"65",3820,2.969409
"66",3825,2.67027
"67",3830,2.071777
"68",3835,1.65604
"69",3840,2.123921
"70",3845,2.68252
"71",3850,2.95121
"72",3855,3.044431
"73",3860,3.114933
"74",3865,3.103028
"75",3870,3.073925
"76",3875,2.860463
"77",3880,2.429217
"78",3885,1.792119
"79",3890,1.606577
"80",3895,2.240063
"81",3900,2.742649
"82",3905,2.929625
"83",3910,2.996626
"84",3915,3.042102
"85",3920,3.058035
"86",3925,3.032472
"87",3930,2.947673
"88",3935,2.959475
"89",3940,3.006504
"90",3945,3.000241
"91",3950,2.906067
"92",3955,2.701104
"93",3960,2.34596
"94",3965,1.768759
"95",3970,1.428424
"96",3975,1.89928
"97",3980,2.444919
"98",3985,2.71105
"99",3990,2.798558
"100",3995,2.863838
"101",4000,2.86476
"102",4005,2.883875
"103",4010,2.881166
"104",4015,2.855791
"105",4020,2.822226
"106",4025,2.795325
"107",4030,2.807645
"108",4035,2.816674
"109",4040,2.792263
"110",4045,2.809898
"111",4050,2.824199
"112",4055,2.758031
"113",4060,2.748042
"114",4065,2.761189
"115",4070,2.705842
"116",4075,2.642014
"117",4080,2.590751
"118",4085,2.482327
"119",4090,2.277002
"120",4095,1.845695
"121",4100,1.382643
"122",4105,1.567994
"123",4110,2.056868
"124",4115,2.333789
"125",4120,2.449012
"126",4125,2.479822
"127",4130,2.441469
"128",4135,2.502116
"129",4140,2.538215
"130",4145,2.525913
"131",4150,2.562811
"132",4155,2.583691
"133",4160,2.554363
"134",4165,2.511458
"135",4170,2.479394
"136",4175,2.456072
"137",4180,2.461246
"138",4185,2.472656
"139",4190,2.466834
"140",4195,2.441862
"141",4200,2.423475
"142",4205,2.421309
"143",4210,2.431536
"144",4215,2.418837
"145",4220,2.429782
"146",4225,2.409451
"147",4230,2.377066
"148",4235,2.358027
"149",4240,2.36606
"150",4245,2.368669
"151",4250,2.361184
"152",4255,2.33847
"153",4260,2.336182
"154",4265,2.302209
"155",4270,2.295123
"156",4275,2.304536
"157",4280,2.31173
"158",4285,2.326753
"159",4290,2.298369
"160",4295,2.276426
"161",4300,2.247426
"162",4305,2.259052
"163",4310,2.222611
"164",4315,2.170923
"165",4320,2.136212
"166",4325,2.044765
"167",4330,1.836314
"168",4335,1.460605
"169",4340,1.148669
"170",4345,1.379588
"171",4350,1.748092
"172",4355,1.964395
"173",4360,2.073319
"174",4365,2.137464
"175",4370,2.165412
"176",4375,2.168858
"177",4380,2.146787
"178",4385,2.105706
"179",4390,2.126292
"180",4395,2.14323
"181",4400,2.155245
"182",4405,2.128944
"183",4410,2.088825
"184",4415,2.064489
"185",4420,2.036539
"186",4425,2.040133
"187",4430,2.050933
"188",4435,2.028767
"189",4440,2.049808
"190",4445,2.054947
"191",4450,2.057919
"192",4455,2.054092
"193",4460,2.042713
"194",4465,2.031154
"195",4470,1.981782
"196",4475,1.971728
"197",4480,1.964092
"198",4485,1.999915
"199",4490,1.985397
"200",4495,1.992995
"201",4500,1.99524
"202",4505,1.985879
"203",4510,1.954883
"204",4515,1.935637
"205",4520,1.94562
"206",4525,1.958947
"207",4530,1.948166
"208",4535,1.943078
"209",4540,1.923603
"210",4545,1.919482
"211",4550,1.898793
"212",4555,1.879905
"213",4560,1.887988
"214",4565,1.890365
"215",4570,1.90031
"216",4575,1.915598
"217",4580,1.891764
"218",4585,1.837754
"219",4590,1.85167
"220",4595,1.862829
"221",4600,1.866053
"222",4605,1.841633
"223",4610,1.850288
"224",4615,1.818556
"225",4620,1.788475
"226",4625,1.784811
"227",4630,1.79421
"228",4635,1.784879
"229",4640,1.777382
"230",4645,1.794905
"231",4650,1.799391
"232",4655,1.793142
"233",4660,1.779676
"234",4665,1.765829
"235",4670,1.762148
"236",4675,1.784192
