"","angstrom","value"
"1",3500,2.142638
"2",3505,2.134301
"3",3510,2.126802
"4",3515,2.124628
"5",3520,2.120518
"6",3525,2.089776
"7",3530,2.094095
"8",3535,2.106049
"9",3540,2.108064
"10",3545,2.113699
"11",3550,2.101668
"12",3555,2.062981
"13",3560,2.04737
"14",3565,2.05228
"15",3570,2.038697
"16",3575,2.018523
"17",3580,1.996779
"18",3585,1.9984
"19",3590,2.003062
"20",3595,1.973583
"21",3600,1.990933
"22",3605,1.989942
"23",3610,1.9776
"24",3615,1.946837
"25",3620,1.962273
"26",3625,1.953698
"27",3630,1.918589
"28",3635,1.922346
"29",3640,1.94208
"30",3645,1.947711
"31",3650,1.94486
"32",3655,1.928986
"33",3660,1.938399
"34",3665,1.93257
"35",3670,1.908411
"36",3675,1.941185
"37",3680,1.917329
"38",3685,1.922555
"39",3690,1.917731
"40",3695,1.912005
"41",3700,1.91373
"42",3705,1.921012
"43",3710,1.910822
"44",3715,1.9412
"45",3720,1.938282
"46",3725,1.965872
"47",3730,2.09742
"48",3735,1.965211
"49",3740,2.213871
"50",3745,2.279854
"51",3750,1.957794
"52",3755,2.103621
"53",3760,2.37364
"54",3765,2.258349
"55",3770,1.98557
"56",3775,2.237996
"57",3780,2.635328
"58",3785,2.700432
"59",3790,2.576433
"60",3795,2.123791
"61",3800,2.081794
"62",3805,2.521752
"63",3810,2.786587
"64",3815,2.775579
"65",3820,2.669513
"66",3825,2.708922
"67",3830,2.445877
"68",3835,2.072752
"69",3840,2.402862
"70",3845,2.7523
"71",3850,2.873977
"72",3855,2.951777
"73",3860,2.958973
"74",3865,2.876485
"75",3870,2.789362
"76",3875,2.790202
"77",3880,2.611414
"78",3885,2.13819
"79",3890,1.989251
"80",3895,2.4524
"81",3900,2.776998
"82",3905,2.887618
"83",3910,2.926991
"84",3915,2.898786
"85",3920,2.832686
"86",3925,2.80714
"87",3930,2.774931
"88",3935,2.778765
"89",3940,2.843099
"90",3945,2.868389
"91",3950,2.816994
"92",3955,2.745464
"93",3960,2.588741
"94",3965,2.176793
"95",3970,1.904966
"96",3975,2.284365
"97",3980,2.641845
"98",3985,2.791221
"99",3990,2.790799
"100",3995,2.795676
"101",4000,2.794035
"102",4005,2.740746
"103",4010,2.711411
"104",4015,2.723087
"105",4020,2.652219
"106",4025,2.48223
"107",4030,2.555457
"108",4035,2.645246
"109",4040,2.662346
"110",4045,2.66298
"111",4050,2.655111
"112",4055,2.638961
"113",4060,2.635419
"114",4065,2.62451
"115",4070,2.584723
"116",4075,2.534323
"117",4080,2.534284
"118",4085,2.504169
