"","angstrom","value"
"1",3500,1.998793
"2",3505,1.991259
"3",3510,1.975063
"4",3515,1.976298
"5",3520,1.962129
"6",3525,1.964466
"7",3530,1.94153
"8",3535,1.946695
"9",3540,1.934584
"10",3545,1.930847
"11",3550,1.933857
"12",3555,1.910651
"13",3560,1.910649
"14",3565,1.897277
"15",3570,1.88796
"16",3575,1.861868
"17",3580,1.833517
"18",3585,1.848162
"19",3590,1.86526
"20",3595,1.869774
"21",3600,1.874197
"22",3605,1.887353
"23",3610,1.8784
"24",3615,1.893349
"25",3620,1.930162
"26",3625,1.900808
"27",3630,1.913884
"28",3635,1.896368
"29",3640,1.922332
"30",3645,1.916292
"31",3650,1.839325
"32",3655,1.837628
"33",3660,1.875144
"34",3665,1.852306
"35",3670,1.859881
"36",3675,1.924721
"37",3680,1.954197
"38",3685,1.960087
"39",3690,1.947237
"40",3695,1.952045
"41",3700,2.03186
"42",3705,2.016887
"43",3710,2.110846
"44",3715,2.218926
"45",3720,2.189156
"46",3725,2.287896
"47",3730,2.292266
"48",3735,2.108036
"49",3740,2.436388
"50",3745,2.382727
"51",3750,2.142647
"52",3755,2.430617
"53",3760,2.578032
"54",3765,2.412449
"55",3770,2.150441
"56",3775,2.389174
"57",3780,2.647018
"58",3785,2.666001
"59",3790,2.577592
"60",3795,2.210742
"61",3800,2.237739
"62",3805,2.551016
"63",3810,2.647969
"64",3815,2.698554
"65",3820,2.666892
"66",3825,2.65276
"67",3830,2.431187
"68",3835,2.105276
"69",3840,2.404933
"70",3845,2.633819
"71",3850,2.628039
"72",3855,2.593071
"73",3860,2.542095
"74",3865,2.527002
"75",3870,2.54685
"76",3875,2.5033
"77",3880,2.466129
"78",3885,2.21692
"79",3890,2.040607
"80",3895,2.355099
"81",3900,2.558914
"82",3905,2.560631
"83",3910,2.534166
"84",3915,2.494763
"85",3920,2.441482
"86",3925,2.429314
"87",3930,2.305268
"88",3935,2.280266
"89",3940,2.445332
"90",3945,2.463647
"91",3950,2.459002
"92",3955,2.455952
"93",3960,2.398192
"94",3965,2.036598
"95",3970,1.789385
"96",3975,2.192722
"97",3980,2.363902
"98",3985,2.370164
"99",3990,2.373161
"100",3995,2.339714
"101",4000,2.334845
"102",4005,2.292695
"103",4010,2.285199
"104",4015,2.288529
"105",4020,2.260281
"106",4025,2.187479
"107",4030,2.230258
"108",4035,2.263646
"109",4040,2.277485
"110",4045,2.288874
"111",4050,2.282599
"112",4055,2.267395
"113",4060,2.24362
"114",4065,2.211392
"115",4070,2.195383
"116",4075,2.158551
"117",4080,2.165171
"118",4085,2.155553
"119",4090,2.110099
"120",4095,1.96686
"121",4100,1.703547
"122",4105,1.876774
"123",4110,2.093287
"124",4115,2.102903
"125",4120,2.082572
"126",4125,2.055376
"127",4130,2.032215
"128",4135,2.058014
"129",4140,2.045351
"130",4145,2.04623
"131",4150,2.065904
"132",4155,2.050604
"133",4160,2.053744
"134",4165,2.04332
"135",4170,2.037784
"136",4175,2.019602
"137",4180,2.019845
"138",4185,2.017778
"139",4190,2.009405
"140",4195,2.019427
"141",4200,2.026506
"142",4205,2.007277
"143",4210,1.977538
"144",4215,1.985514
"145",4220,1.990528
"146",4225,1.9805
"147",4230,1.955221
"148",4235,1.955734
"149",4240,1.974588
"150",4245,1.956833
"151",4250,1.96852
"152",4255,1.960552
"153",4260,1.936824
"154",4265,1.904386
"155",4270,1.876173
"156",4275,1.890439
"157",4280,1.902727
"158",4285,1.90388
"159",4290,1.903053
"160",4295,1.891262
"161",4300,1.899296
"162",4305,1.909536
"163",4310,1.900434
"164",4315,1.910451
"165",4320,1.919809
"166",4325,1.922393
"167",4330,1.897974
"168",4335,1.729203
"169",4340,1.500695
"170",4345,1.67343
