"","angstrom","value"
"1",3500,0.679359
"2",3505,0.697209
"3",3510,0.692934
"4",3515,0.689596
"5",3520,0.687795
"6",3525,0.699191
"7",3530,0.728478
"8",3535,0.751926
"9",3540,0.766254
"10",3545,0.773638
"11",3550,0.764162
"12",3555,0.745331
"13",3560,0.732795
"14",3565,0.696476
"15",3570,0.671535
"16",3575,0.665811
"17",3580,0.65344
"18",3585,0.64071
"19",3590,0.66595
"20",3595,0.697383
"21",3600,0.696335
"22",3605,0.678802
"23",3610,0.672546
"24",3615,0.676792
"25",3620,0.695448
"26",3625,0.721437
"27",3630,0.692832
"28",3635,0.683654
"29",3640,0.699961
"30",3645,0.702128
"31",3650,0.728102
"32",3655,0.776612
"33",3660,0.798795
"34",3665,0.801028
"35",3670,0.797571
"36",3675,0.776034
"37",3680,0.745942
"38",3685,0.751712
"39",3690,0.790616
"40",3695,0.823257
"41",3700,0.829038
"42",3705,0.793115
"43",3710,0.814829
"44",3715,0.867204
"45",3720,0.840447
"46",3725,0.840527
"47",3730,0.820405
"48",3735,0.789733
"49",3740,0.874391
"50",3745,0.854268
"51",3750,0.827059
"52",3755,0.931479
"53",3760,0.955711
"54",3765,0.947217
"55",3770,0.911057
"56",3775,1.025704
"57",3780,1.171319
"58",3785,1.16372
"59",3790,1.074037
"60",3795,0.966497
"61",3800,1.026369
"62",3805,1.216948
"63",3810,1.30106
"64",3815,1.276963
"65",3820,1.235947
"66",3825,1.106056
"67",3830,0.928454
"68",3835,0.827172
"69",3840,0.965002
"70",3845,1.176346
"71",3850,1.302586
"72",3855,1.328461
"73",3860,1.345869
"74",3865,1.38184
"75",3870,1.345012
"76",3875,1.262512
"77",3880,1.161382
"78",3885,0.978573
"79",3890,0.922046
"80",3895,1.059928
"81",3900,1.171361
"82",3905,1.242988
"83",3910,1.298399
"84",3915,1.274651
"85",3920,1.206702
"86",3925,1.037388
"87",3930,0.737989
"88",3935,0.687567
"89",3940,0.951084
"90",3945,1.135427
"91",3950,1.197294
"92",3955,1.157782
"93",3960,1.002246
"94",3965,0.749794
"95",3970,0.693749
"96",3975,0.950993
"97",3980,1.17745
"98",3985,1.29028
"99",3990,1.349493
"100",3995,1.364727
"101",4000,1.367972
"102",4005,1.387415
"103",4010,1.426084
"104",4015,1.457232
"105",4020,1.476135
"106",4025,1.457294
"107",4030,1.430483
"108",4035,1.454958
"109",4040,1.474621
"110",4045,1.448421
"111",4050,1.450456
"112",4055,1.420469
"113",4060,1.40771
"114",4065,1.402689
"115",4070,1.397083
"116",4075,1.355711
"117",4080,1.34882
