"","angstrom","value"
"1",3500,0.615417
"2",3505,0.624736
"3",3510,0.655236
"4",3515,0.667794
"5",3520,0.655703
"6",3525,0.645628
"7",3530,0.648346
"8",3535,0.676728
"9",3540,0.699791
"10",3545,0.70142
"11",3550,0.695787
"12",3555,0.689643
"13",3560,0.680563
"14",3565,0.656729
"15",3570,0.638844
"16",3575,0.637423
"17",3580,0.624615
"18",3585,0.61464
"19",3590,0.629536
"20",3595,0.654596
"21",3600,0.668173
"22",3605,0.654551
"23",3610,0.637639
"24",3615,0.648172
"25",3620,0.674743
"26",3625,0.696184
"27",3630,0.6736
"28",3635,0.660791
"29",3640,0.685144
"30",3645,0.698729
"31",3650,0.707427
"32",3655,0.733443
"33",3660,0.741872
"34",3665,0.731766
"35",3670,0.726008
"36",3675,0.714625
"37",3680,0.707571
"38",3685,0.708233
"39",3690,0.719534
"40",3695,0.74861
"41",3700,0.769888
"42",3705,0.722596
"43",3710,0.727386
"44",3715,0.791551
"45",3720,0.800871
"46",3725,0.821612
"47",3730,0.825471
"48",3735,0.782869
"49",3740,0.87234
"50",3745,0.833534
"51",3750,0.751963
"52",3755,0.903019
"53",3760,0.994855
"54",3765,0.923746
"55",3770,0.810948
"56",3775,0.960276
"57",3780,1.188401
"58",3785,1.210436
"59",3790,1.081229
"60",3795,0.886093
"61",3800,0.862544
"62",3805,1.08865
"63",3810,1.295795
"64",3815,1.34684
"65",3820,1.311658
"66",3825,1.157727
"67",3830,0.938298
"68",3835,0.77772
"69",3840,0.913786
"70",3845,1.18413
"71",3850,1.385601
"72",3855,1.455094
"73",3860,1.477191
"74",3865,1.50436
"75",3870,1.486832
"76",3875,1.389809
"77",3880,1.230825
"78",3885,0.989497
"79",3890,0.851956
"80",3895,1.041702
"81",3900,1.266377
"82",3905,1.330357
"83",3910,1.433837
"84",3915,1.479887
"85",3920,1.450682
"86",3925,1.287212
"87",3930,1.014509
"88",3935,0.947993
"89",3940,1.169466
"90",3945,1.32097
"91",3950,1.390165
"92",3955,1.357232
"93",3960,1.193472
"94",3965,0.898501
"95",3970,0.743957
"96",3975,0.942064
"97",3980,1.210814
"98",3985,1.386253
"99",3990,1.485722
"100",3995,1.530989
"101",4000,1.546224
"102",4005,1.557601
"103",4010,1.583576
"104",4015,1.619276
"105",4020,1.642678
"106",4025,1.624909
"107",4030,1.595752
"108",4035,1.61052
"109",4040,1.641999
"110",4045,1.632719
"111",4050,1.63085
"112",4055,1.605025
"113",4060,1.584885
"114",4065,1.557667
"115",4070,1.531538
"116",4075,1.478976
"117",4080,1.446144
"118",4085,1.430088
"119",4090,1.350525
"120",4095,1.151092
"121",4100,0.963214
"122",4105,1.012154
"123",4110,1.198041
"124",4115,1.344349
"125",4120,1.4275
"126",4125,1.465577
"127",4130,1.493655
"128",4135,1.535491
"129",4140,1.584291
"130",4145,1.594865
"131",4150,1.592951
"132",4155,1.583692
"133",4160,1.586972
"134",4165,1.581641
"135",4170,1.541813
"136",4175,1.502851
"137",4180,1.515809
"138",4185,1.55218
"139",4190,1.580234
"140",4195,1.568078
"141",4200,1.545445
"142",4205,1.561884
"143",4210,1.581401
"144",4215,1.577959
"145",4220,1.56756
"146",4225,1.527322
"147",4230,1.521574
"148",4235,1.51416
"149",4240,1.527305
"150",4245,1.525024
"151",4250,1.522791
"152",4255,1.539834
"153",4260,1.543771
"154",4265,1.545503
"155",4270,1.515569
"156",4275,1.510574
"157",4280,1.52697
"158",4285,1.492777
"159",4290,1.449934
"160",4295,1.417877
"161",4300,1.371403
"162",4305,1.359778
"163",4310,1.36865
"164",4315,1.375914
"165",4320,1.373699
"166",4325,1.335059
"167",4330,1.241431
"168",4335,1.049747
"169",4340,0.883291
"170",4345,0.959148
"171",4350,1.140002
"172",4355,1.290404
"173",4360,1.398192
"174",4365,1.452105
"175",4370,1.453773
"176",4375,1.455251
"177",4380,1.459758
"178",4385,1.440051
"179",4390,1.444752
"180",4395,1.433944
"181",4400,1.437537
"182",4405,1.464398
"183",4410,1.474883
"184",4415,1.460417
"185",4420,1.465128
"186",4425,1.482165
"187",4430,1.494717
"188",4435,1.487239
"189",4440,1.483911
"190",4445,1.475385
"191",4450,1.479772
"192",4455,1.448605
"193",4460,1.434871
"194",4465,1.432891
"195",4470,1.447723
"196",4475,1.461709
"197",4480,1.441973
"198",4485,1.450687
"199",4490,1.463301
"200",4495,1.478634
"201",4500,1.49907
"202",4505,1.516518
"203",4510,1.513195
"204",4515,1.496672
"205",4520,1.454342
"206",4525,1.425696
"207",4530,1.410287
"208",4535,1.441908
"209",4540,1.459334
"210",4545,1.430087
"211",4550,1.389855
"212",4555,1.393807
"213",4560,1.412708
"214",4565,1.431776
"215",4570,1.443067
"216",4575,1.438448
"217",4580,1.417248
"218",4585,1.39756
"219",4590,1.406261
"220",4595,1.426599
"221",4600,1.437684
"222",4605,1.448545
"223",4610,1.454419
"224",4615,1.442
"225",4620,1.433541
"226",4625,1.432301
"227",4630,1.430055
"228",4635,1.435143
"229",4640,1.441032
"230",4645,1.425339
"231",4650,1.41501
"232",4655,1.430215
"233",4660,1.428381
"234",4665,1.401579
"235",4670,1.388299
"236",4675,1.404053
"237",4680,1.418022
"238",4685,1.423547
"239",4690,1.421606
"240",4695,1.408192
"241",4700,1.382732
"242",4705,1.369241
"243",4710,1.369905
"244",4715,1.382369
"245",4720,1.397341
"246",4725,1.393192
"247",4730,1.366943
"248",4735,1.358304
"249",4740,1.36725
"250",4745,1.375699
"251",4750,1.36387
"252",4755,1.345583
"253",4760,1.33648
"254",4765,1.323778
"255",4770,1.329997
"256",4775,1.342147
"257",4780,1.346446
"258",4785,1.341522
"259",4790,1.337318
"260",4795,1.340682
"261",4800,1.331227
"262",4805,1.315555
"263",4810,1.310223
"264",4815,1.309266
"265",4820,1.293525
"266",4825,1.283521
"267",4830,1.271548
"268",4835,1.261733
"269",4840,1.245173
"270",4845,1.205922
"271",4850,1.118211
"272",4855,0.955203
"273",4860,0.823393
"274",4865,0.866198
"275",4870,0.981313
"276",4875,1.074297
"277",4880,1.146288
"278",4885,1.178333
"279",4890,1.195898
"280",4895,1.22893
"281",4900,1.249106
"282",4905,1.256125
"283",4910,1.240417
"284",4915,1.232934
"285",4920,1.213113
"286",4925,1.217875
"287",4930,1.239514
"288",4935,1.23802
"289",4940,1.244322
"290",4945,1.263142
"291",4950,1.261562
"292",4955,1.24841
"293",4960,1.24682
"294",4965,1.253026
"295",4970,1.250561
"296",4975,1.243967
"297",4980,1.219369
"298",4985,1.213566
"299",4990,1.227435
"300",4995,1.222439
"301",5000,1.216767
"302",5005,1.198437
"303",5010,1.189213
"304",5015,1.170925
"305",5020,1.165247
"306",5025,1.187673
"307",5030,1.206031
"308",5035,1.197739
"309",5040,1.178103
"310",5045,1.184849
"311",5050,1.193327
"312",5055,1.206711
"313",5060,1.227538
"314",5065,1.2155
"315",5070,1.189878
"316",5075,1.172505
"317",5080,1.160761
"318",5085,1.169052
"319",5090,1.189496
"320",5095,1.189145
"321",5100,1.173689
"322",5105,1.181452
"323",5110,1.180523
"324",5115,1.186515
"325",5120,1.182712
"326",5125,1.16812
"327",5130,1.149947
"328",5135,1.141276
"329",5140,1.139469
"330",5145,1.151461
"331",5150,1.154447
"332",5155,1.148319
"333",5160,1.142006
"334",5165,1.097586
"335",5170,1.065534
"336",5175,1.095265
"337",5180,1.118098
"338",5185,1.10314
"339",5190,1.086193
"340",5195,1.088863
"341",5200,1.099304
"342",5205,1.093631
"343",5210,1.105799
"344",5215,1.122454
"345",5220,1.120976
"346",5225,1.091394
"347",5230,1.079719
"348",5235,1.086982
"349",5240,1.101723
"350",5245,1.115324
"351",5250,1.117921
"352",5255,1.107076
"353",5260,1.083965
"354",5265,1.040002
"355",5270,1.023968
"356",5275,1.038908
"357",5280,1.063572
"358",5285,1.086045
"359",5290,1.111176
"360",5295,1.106347
"361",5300,1.096831
"362",5305,1.096113
"363",5310,1.091685
"364",5315,1.08391
"365",5320,1.076672
"366",5325,1.056289
"367",5330,1.049182
"368",5335,1.049033
"369",5340,1.050538
"370",5345,1.066242
"371",5350,1.079029
