"","angstrom","value"
"1",3500,0.484193
"2",3505,0.488297
"3",3510,0.447772
"4",3515,0.458846
"5",3520,0.480269
"6",3525,0.466401
"7",3530,0.451596
"8",3535,0.457416
"9",3540,0.492054
"10",3545,0.524856
"11",3550,0.505445
"12",3555,0.510425
"13",3560,0.479171
"14",3565,0.458306
"15",3570,0.45501
"16",3575,0.452327
"17",3580,0.476313
"18",3585,0.482051
"19",3590,0.469462
"20",3595,0.458011
"21",3600,0.495858
"22",3605,0.496493
"23",3610,0.464473
"24",3615,0.4479
"25",3620,0.46556
"26",3625,0.495898
"27",3630,0.484534
"28",3635,0.484647
"29",3640,0.493509
"30",3645,0.499803
"31",3650,0.518191
"32",3655,0.542632
"33",3660,0.541796
"34",3665,0.540988
"35",3670,0.537696
"36",3675,0.556047
"37",3680,0.559785
"38",3685,0.576848
"39",3690,0.629998
"40",3695,0.654481
"41",3700,0.670573
"42",3705,0.66641
"43",3710,0.677348
"44",3715,0.74935
"45",3720,0.764092
"46",3725,0.763334
"47",3730,0.764456
"48",3735,0.747422
"49",3740,0.841179
"50",3745,0.768212
"51",3750,0.719674
"52",3755,0.865785
"53",3760,0.9304
"54",3765,0.867774
"55",3770,0.796805
"56",3775,0.964553
"57",3780,1.175358
"58",3785,1.150527
"59",3790,0.996866
"60",3795,0.854661
"61",3800,0.895606
"62",3805,1.077532
"63",3810,1.228699
"64",3815,1.222678
"65",3820,1.217089
"66",3825,1.050757
"67",3830,0.865854
"68",3835,0.778317
"69",3840,0.952699
"70",3845,1.165312
"71",3850,1.290181
"72",3855,1.348881
"73",3860,1.389638
"74",3865,1.422416
"75",3870,1.402603
"76",3875,1.319428
"77",3880,1.17179
"78",3885,0.944896
"79",3890,0.874138
"80",3895,1.060952
"81",3900,1.21927
"82",3905,1.295351
"83",3910,1.361604
"84",3915,1.36955
"85",3920,1.295109
"86",3925,1.000987
"87",3930,0.627138
"88",3935,0.670185
"89",3940,1.031908
"90",3945,1.213709
"91",3950,1.26433
"92",3955,1.249665
"93",3960,1.065322
"94",3965,0.687878
"95",3970,0.582433
"96",3975,0.933701
"97",3980,1.256771
"98",3985,1.387549
"99",3990,1.436142
"100",3995,1.430861
"101",4000,1.426901
"102",4005,1.447896
"103",4010,1.485873
"104",4015,1.532849
"105",4020,1.53316
"106",4025,1.476042
"107",4030,1.446271
"108",4035,1.491793
"109",4040,1.519824
"110",4045,1.49144
"111",4050,1.476545
"112",4055,1.456915
"113",4060,1.468337
"114",4065,1.456817
"115",4070,1.431275
"116",4075,1.370952
"117",4080,1.37344
"118",4085,1.423462
"119",4090,1.383204
"120",4095,1.146191
"121",4100,0.927775
"122",4105,1.059751
"123",4110,1.295575
"124",4115,1.404545
"125",4120,1.403936
"126",4125,1.363026
"127",4130,1.352835
"128",4135,1.438984
"129",4140,1.508967
"130",4145,1.494339
"131",4150,1.461487
"132",4155,1.442294
"133",4160,1.45212
"134",4165,1.457643
"135",4170,1.375771
"136",4175,1.337481
"137",4180,1.35374
"138",4185,1.393768
"139",4190,1.44859
"140",4195,1.419175
"141",4200,1.365603
"142",4205,1.392439
"143",4210,1.443856
"144",4215,1.431643
"145",4220,1.41356
"146",4225,1.370457
"147",4230,1.367312
"148",4235,1.369111
"149",4240,1.409935
"150",4245,1.385991
"151",4250,1.36993
"152",4255,1.393562
"153",4260,1.403606
"154",4265,1.413693
"155",4270,1.372092
"156",4275,1.381848
"157",4280,1.420375
"158",4285,1.384142
"159",4290,1.310948
"160",4295,1.266146
"161",4300,1.214092
"162",4305,1.257893
"163",4310,1.297243
"164",4315,1.32627
"165",4320,1.356118
"166",4325,1.351433
"167",4330,1.272389
"168",4335,1.051992
"169",4340,0.861914
"170",4345,1.013057
"171",4350,1.216529
"172",4355,1.354821
"173",4360,1.409563
"174",4365,1.415432
"175",4370,1.376509
"176",4375,1.380859
"177",4380,1.382697
"178",4385,1.332984
"179",4390,1.335649
"180",4395,1.314322
"181",4400,1.31365
"182",4405,1.332155
"183",4410,1.353488
"184",4415,1.320014
"185",4420,1.325688
"186",4425,1.352773
"187",4430,1.355145
"188",4435,1.360834
"189",4440,1.355816
"190",4445,1.330854
"191",4450,1.350313
"192",4455,1.332
"193",4460,1.299021
"194",4465,1.295792
"195",4470,1.312994
"196",4475,1.352122
"197",4480,1.342097
"198",4485,1.344701
"199",4490,1.340815
"200",4495,1.379933
"201",4500,1.408593
"202",4505,1.425306
"203",4510,1.422414
"204",4515,1.381713
"205",4520,1.336619
"206",4525,1.303909
"207",4530,1.280419
"208",4535,1.342965
"209",4540,1.366787
"210",4545,1.315203
"211",4550,1.255774
"212",4555,1.282673
"213",4560,1.331127
"214",4565,1.356027
"215",4570,1.352809
"216",4575,1.332874
"217",4580,1.27903
"218",4585,1.271037
"219",4590,1.298944
"220",4595,1.315789
"221",4600,1.33499
"222",4605,1.362673
"223",4610,1.365808
"224",4615,1.337658
"225",4620,1.3384
"226",4625,1.336604
"227",4630,1.322125
"228",4635,1.332934
"229",4640,1.348557
"230",4645,1.335338
"231",4650,1.332151
"232",4655,1.337779
"233",4660,1.344411
"234",4665,1.305593
"235",4670,1.30604
"236",4675,1.341395
"237",4680,1.373501
"238",4685,1.391341
"239",4690,1.370451
"240",4695,1.35055
"241",4700,1.317773
"242",4705,1.307561
"243",4710,1.300926
"244",4715,1.316938
"245",4720,1.341248
"246",4725,1.332791
"247",4730,1.289132
"248",4735,1.291535
"249",4740,1.316215
"250",4745,1.323061
"251",4750,1.319369
"252",4755,1.287074
"253",4760,1.262495
"254",4765,1.250186
"255",4770,1.290325
"256",4775,1.30848
"257",4780,1.312661
"258",4785,1.289577
"259",4790,1.291799
"260",4795,1.299434
"261",4800,1.297131
"262",4805,1.270007
"263",4810,1.252373
"264",4815,1.260276
"265",4820,1.265595
"266",4825,1.264011
"267",4830,1.25759
"268",4835,1.25064
"269",4840,1.24052
"270",4845,1.202199
"271",4850,1.109211
"272",4855,0.925055
"273",4860,0.795846
"274",4865,0.909118
"275",4870,1.045375
"276",4875,1.123351
"277",4880,1.15278
"278",4885,1.147662
"279",4890,1.16098
"280",4895,1.211951
"281",4900,1.237083
"282",4905,1.239055
"283",4910,1.216763
"284",4915,1.183978
"285",4920,1.143487
"286",4925,1.181424
"287",4930,1.220724
"288",4935,1.219661
"289",4940,1.214016
"290",4945,1.229224
"291",4950,1.236602
"292",4955,1.216985
"293",4960,1.217087
"294",4965,1.244296
"295",4970,1.233707
"296",4975,1.206717
"297",4980,1.160921
"298",4985,1.171822
"299",4990,1.206259
"300",4995,1.203532
"301",5000,1.17451
"302",5005,1.137014
"303",5010,1.125216
"304",5015,1.109784
"305",5020,1.12651
"306",5025,1.16744
"307",5030,1.194532
"308",5035,1.178331
"309",5040,1.133325
"310",5045,1.142863
"311",5050,1.162027
"312",5055,1.185583
"313",5060,1.191409
"314",5065,1.178306
"315",5070,1.164882
"316",5075,1.136338
"317",5080,1.12069
"318",5085,1.151603
"319",5090,1.181579
"320",5095,1.154785
"321",5100,1.138298
"322",5105,1.148952
"323",5110,1.156554
"324",5115,1.169859
"325",5120,1.149667
"326",5125,1.123795
"327",5130,1.10076
"328",5135,1.097974
"329",5140,1.099266
"330",5145,1.09635
"331",5150,1.09958
"332",5155,1.110062
"333",5160,1.112881
"334",5165,1.035176
"335",5170,1.002183
"336",5175,1.082137
"337",5180,1.110472
"338",5185,1.06499
"339",5190,1.037174
