"","angstrom","value"
"1",3500,0.694272
"2",3505,0.70419
"3",3510,0.711838
"4",3515,0.722887
"5",3520,0.717628
"6",3525,0.713658
"7",3530,0.73448
"8",3535,0.765058
"9",3540,0.785804
"10",3545,0.804323
"11",3550,0.792068
"12",3555,0.769401
"13",3560,0.754407
"14",3565,0.719547
"15",3570,0.683087
"16",3575,0.678335
"17",3580,0.667291
"18",3585,0.660146
"19",3590,0.689767
"20",3595,0.742341
"21",3600,0.756306
"22",3605,0.726581
"23",3610,0.713688
"24",3615,0.695537
"25",3620,0.702829
"26",3625,0.737284
"27",3630,0.737964
"28",3635,0.70166
"29",3640,0.747273
"30",3645,0.742767
"31",3650,0.755306
"32",3655,0.809332
"33",3660,0.841856
"34",3665,0.841158
"35",3670,0.829348
"36",3675,0.809459
"37",3680,0.775186
"38",3685,0.788631
"39",3690,0.816876
"40",3695,0.845238
"41",3700,0.839938
"42",3705,0.791572
"43",3710,0.801447
"44",3715,0.861047
"45",3720,0.830389
"46",3725,0.817885
"47",3730,0.825903
"48",3735,0.756847
"49",3740,0.834386
"50",3745,0.825813
"51",3750,0.752689
"52",3755,0.886829
"53",3760,0.891894
"54",3765,0.887047
"55",3770,0.830703
"56",3775,0.933852
"57",3780,1.088366
"58",3785,1.086645
"59",3790,0.978492
"60",3795,0.834953
"61",3800,0.890307
"62",3805,1.075802
"63",3810,1.16834
"64",3815,1.12874
"65",3820,1.102675
"66",3825,1.001261
"67",3830,0.853239
"68",3835,0.738586
"69",3840,0.897213
"70",3845,1.115799
"71",3850,1.224161
"72",3855,1.23161
"73",3860,1.227574
"74",3865,1.26987
"75",3870,1.209802
"76",3875,1.138675
"77",3880,1.071422
"78",3885,0.879083
"79",3890,0.8293
"80",3895,1.007895
"81",3900,1.114846
"82",3905,1.099981
"83",3910,1.203904
"84",3915,1.245496
"85",3920,1.216264
"86",3925,1.077406
"87",3930,0.831287
"88",3935,0.745856
"89",3940,0.895192
"90",3945,1.019858
"91",3950,1.103314
"92",3955,1.117577
"93",3960,1.034948
"94",3965,0.828343
"95",3970,0.728746
"96",3975,0.852489
"97",3980,0.994158
"98",3985,1.109747
"99",3990,1.238886
"100",3995,1.31026
"101",4000,1.333269
"102",4005,1.334271
"103",4010,1.346754
"104",4015,1.353157
"105",4020,1.348814
"106",4025,1.355929
"107",4030,1.341446
"108",4035,1.349854
"109",4040,1.357188
"110",4045,1.334691
"111",4050,1.340332
"112",4055,1.322061
"113",4060,1.306691
"114",4065,1.299536
"115",4070,1.290317
"116",4075,1.273396
"117",4080,1.269368
"118",4085,1.265254
"119",4090,1.226815
"120",4095,1.110798
"121",4100,0.957803
"122",4105,0.954021
"123",4110,1.05256
