"","angstrom","value"
"1",3500,0.24374
"2",3505,0.245811
"3",3510,0.309088
"4",3515,0.324597
"5",3520,0.333599
"6",3525,0.331143
"7",3530,0.333949
"8",3535,0.358652
"9",3540,0.379154
"10",3545,0.375712
"11",3550,0.367822
"12",3555,0.371374
"13",3560,0.373015
"14",3565,0.338025
"15",3570,0.310944
"16",3575,0.315435
"17",3580,0.323584
"18",3585,0.300914
"19",3590,0.2988
"20",3595,0.338561
"21",3600,0.359113
"22",3605,0.333909
"23",3610,0.313149
"24",3615,0.330599
"25",3620,0.351168
"26",3625,0.362237
"27",3630,0.356002
"28",3635,0.349574
"29",3640,0.371354
"30",3645,0.36852
"31",3650,0.366653
"32",3655,0.402297
"33",3660,0.434327
"34",3665,0.432852
"35",3670,0.428952
"36",3675,0.433122
"37",3680,0.43653
"38",3685,0.456356
"39",3690,0.488769
"40",3695,0.529829
"41",3700,0.544473
"42",3705,0.502206
"43",3710,0.480167
"44",3715,0.539723
"45",3720,0.566906
"46",3725,0.561036
"47",3730,0.554341
"48",3735,0.520495
"49",3740,0.562896
"50",3745,0.520687
"51",3750,0.476365
"52",3755,0.543404
"53",3760,0.545022
"54",3765,0.559483
"55",3770,0.572173
"56",3775,0.681121
"57",3780,0.795034
"58",3785,0.756777
"59",3790,0.671911
"60",3795,0.610715
"61",3800,0.661568
"62",3805,0.776645
"63",3810,0.816537
"64",3815,0.756444
"65",3820,0.710818
"66",3825,0.637788
"67",3830,0.561473
"68",3835,0.523104
"69",3840,0.612348
"70",3845,0.713389
"71",3850,0.76517
"72",3855,0.787968
"73",3860,0.817625
"74",3865,0.865047
"75",3870,0.86919
"76",3875,0.848828
"77",3880,0.798346
"78",3885,0.66706
"79",3890,0.619158
"80",3895,0.672075
"81",3900,0.729442
"82",3905,0.763725
"83",3910,0.775467
"84",3915,0.720618
"85",3920,0.646151
"86",3925,0.492641
"87",3930,0.291913
"88",3935,0.272165
"89",3940,0.428391
"90",3945,0.579758
"91",3950,0.670947
"92",3955,0.704321
"93",3960,0.599944
"94",3965,0.367701
"95",3970,0.299145
"96",3975,0.514623
"97",3980,0.743679
"98",3985,0.846808
"99",3990,0.88392
"100",3995,0.866405
"101",4000,0.862458
"102",4005,0.901378
"103",4010,0.952247
"104",4015,1.001505
"105",4020,1.005241
"106",4025,0.949299
"107",4030,0.908913
"108",4035,0.951858
"109",4040,1.008494
"110",4045,0.978646
"111",4050,0.953872
"112",4055,0.958958
"113",4060,0.985416
"114",4065,0.978768
"115",4070,0.952281
"116",4075,0.895082
"117",4080,0.895781
"118",4085,0.982733
"119",4090,1.046964
"120",4095,0.966165
"121",4100,0.829229
"122",4105,0.87132
"123",4110,0.979162
"124",4115,1.024809
"125",4120,0.979853
"126",4125,0.906913
"127",4130,0.877931
"128",4135,0.97834
"129",4140,1.061451
"130",4145,1.039407
"131",4150,0.994185
"132",4155,0.975375
"133",4160,1.002463
"134",4165,1.033379
"135",4170,0.979755
"136",4175,0.883422
"137",4180,0.872692
"138",4185,0.932889
"139",4190,1.004965
"140",4195,1.002482
"141",4200,0.95078
"142",4205,0.952959
"143",4210,1.000204
"144",4215,1.022064
"145",4220,1.022996
"146",4225,0.969353
"147",4230,0.96551
"148",4235,0.96711
"149",4240,0.983323
"150",4245,0.962017
"151",4250,0.946635
"152",4255,0.980901
"153",4260,1.012938
"154",4265,1.049958
"155",4270,1.015244
"156",4275,1.008993
"157",4280,1.026047
"158",4285,0.97099
"159",4290,0.899606
"160",4295,0.846152
"161",4300,0.785645
"162",4305,0.823652
"163",4310,0.893175
"164",4315,0.948943
"165",4320,1.013782
"166",4325,1.035084
"167",4330,1.030201
"168",4335,0.891036
"169",4340,0.747336
"170",4345,0.856192
"171",4350,0.994335
"172",4355,1.085235
"173",4360,1.130785
"174",4365,1.122532
"175",4370,1.067957
"176",4375,1.054944
"177",4380,1.04901
"178",4385,0.990196
"179",4390,0.973764
"180",4395,0.934481
"181",4400,0.93688
"182",4405,0.986472
"183",4410,0.994878
"184",4415,0.929717
"185",4420,0.917611
"186",4425,0.978986
"187",4430,1.025655
"188",4435,1.04769
"189",4440,1.036871
"190",4445,1.010003
"191",4450,1.026995
"192",4455,1.004048
