"","angstrom","value"
"1",3500,0.215636
"2",3505,0.21107
"3",3510,0.214839
"4",3515,0.226076
"5",3520,0.220966
"6",3525,0.218063
"7",3530,0.228963
"8",3535,0.24172
"9",3540,0.252612
"10",3545,0.257692
"11",3550,0.252846
"12",3555,0.247147
"13",3560,0.234893
"14",3565,0.214767
"15",3570,0.200597
"16",3575,0.190038
"17",3580,0.181266
"18",3585,0.170771
"19",3590,0.195975
"20",3595,0.252616
"21",3600,0.27498
"22",3605,0.254341
"23",3610,0.226584
"24",3615,0.234053
"25",3620,0.249653
"26",3625,0.272727
"27",3630,0.278732
"28",3635,0.282701
"29",3640,0.298789
"30",3645,0.290462
"31",3650,0.286768
"32",3655,0.319254
"33",3660,0.34534
"34",3665,0.340201
"35",3670,0.331935
"36",3675,0.334088
"37",3680,0.328372
"38",3685,0.3238
"39",3690,0.337374
"40",3695,0.361731
"41",3700,0.380777
"42",3705,0.350383
"43",3710,0.338752
"44",3715,0.371476
"45",3720,0.366003
"46",3725,0.354904
"47",3730,0.342324
"48",3735,0.322548
"49",3740,0.334536
"50",3745,0.31942
"51",3750,0.310733
"52",3755,0.337364
"53",3760,0.328614
"54",3765,0.341983
"55",3770,0.355369
"56",3775,0.394439
"57",3780,0.419928
"58",3785,0.388123
"59",3790,0.33725
"60",3795,0.315892
"61",3800,0.342241
"62",3805,0.383545
"63",3810,0.393068
"64",3815,0.351993
"65",3820,0.312461
"66",3825,0.284162
"67",3830,0.263729
"68",3835,0.25117
"69",3840,0.271231
"70",3845,0.297773
"71",3850,0.303628
"72",3855,0.305168
"73",3860,0.307135
"74",3865,0.310718
"75",3870,0.296758
"76",3875,0.304771
"77",3880,0.317663
"78",3885,0.340304
"79",3890,0.377029
"80",3895,0.417023
"81",3900,0.433994
"82",3905,0.418602
"83",3910,0.41201
"84",3915,0.392988
"85",3920,0.350314
"86",3925,0.262817
"87",3930,0.161901
"88",3935,0.147446
"89",3940,0.219327
"90",3945,0.309192
"91",3950,0.371233
"92",3955,0.391591
"93",3960,0.334192
"94",3965,0.209152
"95",3970,0.173071
"96",3975,0.290639
"97",3980,0.430053
"98",3985,0.505903
"99",3990,0.534975
"100",3995,0.540215
"101",4000,0.561172
"102",4005,0.570634
