"","angstrom","value"
"1",3500,0.484831
"2",3505,0.508568
"3",3510,0.434831
"4",3515,0.447855
"5",3520,0.436076
"6",3525,0.416787
"7",3530,0.437021
"8",3535,0.46548
"9",3540,0.48427
"10",3545,0.48113
"11",3550,0.457069
"12",3555,0.428457
"13",3560,0.411861
"14",3565,0.38498
"15",3570,0.364129
"16",3575,0.357683
"17",3580,0.316363
"18",3585,0.301761
"19",3590,0.36832
"20",3595,0.456874
"21",3600,0.49416
"22",3605,0.464806
"23",3610,0.418242
"24",3615,0.425406
"25",3620,0.439378
"26",3625,0.490844
"27",3630,0.482662
"28",3635,0.455667
"29",3640,0.485469
"30",3645,0.478752
"31",3650,0.491311
"32",3655,0.55486
"33",3660,0.593056
"34",3665,0.582209
"35",3670,0.565982
"36",3675,0.566931
"37",3680,0.536487
"38",3685,0.525283
"39",3690,0.54811
"40",3695,0.583885
"41",3700,0.590854
"42",3705,0.537915
"43",3710,0.538631
"44",3715,0.589094
"45",3720,0.519261
"46",3725,0.501756
"47",3730,0.490399
"48",3735,0.425898
"49",3740,0.450257
"50",3745,0.450005
"51",3750,0.452063
"52",3755,0.528561
"53",3760,0.510493
"54",3765,0.519489
"55",3770,0.5708
"56",3775,0.625115
"57",3780,0.657426
"58",3785,0.623828
"59",3790,0.532089
"60",3795,0.493337
"61",3800,0.518496
"62",3805,0.575605
"63",3810,0.564061
"64",3815,0.49599
"65",3820,0.410321
"66",3825,0.362737
"67",3830,0.342686
"68",3835,0.333702
"69",3840,0.359003
"70",3845,0.398403
"71",3850,0.386245
"72",3855,0.364979
"73",3860,0.351959
"74",3865,0.367928
"75",3870,0.356404
"76",3875,0.372901
"77",3880,0.394504
"78",3885,0.463695
"79",3890,0.547444
"80",3895,0.6161
"81",3900,0.626714
"82",3905,0.614912
"83",3910,0.630759
"84",3915,0.628591
"85",3920,0.558538
"86",3925,0.44636
"87",3930,0.303706
"88",3935,0.250415
"89",3940,0.358256
"90",3945,0.49156
"91",3950,0.597115
"92",3955,0.616958
"93",3960,0.519668
"94",3965,0.348731
"95",3970,0.309488
"96",3975,0.474293
"97",3980,0.657854
"98",3985,0.749097
"99",3990,0.788006
"100",3995,0.806175
"101",4000,0.830518
"102",4005,0.843422
"103",4010,0.869165
"104",4015,0.896654
"105",4020,0.901486
"106",4025,0.897405
"107",4030,0.880262
"108",4035,0.890016
"109",4040,0.902057
"110",4045,0.852028
"111",4050,0.87385
"112",4055,0.85221
"113",4060,0.823422
"114",4065,0.829828
"115",4070,0.858635
"116",4075,0.847356
"117",4080,0.877645
"118",4085,0.935455
"119",4090,0.957048
"120",4095,0.915374
"121",4100,0.850194
"122",4105,0.863905
"123",4110,0.907865
"124",4115,0.922989
"125",4120,0.909353
"126",4125,0.890069
"127",4130,0.863632
"128",4135,0.866269
"129",4140,0.867673
"130",4145,0.843532
"131",4150,0.836721
"132",4155,0.834443
"133",4160,0.862221
"134",4165,0.868456
"135",4170,0.832863
"136",4175,0.795353
"137",4180,0.803925
"138",4185,0.829048
"139",4190,0.83602
"140",4195,0.81371
"141",4200,0.802624
"142",4205,0.836526
"143",4210,0.872074
"144",4215,0.87595
"145",4220,0.892835
"146",4225,0.84107
"147",4230,0.867791
"148",4235,0.892966
"149",4240,0.900976
"150",4245,0.915227
"151",4250,0.881885
"152",4255,0.870963
"153",4260,0.868375
"154",4265,0.885695
"155",4270,0.844034
"156",4275,0.824762
"157",4280,0.846846
"158",4285,0.823881
"159",4290,0.786095
"160",4295,0.740413
"161",4300,0.645259
"162",4305,0.601406
"163",4310,0.641571
"164",4315,0.821515
"165",4320,0.935426
"166",4325,0.894245
"167",4330,0.94912
"168",4335,0.967247
"169",4340,0.898295
"170",4345,0.939981
"171",4350,0.967339
"172",4355,0.966431
"173",4360,1.007221
"174",4365,1.035802
"175",4370,1.002597
"176",4375,0.96255
"177",4380,0.923713
"178",4385,0.852094
"179",4390,0.897498
"180",4395,0.950886
"181",4400,0.96301
"182",4405,0.943033
"183",4410,0.982156
"184",4415,1.017374
"185",4420,1.028557
"186",4425,1.022013
"187",4430,1.017313
"188",4435,1.018084
"189",4440,1.048254
"190",4445,1.051601
"191",4450,1.051112
"192",4455,1.000908
"193",4460,0.978074
"194",4465,1.015048
"195",4470,1.058681
"196",4475,1.103235
"197",4480,1.09147
"198",4485,1.091611
"199",4490,1.077237
"200",4495,1.078976
"201",4500,1.111155
"202",4505,1.154918
"203",4510,1.144055
"204",4515,1.106095
"205",4520,1.088988
"206",4525,1.037517
"207",4530,0.994437
"208",4535,1.022778
"209",4540,1.05659
"210",4545,1.048615
"211",4550,1.037317
