"","angstrom","value"
"1",3500,0.331875
"2",3505,0.33396
"3",3510,0.256768
"4",3515,0.26383
"5",3520,0.253649
"6",3525,0.238433
"7",3530,0.253954
"8",3535,0.276499
"9",3540,0.29507
"10",3545,0.271844
"11",3550,0.259441
"12",3555,0.252781
"13",3560,0.241371
"14",3565,0.209164
"15",3570,0.202992
"16",3575,0.199494
"17",3580,0.177765
"18",3585,0.174223
"19",3590,0.209435
"20",3595,0.28325
"21",3600,0.311451
"22",3605,0.280376
"23",3610,0.253205
"24",3615,0.262127
"25",3620,0.278636
"26",3625,0.315889
"27",3630,0.318212
"28",3635,0.31867
"29",3640,0.328031
"30",3645,0.308551
"31",3650,0.307496
"32",3655,0.365455
"33",3660,0.392533
"34",3665,0.381856
"35",3670,0.372885
"36",3675,0.372903
"37",3680,0.36246
"38",3685,0.354475
"39",3690,0.359493
"40",3695,0.384672
"41",3700,0.39923
"42",3705,0.358323
"43",3710,0.360258
"44",3715,0.374628
"45",3720,0.345165
"46",3725,0.355769
"47",3730,0.332057
"48",3735,0.2994
"49",3740,0.304799
"50",3745,0.284939
"51",3750,0.299461
"52",3755,0.334817
"53",3760,0.327525
"54",3765,0.336054
"55",3770,0.361999
"56",3775,0.394155
"57",3780,0.409491
"58",3785,0.376686
"59",3790,0.3213
"60",3795,0.29624
"61",3800,0.314675
"62",3805,0.341499
"63",3810,0.343154
"64",3815,0.287161
"65",3820,0.237789
"66",3825,0.213814
"67",3830,0.205784
"68",3835,0.209085
"69",3840,0.220165
"70",3845,0.237641
"71",3850,0.240233
"72",3855,0.230643
"73",3860,0.219665
"74",3865,0.221751
"75",3870,0.225327
"76",3875,0.239564
"77",3880,0.26057
"78",3885,0.308239
"79",3890,0.365005
"80",3895,0.405099
"81",3900,0.412718
"82",3905,0.402162
"83",3910,0.407251
"84",3915,0.401995
"85",3920,0.356053
"86",3925,0.275311
"87",3930,0.17687
"88",3935,0.158134
"89",3940,0.217536
"90",3945,0.30785
"91",3950,0.395567
"92",3955,0.421101
"93",3960,0.35758
"94",3965,0.223274
"95",3970,0.179577
"96",3975,0.300411
"97",3980,0.449599
"98",3985,0.523188
"99",3990,0.549077
"100",3995,0.563968
"101",4000,0.580282
"102",4005,0.581582
"103",4010,0.606889
"104",4015,0.63531
"105",4020,0.642723
"106",4025,0.63571
"107",4030,0.613839
"108",4035,0.628968
"109",4040,0.639405
"110",4045,0.606565
"111",4050,0.608092
"112",4055,0.578975
"113",4060,0.568521
"114",4065,0.589277
"115",4070,0.602903
"116",4075,0.584171
"117",4080,0.6064
"118",4085,0.657235
"119",4090,0.682918
"120",4095,0.641589
"121",4100,0.59397
"122",4105,0.615725
"123",4110,0.6498
"124",4115,0.655561
"125",4120,0.635879
"126",4125,0.60919
"127",4130,0.585958
"128",4135,0.602838
"129",4140,0.611432
"130",4145,0.596083
"131",4150,0.579688
"132",4155,0.582283
"133",4160,0.60551
"134",4165,0.61583
"135",4170,0.592254
"136",4175,0.5535
"137",4180,0.556968
"138",4185,0.599689
"139",4190,0.614114
"140",4195,0.577639
"141",4200,0.562682
"142",4205,0.606395
"143",4210,0.644338
"144",4215,0.666411
"145",4220,0.680969
"146",4225,0.624151
"147",4230,0.641566
"148",4235,0.644749
"149",4240,0.669748
"150",4245,0.687158
"151",4250,0.67154
"152",4255,0.668095
"153",4260,0.665168
"154",4265,0.680084
"155",4270,0.650943
"156",4275,0.662184
"157",4280,0.671792
"158",4285,0.647213
"159",4290,0.614027
"160",4295,0.576196
"161",4300,0.51125
"162",4305,0.469902
"163",4310,0.506773
"164",4315,0.669099
"165",4320,0.763458
"166",4325,0.741987
"167",4330,0.743112
"168",4335,0.714898
"169",4340,0.67719
"170",4345,0.732617
"171",4350,0.758747
"172",4355,0.779226
"173",4360,0.808048
"174",4365,0.818146
"175",4370,0.790261
"176",4375,0.770264
"177",4380,0.725054
"178",4385,0.67184
"179",4390,0.683396
"180",4395,0.721565
"181",4400,0.744266
"182",4405,0.738952
"183",4410,0.771815
"184",4415,0.780002
"185",4420,0.791963
"186",4425,0.793024
"187",4430,0.789153
"188",4435,0.782787
"189",4440,0.79582
"190",4445,0.819089
"191",4450,0.828275
"192",4455,0.776422
"193",4460,0.738235
"194",4465,0.772496
"195",4470,0.824486
"196",4475,0.878776
"197",4480,0.889046
"198",4485,0.898011
"199",4490,0.874363
"200",4495,0.867268
"201",4500,0.912024
"202",4505,0.961847
"203",4510,0.963246
"204",4515,0.930861
"205",4520,0.899186
"206",4525,0.836114
"207",4530,0.809844
"208",4535,0.846954
"209",4540,0.865764
"210",4545,0.856127
"211",4550,0.841085
"212",4555,0.867172
"213",4560,0.895731
"214",4565,0.905918
"215",4570,0.912605
"216",4575,0.900942
"217",4580,0.880788
"218",4585,0.887478
"219",4590,0.891722
"220",4595,0.876694
"221",4600,0.887442
"222",4605,0.924514
"223",4610,0.953143
"224",4615,0.961732
"225",4620,0.972902
"226",4625,0.975126
