"","angstrom","value"
"1",3500,0.229103
"2",3505,0.239902
"3",3510,0.23278
"4",3515,0.233329
"5",3520,0.22273
"6",3525,0.21466
"7",3530,0.231973
"8",3535,0.247046
"9",3540,0.250608
"10",3545,0.243276
"11",3550,0.22818
"12",3555,0.211903
"13",3560,0.197917
"14",3565,0.178243
"15",3570,0.167836
"16",3575,0.167004
"17",3580,0.146248
"18",3585,0.143666
"19",3590,0.182479
"20",3595,0.235809
"21",3600,0.255864
"22",3605,0.236921
"23",3610,0.230459
"24",3615,0.239469
"25",3620,0.254002
"26",3625,0.298138
"27",3630,0.290306
"28",3635,0.280815
"29",3640,0.303702
"30",3645,0.286745
"31",3650,0.295251
"32",3655,0.356045
"33",3660,0.38377
"34",3665,0.36967
"35",3670,0.358248
"36",3675,0.35725
"37",3680,0.330677
"38",3685,0.319894
"39",3690,0.337143
"40",3695,0.36244
"41",3700,0.370623
"42",3705,0.32645
"43",3710,0.32351
"44",3715,0.344839
"45",3720,0.285755
"46",3725,0.275898
"47",3730,0.259102
"48",3735,0.216887
"49",3740,0.224253
"50",3745,0.219857
"51",3750,0.231021
"52",3755,0.276859
"53",3760,0.26391
"54",3765,0.27539
"55",3770,0.316472
"56",3775,0.350157
"57",3780,0.357236
"58",3785,0.325473
"59",3790,0.271716
"60",3795,0.254442
"61",3800,0.270089
"62",3805,0.295968
"63",3810,0.278491
"64",3815,0.231852
"65",3820,0.186943
"66",3825,0.165157
"67",3830,0.164818
"68",3835,0.167143
"69",3840,0.178915
"70",3845,0.196724
"71",3850,0.193184
"72",3855,0.180607
"73",3860,0.17739
"74",3865,0.19035
"75",3870,0.189398
"76",3875,0.206873
"77",3880,0.222276
"78",3885,0.25853
"79",3890,0.313819
"80",3895,0.35667
"81",3900,0.356241
"82",3905,0.349816
"83",3910,0.374996
"84",3915,0.368443
"85",3920,0.308169
"86",3925,0.239952
"87",3930,0.159421
"88",3935,0.144422
"89",3940,0.217266
"90",3945,0.29612
"91",3950,0.361391
"92",3955,0.373285
"93",3960,0.303627
"94",3965,0.201141
"95",3970,0.192509
"96",3975,0.308982
"97",3980,0.423487
"98",3985,0.484773
"99",3990,0.52187
"100",3995,0.538241
"101",4000,0.55337
"102",4005,0.558378
"103",4010,0.58295
"104",4015,0.607921
"105",4020,0.613566
"106",4025,0.603636
"107",4030,0.572129
"108",4035,0.568478
"109",4040,0.573594
"110",4045,0.538819
"111",4050,0.564795
"112",4055,0.549455
"113",4060,0.520848
"114",4065,0.522007
"115",4070,0.541757
"116",4075,0.53775
"117",4080,0.571648
"118",4085,0.626116
"119",4090,0.641343
"120",4095,0.601912
"121",4100,0.560673
"122",4105,0.578113
"123",4110,0.600328
"124",4115,0.60356
"125",4120,0.587497
"126",4125,0.571899
"127",4130,0.543441
"128",4135,0.547263
"129",4140,0.541715
"130",4145,0.516748
"131",4150,0.510484
"132",4155,0.519432
"133",4160,0.550071
"134",4165,0.553419
"135",4170,0.526256
"136",4175,0.4995
"137",4180,0.514109
"138",4185,0.545754
"139",4190,0.551905
"140",4195,0.52821
"141",4200,0.52236
"142",4205,0.559096
"143",4210,0.585194
"144",4215,0.598378
"145",4220,0.626977
"146",4225,0.569827
"147",4230,0.591057
"148",4235,0.616859
"149",4240,0.642617
"150",4245,0.661324
"151",4250,0.628029
"152",4255,0.616203
"153",4260,0.628047
"154",4265,0.655177
"155",4270,0.601922
