"","angstrom","value"
"1",3500,0.434274
"2",3505,0.45854
"3",3510,0.410759
"4",3515,0.392335
"5",3520,0.36787
"6",3525,0.356533
"7",3530,0.398887
"8",3535,0.443715
"9",3540,0.466287
"10",3545,0.459891
"11",3550,0.437961
"12",3555,0.404359
"13",3560,0.37878
"14",3565,0.34103
"15",3570,0.312365
"16",3575,0.297343
"17",3580,0.259199
"18",3585,0.260106
"19",3590,0.326152
"20",3595,0.357431
"21",3600,0.428681
"22",3605,0.403648
"23",3610,0.357147
"24",3615,0.365783
"25",3620,0.379571
"26",3625,0.423853
"27",3630,0.422949
"28",3635,0.415408
"29",3640,0.456101
"30",3645,0.441057
"31",3650,0.442071
"32",3655,0.516284
"33",3660,0.558299
"34",3665,0.543996
"35",3670,0.520309
"36",3675,0.511592
"37",3680,0.481296
"38",3685,0.467007
"39",3690,0.484216
"40",3695,0.524662
"41",3700,0.530734
"42",3705,0.470981
"43",3710,0.451715
"44",3715,0.454602
"45",3720,0.383324
"46",3725,0.373469
"47",3730,0.35526
"48",3735,0.311025
"49",3740,0.32184
"50",3745,0.315489
"51",3750,0.338061
"52",3755,0.40746
"53",3760,0.40876
"54",3765,0.437053
"55",3770,0.50159
"56",3775,0.550264
"57",3780,0.560704
"58",3785,0.515906
"59",3790,0.448387
"60",3795,0.424556
"61",3800,0.44066
"62",3805,0.462754
"63",3810,0.427498
"64",3815,0.346249
"65",3820,0.275785
"66",3825,0.237951
"67",3830,0.235045
"68",3835,0.250145
"69",3840,0.291822
"70",3845,0.363367
"71",3850,0.384123
"72",3855,0.348669
"73",3860,0.327098
"74",3865,0.353958
"75",3870,0.362868
"76",3875,0.376386
"77",3880,0.379245
"78",3885,0.39628
"79",3890,0.444656
"80",3895,0.480743
"81",3900,0.481662
"82",3905,0.49103
"83",3910,0.5215
"84",3915,0.498749
"85",3920,0.416286
"86",3925,0.330153
"87",3930,0.249649
"88",3935,0.251894
"89",3940,0.328631
"90",3945,0.412932
"91",3950,0.48182
"92",3955,0.483428
"93",3960,0.405452
"94",3965,0.30173
"95",3970,0.303758
"96",3975,0.448594
"97",3980,0.599719
"98",3985,0.672097
"99",3990,0.703649
"100",3995,0.717242
"101",4000,0.736342
"102",4005,0.747344
"103",4010,0.76572
"104",4015,0.785363
"105",4020,0.78629
"106",4025,0.77024
"107",4030,0.731278
"108",4035,0.74244
"109",4040,0.759026
"110",4045,0.711185
"111",4050,0.725717
"112",4055,0.715962
"113",4060,0.692158
"114",4065,0.694631
"115",4070,0.716948
"116",4075,0.732662
"117",4080,0.777227
"118",4085,0.83911
"119",4090,0.854782
"120",4095,0.799105
"121",4100,0.748122
"122",4105,0.770716
"123",4110,0.816714
"124",4115,0.836668
"125",4120,0.826768
"126",4125,0.806428
"127",4130,0.773638
"128",4135,0.777424
"129",4140,0.781638
"130",4145,0.771624
"131",4150,0.783172
"132",4155,0.791381
"133",4160,0.812194
"134",4165,0.806711
"135",4170,0.776054
"136",4175,0.754977
"137",4180,0.761524
"138",4185,0.764972
"139",4190,0.765276
"140",4195,0.745734
"141",4200,0.730716
"142",4205,0.77663
"143",4210,0.811028
"144",4215,0.80635
"145",4220,0.780711
"146",4225,0.697927
"147",4230,0.706173
"148",4235,0.741603
"149",4240,0.777549
"150",4245,0.791375
"151",4250,0.753494
"152",4255,0.73975
"153",4260,0.747646
"154",4265,0.761224
"155",4270,0.716264
"156",4275,0.718089
"157",4280,0.743907
"158",4285,0.720088
"159",4290,0.684977
"160",4295,0.655998
"161",4300,0.597396
"162",4305,0.563153
"163",4310,0.610273
"164",4315,0.783177
"165",4320,0.879513
"166",4325,0.84402
"167",4330,0.876566
"168",4335,0.873914
"169",4340,0.838734
"170",4345,0.879021
"171",4350,0.892998
"172",4355,0.901702
"173",4360,0.930726
"174",4365,0.940966
"175",4370,0.90058
"176",4375,0.852401
"177",4380,0.798701
"178",4385,0.766327
"179",4390,0.82116
"180",4395,0.867072
"181",4400,0.866386
"182",4405,0.838952
"183",4410,0.883357
"184",4415,0.912602
"185",4420,0.935203
"186",4425,0.940254
"187",4430,0.935525
"188",4435,0.929353
"189",4440,0.948176
"190",4445,0.959962
"191",4450,0.957914
"192",4455,0.905884
"193",4460,0.889158
"194",4465,0.938753
"195",4470,0.992645
"196",4475,1.030548
"197",4480,1.021064
"198",4485,1.026047
"199",4490,1.020063
"200",4495,1.029159
"201",4500,1.069412
"202",4505,1.099238
"203",4510,1.088488
"204",4515,1.061886
"205",4520,1.041233
"206",4525,0.975086
"207",4530,0.935227
"208",4535,0.976804
"209",4540,1.022544
"210",4545,1.018604
"211",4550,1.011062
"212",4555,1.039515
"213",4560,1.071145
"214",4565,1.069519
"215",4570,1.073984
"216",4575,1.067179
"217",4580,1.037619
"218",4585,1.035237
"219",4590,1.044612
"220",4595,1.027898
"221",4600,1.019259
"222",4605,1.05147
"223",4610,1.086151
"224",4615,1.08788
"225",4620,1.08956
"226",4625,1.09049
"227",4630,1.080658
"228",4635,1.052443
"229",4640,1.03434
"230",4645,1.012166
"231",4650,1.019883
"232",4655,1.051739
"233",4660,1.066683
"234",4665,1.008539
"235",4670,1.003843
"236",4675,1.033174
"237",4680,1.032163
"238",4685,1.039673
"239",4690,1.034325
"240",4695,1.029043
"241",4700,0.9896
"242",4705,0.985767
"243",4710,1.010681
"244",4715,1.049568
"245",4720,1.081318
"246",4725,1.059268
"247",4730,1.017393
"248",4735,1.033391
"249",4740,1.05389
"250",4745,1.076263
"251",4750,1.069674
"252",4755,1.049193
"253",4760,1.039789
"254",4765,1.021271
"255",4770,1.045661
"256",4775,1.079246
"257",4780,1.077063
"258",4785,1.050373
"259",4790,1.058429
"260",4795,1.086912
"261",4800,1.086064
"262",4805,1.076772
"263",4810,1.076963
"264",4815,1.096473
"265",4820,1.093994
"266",4825,1.075641
"267",4830,1.063732
"268",4835,1.061904
"269",4840,1.054897
"270",4845,1.056578
"271",4850,1.046535
"272",4855,0.97998
"273",4860,0.906595
"274",4865,0.932409
"275",4870,0.959797
"276",4875,0.984817
"277",4880,1.018199
"278",4885,0.988482
"279",4890,0.972552
"280",4895,1.037036
"281",4900,1.070052
"282",4905,1.053815
"283",4910,1.02374
"284",4915,0.991805
"285",4920,0.941953
"286",4925,0.991389
"287",4930,1.053512
"288",4935,1.026085
"289",4940,1.019557
"290",4945,1.062211
"291",4950,1.074647
"292",4955,1.030859
"293",4960,1.020821
"294",4965,1.034788
"295",4970,1.03634
"296",4975,1.042708
"297",4980,0.990992
"298",4985,0.970913
"299",4990,1.008118
"300",4995,1.013324
"301",5000,0.983376
"302",5005,0.950078
"303",5010,0.951645
"304",5015,0.932062
"305",5020,0.951685
"306",5025,0.974591
"307",5030,1.005226
"308",5035,0.99138
"309",5040,0.945019
"310",5045,0.975538
"311",5050,0.997789
"312",5055,1.025145
"313",5060,1.039883
"314",5065,1.00198
"315",5070,0.976924
"316",5075,0.965357
"317",5080,0.950008
"318",5085,0.975707
"319",5090,1.010934
"320",5095,0.99942
"321",5100,0.972426
"322",5105,0.971468
"323",5110,0.971463
"324",5115,1.002902
"325",5120,0.99329
"326",5125,0.945551
"327",5130,0.940723
"328",5135,0.944194
"329",5140,0.926576
"330",5145,0.916871
"331",5150,0.922717
"332",5155,0.952192
"333",5160,0.943589
"334",5165,0.802334
"335",5170,0.695687
"336",5175,0.756834
"337",5180,0.803941
"338",5185,0.806027
"339",5190,0.882176
"340",5195,0.924545
"341",5200,0.954829
"342",5205,0.912505
"343",5210,0.912832
"344",5215,0.964733
"345",5220,0.985494
"346",5225,0.94089
"347",5230,0.934145
"348",5235,0.988386
"349",5240,1.040844
"350",5245,1.02155
"351",5250,0.988146
"352",5255,0.996829
"353",5260,0.973688
"354",5265,0.871841
"355",5270,0.848759
"356",5275,0.931576
"357",5280,0.997349
"358",5285,1.02628
"359",5290,1.059361
"360",5295,1.018136
"361",5300,0.993127
"362",5305,1.038406
"363",5310,1.06783
"364",5315,1.055923
"365",5320,1.015374
"366",5325,0.946221
"367",5330,0.935834
"368",5335,0.993922
"369",5340,1.001924
"370",5345,1.006695
"371",5350,1.028738
"372",5355,1.063779
"373",5360,1.066208
"374",5365,1.008366
"375",5370,0.964826
"376",5375,1.002814
"377",5380,1.030932
"378",5385,1.020884
"379",5390,0.996151
"380",5395,0.962607
"381",5400,0.95213
"382",5405,0.936968
"383",5410,0.956431
"384",5415,1.00023
"385",5420,1.013517
"386",5425,0.998
"387",5430,0.976888
"388",5435,0.98761
"389",5440,1.030813
"390",5445,1.016727
"391",5450,1.008511
"392",5455,1.005553
"393",5460,1.008613
"394",5465,1.009681
"395",5470,1.010031
"396",5475,0.9818
"397",5480,0.97494
"398",5485,1.004776
"399",5490,1.020276
"400",5495,1.023748
"401",5500,1.019259
"402",5505,1.00454
"403",5510,0.999342
"404",5515,1.01045
"405",5520,1.032777
"406",5525,1.00892
"407",5530,0.989284
"408",5535,1.006542
"409",5540,1.02918
"410",5545,1.036514
"411",5550,1.041957
"412",5555,1.034519
"413",5560,1.020373
"414",5565,0.994638
"415",5570,0.976655
"416",5575,0.997773
"417",5580,1.010949
"418",5585,0.96553
"419",5590,0.933422
"420",5595,0.951938
"421",5600,0.968583
"422",5605,1.00101
"423",5610,1.026111
"424",5615,0.990232
"425",5620,0.981866
"426",5625,0.992197
"427",5630,1.012804
"428",5635,1.014949
"429",5640,1.002185
"430",5645,1.003034
"431",5650,0.99992
"432",5655,0.976453
"433",5660,0.958599
"434",5665,0.982692
"435",5670,1.007512
"436",5675,1.018164
"437",5680,1.00498
"438",5685,0.985485
"439",5690,0.989702
"440",5695,0.997993
"441",5700,0.978577
"442",5705,0.94961
