"","angstrom","value"
"1",3500,0.362491
"2",3505,0.380466
"3",3510,0.38581
"4",3515,0.372012
"5",3520,0.355038
"6",3525,0.352185
"7",3530,0.36361
"8",3535,0.383952
"9",3540,0.402923
"10",3545,0.410839
"11",3550,0.405367
"12",3555,0.387641
"13",3560,0.36533
"14",3565,0.345204
"15",3570,0.323906
"16",3575,0.298997
"17",3580,0.281837
"18",3585,0.28444
"19",3590,0.307639
"20",3595,0.34519
"21",3600,0.373729
"22",3605,0.340963
"23",3610,0.328044
"24",3615,0.323407
"25",3620,0.331141
"26",3625,0.347344
"27",3630,0.36577
"28",3635,0.380373
"29",3640,0.390739
"30",3645,0.401587
"31",3650,0.4186
"32",3655,0.444294
"33",3660,0.473107
"34",3665,0.49471
"35",3670,0.500239
"36",3675,0.487706
"37",3680,0.468996
"38",3685,0.459103
"39",3690,0.461332
"40",3695,0.472018
"41",3700,0.48581
"42",3705,0.494443
"43",3710,0.488787
"44",3715,0.46498
"45",3720,0.427663
"46",3725,0.386701
"47",3730,0.353851
"48",3735,0.336557
"49",3740,0.335819
"50",3745,0.347908
"51",3750,0.363079
"52",3755,0.37649
"53",3760,0.395778
"54",3765,0.427337
"55",3770,0.467006
"56",3775,0.503299
"57",3780,0.518671
"58",3785,0.504896
"59",3790,0.477718
"60",3795,0.456806
"61",3800,0.447993
"62",3805,0.445319
"63",3810,0.43156
"64",3815,0.393703
"65",3820,0.339755
"66",3825,0.288177
"67",3830,0.25748
"68",3835,0.257994
"69",3840,0.280517
"70",3845,0.307921
"71",3850,0.328486
"72",3855,0.337343
"73",3860,0.338754
"74",3865,0.340856
"75",3870,0.347372
"76",3875,0.357853
"77",3880,0.372423
"78",3885,0.389868
"79",3890,0.405588
"80",3895,0.419273
"81",3900,0.435937
"82",3905,0.457779
"83",3910,0.479587
"84",3915,0.488239
"85",3920,0.465175
"86",3925,0.405526
"87",3930,0.338439
"88",3935,0.301975
"89",3940,0.315828
"90",3945,0.375224
"91",3950,0.440102
"92",3955,0.467608
"93",3960,0.449623
"94",3965,0.406619
"95",3970,0.384929
"96",3975,0.421918
"97",3980,0.503767
"98",3985,0.594736
"99",3990,0.667234
"100",3995,0.707828
"101",4000,0.726834
"102",4005,0.742517
"103",4010,0.759801
"104",4015,0.774173
"105",4020,0.781736
"106",4025,0.779301
"107",4030,0.763945
"108",4035,0.740661
"109",4040,0.725637
"110",4045,0.728818
"111",4050,0.739517
"112",4055,0.741757
"113",4060,0.730347
"114",4065,0.711367
"115",4070,0.701221
"116",4075,0.714372
"117",4080,0.748455
"118",4085,0.787917
"119",4090,0.811007
"120",4095,0.8049
"121",4100,0.781792
"122",4105,0.764205
"123",4110,0.765532
"124",4115,0.785369
"125",4120,0.807143
"126",4125,0.812068
"127",4130,0.798913
"128",4135,0.778048
"129",4140,0.758336
"130",4145,0.746483
"131",4150,0.748049
"132",4155,0.761243
"133",4160,0.773977
"134",4165,0.777492
"135",4170,0.774149
"136",4175,0.768522
"137",4180,0.76381
"138",4185,0.760378
"139",4190,0.755072
"140",4195,0.749297
"141",4200,0.751264
"142",4205,0.765629
"143",4210,0.784675
"144",4215,0.794756
"145",4220,0.788071
"146",4225,0.766559
"147",4230,0.744162
"148",4235,0.736996
"149",4240,0.745904
"150",4245,0.761691
"151",4250,0.776968
"152",4255,0.784378
"153",4260,0.778587
"154",4265,0.762731
"155",4270,0.746085
"156",4275,0.736467
"157",4280,0.736682
"158",4285,0.739918
"159",4290,0.726252
"160",4295,0.685333
"161",4300,0.640443
"162",4305,0.62245
"163",4310,0.642158
"164",4315,0.694573
"165",4320,0.75568
"166",4325,0.798958
"167",4330,0.822809
"168",4335,0.836077
"169",4340,0.838055
"170",4345,0.83131
"171",4350,0.832008
"172",4355,0.847598
"173",4360,0.863909
"174",4365,0.865278
"175",4370,0.847477
"176",4375,0.817212
"177",4380,0.790934
"178",4385,0.780549
"179",4390,0.783275
"180",4395,0.79106
"181",4400,0.800994
"182",4405,0.815085
"183",4410,0.836155
"184",4415,0.864747
"185",4420,0.893682
"186",4425,0.913863
"187",4430,0.925738
"188",4435,0.9332
"189",4440,0.935448
"190",4445,0.931436
"191",4450,0.922705
"192",4455,0.912063
"193",4460,0.908785
"194",4465,0.921851
"195",4470,0.946376
"196",4475,0.972612
"197",4480,0.993345
"198",4485,1.00332
"199",4490,1.007429
"200",4495,1.015
"201",4500,1.02781
"202",4505,1.043065
"203",4510,1.053198
"204",4515,1.048765
"205",4520,1.029412
"206",4525,1.002107
"207",4530,0.978361
"208",4535,0.969058
"209",4540,0.97411
"210",4545,0.987121
"211",4550,1.003123
"212",4555,1.017894
"213",4560,1.027822
"214",4565,1.031572
"215",4570,1.029041
"216",4575,1.020901
"217",4580,1.010773
"218",4585,1.002345
"219",4590,0.996942
"220",4595,0.995527
"221",4600,0.999751
"222",4605,1.010722
"223",4610,1.025974
"224",4615,1.041091
"225",4620,1.052191
"226",4625,1.054936
"227",4630,1.045751
"228",4635,1.026594
"229",4640,1.00814
"230",4645,1.000117
"231",4650,1.000678
"232",4655,1.002237
"233",4660,1.000727
"234",4665,0.996482
"235",4670,0.991954
"236",4675,0.991101
"237",4680,0.996688
"238",4685,1.005096
"239",4690,1.006978
"240",4695,0.997297
"241",4700,0.98296
"242",4705,0.975421
"243",4710,0.980521
"244",4715,0.99609
"245",4720,1.01327
"246",4725,1.023958
"247",4730,1.026816
"248",4735,1.026245
"249",4740,1.030083
"250",4745,1.040666
"251",4750,1.048006
"252",4755,1.043148
"253",4760,1.032505
"254",4765,1.027295
"255",4770,1.031177
"256",4775,1.042379
"257",4780,1.054287
"258",4785,1.060567
"259",4790,1.063621
"260",4795,1.068133
"261",4800,1.072458
"262",4805,1.073364
"263",4810,1.071929
"264",4815,1.06962
"265",4820,1.064528
"266",4825,1.056591
"267",4830,1.050485
"268",4835,1.048977
"269",4840,1.049031
"270",4845,1.045098
"271",4850,1.030936
"272",4855,1.005223
"273",4860,0.978233
"274",4865,0.96144
"275",4870,0.958461
"276",4875,0.967602
"277",4880,0.980606
"278",4885,0.9906
"279",4890,1.001627
"280",4895,1.017596
"281",4900,1.031363
"282",4905,1.033889
"283",4910,1.022828
"284",4915,1.001992
"285",4920,0.983649
"286",4925,0.979406
"287",4930,0.988418
"288",4935,1.00302
"289",4940,1.015093
"290",4945,1.019534
"291",4950,1.018289
"292",4955,1.01697
"293",4960,1.019811
"294",4965,1.025815
"295",4970,1.026492
"296",4975,1.015707
"297",4980,1.000295
"298",4985,0.990405
