"","angstrom","value"
"1",3500,0.21502
"2",3505,0.226169
"3",3510,0.229588
"4",3515,0.219305
"5",3520,0.207643
"6",3525,0.20746
"7",3530,0.215475
"8",3535,0.224847
"9",3540,0.230635
"10",3545,0.22929
"11",3550,0.220918
"12",3555,0.207413
"13",3560,0.194171
"14",3565,0.185301
"15",3570,0.17626
"16",3575,0.163922
"17",3580,0.159474
"18",3585,0.173233
"19",3590,0.197713
"20",3595,0.221488
"21",3600,0.235165
"22",3605,0.233998
"23",3610,0.229782
"24",3615,0.234511
"25",3620,0.244419
"26",3625,0.252314
"27",3630,0.253052
"28",3635,0.245725
"29",3640,0.244334
"30",3645,0.260615
"31",3650,0.282367
"32",3655,0.295308
"33",3660,0.300798
"34",3665,0.302977
"35",3670,0.301475
"36",3675,0.296334
"37",3680,0.293765
"38",3685,0.298328
"39",3690,0.301835
"40",3695,0.296193
"41",3700,0.286455
"42",3705,0.279295
"43",3710,0.274719
"44",3715,0.270376
"45",3720,0.261146
"46",3725,0.2439
"47",3730,0.226246
"48",3735,0.216583
"49",3740,0.215749
"50",3745,0.222466
"51",3750,0.234556
"52",3755,0.249389
"53",3760,0.263427
"54",3765,0.274399
"55",3770,0.285994
"56",3775,0.299678
"57",3780,0.302061
"58",3785,0.283169
"59",3790,0.261561
"60",3795,0.256357
"61",3800,0.260398
"62",3805,0.260913
"63",3810,0.248956
"64",3815,0.22088
"65",3820,0.190423
"66",3825,0.17265
"67",3830,0.170572
"68",3835,0.181741
"69",3840,0.193927
"70",3845,0.196254
"71",3850,0.193038
"72",3855,0.190981
"73",3860,0.191132
"74",3865,0.193541
"75",3870,0.199908
"76",3875,0.21205
"77",3880,0.230607
"78",3885,0.254509
"79",3890,0.277016
"80",3895,0.292439
"81",3900,0.304972
"82",3905,0.317898
"83",3910,0.321005
"84",3915,0.304431
"85",3920,0.273206
"86",3925,0.237866
"87",3930,0.216081
"88",3935,0.222672
"89",3940,0.253949
"90",3945,0.297434
"91",3950,0.324013
"92",3955,0.311516
"93",3960,0.282186
"94",3965,0.266871
"95",3970,0.286442
"96",3975,0.348976
"97",3980,0.42135
"98",3985,0.469966
"99",3990,0.500518
"100",3995,0.524851
"101",4000,0.54013
"102",4005,0.543424
"103",4010,0.546095
"104",4015,0.558155
"105",4020,0.569899
"106",4025,0.570519
"107",4030,0.564507
"108",4035,0.558505
"109",4040,0.552472
"110",4045,0.545306
"111",4050,0.538364
"112",4055,0.533282
"113",4060,0.53038
"114",4065,0.531191
"115",4070,0.543449
"116",4075,0.570602
"117",4080,0.592762
"118",4085,0.592224
"119",4090,0.58335
"120",4095,0.582996
"121",4100,0.585927
"122",4105,0.58391
"123",4110,0.578823
"124",4115,0.574382
"125",4120,0.571543
"126",4125,0.569755
"127",4130,0.565175
"128",4135,0.555109
"129",4140,0.544743
"130",4145,0.539934
"131",4150,0.541343
"132",4155,0.54697
"133",4160,0.549365
"134",4165,0.543249
"135",4170,0.537464
"136",4175,0.540543
"137",4180,0.545659
"138",4185,0.544952
"139",4190,0.541792
"140",4195,0.542265
"141",4200,0.552081
"142",4205,0.572536
"143",4210,0.587654
"144",4215,0.583692
"145",4220,0.573129
"146",4225,0.57134
"147",4230,0.579082
"148",4235,0.592295
"149",4240,0.602287
"150",4245,0.602259
"151",4250,0.59764
"152",4255,0.595167
"153",4260,0.594604
"154",4265,0.593924
"155",4270,0.590916
"156",4275,0.583815
"157",4280,0.572828
"158",4285,0.557672
"159",4290,0.534129
"160",4295,0.503247
"161",4300,0.491078
"162",4305,0.519609
"163",4310,0.569549
"164",4315,0.614566
"165",4320,0.641424
"166",4325,0.645509
"167",4330,0.643591
"168",4335,0.652115
"169",4340,0.664823
"170",4345,0.672684
"171",4350,0.678282
"172",4355,0.684786
"173",4360,0.686112
"174",4365,0.675826
"175",4370,0.65536
"176",4375,0.630815
"177",4380,0.619108
"178",4385,0.63184
"179",4390,0.648537
"180",4395,0.649676
"181",4400,0.651618
"182",4405,0.672376
"183",4410,0.700711
"184",4415,0.721153
"185",4420,0.730571
"186",4425,0.731002
"187",4430,0.732837
"188",4435,0.743979
"189",4440,0.754026
"190",4445,0.752305
"191",4450,0.745353
"192",4455,0.743244
"193",4460,0.752992
"194",4465,0.777466
"195",4470,0.806006
"196",4475,0.826809
"197",4480,0.837027
"198",4485,0.838279
"199",4490,0.841089
"200",4495,0.85454
"201",4500,0.873044
"202",4505,0.886982
"203",4510,0.88528
"204",4515,0.862127
"205",4520,0.834212
"206",4525,0.819533
"207",4530,0.818803
"208",4535,0.828129
"209",4540,0.842453
"210",4545,0.857064
"211",4550,0.869783
"212",4555,0.878622
