"","angstrom","value"
"1",3500,0.040658
"2",3505,0.044211
"3",3510,0.04651
"4",3515,0.043841
"5",3520,0.040211
"6",3525,0.040394
"7",3530,0.044499
"8",3535,0.050656
"9",3540,0.053746
"10",3545,0.050228
"11",3550,0.046126
"12",3555,0.046945
"13",3560,0.046553
"14",3565,0.039028
"15",3570,0.030928
"16",3575,0.029348
"17",3580,0.03107
"18",3585,0.032116
"19",3590,0.035772
"20",3595,0.044448
"21",3600,0.049771
"22",3605,0.04478
"23",3610,0.038937
"24",3615,0.042048
"25",3620,0.048871
"26",3625,0.052509
"27",3630,0.054494
"28",3635,0.056986
"29",3640,0.056223
"30",3645,0.050059
"31",3650,0.048729
"32",3655,0.060377
"33",3660,0.072396
"34",3665,0.071993
"35",3670,0.06637
"36",3675,0.064703
"37",3680,0.064067
"38",3685,0.060806
"39",3690,0.060456
"40",3695,0.067447
"41",3700,0.072594
"42",3705,0.06731
"43",3710,0.059035
"44",3715,0.056235
"45",3720,0.055477
"46",3725,0.052004
"47",3730,0.047669
"48",3735,0.045181
"49",3740,0.044068
"50",3745,0.043462
"51",3750,0.044087
"52",3755,0.046807
"53",3760,0.051444
"54",3765,0.057462
"55",3770,0.063937
"56",3775,0.069309
"57",3780,0.069862
"58",3785,0.06329
"59",3790,0.055049
"60",3795,0.051324
"61",3800,0.053421
"62",3805,0.059719
"63",3810,0.061754
"64",3815,0.053146
"65",3820,0.042714
"66",3825,0.039866
"67",3830,0.041173
"68",3835,0.041783
"69",3840,0.043991
"70",3845,0.04991
"71",3850,0.053773
"72",3855,0.05061
"73",3860,0.046521
"74",3865,0.0478
"75",3870,0.050465
"76",3875,0.04988
"77",3880,0.04909
"78",3885,0.051665
"79",3890,0.055588
"80",3895,0.05843
"81",3900,0.061687
"82",3905,0.066561
"83",3910,0.069143
"84",3915,0.065585
"85",3920,0.057359
"86",3925,0.047364
"87",3930,0.038861
"88",3935,0.035191
"89",3940,0.039656
"90",3945,0.05303
"91",3950,0.066027
"92",3955,0.068993
"93",3960,0.060869
"94",3965,0.045607
"95",3970,0.038612
"96",3975,0.052146
"97",3980,0.074463
"98",3985,0.091459
"99",3990,0.103588
"100",3995,0.11375
"101",4000,0.120045
"102",4005,0.121462
"103",4010,0.12534
"104",4015,0.136851
"105",4020,0.144141
"106",4025,0.137017
"107",4030,0.128944
"108",4035,0.133542
"109",4040,0.141404
"110",4045,0.141078
"111",4050,0.135963
"112",4055,0.132133
"113",4060,0.131516
"114",4065,0.133696
"115",4070,0.133039
"116",4075,0.127475
"117",4080,0.134435
"118",4085,0.165088
"119",4090,0.186071
"120",4095,0.168175
"121",4100,0.143347
"122",4105,0.145819
"123",4110,0.157825
"124",4115,0.156162
"125",4120,0.147883
"126",4125,0.144519
"127",4130,0.145234
"128",4135,0.146331
"129",4140,0.145018
"130",4145,0.140969
"131",4150,0.142803
"132",4155,0.156489
"133",4160,0.168437
"134",4165,0.165336
"135",4170,0.154564
"136",4175,0.147569
"137",4180,0.151422
"138",4185,0.166839
"139",4190,0.173516
"140",4195,0.156146
"141",4200,0.140411
"142",4205,0.152119
"143",4210,0.176582
"144",4215,0.191103
"145",4220,0.181465
"146",4225,0.146131
"147",4230,0.125814
"148",4235,0.154451
"149",4240,0.196628
"150",4245,0.211535
"151",4250,0.206141
"152",4255,0.197367
"153",4260,0.194177
"154",4265,0.201058
"155",4270,0.212545
"156",4275,0.220522
"157",4280,0.216211
