"","angstrom","value"
"1",3500,0.049727
"2",3505,0.058448
"3",3510,0.063117
"4",3515,0.059684
"5",3520,0.054821
"6",3525,0.055725
"7",3530,0.060963
"8",3535,0.066775
"9",3540,0.068733
"10",3545,0.064019
"11",3550,0.056926
"12",3555,0.052113
"13",3560,0.048586
"14",3565,0.044428
"15",3570,0.039688
"16",3575,0.035335
"17",3580,0.034047
"18",3585,0.037395
"19",3590,0.040816
"20",3595,0.040228
"21",3600,0.039594
"22",3605,0.063563
"23",3610,0.063283
"24",3615,0.062101
"25",3620,0.060941
"26",3625,0.060377
"27",3630,0.060824
"28",3635,0.061844
"29",3640,0.062405
"30",3645,0.062868
"31",3650,0.065972
"32",3655,0.073595
"33",3660,0.082504
"34",3665,0.087969
"35",3670,0.088338
"36",3675,0.084686
"37",3680,0.081185
"38",3685,0.08172
"39",3690,0.085287
"40",3695,0.088318
"41",3700,0.08798
"42",3705,0.083555
"43",3710,0.077639
"44",3715,0.073453
"45",3720,0.070387
"46",3725,0.066038
"47",3730,0.060943
"48",3735,0.056828
"49",3740,0.054483
"50",3745,0.054927
"51",3750,0.058024
"52",3755,0.062445
"53",3760,0.068056
"54",3765,0.075207
"55",3770,0.083424
"56",3775,0.091573
"57",3780,0.09532
"58",3785,0.090879
"59",3790,0.082603
"60",3795,0.076524
"61",3800,0.07355
"62",3805,0.072912
"63",3810,0.072511
"64",3815,0.069411
"65",3820,0.063758
"66",3825,0.057687
"67",3830,0.053572
"68",3835,0.053761
"69",3840,0.057879
"70",3845,0.063293
"71",3850,0.067427
"72",3855,0.068627
"73",3860,0.067525
"74",3865,0.066093
"75",3870,0.065052
"76",3875,0.064537
"77",3880,0.066575
"78",3885,0.072349
"79",3890,0.079107
"80",3895,0.084629
"81",3900,0.089726
"82",3905,0.095244
"83",3910,0.10028
"84",3915,0.102031
"85",3920,0.096224
"86",3925,0.081181
"87",3930,0.063135
"88",3935,0.051316
"89",3940,0.05168
"90",3945,0.064754
"91",3950,0.080598
"92",3955,0.087321
"93",3960,0.082755
"94",3965,0.071973
"95",3970,0.066727
"96",3975,0.077463
"97",3980,0.100708
"98",3985,0.127122
"99",3990,0.15008
"100",3995,0.166137
"101",4000,0.177844
"102",4005,0.189845
"103",4010,0.203122
"104",4015,0.215177
"105",4020,0.220569
"106",4025,0.21592
"107",4030,0.206156
"108",4035,0.199188
"109",4040,0.199817
"110",4045,0.208211
"111",4050,0.217787
"112",4055,0.221296
"113",4060,0.217249
"114",4065,0.20961
"115",4070,0.208004
"116",4075,0.219636
"117",4080,0.240306
"118",4085,0.260426
"119",4090,0.270109
"120",4095,0.264283
"121",4100,0.250258
"122",4105,0.238626
"123",4110,0.233808
"124",4115,0.235697
"125",4120,0.239729
"126",4125,0.240515
"127",4130,0.236851
"128",4135,0.230513
"129",4140,0.225291
"130",4145,0.22457
"131",4150,0.228441
"132",4155,0.234811
"133",4160,0.239442
"134",4165,0.239774
"135",4170,0.239898
"136",4175,0.24385
"137",4180,0.249557
"138",4185,0.253145
"139",4190,0.252304
"140",4195,0.247838
"141",4200,0.246313
"142",4205,0.252771
"143",4210,0.260202
"144",4215,0.259404
"145",4220,0.252084
"146",4225,0.244505
"147",4230,0.245856
"148",4235,0.263076
"149",4240,0.284634
"150",4245,0.296483
"151",4250,0.302459
"152",4255,0.307984
"153",4260,0.309461
"154",4265,0.305135
"155",4270,0.298469
"156",4275,0.293283
"157",4280,0.292738
"158",4285,0.295326
"159",4290,0.289401
"160",4295,0.268814
"161",4300,0.251856
"162",4305,0.258492
"163",4310,0.285686
"164",4315,0.322222
"165",4320,0.356921
"166",4325,0.380445
"167",4330,0.39674
"168",4335,0.412558
"169",4340,0.422038
"170",4345,0.421573
"171",4350,0.423809
"172",4355,0.437919
"173",4360,0.454776
"174",4365,0.461722
"175",4370,0.451693
"176",4375,0.425435
"177",4380,0.398705
"178",4385,0.38656
"179",4390,0.38725
"180",4395,0.39396
"181",4400,0.402065
"182",4405,0.409
"183",4410,0.418624
"184",4415,0.433479
"185",4420,0.44448
"186",4425,0.445198
"187",4430,0.446979
"188",4435,0.461035
"189",4440,0.480404
"190",4445,0.492644
"191",4450,0.492204
"192",4455,0.480266
"193",4460,0.469143
"194",4465,0.473929
"195",4470,0.497362
"196",4475,0.531862
"197",4480,0.561046
"198",4485,0.570681
"199",4490,0.568617
"200",4495,0.571325
"201",4500,0.584471
"202",4505,0.606416
"203",4510,0.62642
"204",4515,0.629838
"205",4520,0.613775
"206",4525,0.584868
"207",4530,0.556957
"208",4535,0.545286
"209",4540,0.553216
"210",4545,0.575296
"211",4550,0.60252
"212",4555,0.625656
"213",4560,0.640844
"214",4565,0.648889
"215",4570,0.651862
"216",4575,0.651208
"217",4580,0.647525
"218",4585,0.640991
"219",4590,0.633916
"220",4595,0.630877
"221",4600,0.637445
"222",4605,0.657164
"223",4610,0.685394
"224",4615,0.713188
"225",4620,0.731375
"226",4625,0.732307
"227",4630,0.715017
"228",4635,0.685592
"229",4640,0.658405
"230",4645,0.646982
"231",4650,0.6519
"232",4655,0.665781
"233",4660,0.67813
"234",4665,0.680992
"235",4670,0.676387
"236",4675,0.67118
"237",4680,0.670553
"238",4685,0.675597
"239",4690,0.681037
"240",4695,0.681575
"241",4700,0.679052
"242",4705,0.678557
"243",4710,0.684133
"244",4715,0.695709
"245",4720,0.705224
"246",4725,0.705809
"247",4730,0.701834
"248",4735,0.701323
"249",4740,0.707959
"250",4745,0.71964
"251",4750,0.726341
