"","angstrom","value"
"1",3500,0.104659
"2",3505,0.108555
"3",3510,0.105561
"4",3515,0.098549
"5",3520,0.095816
"6",3525,0.103803
"7",3530,0.116101
"8",3535,0.124795
"9",3540,0.128793
"10",3545,0.128229
"11",3550,0.121318
"12",3555,0.107537
"13",3560,0.093334
"14",3565,0.08486
"15",3570,0.080118
"16",3575,0.076254
"17",3580,0.075127
"18",3585,0.078442
"19",3590,0.082584
"20",3595,0.083734
"21",3600,0.082571
"22",3605,0.081295
"23",3610,0.083663
"24",3615,0.091744
"25",3620,0.099288
"26",3625,0.100292
"27",3630,0.098063
"28",3635,0.097394
"29",3640,0.099723
"30",3645,0.105797
"31",3650,0.116948
"32",3655,0.132261
"33",3660,0.141259
"34",3665,0.135113
"35",3670,0.121158
"36",3675,0.109586
"37",3680,0.105871
"38",3685,0.11174
"39",3690,0.118641
"40",3695,0.118243
"41",3700,0.113366
"42",3705,0.108545
"43",3710,0.10404
"44",3715,0.099339
"45",3720,0.095105
"46",3725,0.091596
"47",3730,0.086284
"48",3735,0.078162
"49",3740,0.075103
"50",3745,0.083033
"51",3750,0.091211
"52",3755,0.090047
"53",3760,0.091216
"54",3765,0.106254
"55",3770,0.124899
"56",3775,0.134484
"57",3780,0.134532
"58",3785,0.128374
"59",3790,0.12238
"60",3795,0.121662
"61",3800,0.123274
"62",3805,0.122708
"63",3810,0.117284
"64",3815,0.106229
"65",3820,0.094578
"66",3825,0.088124
"67",3830,0.089878
"68",3835,0.100324
"69",3840,0.112643
"70",3845,0.119424
"71",3850,0.118225
"72",3855,0.110309
"73",3860,0.106795
"74",3865,0.11507
"75",3870,0.117719
"76",3875,0.1004
"77",3880,0.085852
"78",3885,0.096498
"79",3890,0.116397
"80",3895,0.125878
"81",3900,0.128693
"82",3905,0.131843
"83",3910,0.131884
"84",3915,0.125086
"85",3920,0.117025
"86",3925,0.114014
"87",3930,0.116038
"88",3935,0.121029
"89",3940,0.125072
"90",3945,0.12517
"91",3950,0.123866
"92",3955,0.124943
"93",3960,0.13159
"94",3965,0.145343
"95",3970,0.161702
"96",3975,0.176117
"97",3980,0.189872
"98",3985,0.204696
"99",3990,0.218265
"100",3995,0.228015
"101",4000,0.234477
"102",4005,0.2393
"103",4010,0.245503
"104",4015,0.254623
"105",4020,0.260878
"106",4025,0.258482
"107",4030,0.248932
"108",4035,0.237436
"109",4040,0.236747
"110",4045,0.254974
"111",4050,0.274081
"112",4055,0.276246
"113",4060,0.270633
"114",4065,0.270072
"115",4070,0.27505
"116",4075,0.283788
"117",4080,0.297782
"118",4085,0.315919
"119",4090,0.323392
"120",4095,0.309245
"121",4100,0.291625
"122",4105,0.289692
"123",4110,0.297548
"124",4115,0.305378
"125",4120,0.312754
"126",4125,0.319954
"127",4130,0.320708
"128",4135,0.3111
"129",4140,0.303178
"130",4145,0.308199
"131",4150,0.318294
"132",4155,0.323249
"133",4160,0.322598
"134",4165,0.318529
"135",4170,0.314088
"136",4175,0.311862
"137",4180,0.311761
"138",4185,0.312736
"139",4190,0.312575
"140",4195,0.310225
"141",4200,0.310434
"142",4205,0.31427
"143",4210,0.30229
"144",4215,0.259543
"145",4220,0.209533
"146",4225,0.181265
"147",4230,0.18727
"148",4235,0.227236
"149",4240,0.265947
"150",4245,0.27255
"151",4250,0.268529
"152",4255,0.279617
"153",4260,0.296189
"154",4265,0.303077
"155",4270,0.298283
"156",4275,0.285518
"157",4280,0.278158
"158",4285,0.285944
"159",4290,0.294412
"160",4295,0.290548
"161",4300,0.291328
"162",4305,0.314221
"163",4310,0.348657
"164",4315,0.378811
"165",4320,0.395872
"166",4325,0.397532
"167",4330,0.400505
"168",4335,0.418517
"169",4340,0.434333
"170",4345,0.431093
"171",4350,0.424414
"172",4355,0.431399
"173",4360,0.442645
"174",4365,0.444225
"175",4370,0.430655
"176",4375,0.404452
"177",4380,0.391714
"178",4385,0.41226
"179",4390,0.437214
"180",4395,0.43724
"181",4400,0.429867
"182",4405,0.437204
"183",4410,0.45283
"184",4415,0.464579
"185",4420,0.465839
"186",4425,0.456745
"187",4430,0.458889
"188",4435,0.487374
"189",4440,0.509923
"190",4445,0.496697
"191",4450,0.475014
"192",4455,0.47877
"193",4460,0.511013
"194",4465,0.562653
"195",4470,0.606867
"196",4475,0.62181
"197",4480,0.62327
"198",4485,0.630497
"199",4490,0.638949
"200",4495,0.642163
"201",4500,0.649783
"202",4505,0.668926
"203",4510,0.680505
"204",4515,0.665283
"205",4520,0.629649
"206",4525,0.588344
"207",4530,0.563918
"208",4535,0.574085
"209",4540,0.609423
"210",4545,0.654625
"211",4550,0.697983
"212",4555,0.730149
"213",4560,0.747623
"214",4565,0.75046
"215",4570,0.747116
"216",4575,0.745924
"217",4580,0.746332
"218",4585,0.746341
"219",4590,0.747052
"220",4595,0.751061
"221",4600,0.763841
"222",4605,0.786917
"223",4610,0.803137
"224",4615,0.798522
"225",4620,0.790477
"226",4625,0.796009
"227",4630,0.799172
"228",4635,0.783388
"229",4640,0.762515
"230",4645,0.753369
