"","angstrom","value"
"1",3500,0.024841
"2",3505,0.025237
"3",3510,0.033569
"4",3515,0.034938
"5",3520,0.034608
"6",3525,0.032286
"7",3530,0.033387
"8",3535,0.039409
"9",3540,0.04398
"10",3545,0.043799
"11",3550,0.045229
"12",3555,0.043808
"13",3560,0.043223
"14",3565,0.037649
"15",3570,0.030838
"16",3575,0.031623
"17",3580,0.029979
"18",3585,0.031479
"19",3590,0.034809
"20",3595,0.038561
"21",3600,0.044108
"22",3605,0.045488
"23",3610,0.043514
"24",3615,0.043747
"25",3620,0.04638
"26",3625,0.047971
"27",3630,0.047002
"28",3635,0.049243
"29",3640,0.051729
"30",3645,0.049332
"31",3650,0.050138
"32",3655,0.055028
"33",3660,0.058909
"34",3665,0.058761
"35",3670,0.057387
"36",3675,0.058218
"37",3680,0.05642
"38",3685,0.053566
"39",3690,0.054614
"40",3695,0.060632
"41",3700,0.062203
"42",3705,0.055669
"43",3710,0.054728
"44",3715,0.055373
"45",3720,0.048477
"46",3725,0.047139
"47",3730,0.044857
"48",3735,0.043439
"49",3740,0.043801
"50",3745,0.042682
"51",3750,0.045631
"52",3755,0.051772
"53",3760,0.053256
"54",3765,0.056931
"55",3770,0.062619
"56",3775,0.067378
"57",3780,0.070856
"58",3785,0.064001
"59",3790,0.057383
"60",3795,0.054936
"61",3800,0.05803
"62",3805,0.061864
"63",3810,0.061519
"64",3815,0.053658
"65",3820,0.047117
"66",3825,0.045364
"67",3830,0.04855
"68",3835,0.051771
"69",3840,0.055587
"70",3845,0.05996
"71",3850,0.060455
"72",3855,0.055042
"73",3860,0.052759
"74",3865,0.057344
"75",3870,0.060567
"76",3875,0.05946
"77",3880,0.0578
"78",3885,0.05812
"79",3890,0.061074
"80",3895,0.063427
"81",3900,0.066827
"82",3905,0.069546
"83",3910,0.069339
"84",3915,0.065083
"85",3920,0.05636
"86",3925,0.046596
"87",3930,0.036315
"88",3935,0.035699
"89",3940,0.044612
"90",3945,0.057245
"91",3950,0.068485
"92",3955,0.069073
"93",3960,0.055277
"94",3965,0.042779
"95",3970,0.043522
"96",3975,0.060966
"97",3980,0.079614
"98",3985,0.093204
"99",3990,0.099828
"100",3995,0.104739
"101",4000,0.114449
"102",4005,0.119127
"103",4010,0.12373
"104",4015,0.129973
"105",4020,0.128215
"106",4025,0.125704
"107",4030,0.120797
"108",4035,0.126418
"109",4040,0.132599
"110",4045,0.129184
"111",4050,0.134575
"112",4055,0.130377
"113",4060,0.126303
"114",4065,0.131225
"115",4070,0.13392
"116",4075,0.126757
"117",4080,0.132272
"118",4085,0.15841
"119",4090,0.173406
"120",4095,0.158081
"121",4100,0.139968
"122",4105,0.146431
"123",4110,0.152142
"124",4115,0.15078
"125",4120,0.148405
"126",4125,0.150256
"127",4130,0.145665
"128",4135,0.148333
"129",4140,0.150327
"130",4145,0.149609
"131",4150,0.154024
"132",4155,0.16861
"133",4160,0.181202
"134",4165,0.172969
"135",4170,0.156497
"136",4175,0.152921
"137",4180,0.166877
"138",4185,0.177765
"139",4190,0.177741
"140",4195,0.164339
