"","angstrom","value"
"1",3500,0.026471
"2",3505,0.0269
"3",3510,0.027374
"4",3515,0.027887
"5",3520,0.028438
"6",3525,0.029022
"7",3530,0.029638
"8",3535,0.030282
"9",3540,0.030951
"10",3545,0.031643
"11",3550,0.032353
"12",3555,0.033079
"13",3560,0.033814
"14",3565,0.034551
"15",3570,0.035284
"16",3575,0.036006
"17",3580,0.036711
"18",3585,0.037391
"19",3590,0.038039
"20",3595,0.03865
"21",3600,0.039216
"22",3605,0.039733
"23",3610,0.040211
"24",3615,0.040663
"25",3620,0.0411
"26",3625,0.041536
"27",3630,0.041982
"28",3635,0.04245
"29",3640,0.042954
"30",3645,0.043506
"31",3650,0.044118
"32",3655,0.044795
"33",3660,0.045513
"34",3665,0.046242
"35",3670,0.04695
"36",3675,0.047606
"37",3680,0.048179
"38",3685,0.048638
"39",3690,0.048952
"40",3695,0.049089
"41",3700,0.04902
"42",3705,0.058783
"43",3710,0.051367
"44",3715,0.048631
"45",3720,0.049852
"46",3725,0.05145
"47",3730,0.051192
"48",3735,0.048106
"49",3740,0.04493
"50",3745,0.044473
"51",3750,0.048146
"52",3755,0.052972
"53",3760,0.058467
"54",3765,0.064297
"55",3770,0.070222
"56",3775,0.075537
"57",3780,0.07757
"58",3785,0.074383
"59",3790,0.068937
"60",3795,0.065174
"61",3800,0.066042
"62",3805,0.071901
"63",3810,0.073732
"64",3815,0.06442
"65",3820,0.053853
"66",3825,0.052323
"67",3830,0.054759
"68",3835,0.054794
"69",3840,0.056262
"70",3845,0.062748
"71",3850,0.066653
"72",3855,0.061373
"73",3860,0.055484
"74",3865,0.057888
"75",3870,0.063602
"76",3875,0.065978
"77",3880,0.065581
"78",3885,0.06462
"79",3890,0.064657
"80",3895,0.066812
"81",3900,0.071089
"82",3905,0.076528
"83",3910,0.079447
"84",3915,0.076522
"85",3920,0.068595
"86",3925,0.057802
"87",3930,0.047295
"88",3935,0.040822
"89",3940,0.043502
"90",3945,0.057705
"91",3950,0.073412
"92",3955,0.079398
"93",3960,0.071989
"94",3965,0.05369
"95",3970,0.044154
"96",3975,0.059468
"97",3980,0.084272
"98",3985,0.100526
"99",3990,0.110904
"100",3995,0.121081
"101",4000,0.128022
"102",4005,0.129223
"103",4010,0.132997
"104",4015,0.14551
"105",4020,0.153504
"106",4025,0.145483
"107",4030,0.136413
"108",4035,0.14142
"109",4040,0.149799
"110",4045,0.14897
"111",4050,0.14467
"112",4055,0.144934
"113",4060,0.148664
"114",4065,0.152166
"115",4070,0.150474
"116",4075,0.143077
"117",4080,0.148546
"118",4085,0.178818
"119",4090,0.200206
"120",4095,0.183193
"121",4100,0.160538
"122",4105,0.166668
"123",4110,0.180378
"124",4115,0.175997
"125",4120,0.165601
"126",4125,0.165399
"127",4130,0.170381
"128",4135,0.172081
"129",4140,0.169428
"130",4145,0.165008
"131",4150,0.168647
"132",4155,0.186263
"133",4160,0.200886
"134",4165,0.196525
"135",4170,0.183986
"136",4175,0.17824
"137",4180,0.184134
"138",4185,0.199676
"139",4190,0.205624
"140",4195,0.188299
"141",4200,0.173507
"142",4205,0.185812
"143",4210,0.205321
"144",4215,0.205876
"145",4220,0.180731
"146",4225,0.136674
"147",4230,0.115209
"148",4235,0.148794
"149",4240,0.198977
"150",4245,0.221361
"151",4250,0.218678
"152",4255,0.205833
"153",4260,0.199271
"154",4265,0.210053
"155",4270,0.226141
"156",4275,0.232352
"157",4280,0.224013
"158",4285,0.203576
"159",4290,0.191495
"160",4295,0.203329
"161",4300,0.217074
"162",4305,0.213457
"163",4310,0.221721
"164",4315,0.267437
"165",4320,0.312994
"166",4325,0.319163
"167",4330,0.303427
"168",4335,0.292547
"169",4340,0.293685
"170",4345,0.307153
"171",4350,0.325476
"172",4355,0.341177
"173",4360,0.354551
"174",4365,0.36549
"175",4370,0.364497
"176",4375,0.343544
"177",4380,0.309871
"178",4385,0.278011
"179",4390,0.27641
"180",4395,0.319579
"181",4400,0.352366
"182",4405,0.326968
"183",4410,0.294623
"184",4415,0.310367
"185",4420,0.345381
"186",4425,0.360608
"187",4430,0.359903
"188",4435,0.35775
"189",4440,0.368257
"190",4445,0.39534
"191",4450,0.402535
"192",4455,0.361948
"193",4460,0.320342
"194",4465,0.326562
"195",4470,0.363114
"196",4475,0.400898
"197",4480,0.430741
"198",4485,0.448531
"199",4490,0.450507
"200",4495,0.43844
"201",4500,0.435911
"202",4505,0.46177
"203",4510,0.494154
"204",4515,0.504693
"205",4520,0.479703
"206",4525,0.421231
"207",4530,0.379555
"208",4535,0.396642
"209",4540,0.432975
"210",4545,0.444152
"211",4550,0.447713
"212",4555,0.468795
"213",4560,0.500989
"214",4565,0.530631
"215",4570,0.5466
"216",4575,0.542606
"217",4580,0.529154
"218",4585,0.517334
"219",4590,0.503789
"220",4595,0.486796
"221",4600,0.485619
"222",4605,0.517536
"223",4610,0.570883
"224",4615,0.624383
"225",4620,0.647236
"226",4625,0.618317
"227",4630,0.564726
"228",4635,0.518559
"229",4640,0.48368
"230",4645,0.462407
"231",4650,0.479107
"232",4655,0.543734
"233",4660,0.586547
"234",4665,0.549225
"235",4670,0.498816
"236",4675,0.506966
"237",4680,0.538341
"238",4685,0.547555
"239",4690,0.555987
"240",4695,0.587857
"241",4700,0.611976
"242",4705,0.599597
"243",4710,0.587131
"244",4715,0.60934
"245",4720,0.629231
"246",4725,0.609926
"247",4730,0.586763
"248",4735,0.599328
"249",4740,0.632
"250",4745,0.658445
"251",4750,0.664696
"252",4755,0.642301
"253",4760,0.592482
"254",4765,0.527247
"255",4770,0.492045
"256",4775,0.519131
"257",4780,0.554517
"258",4785,0.547122
"259",4790,0.543723
"260",4795,0.589068
"261",4800,0.621938
"262",4805,0.58478
"263",4810,0.540675
"264",4815,0.555882
"265",4820,0.588735
"266",4825,0.588879
"267",4830,0.579119
"268",4835,0.589656
"269",4840,0.607135
"270",4845,0.610639
"271",4850,0.592563
"272",4855,0.555692
"273",4860,0.531067
"274",4865,0.545676
"275",4870,0.58205
"276",4875,0.613545
"277",4880,0.621261
"278",4885,0.601287
"279",4890,0.601919
"280",4895,0.662154
"281",4900,0.731585
"282",4905,0.753389
"283",4910,0.734484
"284",4915,0.702547
"285",4920,0.704579
"286",4925,0.766343
"287",4930,0.80934
"288",4935,0.770443
"289",4940,0.752274
"290",4945,0.839236
"291",4950,0.877109
"292",4955,0.727752
"293",4960,0.555966
"294",4965,0.537965
"295",4970,0.592683
"296",4975,0.608323
"297",4980,0.60745
"298",4985,0.629951
"299",4990,0.650616
"300",4995,0.639181
"301",5000,0.610254
"302",5005,0.584964
"303",5010,0.565642
"304",5015,0.555639
"305",5020,0.581177
"306",5025,0.653169
"307",5030,0.698408
"308",5035,0.658094
"309",5040,0.61516
"310",5045,0.655478
"311",5050,0.734934
"312",5055,0.78927
"313",5060,0.803616
"314",5065,0.779347
"315",5070,0.733414
"316",5075,0.689497
"317",5080,0.682608
"318",5085,0.732445
"319",5090,0.786115
"320",5095,0.789582
"321",5100,0.756818
"322",5105,0.719981
"323",5110,0.71595
"324",5115,0.762304
"325",5120,0.794692
"326",5125,0.75942
"327",5130,0.727358
"328",5135,0.763686
"329",5140,0.78626
"330",5145,0.724642
"331",5150,0.702544
"332",5155,0.817196
"333",5160,0.865735
"334",5165,0.669234
"335",5170,0.444618
"336",5175,0.424897
"337",5180,0.511575
"338",5185,0.563547
"339",5190,0.600779
"340",5195,0.658277
"341",5200,0.670159
"342",5205,0.589258
"343",5210,0.544173
"344",5215,0.646834
"345",5220,0.766739
"346",5225,0.770136
"347",5230,0.752719
"348",5235,0.816124
"349",5240,0.856323
"350",5245,0.775455
"351",5250,0.706009
"352",5255,0.772027
"353",5260,0.833437
"354",5265,0.753707
"355",5270,0.674579
"356",5275,0.748636
"357",5280,0.893542
"358",5285,0.988609
"359",5290,0.994656
"360",5295,0.918233
"361",5300,0.867303
"362",5305,0.930737
"363",5310,1.019626
"364",5315,1.029186
"365",5320,0.968905
"366",5325,0.883016
"367",5330,0.840473
"368",5335,0.887061
"369",5340,0.951184
"370",5345,0.963749
"371",5350,0.983046
"372",5355,1.06191
"373",5360,1.103943
"374",5365,1.026976
"375",5370,0.954951
"376",5375,1.006976
"377",5380,1.076687
"378",5385,1.046751
"379",5390,0.98142
"380",5395,0.961302
"381",5400,0.950838
"382",5405,0.912942
"383",5410,0.92057
"384",5415,1.029688
"385",5420,1.118256
"386",5425,1.076232
"387",5430,1.019554
"388",5435,1.063725
"389",5440,1.096504
"390",5445,1.000516
"391",5450,0.865597
"392",5455,0.804547
"393",5460,0.814825
"394",5465,0.861782
"395",5470,0.897682
"396",5475,0.890904
"397",5480,0.887376
"398",5485,0.929962
"399",5490,0.971715
"400",5495,0.961336
"401",5500,0.919901
"402",5505,0.885451
"403",5510,0.891475
"404",5515,0.952804
"405",5520,1.014169
"406",5525,1.02417
"407",5530,1.016988
"408",5535,1.034761
"409",5540,1.065904
"410",5545,1.087272
"411",5550,1.08321
"412",5555,1.048283
"413",5560,1.010436
"414",5565,0.998606
"415",5570,1.012299
"416",5575,1.038026
"417",5580,1.039724
"418",5585,0.992012
"419",5590,0.934802
"420",5595,0.913602
"421",5600,0.930993
"422",5605,0.971802
"423",5610,0.992751
"424",5615,0.962399
"425",5620,0.924747
"426",5625,0.924048
"427",5630,0.930136
"428",5635,0.911225
"429",5640,0.903497
"430",5645,0.941409
"431",5650,0.98456
"432",5655,0.988581
"433",5660,0.968099
"434",5665,0.95093
"435",5670,0.958679
"436",5675,1.001623
"437",5680,1.050948
"438",5685,1.07569
"439",5690,1.075362
"440",5695,1.057546
"441",5700,1.031596
"442",5705,1.010551
"443",5710,1.020409
"444",5715,1.073325
"445",5720,1.113132
"446",5725,1.091418
"447",5730,1.059123
"448",5735,1.073366
"449",5740,1.116626
"450",5745,1.155513
"451",5750,1.167789
"452",5755,1.145471
"453",5760,1.126449
"454",5765,1.143012
"455",5770,1.159183
"456",5775,1.137443
"457",5780,1.102377
"458",5785,1.090495
"459",5790,1.123907
"460",5795,1.206104
"461",5800,1.280495
"462",5805,1.29281
"463",5810,1.258138
"464",5815,1.209676
"465",5820,1.183674
"466",5825,1.20409
"467",5830,1.242651
"468",5835,1.262312
"469",5840,1.243163
"470",5845,1.179703
"471",5850,1.106931
"472",5855,1.060799
"473",5860,1.040572
"474",5865,1.036484
"475",5870,1.039344
"476",5875,1.03363
"477",5880,0.977934
"478",5885,0.852501
"479",5890,0.750088
"480",5895,0.757997
"481",5900,0.829204
"482",5905,0.894597
"483",5910,0.931032
"484",5915,0.934715
"485",5920,0.933282
"486",5925,0.952374
"487",5930,0.978231
"488",5935,0.993032
"489",5940,1.002124
"490",5945,1.012426
"491",5950,1.013973
"492",5955,1.001235
"493",5960,1.003291
"494",5965,1.041249
"495",5970,1.069699
"496",5975,1.049495
"497",5980,1.033063
"498",5985,1.072204
"499",5990,1.124649
"500",5995,1.140039
"501",6000,1.129727
"502",6005,1.116991
"503",6010,1.111083
"504",6015,1.118221
"505",6020,1.14651
"506",6025,1.196985
"507",6030,1.240524
"508",6035,1.254289
"509",6040,1.270726
"510",6045,1.31723
"511",6050,1.345695
"512",6055,1.315075
"513",6060,1.288055
"514",6065,1.325064
"515",6070,1.373779
"516",6075,1.374084
"517",6080,1.347449
"518",6085,1.329794
"519",6090,1.333263
"520",6095,1.358826
"521",6100,1.386547
"522",6105,1.395938
"523",6110,1.385233
"524",6115,1.362871
"525",6120,1.359398
"526",6125,1.391562
"527",6130,1.398808
"528",6135,1.335199
"529",6140,1.290569
"530",6145,1.3385
"531",6150,1.351803
"532",6155,1.212215
"533",6160,1.037952
"534",6165,0.967833
"535",6170,0.986616
"536",6175,1.036321
"537",6180,1.042082
"538",6185,0.959125
"539",6190,0.879917
"540",6195,0.89612
"541",6200,0.958938
"542",6205,0.995821
"543",6210,0.979682
"544",6215,0.908728
"545",6220,0.836903
"546",6225,0.814368
"547",6230,0.82043
"548",6235,0.82679
"549",6240,0.845584
"550",6245,0.887515
"551",6250,0.917121
"552",6255,0.906377
"553",6260,0.903178
"554",6265,0.950181
"555",6270,0.99315
"556",6275,0.982354
"557",6280,0.98294
"558",6285,1.054517
"559",6290,1.119645
"560",6295,1.104117
"561",6300,1.083698
"562",6305,1.137071
"563",6310,1.204626
"564",6315,1.219746
"565",6320,1.226096
"566",6325,1.272952
"567",6330,1.321767
"568",6335,1.33002
"569",6340,1.32712
"570",6345,1.340078
"571",6350,1.314376
"572",6355,1.214473
"573",6360,1.162272
"574",6365,1.263033
"575",6370,1.398008
"576",6375,1.434214
"577",6380,1.405759
"578",6385,1.378257
"579",6390,1.376284
"580",6395,1.407201
"581",6400,1.450542
"582",6405,1.481517
"583",6410,1.485873
"584",6415,1.459372
"585",6420,1.427301
"586",6425,1.419082
"587",6430,1.451154
"588",6435,1.520431
"589",6440,1.558718
"590",6445,1.515182
"591",6450,1.473559
"592",6455,1.517904
"593",6460,1.598959
"594",6465,1.644229
"595",6470,1.621587
"596",6475,1.529338
"597",6480,1.447157
"598",6485,1.437865
"599",6490,1.415506
"600",6495,1.30641
"601",6500,1.234825
"602",6505,1.316552
"603",6510,1.435691
"604",6515,1.463407
"605",6520,1.450839
"606",6525,1.474625
"607",6530,1.53345
"608",6535,1.600257
"609",6540,1.622984
"610",6545,1.563088
"611",6550,1.461119
"612",6555,1.374802
"613",6560,1.351465
"614",6565,1.412446
"615",6570,1.485492
"616",6575,1.501806
"617",6580,1.499979
"618",6585,1.527561
"619",6590,1.560536
"620",6595,1.565545
"621",6600,1.543414
"622",6605,1.508913
"623",6610,1.498417
"624",6615,1.533665
"625",6620,1.556247
"626",6625,1.515129
"627",6630,1.468927
"628",6635,1.477515
"629",6640,1.49615
"630",6645,1.471058
"631",6650,1.416946
"632",6655,1.366555
"633",6660,1.356272
"634",6665,1.401729
"635",6670,1.431906
"636",6675,1.3848
"637",6680,1.321142
"638",6685,1.309985
"639",6690,1.330938
"640",6695,1.350717
"641",6700,1.373901
"642",6705,1.401854
"643",6710,1.385193
"644",6715,1.292065
"645",6720,1.211479
"646",6725,1.227885
"647",6730,1.286638
"648",6735,1.314134
"649",6740,1.30001
"650",6745,1.259124
"651",6750,1.243954
"652",6755,1.293348
"653",6760,1.354018
"654",6765,1.371788
"655",6770,1.381089
"656",6775,1.416464
"657",6780,1.424311
"658",6785,1.360335
"659",6790,1.305622
"660",6795,1.339588
"661",6800,1.409605
"662",6805,1.447219
"663",6810,1.45271
"664",6815,1.444421
"665",6820,1.444188
"666",6825,1.467077
"667",6830,1.497564
"668",6835,1.518035
"669",6840,1.53311
"670",6845,1.550786
"671",6850,1.570323
"672",6855,1.589539
"673",6860,1.609216
"674",6865,1.63013
"675",6870,1.650088
"676",6875,1.667133
"677",6880,1.683243
"678",6885,1.700527
"679",6890,1.717693
"680",6895,1.733522
"681",6900,1.750495
"682",6905,1.77112
"683",6910,1.794321
"684",6915,1.817936
"685",6920,1.83904
"686",6925,1.856085
"687",6930,1.873795
"688",6935,1.896407
"689",6940,1.919938
"690",6945,1.939473
"691",6950,1.954572
"692",6955,1.967296
"693",6960,1.985211
"694",6965,2.009372
"695",6970,2.009266
"696",6975,1.965104
"697",6980,1.931564
"698",6985,1.958046
"699",6990,1.99836
"700",6995,2.002645
"701",7000,2.00193
"702",7005,2.031213
"703",7010,2.060476
"704",7015,2.058023
"705",7020,2.05047
"706",7025,2.067817
"707",7030,2.095292
"708",7035,2.118484
"709",7040,2.16922
"710",7045,2.25036
"711",7050,2.202672
"712",7055,1.912368
"713",7060,1.609523
"714",7065,1.536543
"715",7070,1.641291
"716",7075,1.790142
"717",7080,1.818067
"718",7085,1.62576
"719",7090,1.408217
"720",7095,1.364835
"721",7100,1.418306
"722",7105,1.458077
"723",7110,1.51733
"724",7115,1.622351
"725",7120,1.628106
"726",7125,1.425155
"727",7130,1.217751
"728",7135,1.212047
"729",7140,1.3081
"730",7145,1.366589
"731",7150,1.396761
"732",7155,1.431698
"733",7160,1.451252
"734",7165,1.435886
"735",7170,1.42173
"736",7175,1.441816
"737",7180,1.461121
"738",7185,1.444044
"739",7190,1.420742
"740",7195,1.426775
"741",7200,1.453554
"742",7205,1.487155
"743",7210,1.536452
"744",7215,1.60906
"745",7220,1.684737
"746",7225,1.738992
"747",7230,1.758172
"748",7235,1.742189
"749",7240,1.734369
"750",7245,1.773121
"751",7250,1.833766
"752",7255,1.883439
"753",7260,1.919635
"754",7265,1.946659
"755",7270,1.965728
"756",7275,1.97502
"757",7280,1.963661
"758",7285,1.933477
"759",7290,1.946164
"760",7295,2.046623
"761",7300,2.152731
"762",7305,2.181453
"763",7310,2.173151
"764",7315,2.183405
"765",7320,2.205261
"766",7325,2.226962
"767",7330,2.280065
"768",7335,2.384698
"769",7340,2.471979
"770",7345,2.473396
"771",7350,2.410937
"772",7355,2.33394
"773",7360,2.310654
"774",7365,2.38938
"775",7370,2.519717
"776",7375,2.629238
"777",7380,2.656136
"778",7385,2.575233
"779",7390,2.497276
"780",7395,2.527681
"781",7400,2.614633
"782",7405,2.676492
"783",7410,2.669541
"784",7415,2.587329
"785",7420,2.534537
"786",7425,2.598094
"787",7430,2.682798
"788",7435,2.686917
"789",7440,2.664749
"790",7445,2.683265
"791",7450,2.704117
"792",7455,2.683998
"793",7460,2.665084
"794",7465,2.690267
"795",7470,2.719831
"796",7475,2.710003
"797",7480,2.683393
"798",7485,2.671735
"799",7490,2.676878
"800",7495,2.690762
"801",7500,2.69557
