"","angstrom","value"
"1",3500,0.103448
"2",3505,0.150516
"3",3510,0.206946
"4",3515,0.217477
"5",3520,0.210966
"6",3525,0.222564
"7",3530,0.228493
"8",3535,0.20323
"9",3540,0.17321
"10",3545,0.173025
"11",3550,0.217933
"12",3555,0.302255
"13",3560,0.355889
"14",3565,0.321793
"15",3570,0.259597
"16",3575,0.237206
"17",3580,0.238948
"18",3585,0.234481
"19",3590,0.218376
"20",3595,0.193987
"21",3600,0.17489
"22",3605,0.174477
"23",3610,0.195163
"24",3615,0.232453
"25",3620,0.265192
"26",3625,0.274006
"27",3630,0.263301
"28",3635,0.243971
"29",3640,0.229071
"30",3645,0.230244
"31",3650,0.251309
"32",3655,0.288496
"33",3660,0.315494
"34",3665,0.310976
"35",3670,0.296092
"36",3675,0.294943
"37",3680,0.300965
"38",3685,0.303345
"39",3690,0.304927
"40",3695,0.31082
"41",3700,0.321539
"42",3705,0.335057
"43",3710,0.343799
"44",3715,0.342787
"45",3720,0.343006
"46",3725,0.353696
"47",3730,0.361161
"48",3735,0.354133
"49",3740,0.353986
"50",3745,0.379805
"51",3750,0.408862
"52",3755,0.419401
"53",3760,0.43536
"54",3765,0.478756
"55",3770,0.518202
"56",3775,0.521154
"57",3780,0.503846
"58",3785,0.490009
"59",3790,0.4846
"60",3795,0.488628
"61",3800,0.506077
"62",3805,0.529993
"63",3810,0.506666
"64",3815,0.406027
"65",3820,0.339301
"66",3825,0.407155
"67",3830,0.526714
"68",3835,0.594904
"69",3840,0.611397
"70",3845,0.597258
"71",3850,0.556396
"72",3855,0.494942
"73",3860,0.445073
"74",3865,0.433329
"75",3870,0.437659
"76",3875,0.435977
"77",3880,0.454663
"78",3885,0.517084
"79",3890,0.586094
"80",3895,0.620761
"81",3900,0.625516
"82",3905,0.615144
"83",3910,0.600483
"84",3915,0.584643
"85",3920,0.543776
"86",3925,0.46162
"87",3930,0.379184
"88",3935,0.343791
"89",3940,0.37072
"90",3945,0.451135
"91",3950,0.511772
"92",3955,0.490441
"93",3960,0.433666
"94",3965,0.404845
"95",3970,0.42616
"96",3975,0.499461
"97",3980,0.586477
"98",3985,0.649099
"99",3990,0.689994
"100",3995,0.721472
"101",4000,0.753659
"102",4005,0.789673
"103",4010,0.806779
"104",4015,0.791201
"105",4020,0.790846
"106",4025,0.845193
"107",4030,0.898325
"108",4035,0.891239
"109",4040,0.848001
"110",4045,0.807322
"111",4050,0.783436
"112",4055,0.781574
"113",4060,0.795415
"114",4065,0.816278
"115",4070,0.837569
"116",4075,0.849561
"117",4080,0.827878
"118",4085,0.767017
"119",4090,0.751603
"120",4095,0.85225
"121",4100,0.993385
"122",4105,1.074749
"123",4110,1.043518
"124",4115,0.888959
"125",4120,0.721279
"126",4125,0.645967
"127",4130,0.6287
"128",4135,0.614736
"129",4140,0.607467
"130",4145,0.622304
"131",4150,0.664591
"132",4155,0.726959
"133",4160,0.761256
"134",4165,0.725937
"135",4170,0.646656
"136",4175,0.562722
"137",4180,0.500845
"138",4185,0.48338
"139",4190,0.527843
"140",4195,0.632577
"141",4200,0.724078
"142",4205,0.727385
"143",4210,0.633552
"144",4215,0.463755
"145",4220,0.293634
"146",4225,0.197497
"147",4230,0.189864
"148",4235,0.261162
"149",4240,0.365236
"150",4245,0.451623
"151",4250,0.489226
"152",4255,0.465709
"153",4260,0.424426
"154",4265,0.407887
"155",4270,0.399538
"156",4275,0.377505
"157",4280,0.357695
"158",4285,0.364222
"159",4290,0.416231
"160",4295,0.515884
"161",4300,0.60236
"162",4305,0.612648
"163",4310,0.537956
"164",4315,0.400239
"165",4320,0.290202
"166",4325,0.288418
"167",4330,0.366165
"168",4335,0.467702
"169",4340,0.538506
"170",4345,0.537395
"171",4350,0.475331
"172",4355,0.384512
"173",4360,0.329911
"174",4365,0.358233
"175",4370,0.410303
"176",4375,0.422877
"177",4380,0.422282
"178",4385,0.441024
"179",4390,0.446727
"180",4395,0.41003
"181",4400,0.378501
"182",4405,0.397485
"183",4410,0.426497
"184",4415,0.415555
"185",4420,0.362522
"186",4425,0.283273
"187",4430,0.217887
"188",4435,0.201033
"189",4440,0.221538
"190",4445,0.257603
"191",4450,0.290787
"192",4455,0.30496
"193",4460,0.28989
"194",4465,0.244925
"195",4470,0.201847
"196",4475,0.192142
"197",4480,0.213682
"198",4485,0.251888
"199",4490,0.276003
"200",4495,0.26266
"201",4500,0.234255
"202",4505,0.219103
"203",4510,0.223433
"204",4515,0.244231
"205",4520,0.263595
"206",4525,0.267896
"207",4530,0.275495
"208",4535,0.302727
"209",4540,0.325833
"210",4545,0.319946
"211",4550,0.295858
"212",4555,0.280159
"213",4560,0.326992
"214",4565,0.464884
"215",4570,0.592355
"216",4575,0.602553
"217",4580,0.497155
"218",4585,0.317888
"219",4590,0.158124
"220",4595,0.097769
"221",4600,0.111203
"222",4605,0.151888
"223",4610,0.195156
"224",4615,0.223541
"225",4620,0.2265
"226",4625,0.201151
"227",4630,0.16831
"228",4635,0.149569
"229",4640,0.145925
"230",4645,0.154255
"231",4650,0.175568
"232",4655,0.207859
"233",4660,0.232948
"234",4665,0.234932
"235",4670,0.223204
"236",4675,0.212279
"237",4680,0.211889
"238",4685,0.227823
"239",4690,0.254897
"240",4695,0.284389
"241",4700,0.304409
"242",4705,0.308381
"243",4710,0.314148
"244",4715,0.337263
"245",4720,0.359693
"246",4725,0.363008
"247",4730,0.360786
"248",4735,0.371137
"249",4740,0.398294
"250",4745,0.435457
"251",4750,0.445571
"252",4755,0.395748
"253",4760,0.300018
"254",4765,0.188565
"255",4770,0.109264
"256",4775,0.097704
"257",4780,0.122621
"258",4785,0.146173
"259",4790,0.171027
"260",4795,0.20335
"261",4800,0.22277
"262",4805,0.210721
"263",4810,0.182376
"264",4815,0.159083
"265",4820,0.153133
"266",4825,0.170649
"267",4830,0.202141
"268",4835,0.233778
"269",4840,0.249977
"270",4845,0.243317
"271",4850,0.24078
"272",4855,0.266009
"273",4860,0.2949
"274",4865,0.302014
"275",4870,0.304323
"276",4875,0.323394
"277",4880,0.356743
"278",4885,0.395563
"279",4890,0.429796
"280",4895,0.453057
"281",4900,0.474909
"282",4905,0.508065
"283",4910,0.56189
"284",4915,0.639122
"285",4920,0.719343
"286",4925,0.787454
"287",4930,0.872786
"288",4935,0.996135
"289",4940,1.099705
"290",4945,1.110755
