"","angstrom","value"
"1",3500,5.553849
"2",3505,5.465034
"3",3510,5.506341
"4",3515,5.528964
"5",3520,5.525383
"6",3525,5.492723
"7",3530,5.432461
"8",3535,5.408492
"9",3540,5.383089
"10",3545,5.350412
"11",3550,5.315348
"12",3555,5.268064
"13",3560,5.215472
"14",3565,5.181294
"15",3570,5.15164
"16",3575,5.064332
"17",3580,5.000496
"18",3585,4.956786
"19",3590,4.938492
"20",3595,4.931778
"21",3600,4.9146
"22",3605,4.898636
"23",3610,4.937316
"24",3615,4.910562
"25",3620,4.87339
"26",3625,4.879949
"27",3630,4.896858
"28",3635,4.908331
"29",3640,4.906817
"30",3645,4.89773
"31",3650,4.896791
"32",3655,4.954408
"33",3660,4.96326
"34",3665,4.92126
"35",3670,4.859016
"36",3675,4.789067
"37",3680,4.730928
"38",3685,4.730941
"39",3690,4.705989
"40",3695,4.676873
"41",3700,4.639644
"42",3705,4.590496
"43",3710,4.602149
"44",3715,4.638532
"45",3720,4.603949
"46",3725,4.533883
"47",3730,4.507094
"48",3735,4.544147
"49",3740,4.59978
"50",3745,4.536463
"51",3750,4.390773
"52",3755,4.32239
"53",3760,4.326548
"54",3765,4.309671
"55",3770,4.257657
"56",3775,4.445686
"57",3780,4.638746
"58",3785,4.617775
"59",3790,4.486809
"60",3795,4.310945
"61",3800,4.340013
"62",3805,4.535757
"63",3810,4.63543
"64",3815,4.648519
"65",3820,4.598944
"66",3825,4.505975
"67",3830,4.280913
"68",3835,4.118976
"69",3840,4.288995
"70",3845,4.44787
"71",3850,4.471776
"72",3855,4.429366
"73",3860,4.410645
"74",3865,4.371662
"75",3870,4.344462
"76",3875,4.299703
"77",3880,4.121013
"78",3885,3.834561
"79",3890,3.808447
"80",3895,4.071723
"81",3900,4.249123
"82",3905,4.270894
"83",3910,4.220328
"84",3915,4.143891
"85",3920,4.077285
"86",3925,4.03838
"87",3930,3.97693
"88",3935,3.979873
"89",3940,4.065801
"90",3945,4.082828
"91",3950,4.060128
"92",3955,3.982962
"93",3960,3.787206
"94",3965,3.475824
"95",3970,3.350482
"96",3975,3.614794
"97",3980,3.806394
"98",3985,3.834706
"99",3990,3.793397
"100",3995,3.764283
"101",4000,3.74066
"102",4005,3.715607
"103",4010,3.68552
"104",4015,3.641503
"105",4020,3.555322
"106",4025,3.470134
"107",4030,3.488447
"108",4035,3.526244
"109",4040,3.56758
"110",4045,3.588054
"111",4050,3.595747
"112",4055,3.56352
"113",4060,3.546625
"114",4065,3.523078
"115",4070,3.473087
"116",4075,3.459444
"117",4080,3.439579
"118",4085,3.382276
"119",4090,3.294374
"120",4095,3.091724
"121",4100,2.89692
"122",4105,3.031221
"123",4110,3.244087
"124",4115,3.309517
"125",4120,3.318604
"126",4125,3.311059
"127",4130,3.30434
"128",4135,3.282842
"129",4140,3.258918
"130",4145,3.244801
"131",4150,3.231102
"132",4155,3.229472
"133",4160,3.213803
"134",4165,3.192666
"135",4170,3.175755
"136",4175,3.165456
"137",4180,3.15483
"138",4185,3.12508
"139",4190,3.061807
"140",4195,2.976036
"141",4200,2.925914
"142",4205,2.978519
"143",4210,3.013246
"144",4215,3.008003
"145",4220,3.002639
"146",4225,2.995408
"147",4230,2.984229
"148",4235,2.954819
"149",4240,2.932537
"150",4245,2.930752
"151",4250,2.928275
"152",4255,2.903358
"153",4260,2.871778
"154",4265,2.847426
"155",4270,2.840531
"156",4275,2.832905
"157",4280,2.820014
"158",4285,2.807442
"159",4290,2.791812
