"","angstrom","value"
"1",3500,5.121192
"2",3505,5.094706
"3",3510,4.989414
"4",3515,4.985306
"5",3520,4.952553
"6",3525,4.954184
"7",3530,4.892676
"8",3535,4.845538
"9",3540,4.814007
"10",3545,4.587391
"11",3550,4.764397
"12",3555,4.71718
"13",3560,4.712489
"14",3565,4.710567
"15",3570,4.498705
"16",3575,4.648416
"17",3580,4.576401
"18",3585,4.51788
"19",3590,4.542076
"20",3595,4.517005
"21",3600,4.496761
"22",3605,4.525572
"23",3610,4.532762
"24",3615,4.523765
"25",3620,4.495307
"26",3625,4.440233
"27",3630,4.4058
"28",3635,4.410686
"29",3640,4.477422
"30",3645,4.48555
"31",3650,4.462698
"32",3655,4.469739
"33",3660,4.451706
"34",3665,4.393899
"35",3670,4.357759
"36",3675,4.347364
"37",3680,4.342082
"38",3685,4.330791
"39",3690,4.264448
"40",3695,4.218603
"41",3700,4.161879
"42",3705,4.114015
"43",3710,4.118319
"44",3715,4.15487
"45",3720,4.15338
"46",3725,4.170592
"47",3730,4.188214
"48",3735,4.189288
"49",3740,4.306595
"50",3745,4.209097
"51",3750,4.026992
"52",3755,3.962586
"53",3760,3.989812
"54",3765,4.010306
"55",3770,3.909907
"56",3775,4.108999
"57",3780,4.335312
"58",3785,4.337678
"59",3790,4.071712
"60",3795,3.802136
"61",3800,3.978751
"62",3805,4.225565
"63",3810,4.214251
"64",3815,4.149306
"65",3820,4.08527
"66",3825,4.068363
"67",3830,3.919586
"68",3835,3.722685
"69",3840,3.938784
"70",3845,4.158281
"71",3850,4.187984
"72",3855,4.162157
"73",3860,4.109375
"74",3865,4.067517
"75",3870,4.077858
"76",3875,4.024016
"77",3880,3.882699
"78",3885,3.597227
"79",3890,3.511724
"80",3895,3.789827
"81",3900,3.926458
"82",3905,3.975184
"83",3910,3.949728
"84",3915,3.905879
"85",3920,3.852573
"86",3925,3.841339
"87",3930,3.773357
"88",3935,3.781025
"89",3940,3.873202
"90",3945,3.828063
"91",3950,3.792201
"92",3955,3.723078
"93",3960,3.54107
"94",3965,3.255591
"95",3970,3.105763
"96",3975,3.391574
"97",3980,3.546606
"98",3985,3.619766
"99",3990,3.628308
"100",3995,3.611261
"101",4000,3.580331
"102",4005,3.52662
"103",4010,3.522656
"104",4015,3.512
"105",4020,3.423447
"106",4025,3.304236
"107",4030,3.364967
"108",4035,3.435334
"109",4040,3.4437
"110",4045,3.435549
"111",4050,3.39677
"112",4055,3.386131
"113",4060,3.395542
"114",4065,3.323464
"115",4070,3.251117
"116",4075,3.259472
"117",4080,3.261627
"118",4085,3.192139
"119",4090,3.10598
"120",4095,2.922164
"121",4100,2.699117
"122",4105,2.82761
"123",4110,3.056653
"124",4115,3.105893
"125",4120,3.120809
"126",4125,3.148464
"127",4130,3.15654
"128",4135,3.139805
"129",4140,3.090679
"130",4145,3.072163
"131",4150,3.054594
"132",4155,3.042259
"133",4160,3.01564
"134",4165,3.006965
"135",4170,3.030215
"136",4175,3.006694
"137",4180,2.940435
"138",4185,2.906496
"139",4190,2.887858
"140",4195,2.813051
"141",4200,2.772576
"142",4205,2.800559
"143",4210,2.831593
"144",4215,2.828809
"145",4220,2.808895
"146",4225,2.78994
"147",4230,2.78972
"148",4235,2.783812
"149",4240,2.776886
"150",4245,2.7644
"151",4250,2.729134
"152",4255,2.687893
"153",4260,2.669616
"154",4265,2.650532
"155",4270,2.644094
"156",4275,2.643003
"157",4280,2.630312
"158",4285,2.623858
"159",4290,2.628168
"160",4295,2.669662
"161",4300,2.65712
"162",4305,2.647848
"163",4310,2.628818
"164",4315,2.598858
"165",4320,2.585913
"166",4325,2.566941
"167",4330,2.515566
"168",4335,2.345432
"169",4340,2.201079
"170",4345,2.32141
"171",4350,2.485625
"172",4355,2.561296
"173",4360,2.534755
"174",4365,2.513844
"175",4370,2.503875
"176",4375,2.494794
"177",4380,2.463
"178",4385,2.422601
"179",4390,2.412377
"180",4395,2.448491
"181",4400,2.449084
"182",4405,2.421753
"183",4410,2.384278
"184",4415,2.352483
"185",4420,2.322208
"186",4425,2.244542
"187",4430,2.212145
"188",4435,2.227051
