"","angstrom","value"
"1",3500,0.58167
"2",3505,0.616603
"3",3510,0.610915
"4",3515,0.613242
"5",3520,0.58349
"6",3525,0.572622
"7",3530,0.6133
"8",3535,0.643049
"9",3540,0.671558
"10",3545,0.677325
"11",3550,0.668551
"12",3555,0.651151
"13",3560,0.633906
"14",3565,0.587853
"15",3570,0.53807
"16",3575,0.517847
"17",3580,0.483481
"18",3585,0.481366
"19",3590,0.537734
"20",3595,0.591681
"21",3600,0.599179
"22",3605,0.609286
"23",3610,0.553559
"24",3615,0.543523
"25",3620,0.56216
"26",3625,0.61551
"27",3630,0.63548
"28",3635,0.62499
"29",3640,0.635966
"30",3645,0.610477
"31",3650,0.614336
"32",3655,0.69569
"33",3660,0.753127
"34",3665,0.7356
"35",3670,0.701893
"36",3675,0.698058
"37",3680,0.684983
"38",3685,0.674553
"39",3690,0.69578
"40",3695,0.749983
"41",3700,0.773079
"42",3705,0.693214
"43",3710,0.66009
"44",3715,0.696286
"45",3720,0.675123
"46",3725,0.692066
"47",3730,0.679594
"48",3735,0.609453
"49",3740,0.612377
"50",3745,0.563319
"51",3750,0.556524
"52",3755,0.656023
"53",3760,0.698395
"54",3765,0.692249
"55",3770,0.682355
"56",3775,0.763748
"57",3780,0.854208
"58",3785,0.826897
"59",3790,0.733384
"60",3795,0.665524
"61",3800,0.689231
"62",3805,0.786542
"63",3810,0.824256
"64",3815,0.742922
"65",3820,0.653871
"66",3825,0.583884
"67",3830,0.525184
"68",3835,0.473075
"69",3840,0.522367
"70",3845,0.667764
"71",3850,0.756584
"72",3855,0.728876
"73",3860,0.689422
"74",3865,0.72779
"75",3870,0.726461
"76",3875,0.718815
"77",3880,0.682562
"78",3885,0.625156
"79",3890,0.636508
"80",3895,0.715591
"81",3900,0.767389
"82",3905,0.784875
"83",3910,0.813627
"84",3915,0.812487
"85",3920,0.75715
"86",3925,0.625901
"87",3930,0.44456
"88",3935,0.383997
"89",3940,0.486786
"90",3945,0.637056
"91",3950,0.780517
"92",3955,0.827399
"93",3960,0.719357
"94",3965,0.484881
"95",3970,0.394745
"96",3975,0.596849
"97",3980,0.82573
"98",3985,0.924718
"99",3990,0.958823
"100",3995,0.982942
"101",4000,0.997337
"102",4005,0.998055
"103",4010,1.019036
"104",4015,1.043127
"105",4020,1.065191
"106",4025,1.059637
"107",4030,1.024951
"108",4035,1.038391
"109",4040,1.048306
"110",4045,0.997373
"111",4050,1.006133
"112",4055,0.995767
"113",4060,0.984275
"114",4065,0.978527
"115",4070,0.973215
"116",4075,0.969372
"117",4080,0.997823
"118",4085,1.058493
"119",4090,1.068337
"120",4095,0.969232
"121",4100,0.868619
"122",4105,0.910845
"123",4110,0.996023
"124",4115,1.060405
"125",4120,1.080954
"126",4125,1.065385
"127",4130,1.041656
"128",4135,1.061634
"129",4140,1.083611
"130",4145,1.078328
"131",4150,1.064097
"132",4155,1.049752
"133",4160,1.071955
"134",4165,1.081439
"135",4170,1.050334
"136",4175,1.022082
"137",4180,1.019336
"138",4185,1.026755
"139",4190,1.042195
"140",4195,1.01477
"141",4200,0.993483
"142",4205,1.031861
"143",4210,1.076855
"144",4215,1.086453
"145",4220,1.067862
"146",4225,0.988882
"147",4230,0.989377
"148",4235,0.993829
"149",4240,1.015132
"150",4245,1.021147
"151",4250,1.015793
"152",4255,1.010109
"153",4260,1.000625
"154",4265,1.015398
"155",4270,0.987684
"156",4275,0.999421
"157",4280,1.004724
"158",4285,0.970816
"159",4290,0.937984
"160",4295,0.905853
"161",4300,0.823117
"162",4305,0.762406
"163",4310,0.787045
"164",4315,0.959299
"165",4320,1.063285
"166",4325,1.028938
"167",4330,1.002726
"168",4335,0.931888
"169",4340,0.856489
"170",4345,0.936631
"171",4350,1.002015
"172",4355,1.045927
"173",4360,1.085217
"174",4365,1.110058
"175",4370,1.097673
"176",4375,1.081319
"177",4380,1.041061
"178",4385,0.9783
"179",4390,0.994025
"180",4395,1.032759
"181",4400,1.062345
"182",4405,1.062596
"183",4410,1.075895
"184",4415,1.091089
"185",4420,1.125487
"186",4425,1.130813
"187",4430,1.12589
"188",4435,1.113779
"189",4440,1.124316
"190",4445,1.134563
"191",4450,1.131441
"192",4455,1.074338
"193",4460,1.050084
"194",4465,1.079755
"195",4470,1.127251
"196",4475,1.162949
"197",4480,1.144902
"198",4485,1.152382
"199",4490,1.151217
"200",4495,1.154063
"201",4500,1.184532
"202",4505,1.218421
"203",4510,1.224648
"204",4515,1.208477
"205",4520,1.17571
"206",4525,1.109883
"207",4530,1.071642
"208",4535,1.11201
"209",4540,1.148088
"210",4545,1.125438
"211",4550,1.108586
"212",4555,1.139292
"213",4560,1.167064
"214",4565,1.171178
"215",4570,1.168463
"216",4575,1.16826
"217",4580,1.150477
"218",4585,1.137261
"219",4590,1.131692
"220",4595,1.126123
"221",4600,1.129482
"222",4605,1.156036
"223",4610,1.178257
"224",4615,1.174077
"225",4620,1.173748
"226",4625,1.172259
"227",4630,1.173953
"228",4635,1.157478
"229",4640,1.143772
