"","angstrom","value"
"1",3500,0.527613
"2",3505,0.555707
"3",3510,0.551576
"4",3515,0.55516
"5",3520,0.537709
"6",3525,0.527293
"7",3530,0.56338
"8",3535,0.603305
"9",3540,0.63562
"10",3545,0.638674
"11",3550,0.62538
"12",3555,0.597878
"13",3560,0.558565
"14",3565,0.511898
"15",3570,0.490706
"16",3575,0.477757
"17",3580,0.430045
"18",3585,0.429458
"19",3590,0.499056
"20",3595,0.570452
"21",3600,0.595581
"22",3605,0.5405
"23",3610,0.508805
"24",3615,0.516791
"25",3620,0.544768
"26",3625,0.598881
"27",3630,0.567884
"28",3635,0.56508
"29",3640,0.594098
"30",3645,0.563536
"31",3650,0.590371
"32",3655,0.672336
"33",3660,0.70979
"34",3665,0.700893
"35",3670,0.693853
"36",3675,0.668719
"37",3680,0.61648
"38",3685,0.61162
"39",3690,0.650022
"40",3695,0.699757
"41",3700,0.700735
"42",3705,0.626307
"43",3710,0.6524
"44",3715,0.676112
"45",3720,0.583667
"46",3725,0.583015
"47",3730,0.561124
"48",3735,0.479861
"49",3740,0.512901
"50",3745,0.498737
"51",3750,0.530696
"52",3755,0.600553
"53",3760,0.581987
"54",3765,0.610813
"55",3770,0.674337
"56",3775,0.750542
"57",3780,0.795204
"58",3785,0.752524
"59",3790,0.676356
"60",3795,0.626791
"61",3800,0.68047
"62",3805,0.737817
"63",3810,0.718015
"64",3815,0.620147
"65",3820,0.540812
"66",3825,0.457507
"67",3830,0.415179
"68",3835,0.416396
"69",3840,0.494448
"70",3845,0.638333
"71",3850,0.674325
"72",3855,0.615625
"73",3860,0.597806
"74",3865,0.671619
"75",3870,0.658426
"76",3875,0.637359
"77",3880,0.610206
"78",3885,0.574905
"79",3890,0.609505
"80",3895,0.67603
"81",3900,0.692848
"82",3905,0.708707
"83",3910,0.757809
"84",3915,0.738929
"85",3920,0.65152
"86",3925,0.520558
"87",3930,0.355805
"88",3935,0.345485
"89",3940,0.497363
"90",3945,0.62997
"91",3950,0.727125
"92",3955,0.723085
"93",3960,0.593342
"94",3965,0.421399
"95",3970,0.429109
"96",3975,0.632722
"97",3980,0.796117
"98",3985,0.877967
"99",3990,0.931245
"100",3995,0.943425
"101",4000,0.94768
"102",4005,0.945659
"103",4010,0.976563
"104",4015,0.996437
"105",4020,1.010386
"106",4025,1.010741
"107",4030,0.978155
"108",4035,0.99707
"109",4040,0.992499
"110",4045,0.936834
"111",4050,0.977975
"112",4055,0.957413
"113",4060,0.915832
"114",4065,0.906127
"115",4070,0.925607
"116",4075,0.93986
"117",4080,0.976379
"118",4085,1.032491
"119",4090,1.036378
"120",4095,0.951739
"121",4100,0.875224
"122",4105,0.920329
"123",4110,0.994043
"124",4115,1.028102
"125",4120,1.026141
"126",4125,1.014215
"127",4130,0.99276
"128",4135,1.002871
"129",4140,1.00816
"130",4145,1.000597
"131",4150,1.004643
"132",4155,1.001
"133",4160,1.033955
"134",4165,1.034521
"135",4170,0.987845
"136",4175,0.974322
"137",4180,0.981338
"138",4185,0.96828
"139",4190,0.97913
"140",4195,0.969691
"141",4200,0.943185
"142",4205,0.988483
"143",4210,1.030547
"144",4215,1.019044
"145",4220,0.975756
"146",4225,0.887961
"147",4230,0.92488
"148",4235,0.951447
"149",4240,0.97451
"150",4245,0.976352
"151",4250,0.941234
"152",4255,0.93906
"153",4260,0.937943
"154",4265,0.952293
"155",4270,0.897571
"156",4275,0.898261
"157",4280,0.932045
"158",4285,0.899964
"159",4290,0.850516
"160",4295,0.806042
"161",4300,0.724972
"162",4305,0.69043
"163",4310,0.737622
"164",4315,0.915578
"165",4320,0.979495
"166",4325,0.934411
"167",4330,0.990505
"168",4335,0.976328
"169",4340,0.904217
"170",4345,0.960894
"171",4350,0.993156
"172",4355,1.01822
"173",4360,1.063021
"174",4365,1.081525
"175",4370,1.052407
"176",4375,1.015143
"177",4380,0.948278
"178",4385,0.905829
"179",4390,0.975996
"180",4395,1.021765
"181",4400,0.99673
"182",4405,0.975654
"183",4410,1.028988
"184",4415,1.070411
"185",4420,1.108598
"186",4425,1.106599
"187",4430,1.091249
"188",4435,1.066635
"189",4440,1.08141
"190",4445,1.089664
"191",4450,1.093127
"192",4455,1.032275
"193",4460,1.029857
"194",4465,1.089452
"195",4470,1.129451
"196",4475,1.161165
"197",4480,1.133434
"198",4485,1.162058
"199",4490,1.162722
"200",4495,1.151025
"201",4500,1.200446
"202",4505,1.232765
"203",4510,1.198278
"204",4515,1.180565
"205",4520,1.163691
"206",4525,1.093985
"207",4530,1.065436
"208",4535,1.113748
"209",4540,1.140751
"210",4545,1.105436
"211",4550,1.096926
"212",4555,1.14499
"213",4560,1.181767
"214",4565,1.19406
"215",4570,1.211645
"216",4575,1.202329
"217",4580,1.152377
"218",4585,1.147887
"219",4590,1.166255
"220",4595,1.16184
"221",4600,1.169564
"222",4605,1.203835
"223",4610,1.194643
"224",4615,1.181864
"225",4620,1.197814
"226",4625,1.199638
"227",4630,1.196659
"228",4635,1.177074
"229",4640,1.166823
"230",4645,1.14902
"231",4650,1.158196
"232",4655,1.169569
"233",4660,1.185712
"234",4665,1.130133
"235",4670,1.120583
"236",4675,1.151829
"237",4680,1.158242
"238",4685,1.186853
"239",4690,1.174196
"240",4695,1.168519
"241",4700,1.119039
"242",4705,1.108772
"243",4710,1.121344
"244",4715,1.161367
"245",4720,1.17479
"246",4725,1.182088
"247",4730,1.124526
"248",4735,1.130706
"249",4740,1.159968
"250",4745,1.178972
"251",4750,1.174576
"252",4755,1.168735
"253",4760,1.151323
"254",4765,1.115525
"255",4770,1.136466
"256",4775,1.180268
"257",4780,1.177056
"258",4785,1.134991
"259",4790,1.14107
"260",4795,1.166535
"261",4800,1.165061
"262",4805,1.159142
"263",4810,1.169731
"264",4815,1.179628
"265",4820,1.172476
"266",4825,1.154692
"267",4830,1.151064
"268",4835,1.150126
"269",4840,1.149808
"270",4845,1.144808
"271",4850,1.138313
"272",4855,1.061689
"273",4860,0.947897
"274",4865,0.970221
"275",4870,1.030133
"276",4875,1.071674
"277",4880,1.113383
"278",4885,1.09121
"279",4890,1.052486
"280",4895,1.117333
"281",4900,1.163272
"282",4905,1.171072
"283",4910,1.134907
"284",4915,1.099896
"285",4920,1.047116
"286",4925,1.070769
"287",4930,1.14282
"288",4935,1.123654
"289",4940,1.097904
"290",4945,1.151865
"291",4950,1.166167
"292",4955,1.115287
"293",4960,1.075975
"294",4965,1.120767
"295",4970,1.110747
"296",4975,1.12246
"297",4980,1.081321
"298",4985,1.034189
"299",4990,1.084858
"300",4995,1.102063
"301",5000,1.101352
"302",5005,1.055964
"303",5010,1.04115
"304",5015,1.016891
"305",5020,1.021656
"306",5025,1.035652
"307",5030,1.064266
"308",5035,1.066074
"309",5040,1.034482
"310",5045,1.046602
"311",5050,1.065468
"312",5055,1.061916
"313",5060,1.088634
"314",5065,1.074178
"315",5070,1.056773
"316",5075,1.042181
"317",5080,1.018291
"318",5085,1.034915
"319",5090,1.075913
"320",5095,1.08078
"321",5100,1.051944
"322",5105,1.057317
"323",5110,1.05775
"324",5115,1.072477
"325",5120,1.077626
"326",5125,1.030699
"327",5130,1.019168
"328",5135,1.030221
"329",5140,1.00422
"330",5145,1.01398
"331",5150,1.023358
"332",5155,1.022853
"333",5160,1.033216
"334",5165,0.930393
"335",5170,0.818204
"336",5175,0.853959
"337",5180,0.913303
"338",5185,0.859372
"339",5190,0.943172
"340",5195,0.984488
"341",5200,1.01499
"342",5205,0.974397
"343",5210,0.977973
"344",5215,1.033577
"345",5220,1.050182
"346",5225,1.01069
"347",5230,0.992743
"348",5235,1.031286
"349",5240,1.079092
"350",5245,1.079844
"351",5250,1.041558
"352",5255,1.041026
"353",5260,1.037159
"354",5265,0.934437
"355",5270,0.902242
"356",5275,0.976836
"357",5280,1.033971
"358",5285,1.035525
"359",5290,1.068965
"360",5295,1.041344
"361",5300,1.02337
"362",5305,1.067112
"363",5310,1.073211
"364",5315,1.062132
"365",5320,1.043946
"366",5325,0.985786
"367",5330,0.961612
"368",5335,1.018396
"369",5340,1.010314
"370",5345,1.018257
"371",5350,1.035701
"372",5355,1.071012
"373",5360,1.07005
"374",5365,1.018868
"375",5370,0.979686
"376",5375,1.011946
"377",5380,1.042385
"378",5385,1.028189
"379",5390,1.0156
"380",5395,0.993199
"381",5400,0.993605
"382",5405,0.970387
"383",5410,0.991942
"384",5415,1.030735
"385",5420,1.04296
"386",5425,1.024726
"387",5430,0.999479
"388",5435,1.003559
"389",5440,1.045821
"390",5445,1.027574
"391",5450,1.025392
"392",5455,1.021616
"393",5460,1.033904
"394",5465,1.022131
"395",5470,1.020919
"396",5475,1.003615
"397",5480,0.997932
"398",5485,1.015589
"399",5490,1.015383
"400",5495,1.028291
"401",5500,1.029195
"402",5505,1.008109
"403",5510,1.007998
"404",5515,1.010485
"405",5520,1.02739
