"","angstrom","value"
"1",3500,0.284939
"2",3505,0.294782
"3",3510,0.289527
"4",3515,0.295291
"5",3520,0.289811
"6",3525,0.270303
"7",3530,0.296544
"8",3535,0.335994
"9",3540,0.353209
"10",3545,0.343017
"11",3550,0.319155
"12",3555,0.30006
"13",3560,0.29541
"14",3565,0.255991
"15",3570,0.21356
"16",3575,0.216924
"17",3580,0.1916
"18",3585,0.188612
"19",3590,0.248035
"20",3595,0.320637
"21",3600,0.345726
"22",3605,0.269689
"23",3610,0.248946
"24",3615,0.286927
"25",3620,0.329557
"26",3625,0.356293
"27",3630,0.327633
"28",3635,0.340112
"29",3640,0.341101
"30",3645,0.308929
"31",3650,0.340782
"32",3655,0.399775
"33",3660,0.385391
"34",3665,0.396821
"35",3670,0.390613
"36",3675,0.371758
"37",3680,0.348127
"38",3685,0.350184
"39",3690,0.368837
"40",3695,0.389508
"41",3700,0.378499
"42",3705,0.351195
"43",3710,0.348242
"44",3715,0.338033
"45",3720,0.285284
"46",3725,0.28622
"47",3730,0.275092
"48",3735,0.235427
"49",3740,0.238582
"50",3745,0.230607
"51",3750,0.236759
"52",3755,0.287108
"53",3760,0.288054
"54",3765,0.306012
"55",3770,0.359978
"56",3775,0.410667
"57",3780,0.425277
"58",3785,0.391251
"59",3790,0.317787
"60",3795,0.290602
"61",3800,0.307605
"62",3805,0.337474
"63",3810,0.325929
"64",3815,0.25431
"65",3820,0.195734
"66",3825,0.175018
"67",3830,0.173713
"68",3835,0.179235
"69",3840,0.202645
"70",3845,0.237699
"71",3850,0.236994
"72",3855,0.215274
"73",3860,0.207414
"74",3865,0.227317
"75",3870,0.228141
"76",3875,0.245154
"77",3880,0.2616
"78",3885,0.295646
"79",3890,0.350196
"80",3895,0.382612
"81",3900,0.382582
"82",3905,0.394058
"83",3910,0.426503
"84",3915,0.415831
"85",3920,0.34447
"86",3925,0.259742
"87",3930,0.180189
"88",3935,0.173369
"89",3940,0.248568
"90",3945,0.335262
"91",3950,0.407283
"92",3955,0.414041
"93",3960,0.337965
"94",3965,0.230912
"95",3970,0.217274
"96",3975,0.340912
"97",3980,0.478694
"98",3985,0.544308
"99",3990,0.571512
"100",3995,0.592293
"101",4000,0.602548
"102",4005,0.610193
"103",4010,0.634382
"104",4015,0.659921
"105",4020,0.666581
"106",4025,0.641918
"107",4030,0.604677
"108",4035,0.609823
"109",4040,0.623073
"110",4045,0.590143
"111",4050,0.606315
"112",4055,0.586639
"113",4060,0.564111
"114",4065,0.565413
"115",4070,0.582683
"116",4075,0.601542
"117",4080,0.640265
"118",4085,0.697509
"119",4090,0.708937
"120",4095,0.654967
"121",4100,0.609416
"122",4105,0.633659
"123",4110,0.667105
"124",4115,0.67893
"125",4120,0.669352
"126",4125,0.646558
"127",4130,0.613229
"128",4135,0.612159
"129",4140,0.612471
"130",4145,0.597739
"131",4150,0.593157
"132",4155,0.603002
"133",4160,0.6364
"134",4165,0.639857
"135",4170,0.606577
"136",4175,0.580944
"137",4180,0.588121
"138",4185,0.603545
"139",4190,0.618222
"140",4195,0.598421
"141",4200,0.574084
"142",4205,0.618954
"143",4210,0.660269
"144",4215,0.670826
"145",4220,0.659384
"146",4225,0.593979
"147",4230,0.6051
"148",4235,0.643816
"149",4240,0.669744
"150",4245,0.677297
"151",4250,0.646133
"152",4255,0.638873
"153",4260,0.646138
"154",4265,0.657027
"155",4270,0.617291
"156",4275,0.618668
"157",4280,0.657422
"158",4285,0.640264
"159",4290,0.602916
"160",4295,0.56231
"161",4300,0.496021
"162",4305,0.468929
"163",4310,0.514684
"164",4315,0.667592
"165",4320,0.767836
"166",4325,0.742498
"167",4330,0.761846
"168",4335,0.759104
"169",4340,0.725922
"170",4345,0.762572
"171",4350,0.781911
"172",4355,0.794551
"173",4360,0.817179
"174",4365,0.826448
"175",4370,0.794223
"176",4375,0.742133
"177",4380,0.693557
"178",4385,0.656136
"179",4390,0.70501
"180",4395,0.754053
"181",4400,0.757523
"182",4405,0.732513
"183",4410,0.776992
"184",4415,0.798111
"185",4420,0.820975
"186",4425,0.824934
"187",4430,0.82357
"188",4435,0.821037
"189",4440,0.849804
