"","angstrom","value"
"1",3500,0.328191
"2",3505,0.335169
"3",3510,0.335648
"4",3515,0.302789
"5",3520,0.290505
"6",3525,0.283277
"7",3530,0.298105
"8",3535,0.343404
"9",3540,0.365572
"10",3545,0.369142
"11",3550,0.356212
"12",3555,0.333324
"13",3560,0.308714
"14",3565,0.277905
"15",3570,0.235787
"16",3575,0.215394
"17",3580,0.205598
"18",3585,0.193508
"19",3590,0.232672
"20",3595,0.3019
"21",3600,0.341958
"22",3605,0.317629
"23",3610,0.248236
"24",3615,0.24943
"25",3620,0.276494
"26",3625,0.311128
"27",3630,0.328463
"28",3635,0.34198
"29",3640,0.350365
"30",3645,0.321348
"31",3650,0.323819
"32",3655,0.406083
"33",3660,0.480594
"34",3665,0.483402
"35",3670,0.450788
"36",3675,0.412126
"37",3680,0.3743
"38",3685,0.366801
"39",3690,0.397784
"40",3695,0.44003
"41",3700,0.446924
"42",3705,0.405262
"43",3710,0.372177
"44",3715,0.345763
"45",3720,0.298735
"46",3725,0.280903
"47",3730,0.269775
"48",3735,0.237648
"49",3740,0.221307
"50",3745,0.22122
"51",3750,0.241681
"52",3755,0.273476
"53",3760,0.28707
"54",3765,0.310515
"55",3770,0.368242
"56",3775,0.453447
"57",3780,0.472572
"58",3785,0.419203
"59",3790,0.345558
"60",3795,0.318264
"61",3800,0.334864
"62",3805,0.360504
"63",3810,0.345198
"64",3815,0.277169
"65",3820,0.207195
"66",3825,0.168582
"67",3830,0.165241
"68",3835,0.177512
"69",3840,0.210115
"70",3845,0.248037
"71",3850,0.261295
"72",3855,0.240254
"73",3860,0.225821
"74",3865,0.240522
"75",3870,0.255803
"76",3875,0.263344
"77",3880,0.274074
"78",3885,0.291706
"79",3890,0.33363
"80",3895,0.356027
"81",3900,0.360469
"82",3905,0.387836
"83",3910,0.430143
"84",3915,0.430064
"85",3920,0.370344
"86",3925,0.284241
"87",3930,0.2157
"88",3935,0.19885
"89",3940,0.257197
"90",3945,0.348339
"91",3950,0.424461
"92",3955,0.433052
"93",3960,0.361581
"94",3965,0.262937
"95",3970,0.23304
"96",3975,0.347827
"97",3980,0.496859
"98",3985,0.577825
"99",3990,0.612142
"100",3995,0.634143
"101",4000,0.646371
"102",4005,0.647141
"103",4010,0.662848
"104",4015,0.701594
"105",4020,0.719654
"106",4025,0.685996
"107",4030,0.635352
"108",4035,0.635828
"109",4040,0.654976
"110",4045,0.627572
"111",4050,0.607784
"112",4055,0.610222
"113",4060,0.591066
"114",4065,0.573327
"115",4070,0.587043
"116",4075,0.61881
"117",4080,0.675437
"118",4085,0.752384
"119",4090,0.775727
"120",4095,0.71918
"121",4100,0.658901
"122",4105,0.673911
"123",4110,0.72239
"124",4115,0.746043
"125",4120,0.737573
"126",4125,0.706266
"127",4130,0.672745
"128",4135,0.66896
"129",4140,0.672041
"130",4145,0.654035
"131",4150,0.658134
"132",4155,0.677122
"133",4160,0.705501
"134",4165,0.708273
"135",4170,0.680212
"136",4175,0.656117
"137",4180,0.655619
"138",4185,0.65927
"139",4190,0.662409
"140",4195,0.634196
"141",4200,0.620295
"142",4205,0.674907
"143",4210,0.735912
"144",4215,0.744647
"145",4220,0.703804
"146",4225,0.641003
"147",4230,0.624122
"148",4235,0.6779
"149",4240,0.722889
"150",4245,0.718676
"151",4250,0.679126
"152",4255,0.676101
"153",4260,0.694979
"154",4265,0.683359
"155",4270,0.645769
"156",4275,0.653087
"157",4280,0.693965
"158",4285,0.691072
"159",4290,0.652215
"160",4295,0.60272
"161",4300,0.53733
"162",4305,0.485312
"163",4310,0.528293
"164",4315,0.691321
"165",4320,0.813778
"166",4325,0.807094
"167",4330,0.787603
"168",4335,0.784593
"169",4340,0.778907
"170",4345,0.802881
"171",4350,0.829592
"172",4355,0.847142
"173",4360,0.874783
"174",4365,0.887147
"175",4370,0.856077
"176",4375,0.788846
"177",4380,0.716164
"178",4385,0.683597
"179",4390,0.722086
"180",4395,0.787861
"181",4400,0.81215
"182",4405,0.792886
"183",4410,0.800428
"184",4415,0.841648
"185",4420,0.878526
