"","angstrom","value"
"1",3500,0.110309
"2",3505,0.117262
"3",3510,0.119796
"4",3515,0.112868
"5",3520,0.102322
"6",3525,0.096161
"7",3530,0.100144
"8",3535,0.115602
"9",3540,0.128384
"10",3545,0.125597
"11",3550,0.114861
"12",3555,0.106064
"13",3560,0.097664
"14",3565,0.086969
"15",3570,0.078115
"16",3575,0.074655
"17",3580,0.070973
"18",3585,0.063901
"19",3590,0.069237
"20",3595,0.098219
"21",3600,0.124882
"22",3605,0.124299
"23",3610,0.111691
"24",3615,0.107491
"25",3620,0.120675
"26",3625,0.141849
"27",3630,0.164292
"28",3635,0.180731
"29",3640,0.178985
"30",3645,0.156104
"31",3650,0.150945
"32",3655,0.19373
"33",3660,0.238351
"34",3665,0.237595
"35",3670,0.216181
"36",3675,0.206802
"37",3680,0.202124
"38",3685,0.191701
"39",3690,0.192672
"40",3695,0.217142
"41",3700,0.229518
"42",3705,0.199048
"43",3710,0.162038
"44",3715,0.157087
"45",3720,0.164899
"46",3725,0.158912
"47",3730,0.14139
"48",3735,0.120928
"49",3740,0.102617
"50",3745,0.091369
"51",3750,0.094889
"52",3755,0.116644
"53",3760,0.140352
"54",3765,0.151288
"55",3770,0.160701
"56",3775,0.179233
"57",3780,0.189155
"58",3785,0.173326
"59",3790,0.145351
"60",3795,0.124536
"61",3800,0.122241
"62",3805,0.139939
"63",3810,0.147509
"64",3815,0.11989
"65",3820,0.083872
"66",3825,0.096078
"67",3830,0.085895
"68",3835,0.09257
"69",3840,0.110425
"70",3845,0.137745
"71",3850,0.141743
"72",3855,0.13486
"73",3860,0.123506
"74",3865,0.119242
"75",3870,0.138159
"76",3875,0.141849
"77",3880,0.157842
"78",3885,0.180903
"79",3890,0.203213
"80",3895,0.221831
"81",3900,0.231891
"82",3905,0.248176
"83",3910,0.259653
"84",3915,0.238183
"85",3920,0.20644
"86",3925,0.18456
"87",3930,0.151578
"88",3935,0.123038
"89",3940,0.140741
"90",3945,0.188271
"91",3950,0.226101
"92",3955,0.237852
"93",3960,0.221401
"94",3965,0.179092
"95",3970,0.162374
"96",3975,0.203099
"97",3980,0.27556
"98",3985,0.331432
"99",3990,0.359782
"100",3995,0.398149
"101",4000,0.401045
"102",4005,0.403756
"103",4010,0.419844
"104",4015,0.438997
"105",4020,0.462678
"106",4025,0.454707
"107",4030,0.430266
"108",4035,0.413713
"109",4040,0.404446
"110",4045,0.391967
"111",4050,0.382896
"112",4055,0.392063
"113",4060,0.38133
"114",4065,0.370167
"115",4070,0.375739
"116",4075,0.394443
"117",4080,0.426328
"118",4085,0.457853
"119",4090,0.470522
"120",4095,0.450508
"121",4100,0.426291
"122",4105,0.422219
"123",4110,0.422677
"124",4115,0.424108
"125",4120,0.42208
"126",4125,0.411664
"127",4130,0.400149
"128",4135,0.390987
"129",4140,0.374072
"130",4145,0.357159
"131",4150,0.34403
"132",4155,0.34919
"133",4160,0.366535
"134",4165,0.371858
"135",4170,0.359315
"136",4175,0.358541
"137",4180,0.361544
"138",4185,0.376559
"139",4190,0.393903
"140",4195,0.394301
"141",4200,0.3862
"142",4205,0.391908
"143",4210,0.427598
"144",4215,0.455719
"145",4220,0.459347
"146",4225,0.444685
"147",4230,0.428296
"148",4235,0.440593
"149",4240,0.479116
"150",4245,0.50754
"151",4250,0.512606
"152",4255,0.502059
"153",4260,0.490263
"154",4265,0.486098
"155",4270,0.479634
"156",4275,0.480256
"157",4280,0.4858
"158",4285,0.48218
"159",4290,0.466838
"160",4295,0.439348
"161",4300,0.408732
"162",4305,0.383917
"163",4310,0.401963
"164",4315,0.485183
"165",4320,0.570711
"166",4325,0.593761
"167",4330,0.585042
"168",4335,0.598352
"169",4340,0.617774
"170",4345,0.625904
"171",4350,0.637319
"172",4355,0.642894
"173",4360,0.655182
"174",4365,0.667862
"175",4370,0.659278
"176",4375,0.623711
"177",4380,0.578416
"178",4385,0.539359
"179",4390,0.532826
"180",4395,0.569066
"181",4400,0.605963
"182",4405,0.608991
"183",4410,0.605967
"184",4415,0.6204
"185",4420,0.641339
"186",4425,0.650623
"187",4430,0.653079
"188",4435,0.658025
"189",4440,0.675211
"190",4445,0.706813
"191",4450,0.721588
"192",4455,0.680079
"193",4460,0.641851
"194",4465,0.669298
"195",4470,0.7209
"196",4475,0.748651
"197",4480,0.767196
"198",4485,0.779988
"199",4490,0.777861
"200",4495,0.765461
"201",4500,0.771437
"202",4505,0.813969
"203",4510,0.860149
"204",4515,0.855107
"205",4520,0.809464
"206",4525,0.757658
"207",4530,0.722572
"208",4535,0.729428
"209",4540,0.754766
"210",4545,0.770845
"211",4550,0.785884
"212",4555,0.814438
"213",4560,0.84071
"214",4565,0.839891
"215",4570,0.826178
"216",4575,0.81958
"217",4580,0.820418
"218",4585,0.823532
"219",4590,0.822376
"220",4595,0.811485
"221",4600,0.811152
"222",4605,0.83939
"223",4610,0.878037
"224",4615,0.902824
"225",4620,0.914831
"226",4625,0.921512
"227",4630,0.905434
"228",4635,0.870474
"229",4640,0.831211
"230",4645,0.800856
"231",4650,0.798491
"232",4655,0.827435
"233",4660,0.845071
"234",4665,0.824903
"235",4670,0.803392
"236",4675,0.812192
"237",4680,0.827631
"238",4685,0.827984
"239",4690,0.816294
"240",4695,0.805746
"241",4700,0.804568
"242",4705,0.805182
"243",4710,0.810957
"244",4715,0.855604
"245",4720,0.882542
"246",4725,0.870413
"247",4730,0.852443
"248",4735,0.857474
"249",4740,0.878987
"250",4745,0.897912
"251",4750,0.903912
"252",4755,0.893767
"253",4760,0.877459
"254",4765,0.867908
"255",4770,0.87538
"256",4775,0.900776
"257",4780,0.920432
"258",4785,0.914875
"259",4790,0.906806
"260",4795,0.919067
"261",4800,0.935712
"262",4805,0.940707
"263",4810,0.938029
"264",4815,0.944285
"265",4820,0.947851
"266",4825,0.931652
"267",4830,0.907766
"268",4835,0.896672
"269",4840,0.899206
"270",4845,0.904316
"271",4850,0.896084
"272",4855,0.861883
"273",4860,0.820657
"274",4865,0.809802
"275",4870,0.823086
"276",4875,0.848435
"277",4880,0.864181
"278",4885,0.854806
"279",4890,0.854593
"280",4895,0.89795
"281",4900,0.933721
"282",4905,0.932189
"283",4910,0.905324
"284",4915,0.873634
"285",4920,0.864852
"286",4925,0.88624
"287",4930,0.908079
"288",4935,0.908454
"289",4940,0.911393
"290",4945,0.938904
"291",4950,0.964736
"292",4955,0.960489
"293",4960,0.946283
"294",4965,0.941249
"295",4970,0.935693
"296",4975,0.920813
"297",4980,0.907132
"298",4985,0.903619
"299",4990,0.902494
"300",4995,0.895091
"301",5000,0.878835
"302",5005,0.854839
"303",5010,0.829758
"304",5015,0.792424
"305",5020,0.803305
"306",5025,0.837613
"307",5030,0.863622
"308",5035,0.848119
"309",5040,0.831188
"310",5045,0.841777
"311",5050,0.867678
"312",5055,0.905157
"313",5060,0.918476
