"","angstrom","value"
"1",3500,1.104452
"2",3505,1.103528
"3",3510,1.100899
"4",3515,1.096048
"5",3520,1.09116
"6",3525,1.086421
"7",3530,1.096944
"8",3535,1.112203
"9",3540,1.117525
"10",3545,1.115574
"11",3550,1.108882
"12",3555,1.082365
"13",3560,1.075681
"14",3565,1.081668
"15",3570,1.094899
"16",3575,1.082837
"17",3580,1.065885
"18",3585,1.057925
"19",3590,1.071306
"20",3595,1.077634
"21",3600,1.089513
"22",3605,1.06374
"23",3610,1.078043
"24",3615,1.084668
"25",3620,1.060783
"26",3625,1.072939
"27",3630,1.092874
"28",3635,1.11906
"29",3640,1.07682
"30",3645,1.05602
"31",3650,1.068774
"32",3655,1.084894
"33",3660,1.035443
"34",3665,1.02572
"35",3670,1.063044
"36",3675,1.065462
"37",3680,1.063889
"38",3685,1.140864
"39",3690,1.236105
"40",3695,1.269897
"41",3700,1.335603
"42",3705,1.399252
"43",3710,1.466058
"44",3715,1.614566
"45",3720,1.581092
"46",3725,1.779515
"47",3730,1.825126
"48",3735,1.660641
"49",3740,2.131707
"50",3745,1.940059
"51",3750,1.547469
"52",3755,1.983005
"53",3760,2.194938
"54",3765,1.927542
"55",3770,1.574764
"56",3775,2.025903
"57",3780,2.47167
"58",3785,2.486114
"59",3790,2.269108
"60",3795,1.704101
"61",3800,1.819406
"62",3805,2.414028
"63",3810,2.600538
"64",3815,2.578901
"65",3820,2.568542
"66",3825,2.459197
"67",3830,1.972068
"68",3835,1.590402
"69",3840,2.129218
"70",3845,2.486592
"71",3850,2.506241
"72",3855,2.525712
"73",3860,2.511021
"74",3865,2.519083
"75",3870,2.547853
"76",3875,2.484063
"77",3880,2.258956
"78",3885,1.717537
"79",3890,1.625204
"80",3895,2.199157
"81",3900,2.398685
"82",3905,2.480159
"83",3910,2.481228
"84",3915,2.478136
"85",3920,2.468784
"86",3925,2.434193
"87",3930,2.2326
"88",3935,2.238648
"89",3940,2.432634
"90",3945,2.418681
"91",3950,2.434736
"92",3955,2.394473
"93",3960,2.163474
"94",3965,1.663588
"95",3970,1.369664
"96",3975,1.908631
"97",3980,2.21871
"98",3985,2.290027
"99",3990,2.34259
"100",3995,2.33414
"101",4000,2.287809
"102",4005,2.321468
"103",4010,2.324601
"104",4015,2.317273
"105",4020,2.325403
"106",4025,2.297863
"107",4030,2.278779
"108",4035,2.287522
"109",4040,2.277838
"110",4045,2.255058
"111",4050,2.239828
"112",4055,2.255054
"113",4060,2.260313
"114",4065,2.246591
"115",4070,2.219885
"116",4075,2.189934
"117",4080,2.193882
"118",4085,2.177127
"119",4090,2.075787
"120",4095,1.783225
"121",4100,1.338781
"122",4105,1.555731
"123",4110,1.965909
"124",4115,2.104375
"125",4120,2.127247
"126",4125,2.089337
"127",4130,2.070786
"128",4135,2.107716
"129",4140,2.111177
"130",4145,2.111422
"131",4150,2.121199
"132",4155,2.101499
"133",4160,2.059625
"134",4165,2.066176
"135",4170,2.027052
"136",4175,2.006449
"137",4180,2.001286
"138",4185,2.016114
