"","angstrom","value"
"1",3500,0.816418
"2",3505,0.834278
"3",3510,0.842766
"4",3515,0.837984
"5",3520,0.842707
"6",3525,0.846364
"7",3530,0.847867
"8",3535,0.855693
"9",3540,0.852023
"10",3545,0.855343
"11",3550,0.856774
"12",3555,0.848823
"13",3560,0.833435
"14",3565,0.806491
"15",3570,0.799122
"16",3575,0.801782
"17",3580,0.811904
"18",3585,0.799178
"19",3590,0.797385
"20",3595,0.821587
"21",3600,0.835004
"22",3605,0.815578
"23",3610,0.765291
"24",3615,0.761955
"25",3620,0.785754
"26",3625,0.819209
"27",3630,0.818027
"28",3635,0.807173
"29",3640,0.826602
"30",3645,0.828027
"31",3650,0.824475
"32",3655,0.844642
"33",3660,0.851688
"34",3665,0.836367
"35",3670,0.828607
"36",3675,0.803935
"37",3680,0.792329
"38",3685,0.800424
"39",3690,0.82435
"40",3695,0.833893
"41",3700,0.858434
"42",3705,0.830689
"43",3710,0.8403
"44",3715,0.884579
"45",3720,0.884502
"46",3725,0.930929
"47",3730,0.975159
"48",3735,0.87518
"49",3740,1.0553
"50",3745,1.061362
"51",3750,0.866205
"52",3755,1.05765
"53",3760,1.245307
"54",3765,1.135631
"55",3770,0.910495
"56",3775,1.122964
"57",3780,1.506279
"58",3785,1.643476
"59",3790,1.443973
"60",3795,1.076944
"61",3800,1.051178
"62",3805,1.449358
"63",3810,1.814698
"64",3815,1.963344
"65",3820,1.902758
"66",3825,1.641367
"67",3830,1.238233
"68",3835,0.946711
"69",3840,1.183845
"70",3845,1.623371
"71",3850,1.936252
"72",3855,2.12883
"73",3860,2.211425
"74",3865,2.263114
"75",3870,2.178019
"76",3875,1.898178
"77",3880,1.539756
"78",3885,1.110898
"79",3890,0.950602
"80",3895,1.313165
"81",3900,1.70562
"82",3905,2.000964
"83",3910,2.228504
"84",3915,2.302248
"85",3920,2.352494
"86",3925,2.349095
"87",3930,2.077487
"88",3935,1.953954
"89",3940,2.268402
"90",3945,2.271302
"91",3950,2.153929
"92",3955,1.936466
"93",3960,1.600858
"94",3965,1.169462
"95",3970,0.870281
"96",3975,1.176203
"97",3980,1.617409
"98",3985,1.930121
"99",3990,2.121762
"100",3995,2.233527
"101",4000,2.281556
"102",4005,2.318671
"103",4010,2.362419
"104",4015,2.385537
"105",4020,2.398529
"106",4025,2.367473
"107",4030,2.353317
"108",4035,2.385643
"109",4040,2.404873
"110",4045,2.35043
"111",4050,2.351461
"112",4055,2.356511
"113",4060,2.318976
"114",4065,2.269607
"115",4070,2.194996
"116",4075,2.094512
"117",4080,2.004461
"118",4085,1.884568
"119",4090,1.640538
"120",4095,1.294262
"121",4100,0.950647
"122",4105,1.000737
"123",4110,1.377002
"124",4115,1.703971
"125",4120,1.904418
"126",4125,1.994694
"127",4130,2.033967
"128",4135,2.112509
"129",4140,2.17169
"130",4145,2.173666
"131",4150,2.194596
"132",4155,2.190008
"133",4160,2.200183
"134",4165,2.224786
"135",4170,2.188926
"136",4175,2.129922
"137",4180,2.123109
"138",4185,2.140516
"139",4190,2.155073
"140",4195,2.153191
"141",4200,2.115216
"142",4205,2.14176
"143",4210,2.161181
"144",4215,2.122995
"145",4220,2.117833
"146",4225,2.090325
"147",4230,2.065279
"148",4235,2.067605
"149",4240,2.105541
"150",4245,2.083151
"151",4250,2.053111
"152",4255,2.059645
"153",4260,2.03804
"154",4265,2.040509
"155",4270,2.009441
"156",4275,1.993159
"157",4280,2.052364
"158",4285,2.042666
"159",4290,1.994315
"160",4295,1.966927
"161",4300,1.909439
"162",4305,1.86888
"163",4310,1.85985
"164",4315,1.80549
"165",4320,1.721439
"166",4325,1.584174
"167",4330,1.387736
"168",4335,1.10038
"169",4340,0.828133
"170",4345,0.939009
"171",4350,1.238777
"172",4355,1.485828
"173",4360,1.650422
"174",4365,1.770467
"175",4370,1.826794
"176",4375,1.858662
"177",4380,1.897603
"178",4385,1.867614
"179",4390,1.890381
"180",4395,1.892859
"181",4400,1.901195
"182",4405,1.903415
"183",4410,1.917146
"184",4415,1.878563
"185",4420,1.879709
"186",4425,1.922172
"187",4430,1.90956
"188",4435,1.895152
"189",4440,1.895269
"190",4445,1.871927
"191",4450,1.907464
"192",4455,1.912082
"193",4460,1.885135
"194",4465,1.869801
"195",4470,1.837555
"196",4475,1.847553
"197",4480,1.786736
"198",4485,1.80426
"199",4490,1.816487
"200",4495,1.83784
"201",4500,1.845022
"202",4505,1.836659
"203",4510,1.821699
"204",4515,1.789605
"205",4520,1.762996
"206",4525,1.767388
"207",4530,1.765345
"208",4535,1.765559
"209",4540,1.785736
"210",4545,1.772145
"211",4550,1.693238
"212",4555,1.695421
"213",4560,1.725753
"214",4565,1.749119
"215",4570,1.738701
"216",4575,1.72136
"217",4580,1.708716
"218",4585,1.699131
"219",4590,1.698346
"220",4595,1.719539
"221",4600,1.724264
"222",4605,1.717236
"223",4610,1.714494
"224",4615,1.696736
"225",4620,1.697438
"226",4625,1.68301
"227",4630,1.651956
"228",4635,1.657052
"229",4640,1.690797
