"","angstrom","value"
"1",3500,0.693878
"2",3505,0.692458
"3",3510,0.70092
"4",3515,0.702843
"5",3520,0.724025
"6",3525,0.722653
"7",3530,0.70932
"8",3535,0.716049
"9",3540,0.721753
"10",3545,0.724903
"11",3550,0.752389
"12",3555,0.716769
"13",3560,0.714137
"14",3565,0.702934
"15",3570,0.671194
"16",3575,0.652964
"17",3580,0.657239
"18",3585,0.625369
"19",3590,0.645404
"20",3595,0.691014
"21",3600,0.679433
"22",3605,0.651162
"23",3610,0.64941
"24",3615,0.653413
"25",3620,0.663742
"26",3625,0.68374
"27",3630,0.677718
"28",3635,0.688581
"29",3640,0.717236
"30",3645,0.707905
"31",3650,0.738628
"32",3655,0.746079
"33",3660,0.750654
"34",3665,0.74651
"35",3670,0.771774
"36",3675,0.773424
"37",3680,0.747139
"38",3685,0.755886
"39",3690,0.765706
"40",3695,0.779958
"41",3700,0.768288
"42",3705,0.756169
"43",3710,0.785947
"44",3715,0.828937
"45",3720,0.801352
"46",3725,0.904834
"47",3730,0.928496
"48",3735,0.822933
"49",3740,0.997575
"50",3745,0.935838
"51",3750,0.824709
"52",3755,1.029671
"53",3760,1.088684
"54",3765,1.031425
"55",3770,0.902007
"56",3775,1.15883
"57",3780,1.529054
"58",3785,1.550515
"59",3790,1.298458
"60",3795,0.992675
"61",3800,1.051484
"62",3805,1.37045
"63",3810,1.612239
"64",3815,1.674975
"65",3820,1.680235
"66",3825,1.445251
"67",3830,1.091574
"68",3835,0.893366
"69",3840,1.181026
"70",3845,1.553135
"71",3850,1.797515
"72",3855,1.894969
"73",3860,1.930958
"74",3865,1.949034
"75",3870,1.838153
"76",3875,1.632147
"77",3880,1.361222
"78",3885,0.989368
"79",3890,0.91116
"80",3895,1.220186
"81",3900,1.486845
"82",3905,1.740734
"83",3910,1.960374
"84",3915,1.999454
"85",3920,2.072288
"86",3925,2.054843
"87",3930,1.653197
"88",3935,1.572532
"89",3940,1.947371
"90",3945,1.986031
"91",3950,1.857786
"92",3955,1.655982
"93",3960,1.382266
"94",3965,0.980799
"95",3970,0.76933
"96",3975,1.110006
"97",3980,1.478857
"98",3985,1.723976
"99",3990,1.913285
"100",3995,1.991906
"101",4000,2.025396
"102",4005,2.06882
"103",4010,2.141881
"104",4015,2.190657
"105",4020,2.205155
"106",4025,2.149217
"107",4030,2.098201
"108",4035,2.115076
"109",4040,2.14009
"110",4045,2.085175
"111",4050,2.08791
"112",4055,2.062372
"113",4060,2.007669
"114",4065,1.943148
"115",4070,1.890633
"116",4075,1.772484
"117",4080,1.700088
"118",4085,1.64621
"119",4090,1.476829
"120",4095,1.185323
"121",4100,0.878191
"122",4105,0.946116
"123",4110,1.278448
"124",4115,1.532863
"125",4120,1.686665
"126",4125,1.76951
"127",4130,1.78479
"128",4135,1.877167
"129",4140,1.948001
"130",4145,1.981603
"131",4150,1.988931
"132",4155,1.954999
"133",4160,1.990146
"134",4165,1.987248
"135",4170,1.919878
"136",4175,1.835472
"137",4180,1.82699
"138",4185,1.876312
"139",4190,1.910705
"140",4195,1.912142
"141",4200,1.847359
"142",4205,1.879253
"143",4210,1.933153
"144",4215,1.934336
"145",4220,1.912726
"146",4225,1.86402
"147",4230,1.880406
"148",4235,1.849699
"149",4240,1.861961
"150",4245,1.838859
"151",4250,1.811711
"152",4255,1.845289
"153",4260,1.840081
"154",4265,1.85961
"155",4270,1.80822
"156",4275,1.836252
"157",4280,1.881999
"158",4285,1.847824
"159",4290,1.802791
"160",4295,1.791428
"161",4300,1.714677
"162",4305,1.65805
"163",4310,1.612307
"164",4315,1.575199
"165",4320,1.544005
"166",4325,1.402134
"167",4330,1.239674
"168",4335,0.979965
"169",4340,0.76064
"170",4345,0.917708
"171",4350,1.177955
"172",4355,1.380669
"173",4360,1.545652
"174",4365,1.652601
"175",4370,1.682442
"176",4375,1.695932
"177",4380,1.719211
"178",4385,1.697633
"179",4390,1.753817
"180",4395,1.745054
"181",4400,1.723487
"182",4405,1.729269
"183",4410,1.711267
"184",4415,1.636906
"185",4420,1.655649
"186",4425,1.692675
"187",4430,1.701548
"188",4435,1.704284
"189",4440,1.70288
"190",4445,1.658507
"191",4450,1.682903
"192",4455,1.654433
"193",4460,1.647786
"194",4465,1.672334
"195",4470,1.668123
"196",4475,1.680268
"197",4480,1.608952
"198",4485,1.645809
"199",4490,1.635131
"200",4495,1.661137
"201",4500,1.695399
"202",4505,1.696727
"203",4510,1.693374
"204",4515,1.657325
"205",4520,1.617055
"206",4525,1.601151
"207",4530,1.588418
"208",4535,1.633522
"209",4540,1.668006
"210",4545,1.631867
"211",4550,1.535756
"212",4555,1.5381
"213",4560,1.552214
"214",4565,1.592021
"215",4570,1.610705
"216",4575,1.603541
"217",4580,1.575999
"218",4585,1.530465
"219",4590,1.540391
"220",4595,1.567727
"221",4600,1.580673
"222",4605,1.601296
"223",4610,1.615271
"224",4615,1.595365
"225",4620,1.569655
"226",4625,1.542982
"227",4630,1.495279
"228",4635,1.512507
"229",4640,1.536878
"230",4645,1.535331
"231",4650,1.544396
"232",4655,1.53774
"233",4660,1.524216
"234",4665,1.49945
"235",4670,1.527039
"236",4675,1.549583
"237",4680,1.557661
"238",4685,1.562267
"239",4690,1.550203
"240",4695,1.55188
