"","angstrom","value"
"1",3500,4.725098
"2",3505,4.664042
"3",3510,4.590724
"4",3515,4.615899
"5",3520,4.626901
"6",3525,4.605589
"7",3530,4.562861
"8",3535,4.542328
"9",3540,4.540615
"10",3545,4.508038
"11",3550,4.434271
"12",3555,4.443241
"13",3560,4.417793
"14",3565,4.363271
"15",3570,4.313292
"16",3575,4.270181
"17",3580,4.199956
"18",3585,4.155543
"19",3590,4.133392
"20",3595,4.150284
"21",3600,4.136427
"22",3605,4.094139
"23",3610,4.038498
"24",3615,4.027834
"25",3620,4.049402
"26",3625,4.012952
"27",3630,3.946717
"28",3635,3.956111
"29",3640,3.986777
"30",3645,4.008061
"31",3650,4.025969
"32",3655,4.087309
"33",3660,4.09096
"34",3665,4.000875
"35",3670,3.961598
"36",3675,3.916876
"37",3680,3.929919
"38",3685,3.941929
"39",3690,3.945737
"40",3695,3.890494
"41",3700,3.807498
"42",3705,3.729032
"43",3710,3.800027
"44",3715,3.852556
"45",3720,3.85788
"46",3725,3.843374
"47",3730,3.879123
"48",3735,3.859249
"49",3740,3.932654
"50",3745,3.851964
"51",3750,3.698277
"52",3755,3.764999
"53",3760,3.847992
"54",3765,3.837884
"55",3770,3.656492
"56",3775,3.837988
"57",3780,4.156175
"58",3785,4.239368
"59",3790,4.095716
"60",3795,3.771449
"61",3800,3.781272
"62",3805,4.108153
"63",3810,4.31232
"64",3815,4.287132
"65",3820,4.231123
"66",3825,4.251493
"67",3830,3.956963
"68",3835,3.638875
"69",3840,3.862265
"70",3845,4.186396
"71",3850,4.275269
"72",3855,4.297747
"73",3860,4.287555
"74",3865,4.214367
"75",3870,4.132408
"76",3875,4.077787
"77",3880,3.867404
"78",3885,3.510681
"79",3890,3.343251
"80",3895,3.690047
"81",3900,3.971993
"82",3905,4.051331
"83",3910,4.052249
"84",3915,4.035048
"85",3920,3.950003
"86",3925,3.873775
"87",3930,3.869964
"88",3935,3.792871
"89",3940,3.874316
"90",3945,3.885875
"91",3950,3.864999
"92",3955,3.790621
"93",3960,3.584599
"94",3965,3.18794
"95",3970,2.958443
"96",3975,3.239295
"97",3980,3.528085
"98",3985,3.630838
"99",3990,3.670715
"100",3995,3.654479
"101",4000,3.606175
"102",4005,3.577856
"103",4010,3.549459
"104",4015,3.545276
"105",4020,3.435
"106",4025,3.273817
"107",4030,3.323613
"108",4035,3.429131
"109",4040,3.448806
"110",4045,3.469649
"111",4050,3.498493
"112",4055,3.467455
"113",4060,3.4484
"114",4065,3.416022
"115",4070,3.311603
"116",4075,3.313716
"117",4080,3.325674
"118",4085,3.271762
"119",4090,3.146587
"120",4095,2.9342
"121",4100,2.653553
"122",4105,2.719296
"123",4110,2.987609
"124",4115,3.100204
"125",4120,3.150913
"126",4125,3.187439
"127",4130,3.195747
"128",4135,3.166944
"129",4140,3.118255
"130",4145,3.053094
"131",4150,3.069235
"132",4155,3.072231
"133",4160,3.071479
"134",4165,3.082179
"135",4170,3.035287
"136",4175,3.023213
"137",4180,3.005003
"138",4185,2.95575
"139",4190,2.93122
"140",4195,2.901751
"141",4200,2.862948
"142",4205,2.891851
"143",4210,2.905329
"144",4215,2.893809
"145",4220,2.901809
"146",4225,2.908706
"147",4230,2.864282
"148",4235,2.871374
"149",4240,2.85594
"150",4245,2.821599
"151",4250,2.809776
"152",4255,2.791397
"153",4260,2.765939
"154",4265,2.780628
"155",4270,2.777313
"156",4275,2.738635
"157",4280,2.754893
"158",4285,2.759624
"159",4290,2.754608
"160",4295,2.767895
"161",4300,2.749548
"162",4305,2.709111
"163",4310,2.692544
"164",4315,2.668254
"165",4320,2.642617
"166",4325,2.620142
"167",4330,2.511204
"168",4335,2.307716
"169",4340,2.089051
"170",4345,2.180815
"171",4350,2.385496
"172",4355,2.51044
"173",4360,2.554441
"174",4365,2.553836
"175",4370,2.542505
"176",4375,2.523327
