"","angstrom","value"
"1",3500,3.879466
"2",3505,3.8458
"3",3510,3.823066
"4",3515,3.838865
"5",3520,3.865883
"6",3525,3.871364
"7",3530,3.855712
"8",3535,3.8293
"9",3540,3.809222
"10",3545,3.806373
"11",3550,3.800141
"12",3555,3.772863
"13",3560,3.750175
"14",3565,3.754959
"15",3570,3.755771
"16",3575,3.720403
"17",3580,3.667922
"18",3585,3.609337
"19",3590,3.609001
"20",3595,3.618664
"21",3600,3.599601
"22",3605,3.632007
"23",3610,3.663081
"24",3615,3.63885
"25",3620,3.61347
"26",3625,3.641897
"27",3630,3.643732
"28",3635,3.492352
"29",3640,3.528893
"30",3645,3.618019
"31",3650,3.61387
"32",3655,3.629
"33",3660,3.622665
"34",3665,3.579438
"35",3670,3.573886
"36",3675,3.510961
"37",3680,3.517251
"38",3685,3.572621
"39",3690,3.56773
"40",3695,3.487131
"41",3700,3.431707
"42",3705,3.3427
"43",3710,3.359972
"44",3715,3.440808
"45",3720,3.360285
"46",3725,3.378251
"47",3730,3.377135
"48",3735,3.308112
"49",3740,3.5484
"50",3745,3.373318
"51",3750,3.072766
"52",3755,3.431441
"53",3760,3.691063
"54",3765,3.391567
"55",3770,3.070776
"56",3775,3.509697
"57",3780,3.93753
"58",3785,3.936599
"59",3790,3.641204
"60",3795,3.1079
"61",3800,3.257521
"62",3805,3.739247
"63",3810,3.957413
"64",3815,3.798244
"65",3820,3.696342
"66",3825,3.784786
"67",3830,3.322133
"68",3835,3.023141
"69",3840,3.495896
"70",3845,3.793458
"71",3850,3.860965
"72",3855,3.903942
"73",3860,3.85809
"74",3865,3.752664
"75",3870,3.702843
"76",3875,3.608919
"77",3880,3.347849
"78",3885,2.849648
"79",3890,2.842709
"80",3895,3.374485
"81",3900,3.622931
"82",3905,3.665153
"83",3910,3.634172
"84",3915,3.596667
"85",3920,3.445179
"86",3925,3.416101
"87",3930,3.366363
"88",3935,3.420547
"89",3940,3.532216
"90",3945,3.512469
"91",3950,3.468697
"92",3955,3.34659
"93",3960,3.133338
"94",3965,2.644351
"95",3970,2.446476
"96",3975,2.946186
"97",3980,3.259169
"98",3985,3.313883
"99",3990,3.31941
"100",3995,3.328106
"101",4000,3.345814
"102",4005,3.212095
"103",4010,3.179786
"104",4015,3.215247
"105",4020,3.112437
"106",4025,2.923556
"107",4030,3.066586
"108",4035,3.166837
"109",4040,3.171858
"110",4045,3.168583
"111",4050,3.197768
"112",4055,3.168848
"113",4060,3.168514
"114",4065,3.127086
"115",4070,3.005328
"116",4075,2.979412
"117",4080,2.992459
"118",4085,2.942513
"119",4090,2.865037
"120",4095,2.584837
"121",4100,2.224554
"122",4105,2.432005
"123",4110,2.722791
"124",4115,2.78326
"125",4120,2.761328
"126",4125,2.842372
"127",4130,2.846406
"128",4135,2.848161
"129",4140,2.730622
"130",4145,2.722098
"131",4150,2.825834
"132",4155,2.841228
"133",4160,2.826144
"134",4165,2.800233
"135",4170,2.781928
"136",4175,2.7738
"137",4180,2.772033
"138",4185,2.734405
"139",4190,2.732409
"140",4195,2.722674
"141",4200,2.716158
"142",4205,2.714379
"143",4210,2.723886
"144",4215,2.703516
"145",4220,2.71863
"146",4225,2.707158
"147",4230,2.652894
"148",4235,2.621943
"149",4240,2.604724
"150",4245,2.630009
"151",4250,2.605189
"152",4255,2.564882
"153",4260,2.543894
"154",4265,2.52364
"155",4270,2.535739
"156",4275,2.534209
"157",4280,2.549386
"158",4285,2.546556
"159",4290,2.543786
"160",4295,2.539161
"161",4300,2.518583
"162",4305,2.471407
"163",4310,2.448052
"164",4315,2.419128
"165",4320,2.402364
"166",4325,2.371353
"167",4330,2.23662
"168",4335,1.981221
"169",4340,1.794681
"170",4345,1.995554
"171",4350,2.212918
"172",4355,2.329541
"173",4360,2.34087
"174",4365,2.304791
"175",4370,2.33639
"176",4375,2.367734
"177",4380,2.345288
"178",4385,2.221406
"179",4390,2.23907
"180",4395,2.305035
"181",4400,2.325277
"182",4405,2.302329
"183",4410,2.267075
"184",4415,2.189944
"185",4420,2.18837
"186",4425,2.185552
"187",4430,2.146926
"188",4435,2.136626
"189",4440,2.168542
"190",4445,2.193014
"191",4450,2.192934
"192",4455,2.192255
