"","angstrom","value"
"1",3500,3.628866
"2",3505,3.608901
"3",3510,3.429543
"4",3515,3.423938
"5",3520,3.417347
"6",3525,3.392001
"7",3530,3.402406
"8",3535,3.478113
"9",3540,3.431382
"10",3545,3.359269
"11",3550,3.321185
"12",3555,3.30846
"13",3560,3.352962
"14",3565,3.35589
"15",3570,3.350457
"16",3575,3.324009
"17",3580,3.311741
"18",3585,3.266169
"19",3590,3.25987
"20",3595,3.229666
"21",3600,3.154844
"22",3605,3.20852
"23",3610,3.231754
"24",3615,3.13921
"25",3620,3.201274
"26",3625,3.200153
"27",3630,3.011303
"28",3635,2.954048
"29",3640,3.09657
"30",3645,3.08591
"31",3650,3.10115
"32",3655,3.101083
"33",3660,3.115252
"34",3665,3.106951
"35",3670,3.083442
"36",3675,3.135098
"37",3680,3.121872
"38",3685,3.065509
"39",3690,3.071783
"40",3695,3.016466
"41",3700,3.007968
"42",3705,2.911268
"43",3710,3.052044
"44",3715,3.187859
"45",3720,3.084663
"46",3725,3.128487
"47",3730,3.197772
"48",3735,3.08587
"49",3740,3.360993
"50",3745,3.308505
"51",3750,3.034148
"52",3755,3.256056
"53",3760,3.415236
"54",3765,3.261799
"55",3770,3.061951
"56",3775,3.286268
"57",3780,3.446079
"58",3785,3.407203
"59",3790,3.356056
"60",3795,3.108603
"61",3800,3.100788
"62",3805,3.316078
"63",3810,3.445807
"64",3815,3.363542
"65",3820,3.234468
"66",3825,3.293835
"67",3830,3.100412
"68",3835,2.801269
"69",3840,3.049429
"70",3845,3.235647
"71",3850,3.264982
"72",3855,3.256268
"73",3860,3.250956
"74",3865,3.188838
"75",3870,3.153281
"76",3875,3.179305
"77",3880,3.176559
"78",3885,2.973772
"79",3890,2.780901
"80",3895,3.07566
"81",3900,3.190658
"82",3905,3.225214
"83",3910,3.15631
"84",3915,3.087626
"85",3920,3.003518
"86",3925,2.973977
"87",3930,2.891438
"88",3935,2.884478
"89",3940,3.067256
"90",3945,3.101714
"91",3950,3.070925
"92",3955,3.02748
"93",3960,2.971784
"94",3965,2.679076
"95",3970,2.473683
"96",3975,2.851043
"97",3980,2.986284
"98",3985,2.974729
"99",3990,2.959828
"100",3995,2.848335
"101",4000,2.884041
"102",4005,2.829105
"103",4010,2.802388
"104",4015,2.869693
"105",4020,2.800618
"106",4025,2.616787
"107",4030,2.746608
"108",4035,2.789818
"109",4040,2.719918
"110",4045,2.713592
"111",4050,2.749013
"112",4055,2.720338
"113",4060,2.712235
"114",4065,2.669138
"115",4070,2.579947
"116",4075,2.553409
"117",4080,2.587605
"118",4085,2.579479
"119",4090,2.567555
"120",4095,2.481457
"121",4100,2.266193
"122",4105,2.405041
"123",4110,2.590069
"124",4115,2.534445
"125",4120,2.488911
"126",4125,2.551997
"127",4130,2.556989
"128",4135,2.536048
"129",4140,2.464215
"130",4145,2.482469
"131",4150,2.557415
"132",4155,2.531684
"133",4160,2.518767
"134",4165,2.510872
"135",4170,2.483027
"136",4175,2.438762
"137",4180,2.446309
"138",4185,2.444057
"139",4190,2.426139
"140",4195,2.428812
"141",4200,2.410853
"142",4205,2.424555
"143",4210,2.437006
"144",4215,2.439065
"145",4220,2.387807
