"","angstrom","value"
"1",3500,2.90522
"2",3505,2.893688
"3",3510,2.631194
"4",3515,2.630781
"5",3520,2.651968
"6",3525,2.666178
"7",3530,2.645329
"8",3535,2.612126
"9",3540,2.6027
"10",3545,2.609078
"11",3550,2.59891
"12",3555,2.57476
"13",3560,2.548505
"14",3565,2.571596
"15",3570,2.570453
"16",3575,2.530504
"17",3580,2.508671
"18",3585,2.469813
"19",3590,2.435546
"20",3595,2.458667
"21",3600,2.33512
"22",3605,2.35838
"23",3610,2.389436
"24",3615,2.384384
"25",3620,2.359449
"26",3625,2.351982
"27",3630,2.337411
"28",3635,2.292674
"29",3640,2.31813
"30",3645,2.364285
"31",3650,2.376088
"32",3655,2.411301
"33",3660,2.403059
"34",3665,2.378556
"35",3670,2.401465
"36",3675,2.366227
"37",3680,2.380306
"38",3685,2.387667
"39",3690,2.408927
"40",3695,2.427085
"41",3700,2.45751
"42",3705,2.467953
"43",3710,2.509173
"44",3715,2.609081
"45",3720,2.648122
"46",3725,2.695486
"47",3730,2.708497
"48",3735,2.631138
"49",3740,2.871827
"50",3745,2.876604
"51",3750,2.669007
"52",3755,2.852293
"53",3760,3.006781
"54",3765,2.863217
"55",3770,2.665048
"56",3775,2.894677
"57",3780,3.193284
"58",3785,3.189244
"59",3790,3.049607
"60",3795,2.763266
"61",3800,2.749534
"62",3805,3.072917
"63",3810,3.270729
"64",3815,3.222576
"65",3820,3.126714
"66",3825,3.091671
"67",3830,2.817072
"68",3835,2.612493
"69",3840,2.919078
"70",3845,3.166079
"71",3850,3.221103
"72",3855,3.164822
"73",3860,3.12271
"74",3865,3.091976
"75",3870,3.057132
"76",3875,3.038659
"77",3880,2.901022
"78",3885,2.57125
"79",3890,2.522651
"80",3895,2.877554
"81",3900,3.067698
"82",3905,3.079947
"83",3910,3.088364
"84",3915,3.034446
"85",3920,2.954473
"86",3925,2.892272
"87",3930,2.792748
"88",3935,2.818389
"89",3940,2.944633
"90",3945,2.993682
"91",3950,2.956878
"92",3955,2.883389
"93",3960,2.728284
"94",3965,2.393407
"95",3970,2.232303
"96",3975,2.543921
"97",3980,2.768558
"98",3985,2.828944
"99",3990,2.821998
"100",3995,2.787376
"101",4000,2.755751
"102",4005,2.721494
"103",4010,2.712998
"104",4015,2.731368
"105",4020,2.673788
"106",4025,2.572306
"107",4030,2.605337
"108",4035,2.673107
"109",4040,2.692916
"110",4045,2.693642
"111",4050,2.686694
"112",4055,2.700749
"113",4060,2.716692
"114",4065,2.702966
"115",4070,2.668926
"116",4075,2.649434
"117",4080,2.637556
"118",4085,2.602934
"119",4090,2.530146
"120",4095,2.34024
"121",4100,2.10985
"122",4105,2.195764
"123",4110,2.42788
"124",4115,2.516927
"125",4120,2.493119
"126",4125,2.463315
"127",4130,2.454442
"128",4135,2.451899
"129",4140,2.408709
"130",4145,2.39099
"131",4150,2.441611
"132",4155,2.490943
"133",4160,2.481201
"134",4165,2.427766
"135",4170,2.407517
"136",4175,2.42439
"137",4180,2.432515
"138",4185,2.41955
"139",4190,2.41384
"140",4195,2.394585
"141",4200,2.384879
"142",4205,2.386047
"143",4210,2.382312
"144",4215,2.38306
"145",4220,2.373971
"146",4225,2.358488
"147",4230,2.334883
"148",4235,2.319994
"149",4240,2.322025
"150",4245,2.32304
"151",4250,2.315973
"152",4255,2.304821
"153",4260,2.274209
"154",4265,2.229994
"155",4270,2.214834
"156",4275,2.24054
"157",4280,2.242197
"158",4285,2.236263
"159",4290,2.232235
"160",4295,2.225095
"161",4300,2.218596
"162",4305,2.218442
"163",4310,2.211473
"164",4315,2.19898
"165",4320,2.181914
"166",4325,2.147453
"167",4330,2.073169
"168",4335,1.900091
"169",4340,1.746811
"170",4345,1.866187
"171",4350,2.036326
"172",4355,2.112769
"173",4360,2.131552
"174",4365,2.123372
"175",4370,2.108119
"176",4375,2.105603
"177",4380,2.092117
"178",4385,2.019217
"179",4390,2.00348
"180",4395,2.047946
"181",4400,2.04394
"182",4405,2.033071
"183",4410,2.005909
"184",4415,1.953443
"185",4420,1.922458
"186",4425,1.890378
"187",4430,1.862412
"188",4435,1.86693
"189",4440,1.913051
"190",4445,1.941182
"191",4450,1.950548
"192",4455,1.959055
"193",4460,1.950876
"194",4465,1.902538
"195",4470,1.802834
"196",4475,1.804815
"197",4480,1.82467
"198",4485,1.872405
"199",4490,1.900309
"200",4495,1.903671
"201",4500,1.907577
"202",4505,1.892801
"203",4510,1.887998
"204",4515,1.889688
"205",4520,1.897424
"206",4525,1.879042
"207",4530,1.864855
"208",4535,1.871687
"209",4540,1.859348
"210",4545,1.844231
"211",4550,1.800577
"212",4555,1.797957
"213",4560,1.809808
"214",4565,1.800923
"215",4570,1.794163
"216",4575,1.781904
"217",4580,1.780762
"218",4585,1.773849
"219",4590,1.752397
"220",4595,1.755177
"221",4600,1.742387
"222",4605,1.733346
"223",4610,1.738643
"224",4615,1.733742
"225",4620,1.723024
"226",4625,1.718035
"227",4630,1.686734
"228",4635,1.680398
"229",4640,1.692684
"230",4645,1.702374
"231",4650,1.701379
"232",4655,1.70273
