"","angstrom","value"
"1",3500,1.628374
"2",3505,1.624258
"3",3510,1.620583
"4",3515,1.623881
"5",3520,1.621462
"6",3525,1.603958
"7",3530,1.594492
"8",3535,1.611971
"9",3540,1.625927
"10",3545,1.607396
"11",3550,1.582806
"12",3555,1.581512
"13",3560,1.589215
"14",3565,1.586288
"15",3570,1.575475
"16",3575,1.563645
"17",3580,1.551797
"18",3585,1.540473
"19",3590,1.534248
"20",3595,1.535528
"21",3600,1.534012
"22",3605,1.521446
"23",3610,1.510467
"24",3615,1.513368
"25",3620,1.520165
"26",3625,1.518749
"27",3630,1.510784
"28",3635,1.5009
"29",3640,1.491819
"30",3645,1.485469
"31",3650,1.482516
"32",3655,1.482596
"33",3660,1.482497
"34",3665,1.478391
"35",3670,1.466841
"36",3675,1.447703
"37",3680,1.433619
"38",3685,1.436078
"39",3690,1.44917
"40",3695,1.463775
"41",3700,1.475356
"42",3705,1.482888
"43",3710,1.494833
"44",3715,1.518532
"45",3720,1.547346
"46",3725,1.574156
"47",3730,1.603885
"48",3735,1.641734
"49",3740,1.681988
"50",3745,1.719723
"51",3750,1.764113
"52",3755,1.819189
"53",3760,1.854317
"54",3765,1.852838
"55",3770,1.888667
"56",3775,2.019352
"57",3780,2.146402
"58",3785,2.163529
"59",3790,2.089296
"60",3795,1.986959
"61",3800,1.973707
"62",3805,2.132653
"63",3810,2.356689
"64",3815,2.503744
"65",3820,2.482111
"66",3825,2.261844
"67",3830,2.009666
"68",3835,1.906776
"69",3840,1.995602
"70",3845,2.252954
"71",3850,2.531938
"72",3855,2.693289
"73",3860,2.751956
"74",3865,2.745587
"75",3870,2.648419
"76",3875,2.438786
"77",3880,2.174819
"78",3885,1.940125
"79",3890,1.84041
"80",3895,1.948054
"81",3900,2.180032
"82",3905,2.424241
"83",3910,2.607671
"84",3915,2.687423
"85",3920,2.701961
"86",3925,2.70131
"87",3930,2.700397
"88",3935,2.703278
"89",3940,2.705623
"90",3945,2.692177
"91",3950,2.612352
"92",3955,2.426289
"93",3960,2.172357
"94",3965,1.924401
"95",3970,1.819931
"96",3975,1.958815
"97",3980,2.226688
"98",3985,2.478003
"99",3990,2.656709
"100",3995,2.742507
"101",4000,2.768618
"102",4005,2.773183
"103",4010,2.760518
"104",4015,2.730962
"105",4020,2.702784
"106",4025,2.693676
"107",4030,2.701076
"108",4035,2.716186
"109",4040,2.725487
"110",4045,2.718508
"111",4050,2.701681
"112",4055,2.683062
"113",4060,2.660294
"114",4065,2.63
"115",4070,2.595126
"116",4075,2.551828
"117",4080,2.462765
"118",4085,2.296297
"119",4090,2.077082
"120",4095,1.856789
"121",4100,1.738852
"122",4105,1.803628
"123",4110,1.987402
"124",4115,2.197131
"125",4120,2.36652
"126",4125,2.453301
"127",4130,2.484567
"128",4135,2.498107
"129",4140,2.505161
"130",4145,2.509376
"131",4150,2.510607
"132",4155,2.507493
"133",4160,2.497621
"134",4165,2.481528
"135",4170,2.472598
"136",4175,2.480824
"137",4180,2.48977
"138",4185,2.483341
"139",4190,2.473225
"140",4195,2.47219
"141",4200,2.469556
"142",4205,2.454422
"143",4210,2.438461
"144",4215,2.433148
"145",4220,2.426601
"146",4225,2.407316
"147",4230,2.388649
"148",4235,2.384303
"149",4240,2.384511
"150",4245,2.377485
"151",4250,2.366836
"152",4255,2.358223
"153",4260,2.350097
"154",4265,2.340111
"155",4270,2.329919
"156",4275,2.321759
"157",4280,2.316207
"158",4285,2.311524
"159",4290,2.298371
"160",4295,2.269765
"161",4300,2.235758
"162",4305,2.205786
"163",4310,2.169787
"164",4315,2.11182
"165",4320,2.01194
"166",4325,1.859593
"167",4330,1.685801
"168",4335,1.538813
"169",4340,1.49422
"170",4345,1.602075
"171",4350,1.782938
"172",4355,1.942997
"173",4360,2.060429
"174",4365,2.131191
"175",4370,2.150345
"176",4375,2.122454
"177",4380,2.09098
"178",4385,2.094037
"179",4390,2.109457
"180",4395,2.108817
"181",4400,2.098967
"182",4405,2.092545
"183",4410,2.090087
"184",4415,2.088883
"185",4420,2.085347
"186",4425,2.076825
"187",4430,2.065281
"188",4435,2.053859
"189",4440,2.045826
"190",4445,2.042347
"191",4450,2.036064
"192",4455,2.019072
"193",4460,1.9898
"194",4465,1.950979
"195",4470,1.916205
"196",4475,1.89879
"197",4480,1.900021
"198",4485,1.916122
"199",4490,1.935095
"200",4495,1.945563
"201",4500,1.946862
"202",4505,1.940895
"203",4510,1.929106
"204",4515,1.914073
"205",4520,1.903354
"206",4525,1.901917
"207",4530,1.899374
"208",4535,1.885931
"209",4540,1.869516
"210",4545,1.85979
"211",4550,1.855617
"212",4555,1.853599
"213",4560,1.852099
"214",4565,1.849926
"215",4570,1.845931
"216",4575,1.839659
"217",4580,1.833397
"218",4585,1.829257
"219",4590,1.825904
"220",4595,1.821597
"221",4600,1.816405
"222",4605,1.811482
"223",4610,1.810511
"224",4615,1.815077
"225",4620,1.815857
"226",4625,1.805256
"227",4630,1.793511
"228",4635,1.790851
"229",4640,1.789632
"230",4645,1.781525
"231",4650,1.773334
"232",4655,1.771885
"233",4660,1.768969
"234",4665,1.756869
"235",4670,1.744889
"236",4675,1.742948
"237",4680,1.746398
"238",4685,1.747041
"239",4690,1.73703
"240",4695,1.714091
"241",4700,1.697861
"242",4705,1.704603
"243",4710,1.715145
"244",4715,1.709193
"245",4720,1.697379
"246",4725,1.693779
"247",4730,1.695334
"248",4735,1.695625
"249",4740,1.691961
"250",4745,1.683584
"251",4750,1.673744
"252",4755,1.665653
"253",4760,1.658361
"254",4765,1.65095
"255",4770,1.646793
"256",4775,1.647971
"257",4780,1.647117
"258",4785,1.637561
"259",4790,1.624884
"260",4795,1.615657
"261",4800,1.608165
"262",4805,1.599898
"263",4810,1.593452
"264",4815,1.59047
"265",4820,1.583669
"266",4825,1.566157
"267",4830,1.541539
"268",4835,1.510804
"269",4840,1.453987
"270",4845,1.354403
"271",4850,1.229448
"272",4855,1.110961
"273",4860,1.054478
"274",4865,1.101087
"275",4870,1.21039
"276",4875,1.326965
"277",4880,1.416794
"278",4885,1.460681
"279",4890,1.477315
"280",4895,1.489063
"281",4900,1.495123
"282",4905,1.490809
"283",4910,1.479078
"284",4915,1.465161
"285",4920,1.455737
"286",4925,1.456136
"287",4930,1.46483
"288",4935,1.477206
"289",4940,1.483165
"290",4945,1.475459
"291",4950,1.46373
"292",4955,1.45828
"293",4960,1.455167
"294",4965,1.449348
"295",4970,1.445614
"296",4975,1.448275
"297",4980,1.449878
"298",4985,1.443195
"299",4990,1.433679
"300",4995,1.427577
"301",5000,1.421651
"302",5005,1.412342
"303",5010,1.404305
"304",5015,1.402097
"305",5020,1.40169
"306",5025,1.398303
"307",5030,1.392738
"308",5035,1.386849
"309",5040,1.381111
"310",5045,1.375413
"311",5050,1.368675
"312",5055,1.360569
"313",5060,1.354746
"314",5065,1.353911
"315",5070,1.353012
"316",5075,1.346875
"317",5080,1.337611
"318",5085,1.328504
"319",5090,1.320269
"320",5095,1.313127
"321",5100,1.307908
"322",5105,1.305215
"323",5110,1.304125
"324",5115,1.303516
"325",5120,1.302986
"326",5125,1.302578
"327",5130,1.303404
"328",5135,1.305841
"329",5140,1.306265
"330",5145,1.301204
"331",5150,1.291787
"332",5155,1.280607
"333",5160,1.271526
"334",5165,1.26721
"335",5170,1.264302
"336",5175,1.258937
"337",5180,1.251271
"338",5185,1.242845
"339",5190,1.236735
"340",5195,1.235023
"341",5200,1.23429
"342",5205,1.230727
"343",5210,1.224483
"344",5215,1.216816
"345",5220,1.209482
"346",5225,1.203792
"347",5230,1.198804
"348",5235,1.19341
"349",5240,1.18811
"350",5245,1.183842
"351",5250,1.181702
"352",5255,1.182004
"353",5260,1.181785
"354",5265,1.178377
"355",5270,1.173566
"356",5275,1.169588
"357",5280,1.166031
"358",5285,1.16255
"359",5290,1.161712
"360",5295,1.164674
"361",5300,1.164037
"362",5305,1.153818
