"","angstrom","value"
"1",3500,0.46508
"2",3505,0.46691
"3",3510,0.470442
"4",3515,0.473424
"5",3520,0.480072
"6",3525,0.486465
"7",3530,0.488743
"8",3535,0.50531
"9",3540,0.506732
"10",3545,0.496194
"11",3550,0.481435
"12",3555,0.481474
"13",3560,0.484301
"14",3565,0.4641
"15",3570,0.443095
"16",3575,0.452012
"17",3580,0.459806
"18",3585,0.456737
"19",3590,0.452662
"20",3595,0.462212
"21",3600,0.476519
"22",3605,0.471315
"23",3610,0.466528
"24",3615,0.472375
"25",3620,0.478362
"26",3625,0.477245
"27",3630,0.474169
"28",3635,0.484527
"29",3640,0.472407
"30",3645,0.479338
"31",3650,0.505475
"32",3655,0.518752
"33",3660,0.516326
"34",3665,0.522676
"35",3670,0.528836
"36",3675,0.540165
"37",3680,0.565894
"38",3685,0.621096
"39",3690,0.687747
"40",3695,0.714748
"41",3700,0.760466
"42",3705,0.759942
"43",3710,0.809573
"44",3715,0.910502
"45",3720,0.911931
"46",3725,0.966389
"47",3730,0.982145
"48",3735,0.995806
"49",3740,1.176014
"50",3745,1.040991
"51",3750,0.922531
"52",3755,1.176618
"53",3760,1.27182
"54",3765,1.158848
"55",3770,1.008499
"56",3775,1.344063
"57",3780,1.725464
"58",3785,1.742434
"59",3790,1.519716
"60",3795,1.181681
"61",3800,1.188645
"62",3805,1.586009
"63",3810,1.844921
"64",3815,1.884201
"65",3820,1.819909
"66",3825,1.528613
"67",3830,1.207928
"68",3835,1.028678
"69",3840,1.320542
"70",3845,1.71099
"71",3850,1.949109
"72",3855,1.985068
"73",3860,1.964121
"74",3865,2.017595
"75",3870,2.041908
"76",3875,1.935321
"77",3880,1.69768
"78",3885,1.261036
"79",3890,1.081642
"80",3895,1.39806
"81",3900,1.733878
"82",3905,1.913154
"83",3910,1.976685
"84",3915,1.97295
"85",3920,1.915086
"86",3925,1.547079
"87",3930,1.047831
"88",3935,1.126923
"89",3940,1.622128
"90",3945,1.809537
"91",3950,1.84259
"92",3955,1.814832
"93",3960,1.570847
"94",3965,1.004041
"95",3970,0.780026
"96",3975,1.260356
"97",3980,1.732846
"98",3985,1.949348
"99",3990,2.023406
"100",3995,1.996106
"101",4000,1.940758
"102",4005,1.954412
"103",4010,1.995922
"104",4015,2.026549
"105",4020,2.031406
"106",4025,1.93484
"107",4030,1.89759
"108",4035,1.972472
"109",4040,2.016052
"110",4045,1.953381
"111",4050,1.926391
"112",4055,1.932653
"113",4060,1.9492
"114",4065,1.928276
"115",4070,1.887063
"116",4075,1.837733
"117",4080,1.847548
"118",4085,1.869326
"119",4090,1.775978
"120",4095,1.408318
"121",4100,1.049953
"122",4105,1.262552
"123",4110,1.64201
"124",4115,1.835883
"125",4120,1.859475
"126",4125,1.803867
"127",4130,1.776728
"128",4135,1.868313
"129",4140,1.925777
"130",4145,1.911617
"131",4150,1.880111
"132",4155,1.849706
"133",4160,1.834783
"134",4165,1.845959
"135",4170,1.776084
"136",4175,1.684482
"137",4180,1.676236
"138",4185,1.741096
"139",4190,1.789797
"140",4195,1.77594
"141",4200,1.739148
"142",4205,1.751236
"143",4210,1.784542
"144",4215,1.78744
"145",4220,1.770509
"146",4225,1.706184
"147",4230,1.709651
"148",4235,1.705579
"149",4240,1.736344
"150",4245,1.696977
"151",4250,1.660694
"152",4255,1.681041
"153",4260,1.690115
"154",4265,1.709076
"155",4270,1.671773
"156",4275,1.689481
"157",4280,1.713462
"158",4285,1.673157
"159",4290,1.607872
"160",4295,1.565486
"161",4300,1.517189
"162",4305,1.558802
"163",4310,1.592454
"164",4315,1.578748
"165",4320,1.613996
"166",4325,1.602686
"167",4330,1.501107
"168",4335,1.170548
"169",4340,0.897579
"170",4345,1.123207
"171",4350,1.427499
"172",4355,1.616919
"173",4360,1.691708
"174",4365,1.694666
"175",4370,1.64747
"176",4375,1.639985
"177",4380,1.638901
"178",4385,1.581031
"179",4390,1.594882
"180",4395,1.547119
"181",4400,1.561029
"182",4405,1.594371
"183",4410,1.577251
"184",4415,1.514279
"185",4420,1.528879
"186",4425,1.581983
"187",4430,1.594161
"188",4435,1.590933
"189",4440,1.557508
"190",4445,1.542899
"191",4450,1.587161
"192",4455,1.581828
"193",4460,1.56091
"194",4465,1.52884
"195",4470,1.524495
"196",4475,1.561912
"197",4480,1.548607
"198",4485,1.554178
"199",4490,1.546267
"200",4495,1.58157
"201",4500,1.602556
"202",4505,1.618899
"203",4510,1.614782
"204",4515,1.567493
"205",4520,1.522852
"206",4525,1.521152
"207",4530,1.522199
"208",4535,1.56143
"209",4540,1.557016
"210",4545,1.50961
"211",4550,1.447523
"212",4555,1.460805
"213",4560,1.498249
"214",4565,1.536982
"215",4570,1.540921
"216",4575,1.516214
"217",4580,1.470612
"218",4585,1.450922
"219",4590,1.479323
"220",4595,1.519696
"221",4600,1.56372
"222",4605,1.592175
"223",4610,1.587582
"224",4615,1.537423
"225",4620,1.526167
"226",4625,1.533899
"227",4630,1.516442
"228",4635,1.525845
"229",4640,1.552343
"230",4645,1.564007
"231",4650,1.553988
"232",4655,1.534068
"233",4660,1.517644
"234",4665,1.478736
"235",4670,1.485252
"236",4675,1.537762
"237",4680,1.560912
"238",4685,1.564488
"239",4690,1.54797
"240",4695,1.530569
"241",4700,1.508814
"242",4705,1.491847
"243",4710,1.505126
"244",4715,1.518446
"245",4720,1.513399
"246",4725,1.486791
"247",4730,1.455336
"248",4735,1.456946
"249",4740,1.475057
"250",4745,1.487705
