"","angstrom","value"
"1",3500,0.418083
"2",3505,0.41854
"3",3510,0.479454
"4",3515,0.48917
"5",3520,0.482058
"6",3525,0.485612
"7",3530,0.502559
"8",3535,0.511678
"9",3540,0.526776
"10",3545,0.528556
"11",3550,0.524684
"12",3555,0.518494
"13",3560,0.519145
"14",3565,0.498032
"15",3570,0.475826
"16",3575,0.482041
"17",3580,0.483845
"18",3585,0.463199
"19",3590,0.483968
"20",3595,0.520687
"21",3600,0.590059
"22",3605,0.561354
"23",3610,0.540345
"24",3615,0.55868
"25",3620,0.571768
"26",3625,0.598156
"27",3630,0.552675
"28",3635,0.575267
"29",3640,0.586283
"30",3645,0.572105
"31",3650,0.593233
"32",3655,0.655197
"33",3660,0.671717
"34",3665,0.647436
"35",3670,0.656244
"36",3675,0.676085
"37",3680,0.684
"38",3685,0.706443
"39",3690,0.792056
"40",3695,0.832221
"41",3700,0.866746
"42",3705,0.785841
"43",3710,0.82646
"44",3715,0.960123
"45",3720,0.912783
"46",3725,0.936166
"47",3730,0.927356
"48",3735,0.836973
"49",3740,1.025036
"50",3745,0.929479
"51",3750,0.850807
"52",3755,1.060119
"53",3760,1.04288
"54",3765,1.052219
"55",3770,0.978244
"56",3775,1.175279
"57",3780,1.445515
"58",3785,1.377985
"59",3790,1.193856
"60",3795,1.01064
"61",3800,1.134603
"62",3805,1.412516
"63",3810,1.499637
"64",3815,1.409939
"65",3820,1.414266
"66",3825,1.238805
"67",3830,1.02451
"68",3835,0.88135
"69",3840,1.131182
"70",3845,1.371999
"71",3850,1.464395
"72",3855,1.521034
"73",3860,1.579261
"74",3865,1.6698
"75",3870,1.63131
"76",3875,1.506454
"77",3880,1.383492
"78",3885,1.092594
"79",3890,1.014714
"80",3895,1.189398
"81",3900,1.316855
"82",3905,1.391902
"83",3910,1.456872
"84",3915,1.317695
"85",3920,1.214641
"86",3925,0.976822
"87",3930,0.502157
"88",3935,0.439327
"89",3940,0.851682
"90",3945,1.137133
"91",3950,1.240666
"92",3955,1.258423
"93",3960,1.052831
"94",3965,0.602284
"95",3970,0.52667
"96",3975,0.98926
"97",3980,1.332934
"98",3985,1.474177
"99",3990,1.550827
"100",3995,1.533803
"101",4000,1.533423
"102",4005,1.574289
"103",4010,1.649819
"104",4015,1.703518
"105",4020,1.710997
"106",4025,1.627991
"107",4030,1.54377
"108",4035,1.613866
"109",4040,1.671479
"110",4045,1.611994
"111",4050,1.604666
"112",4055,1.584972
"113",4060,1.604686
"114",4065,1.572349
"115",4070,1.529941
"116",4075,1.416071
"117",4080,1.457436
"118",4085,1.538148
"119",4090,1.56953
"120",4095,1.393506
"121",4100,1.116481
"122",4105,1.234628
"123",4110,1.446896
"124",4115,1.553706
"125",4120,1.492636
"126",4125,1.439617
"127",4130,1.416341
"128",4135,1.572143
"129",4140,1.633212
"130",4145,1.5855
"131",4150,1.553863
"132",4155,1.531866
"133",4160,1.574444
"134",4165,1.62326
"135",4170,1.482543
"136",4175,1.338805
"137",4180,1.379031
"138",4185,1.444851
"139",4190,1.529141
"140",4195,1.528496
"141",4200,1.440934
"142",4205,1.439739
"143",4210,1.545096
"144",4215,1.570726
"145",4220,1.539184
"146",4225,1.43134
"147",4230,1.508921
"148",4235,1.467286
"149",4240,1.515022
"150",4245,1.496977
"151",4250,1.477637
"152",4255,1.523582
"153",4260,1.539597
"154",4265,1.607269
"155",4270,1.497415
"156",4275,1.504608
"157",4280,1.541143
"158",4285,1.456004
"159",4290,1.375958
"160",4295,1.356841
"161",4300,1.250506
"162",4305,1.319773
"163",4310,1.411481
"164",4315,1.415254
"165",4320,1.478759
"166",4325,1.445092
"167",4330,1.405266
"168",4335,1.221099
"169",4340,0.988497
"170",4345,1.214514
"171",4350,1.378108
"172",4355,1.495244
"173",4360,1.588674
"174",4365,1.623957
"175",4370,1.526283
"176",4375,1.524235
"177",4380,1.529615
"178",4385,1.395394
"179",4390,1.451286
"180",4395,1.402795
"181",4400,1.396692
"182",4405,1.451036
"183",4410,1.41746
"184",4415,1.334607
"185",4420,1.366351
"186",4425,1.409271
"187",4430,1.391101
"188",4435,1.428794
"189",4440,1.430712
"190",4445,1.36345
"191",4450,1.429383
"192",4455,1.393201
"193",4460,1.366763
"194",4465,1.371935
"195",4470,1.396835
"196",4475,1.515062
"197",4480,1.470157
"198",4485,1.470287
"199",4490,1.43033
"200",4495,1.461946
"201",4500,1.532107
"202",4505,1.572688
"203",4510,1.582331
"204",4515,1.513708
"205",4520,1.431721
"206",4525,1.381514
"207",4530,1.357519
"208",4535,1.434401
"209",4540,1.457571
"210",4545,1.411854
"211",4550,1.336981
"212",4555,1.350925
"213",4560,1.414923
"214",4565,1.454414
"215",4570,1.473541
"216",4575,1.455019
"217",4580,1.375082
"218",4585,1.36047
"219",4590,1.393297
"220",4595,1.44764
"221",4600,1.46651
"222",4605,1.507764
"223",4610,1.533643
"224",4615,1.477595
"225",4620,1.481808
"226",4625,1.514916
"227",4630,1.470934
"228",4635,1.480213
"229",4640,1.529737
"230",4645,1.501641
"231",4650,1.498726
"232",4655,1.49222
"233",4660,1.495306
"234",4665,1.396685
"235",4670,1.405555
"236",4675,1.511475
"237",4680,1.507847
"238",4685,1.525201
"239",4690,1.514507
"240",4695,1.497414
"241",4700,1.455413
"242",4705,1.422484
"243",4710,1.425471
"244",4715,1.46509
"245",4720,1.492484
"246",4725,1.467901
"247",4730,1.397752
"248",4735,1.404839
"249",4740,1.449629
"250",4745,1.485727
"251",4750,1.483397
"252",4755,1.441789
"253",4760,1.379787
"254",4765,1.343225
"255",4770,1.418345
"256",4775,1.450834
"257",4780,1.429108
"258",4785,1.406504
"259",4790,1.41432
"260",4795,1.419169
"261",4800,1.400698
"262",4805,1.387319
"263",4810,1.414707
"264",4815,1.433664
"265",4820,1.396214
"266",4825,1.361458
"267",4830,1.371741
"268",4835,1.368352
"269",4840,1.361256
"270",4845,1.33316
"271",4850,1.260133
"272",4855,1.115955
"273",4860,0.938107
"274",4865,0.941444
"275",4870,1.071187
"276",4875,1.144442
"277",4880,1.203499
"278",4885,1.225175
"279",4890,1.223848
"280",4895,1.257223
"281",4900,1.296601
"282",4905,1.322745
"283",4910,1.31175
"284",4915,1.30402
"285",4920,1.240091
"286",4925,1.23701
"287",4930,1.304392
"288",4935,1.315925
"289",4940,1.31322
"290",4945,1.346328
"291",4950,1.360875
"292",4955,1.328274
"293",4960,1.318252
"294",4965,1.324076
"295",4970,1.323578
"296",4975,1.321496
"297",4980,1.272903
"298",4985,1.230989
"299",4990,1.236804
"300",4995,1.262326
"301",5000,1.231247
"302",5005,1.191601
"303",5010,1.178431
"304",5015,1.15396
"305",5020,1.150645
"306",5025,1.206134
"307",5030,1.235073
"308",5035,1.230234
"309",5040,1.210865
"310",5045,1.220147
"311",5050,1.229121
"312",5055,1.252381
"313",5060,1.278091
"314",5065,1.267155
"315",5070,1.232658
"316",5075,1.207949
"317",5080,1.197248
"318",5085,1.205014
"319",5090,1.236213
"320",5095,1.229607
"321",5100,1.212215
"322",5105,1.217746
"323",5110,1.222291
"324",5115,1.220873
"325",5120,1.205792
"326",5125,1.177274
"327",5130,1.153607
"328",5135,1.161833
"329",5140,1.167979
"330",5145,1.160895
"331",5150,1.160109
"332",5155,1.152121
"333",5160,1.15103
"334",5165,1.099346
"335",5170,1.069146
"336",5175,1.118414
"337",5180,1.152877
"338",5185,1.115248
"339",5190,1.074217
"340",5195,1.065989
"341",5200,1.078594
"342",5205,1.075957
"343",5210,1.103033
"344",5215,1.13169
"345",5220,1.145261
"346",5225,1.101886
"347",5230,1.068426
"348",5235,1.060017
"349",5240,1.111048
"350",5245,1.135723
"351",5250,1.122408
"352",5255,1.113377
"353",5260,1.087761
"354",5265,1.00645
"355",5270,0.971365
"356",5275,0.989469
"357",5280,1.03873
"358",5285,1.07651
"359",5290,1.121346
"360",5295,1.129934
"361",5300,1.109961
"362",5305,1.102479
"363",5310,1.095877
"364",5315,1.080596
"365",5320,1.076657
"366",5325,1.051696
"367",5330,1.030159
"368",5335,1.035875
"369",5340,1.048406
"370",5345,1.072618
"371",5350,1.090959
"372",5355,1.116666
"373",5360,1.11013
"374",5365,1.064559
"375",5370,1.044112
"376",5375,1.065248
"377",5380,1.066199
"378",5385,1.071727
"379",5390,1.080907
"380",5395,1.055482
"381",5400,1.029433
"382",5405,1.011718
"383",5410,1.00867
"384",5415,1.027919
"385",5420,1.034934
"386",5425,1.031406
"387",5430,1.026725
"388",5435,1.035144
"389",5440,1.056973
"390",5445,1.045335
"391",5450,1.038492
"392",5455,1.039615
"393",5460,1.046378
"394",5465,1.048445
"395",5470,1.040381
"396",5475,1.024945
"397",5480,1.011536
"398",5485,1.02697
"399",5490,1.03765
"400",5495,1.031775
"401",5500,1.019211
"402",5505,1.003493
"403",5510,1.000292
"404",5515,1.027793
"405",5520,1.0337
"406",5525,1.004612
"407",5530,0.982342
"408",5535,0.991552
"409",5540,1.009226
"410",5545,1.012617
"411",5550,1.020339
"412",5555,1.027793
"413",5560,1.021737
"414",5565,1.008168
"415",5570,0.995635
"416",5575,0.998617
"417",5580,1.001248
"418",5585,0.984385
"419",5590,0.968756
"420",5595,0.961963
"421",5600,0.966254
"422",5605,0.979309
"423",5610,0.997439
"424",5615,0.982777
"425",5620,0.974891
"426",5625,0.975272
"427",5630,0.982323
"428",5635,0.985571
"429",5640,0.976481
"430",5645,0.974396
"431",5650,0.975646
"432",5655,0.948157
"433",5660,0.917147
"434",5665,0.910421
"435",5670,0.92305
"436",5675,0.952279
"437",5680,0.958655
"438",5685,0.936099
"439",5690,0.932851
"440",5695,0.937739
"441",5700,0.945311
"442",5705,0.927669
"443",5710,0.913802
"444",5715,0.926324
"445",5720,0.946042
"446",5725,0.95764
"447",5730,0.956098
"448",5735,0.950948
"449",5740,0.945713
"450",5745,0.938009
"451",5750,0.932411
"452",5755,0.93302
"453",5760,0.937219
"454",5765,0.934915
"455",5770,0.930551
"456",5775,0.915332
"457",5780,0.887072
"458",5785,0.877265
"459",5790,0.889133
"460",5795,0.896319
