"","angstrom","value"
"1",3500,0.552234
"2",3505,0.553284
"3",3510,0.609432
"4",3515,0.60931
"5",3520,0.60563
"6",3525,0.601233
"7",3530,0.615208
"8",3535,0.635924
"9",3540,0.651365
"10",3545,0.658313
"11",3550,0.657198
"12",3555,0.652532
"13",3560,0.643669
"14",3565,0.622111
"15",3570,0.605593
"16",3575,0.602574
"17",3580,0.591262
"18",3585,0.586453
"19",3590,0.614886
"20",3595,0.648758
"21",3600,0.650979
"22",3605,0.618765
"23",3610,0.573877
"24",3615,0.560167
"25",3620,0.578645
"26",3625,0.611787
"27",3630,0.62837
"28",3635,0.633103
"29",3640,0.632345
"30",3645,0.619189
"31",3650,0.59905
"32",3655,0.65722
"33",3660,0.704287
"34",3665,0.702686
"35",3670,0.68478
"36",3675,0.672181
"37",3680,0.659483
"38",3685,0.652444
"39",3690,0.667719
"40",3695,0.701584
"41",3700,0.71088
"42",3705,0.679223
"43",3710,0.664719
"44",3715,0.674602
"45",3720,0.669462
"46",3725,0.685557
"47",3730,0.665875
"48",3735,0.636864
"49",3740,0.626092
"50",3745,0.596583
"51",3750,0.60138
"52",3755,0.669276
"53",3760,0.711787
"54",3765,0.702161
"55",3770,0.706914
"56",3775,0.783283
"57",3780,0.850399
"58",3785,0.817316
"59",3790,0.725487
"60",3795,0.662621
"61",3800,0.685344
"62",3805,0.766672
"63",3810,0.798506
"64",3815,0.739596
"65",3820,0.649212
"66",3825,0.56681
"67",3830,0.50221
"68",3835,0.485007
"69",3840,0.551002
"70",3845,0.663984
"71",3850,0.729554
"72",3855,0.715372
"73",3860,0.691296
"74",3865,0.696381
"75",3870,0.695946
"76",3875,0.689563
"77",3880,0.66963
"78",3885,0.638477
"79",3890,0.652785
"80",3895,0.724733
"81",3900,0.783775
"82",3905,0.805933
"83",3910,0.826086
"84",3915,0.835723
"85",3920,0.783714
"86",3925,0.629352
"87",3930,0.445473
"88",3935,0.397445
"89",3940,0.512571
"90",3945,0.681977
"91",3950,0.808239
"92",3955,0.831931
"93",3960,0.716093
"94",3965,0.504581
"95",3970,0.430686
"96",3975,0.61198
"97",3980,0.83955
"98",3985,0.950495
"99",3990,0.990523
"100",3995,1.014861
"101",4000,1.031074
"102",4005,1.036844
"103",4010,1.054533
"104",4015,1.060555
"105",4020,1.0799
"106",4025,1.06463
"107",4030,1.042876
"108",4035,1.05949
"109",4040,1.074713
"110",4045,1.048404
"111",4050,1.018805
"112",4055,1.025962
"113",4060,1.020145
"114",4065,1.021681
"115",4070,0.994573
"116",4075,0.986374
"117",4080,1.00537
"118",4085,1.053678
"119",4090,1.057099
"120",4095,0.984199
"121",4100,0.890911
"122",4105,0.927791
"123",4110,1.006145
"124",4115,1.066498
"125",4120,1.073472
"126",4125,1.05098
"127",4130,1.038566
"128",4135,1.065399
"129",4140,1.091165
"130",4145,1.081826
"131",4150,1.065211
"132",4155,1.067662
"133",4160,1.087056
"134",4165,1.087484
"135",4170,1.05551
"136",4175,1.027167
"137",4180,1.029636
"138",4185,1.054505
"139",4190,1.069329
"140",4195,1.041453
"141",4200,1.017189
"142",4205,1.054539
"143",4210,1.105933
"144",4215,1.112855
"145",4220,1.077224
"146",4225,1.024677
"147",4230,1.004673
"148",4235,1.019012
"149",4240,1.041064
"150",4245,1.052282
"151",4250,1.050618
"152",4255,1.042495
"153",4260,1.034814
"154",4265,1.032549
"155",4270,1.02474
"156",4275,1.029378
"157",4280,1.033009
"158",4285,1.006305
"159",4290,0.964327
"160",4295,0.910856
"161",4300,0.84043
"162",4305,0.792671
"163",4310,0.833242
"164",4315,0.973619
"165",4320,1.077879
"166",4325,1.0685
"167",4330,1.012283
"168",4335,0.95131
"169",4340,0.90103
"170",4345,0.958044
"171",4350,1.022317
"172",4355,1.074249
"173",4360,1.109064
"174",4365,1.124116
"175",4370,1.112325
"176",4375,1.085045
"177",4380,1.04593
"178",4385,1.010086
"179",4390,1.015464
"180",4395,1.055084
"181",4400,1.086841
"182",4405,1.093913
"183",4410,1.099933
"184",4415,1.115908
"185",4420,1.136418
"186",4425,1.148269
"187",4430,1.143309
"188",4435,1.131262
"189",4440,1.133815
"190",4445,1.156107
"191",4450,1.17788
"192",4455,1.121155
"193",4460,1.082432
"194",4465,1.112641
"195",4470,1.144104
"196",4475,1.19153
"197",4480,1.187662
"198",4485,1.189051
"199",4490,1.194314
"200",4495,1.200455
"201",4500,1.218588
"202",4505,1.252464
"203",4510,1.266118
"204",4515,1.24754
"205",4520,1.204861
"206",4525,1.141955
"207",4530,1.107958
"208",4535,1.143776
"209",4540,1.183603
"210",4545,1.167215
"211",4550,1.143779
"212",4555,1.16819
"213",4560,1.204455
"214",4565,1.211312
"215",4570,1.208003
"216",4575,1.198054
