"","angstrom","value"
"1",3500,0.59424
"2",3505,0.628852
"3",3510,0.632886
"4",3515,0.633869
"5",3520,0.613593
"6",3525,0.602357
"7",3530,0.632452
"8",3535,0.667326
"9",3540,0.692441
"10",3545,0.699947
"11",3550,0.691917
"12",3555,0.672512
"13",3560,0.653196
"14",3565,0.606736
"15",3570,0.568848
"16",3575,0.559368
"17",3580,0.533106
"18",3585,0.523671
"19",3590,0.578738
"20",3595,0.637899
"21",3600,0.645352
"22",3605,0.60922
"23",3610,0.589087
"24",3615,0.593502
"25",3620,0.604145
"26",3625,0.652563
"27",3630,0.64165
"28",3635,0.627726
"29",3640,0.659137
"30",3645,0.647718
"31",3650,0.660711
"32",3655,0.720012
"33",3660,0.752523
"34",3665,0.735084
"35",3670,0.721806
"36",3675,0.717303
"37",3680,0.693549
"38",3685,0.688931
"39",3690,0.715419
"40",3695,0.749788
"41",3700,0.755747
"42",3705,0.699201
"43",3710,0.712225
"44",3715,0.755263
"45",3720,0.697129
"46",3725,0.694685
"47",3730,0.680221
"48",3735,0.617619
"49",3740,0.661031
"50",3745,0.638726
"51",3750,0.636003
"52",3755,0.72533
"53",3760,0.730933
"54",3765,0.72774
"55",3770,0.734488
"56",3775,0.814688
"57",3780,0.89252
"58",3785,0.870207
"59",3790,0.780048
"60",3795,0.716195
"61",3800,0.757742
"62",3805,0.858166
"63",3810,0.880305
"64",3815,0.811577
"65",3820,0.744364
"66",3825,0.661876
"67",3830,0.580742
"68",3835,0.541778
"69",3840,0.633223
"70",3845,0.785888
"71",3850,0.85483
"72",3855,0.838804
"73",3860,0.827294
"74",3865,0.866535
"75",3870,0.835858
"76",3875,0.806391
"77",3880,0.765985
"78",3885,0.695439
"79",3890,0.697541
"80",3895,0.787172
"81",3900,0.8327
"82",3905,0.85001
"83",3910,0.892656
"84",3915,0.886501
"85",3920,0.812053
"86",3925,0.662171
"87",3930,0.445226
"88",3935,0.406642
"89",3940,0.590085
"90",3945,0.752813
"91",3950,0.842795
"92",3955,0.84025
"93",3960,0.714722
"94",3965,0.505333
"95",3970,0.470777
"96",3975,0.690722
"97",3980,0.88868
"98",3985,0.971723
"99",3990,1.011821
"100",3995,1.029765
"101",4000,1.042286
"102",4005,1.045128
"103",4010,1.070109
"104",4015,1.089731
"105",4020,1.102193
"106",4025,1.09832
"107",4030,1.060591
"108",4035,1.070337
"109",4040,1.082304
"110",4045,1.042458
"111",4050,1.06027
"112",4055,1.040793
"113",4060,1.017114
"114",4065,1.015066
"115",4070,1.023067
"116",4075,1.013088
"117",4080,1.028777
"118",4085,1.071589
"119",4090,1.071715
"120",4095,0.976245
"121",4100,0.867453
"122",4105,0.919711
"123",4110,1.028043
"124",4115,1.084127
"125",4120,1.088029
"126",4125,1.081554
"127",4130,1.069894
"128",4135,1.093722
"129",4140,1.115242
"130",4145,1.105637
"131",4150,1.095559
"132",4155,1.083041
"133",4160,1.114116
"134",4165,1.123689
"135",4170,1.07043
"136",4175,1.040754
"137",4180,1.058514
"138",4185,1.06951
"139",4190,1.086535
"140",4195,1.066618
"141",4200,1.041751
"142",4205,1.073223
"143",4210,1.108232
"144",4215,1.104023
"145",4220,1.077626
"146",4225,1.011606
"147",4230,1.039023
"148",4235,1.048663
"149",4240,1.056526
"150",4245,1.056017
"151",4250,1.052531
"152",4255,1.059517
"153",4260,1.054011
"154",4265,1.064924
"155",4270,1.022243
"156",4275,1.025763
"157",4280,1.042605
"158",4285,1.007857
"159",4290,0.969023
"160",4295,0.929497
"161",4300,0.846559
"162",4305,0.8186
"163",4310,0.869609
"164",4315,1.004483
"165",4320,1.052687
"166",4325,1.015795
"167",4330,1.030042
"168",4335,0.963924
"169",4340,0.858933
"170",4345,0.93689
"171",4350,1.01652
"172",4355,1.068697
"173",4360,1.11961
"174",4365,1.14127
"175",4370,1.112734
"176",4375,1.088341
"177",4380,1.05257
"178",4385,1.013762
"179",4390,1.054519
"180",4395,1.085107
