"","angstrom","value"
"1",3500,0.54784
"2",3505,0.562895
"3",3510,0.609416
"4",3515,0.582495
"5",3520,0.572505
"6",3525,0.557657
"7",3530,0.597805
"8",3535,0.630611
"9",3540,0.642856
"10",3545,0.644769
"11",3550,0.638829
"12",3555,0.628145
"13",3560,0.625595
"14",3565,0.576757
"15",3570,0.521381
"16",3575,0.529689
"17",3580,0.506145
"18",3585,0.473992
"19",3590,0.528528
"20",3595,0.61376
"21",3600,0.64431
"22",3605,0.597921
"23",3610,0.568421
"24",3615,0.584967
"25",3620,0.56802
"26",3625,0.607272
"27",3630,0.623025
"28",3635,0.596521
"29",3640,0.618668
"30",3645,0.621209
"31",3650,0.62287
"32",3655,0.685649
"33",3660,0.718694
"34",3665,0.716878
"35",3670,0.70575
"36",3675,0.706447
"37",3680,0.680284
"38",3685,0.669552
"39",3690,0.691695
"40",3695,0.712317
"41",3700,0.718768
"42",3705,0.692926
"43",3710,0.679275
"44",3715,0.716155
"45",3720,0.67011
"46",3725,0.64452
"47",3730,0.63784
"48",3735,0.574591
"49",3740,0.5946
"50",3745,0.610571
"51",3750,0.597213
"52",3755,0.672378
"53",3760,0.679494
"54",3765,0.676222
"55",3770,0.693636
"56",3775,0.762471
"57",3780,0.828209
"58",3785,0.833101
"59",3790,0.766068
"60",3795,0.702215
"61",3800,0.685614
"62",3805,0.762785
"63",3810,0.791941
"64",3815,0.741149
"65",3820,0.674114
"66",3825,0.600589
"67",3830,0.529918
"68",3835,0.50375
"69",3840,0.551216
"70",3845,0.653235
"71",3850,0.724502
"72",3855,0.737271
"73",3860,0.724377
"74",3865,0.755563
"75",3870,0.741151
"76",3875,0.733485
"77",3880,0.705552
"78",3885,0.659655
"79",3890,0.647641
"80",3895,0.713554
"81",3900,0.76028
"82",3905,0.7245
"83",3910,0.792062
"84",3915,0.815554
"85",3920,0.758655
"86",3925,0.647531
"87",3930,0.478491
"88",3935,0.402814
"89",3940,0.509812
"90",3945,0.637358
"91",3950,0.739544
"92",3955,0.760263
"93",3960,0.683491
"94",3965,0.52611
"95",3970,0.442419
"96",3975,0.557305
"97",3980,0.728125
"98",3985,0.848686
"99",3990,0.951137
"100",3995,1.005971
"101",4000,1.013685
"102",4005,1.007308
"103",4010,1.017449
"104",4015,1.045503
"105",4020,1.065638
"106",4025,1.070404
"107",4030,1.035609
"108",4035,1.025292
"109",4040,1.040209
"110",4045,1.008784
"111",4050,1.028027
"112",4055,1.010548
"113",4060,0.972773
"114",4065,0.951492
"115",4070,0.958357
"116",4075,0.967745
"117",4080,0.998547
"118",4085,1.041582
"119",4090,1.040886
"120",4095,0.972171
"121",4100,0.873314
"122",4105,0.886497
"123",4110,0.967773
"124",4115,1.030754
"125",4120,1.058795
"126",4125,1.063785
"127",4130,1.042245
"128",4135,1.039341
"129",4140,1.051877
"130",4145,1.041529
"131",4150,1.042037
"132",4155,1.030113
"133",4160,1.039251
"134",4165,1.050921
"135",4170,1.031409
"136",4175,1.003315
"137",4180,1.015107
"138",4185,1.016308
"139",4190,1.016517
"140",4195,1.007674
"141",4200,0.984579
"142",4205,1.017699
"143",4210,1.058301
"144",4215,1.06055
"145",4220,1.047615
"146",4225,0.993227
"147",4230,0.981905
"148",4235,0.999093
"149",4240,1.004547
"150",4245,1.035714
"151",4250,1.038147
"152",4255,1.044367
"153",4260,1.025799
"154",4265,1.017607
"155",4270,0.982285
"156",4275,0.963666
"157",4280,1.008319
"158",4285,1.005076
"159",4290,0.970156
"160",4295,0.921255
"161",4300,0.829759
"162",4305,0.777975
"163",4310,0.788151
"164",4315,0.900393
"165",4320,1.014618
"166",4325,1.002634
"167",4330,1.020015
"168",4335,0.995935
"169",4340,0.905359
"170",4345,0.927689
"171",4350,0.999854
"172",4355,1.03949
"173",4360,1.083088
"174",4365,1.113047
"175",4370,1.090442
"176",4375,1.052032
"177",4380,1.028671
"178",4385,0.979149
"179",4390,1.008329
"180",4395,1.039954
"181",4400,1.056632
"182",4405,1.050614
"183",4410,1.084628
"184",4415,1.106993
"185",4420,1.11862
"186",4425,1.143214
"187",4430,1.139138
"188",4435,1.134496
"189",4440,1.153768
"190",4445,1.149637
"191",4450,1.150061
"192",4455,1.097579
"193",4460,1.077826
"194",4465,1.107579
"195",4470,1.12737
"196",4475,1.161453
"197",4480,1.153133
"198",4485,1.166762
"199",4490,1.170473
"200",4495,1.176563
"201",4500,1.208707
"202",4505,1.251845
"203",4510,1.26732
"204",4515,1.231766
"205",4520,1.196352
"206",4525,1.140371
"207",4530,1.104848
"208",4535,1.127205
"209",4540,1.163286
"210",4545,1.171236
"211",4550,1.15593
"212",4555,1.163252
"213",4560,1.177508
"214",4565,1.173604
"215",4570,1.187192
"216",4575,1.198236
"217",4580,1.173677
"218",4585,1.156675
"219",4590,1.159335
"220",4595,1.156013
"221",4600,1.159833
"222",4605,1.16634
"223",4610,1.176406
"224",4615,1.190448
"225",4620,1.210731
"226",4625,1.214282
"227",4630,1.196706
"228",4635,1.178348
"229",4640,1.159961
"230",4645,1.136532
"231",4650,1.132796
"232",4655,1.151863
"233",4660,1.154312
"234",4665,1.117814
"235",4670,1.11348
