"","angstrom","value"
"1",3500,0.166202
"2",3505,0.165878
"3",3510,0.156172
"4",3515,0.157974
"5",3520,0.162217
"6",3525,0.163171
"7",3530,0.164848
"8",3535,0.169313
"9",3540,0.173559
"10",3545,0.174605
"11",3550,0.166721
"12",3555,0.164324
"13",3560,0.157871
"14",3565,0.143206
"15",3570,0.135118
"16",3575,0.141251
"17",3580,0.137612
"18",3585,0.130025
"19",3590,0.137895
"20",3595,0.170557
"21",3600,0.191322
"22",3605,0.180667
"23",3610,0.161718
"24",3615,0.163546
"25",3620,0.178361
"26",3625,0.20483
"27",3630,0.206548
"28",3635,0.203929
"29",3640,0.216251
"30",3645,0.201916
"31",3650,0.198265
"32",3655,0.231885
"33",3660,0.262475
"34",3665,0.261012
"35",3670,0.246085
"36",3675,0.243336
"37",3680,0.23571
"38",3685,0.231783
"39",3690,0.246571
"40",3695,0.272449
"41",3700,0.282064
"42",3705,0.244508
"43",3710,0.230807
"44",3715,0.255147
"45",3720,0.246565
"46",3725,0.244031
"47",3730,0.233536
"48",3735,0.211053
"49",3740,0.214661
"50",3745,0.200725
"51",3750,0.193486
"52",3755,0.213518
"53",3760,0.216073
"54",3765,0.226837
"55",3770,0.241248
"56",3775,0.266826
"57",3780,0.290933
"58",3785,0.276741
"59",3790,0.239253
"60",3795,0.216265
"61",3800,0.227065
"62",3805,0.260606
"63",3810,0.276841
"64",3815,0.248059
"65",3820,0.210416
"66",3825,0.191517
"67",3830,0.179317
"68",3835,0.170216
"69",3840,0.183002
"70",3845,0.206561
"71",3850,0.217601
"72",3855,0.216626
"73",3860,0.2159
"74",3865,0.222905
"75",3870,0.226293
"76",3875,0.227032
"77",3880,0.227271
"78",3885,0.231613
"79",3890,0.255703
"80",3895,0.277641
"81",3900,0.288762
"82",3905,0.293421
"83",3910,0.302959
"84",3915,0.287688
"85",3920,0.256918
"86",3925,0.208921
"87",3930,0.156594
"88",3935,0.144287
"89",3940,0.177583
"90",3945,0.230006
"91",3950,0.27781
"92",3955,0.29617
"93",3960,0.254603
"94",3965,0.166858
"95",3970,0.129548
"96",3975,0.205469
"97",3980,0.309494
"98",3985,0.375588
"99",3990,0.399618
"100",3995,0.405598
"101",4000,0.424771
"102",4005,0.432601
"103",4010,0.456199
"104",4015,0.489324
"105",4020,0.490148
"106",4025,0.476981
"107",4030,0.45561
"108",4035,0.467915
"109",4040,0.483661
"110",4045,0.46063
"111",4050,0.463259
"112",4055,0.453945
"113",4060,0.447988
"114",4065,0.449093
"115",4070,0.446172
"116",4075,0.421658
"117",4080,0.43068
"118",4085,0.484346
"119",4090,0.521835
"120",4095,0.491347
