"","angstrom","value"
"1",3500,0.306225
"2",3505,0.307692
"3",3510,0.275057
"4",3515,0.273485
"5",3520,0.266152
"6",3525,0.270314
"7",3530,0.298799
"8",3535,0.310015
"9",3540,0.311809
"10",3545,0.307557
"11",3550,0.271941
"12",3555,0.264038
"13",3560,0.25883
"14",3565,0.252906
"15",3570,0.253464
"16",3575,0.249345
"17",3580,0.211242
"18",3585,0.21439
"19",3590,0.245874
"20",3595,0.287826
"21",3600,0.308112
"22",3605,0.29615
"23",3610,0.262394
"24",3615,0.259806
"25",3620,0.282937
"26",3625,0.306438
"27",3630,0.305349
"28",3635,0.321471
"29",3640,0.336555
"30",3645,0.315043
"31",3650,0.318908
"32",3655,0.381258
"33",3660,0.416198
"34",3665,0.40347
"35",3670,0.391418
"36",3675,0.378927
"37",3680,0.352543
"38",3685,0.357672
"39",3690,0.366308
"40",3695,0.395366
"41",3700,0.413132
"42",3705,0.385142
"43",3710,0.380801
"44",3715,0.389275
"45",3720,0.349027
"46",3725,0.342421
"47",3730,0.324818
"48",3735,0.296154
"49",3740,0.292595
"50",3745,0.276034
"51",3750,0.28117
"52",3755,0.315936
"53",3760,0.322982
"54",3765,0.34267
"55",3770,0.369388
"56",3775,0.405543
"57",3780,0.419075
"58",3785,0.383807
"59",3790,0.334551
"60",3795,0.306964
"61",3800,0.315221
"62",3805,0.335598
"63",3810,0.325272
"64",3815,0.275391
"65",3820,0.224419
"66",3825,0.195517
"67",3830,0.193469
"68",3835,0.201727
"69",3840,0.210615
"70",3845,0.233861
"71",3850,0.235949
"72",3855,0.225579
"73",3860,0.204508
"74",3865,0.200379
"75",3870,0.201534
"76",3875,0.219617
"77",3880,0.247802
"78",3885,0.300428
"79",3890,0.360302
"80",3895,0.404637
"81",3900,0.408056
"82",3905,0.404832
"83",3910,0.414237
"84",3915,0.410964
"85",3920,0.374161
"86",3925,0.302811
"87",3930,0.217556
"88",3935,0.182281
"89",3940,0.22504
"90",3945,0.299202
"91",3950,0.371318
"92",3955,0.405296
"93",3960,0.365575
"94",3965,0.261377
"95",3970,0.219738
"96",3975,0.308014
"97",3980,0.427207
"98",3985,0.505023
"99",3990,0.553658
"100",3995,0.578524
"101",4000,0.600161
"102",4005,0.607764
"103",4010,0.6248
"104",4015,0.650422
"105",4020,0.665298
"106",4025,0.661467
"107",4030,0.637285
"108",4035,0.641491
"109",4040,0.646741
"110",4045,0.626108
"111",4050,0.629736
"112",4055,0.61104
"113",4060,0.591861
"114",4065,0.587827
"115",4070,0.597953
"116",4075,0.597557
"117",4080,0.618827
"118",4085,0.673006
"119",4090,0.700083
"120",4095,0.672582
"121",4100,0.638286
"122",4105,0.643256
"123",4110,0.660798
"124",4115,0.667024
"125",4120,0.65937
"126",4125,0.642211
"127",4130,0.620928
"128",4135,0.625091
"129",4140,0.615778
"130",4145,0.592107
"131",4150,0.579125
"132",4155,0.585123
"133",4160,0.608107
"134",4165,0.608101
"135",4170,0.591241
"136",4175,0.563552
"137",4180,0.563115
"138",4185,0.588199
"139",4190,0.601966
"140",4195,0.588608
"141",4200,0.581228
"142",4205,0.611877
"143",4210,0.644158
"144",4215,0.663012
"145",4220,0.679128
"146",4225,0.635144
"147",4230,0.645538
"148",4235,0.656371
"149",4240,0.672947
"150",4245,0.695216
"151",4250,0.691718
"152",4255,0.683491
"153",4260,0.679722
"154",4265,0.6912
"155",4270,0.669965
"156",4275,0.665881
"157",4280,0.66975
"158",4285,0.652692
"159",4290,0.640769
"160",4295,0.611249
"161",4300,0.546074
"162",4305,0.487646
"163",4310,0.502863
"164",4315,0.650385
"165",4320,0.748469
"166",4325,0.741922
"167",4330,0.757284
"168",4335,0.75854
"169",4340,0.742256
"170",4345,0.778347
"171",4350,0.787072
"172",4355,0.794888
"173",4360,0.82876
"174",4365,0.845194
"175",4370,0.823922
"176",4375,0.788761
"177",4380,0.738935
"178",4385,0.685843
"179",4390,0.702908
"180",4395,0.746523
"181",4400,0.772438
"182",4405,0.763135
"183",4410,0.788147
"184",4415,0.809854
"185",4420,0.827589
"186",4425,0.828889
"187",4430,0.8166
"188",4435,0.812356
"189",4440,0.833954
"190",4445,0.861404
"191",4450,0.872266
"192",4455,0.830084
"193",4460,0.793186
"194",4465,0.819285
"195",4470,0.863423
"196",4475,0.911753
"197",4480,0.931945
"198",4485,0.933227
"199",4490,0.910177
"200",4495,0.894277
"201",4500,0.925862
"202",4505,0.972753
"203",4510,0.991352
"204",4515,0.983352
"205",4520,0.951847
"206",4525,0.889066
"207",4530,0.849982
"208",4535,0.866566
"209",4540,0.893119
"210",4545,0.891082
"211",4550,0.890767
"212",4555,0.91484
"213",4560,0.935753
"214",4565,0.934358
"215",4570,0.943222
"216",4575,0.942974
"217",4580,0.925234
"218",4585,0.930206
"219",4590,0.926807
"220",4595,0.91415
