"","angstrom","value"
"1",3500,0.370762
"2",3505,0.399332
"3",3510,0.412623
"4",3515,0.40196
"5",3520,0.376095
"6",3525,0.359181
"7",3530,0.377984
"8",3535,0.409088
"9",3540,0.434639
"10",3545,0.437328
"11",3550,0.41855
"12",3555,0.395211
"13",3560,0.368932
"14",3565,0.332279
"15",3570,0.313975
"16",3575,0.31002
"17",3580,0.282998
"18",3585,0.268336
"19",3590,0.311785
"20",3595,0.395994
"21",3600,0.43878
"22",3605,0.399184
"23",3610,0.362791
"24",3615,0.35601
"25",3620,0.378203
"26",3625,0.430049
"27",3630,0.428945
"28",3635,0.43208
"29",3640,0.435968
"30",3645,0.407976
"31",3650,0.432968
"32",3655,0.510677
"33",3660,0.558376
"34",3665,0.548863
"35",3670,0.53201
"36",3675,0.508362
"37",3680,0.477735
"38",3685,0.47096
"39",3690,0.497427
"40",3695,0.535407
"41",3700,0.535054
"42",3705,0.474124
"43",3710,0.474875
"44",3715,0.485615
"45",3720,0.444933
"46",3725,0.447379
"47",3730,0.421272
"48",3735,0.361904
"49",3740,0.357611
"50",3745,0.336244
"51",3750,0.371723
"52",3755,0.432406
"53",3760,0.436483
"54",3765,0.441785
"55",3770,0.48139
"56",3775,0.534043
"57",3780,0.560926
"58",3785,0.51761
"59",3790,0.453826
"60",3795,0.4184
"61",3800,0.43666
"62",3805,0.474991
"63",3810,0.469196
"64",3815,0.390735
"65",3820,0.324217
"66",3825,0.280111
"67",3830,0.264075
"68",3835,0.270829
"69",3840,0.296955
"70",3845,0.346745
"71",3850,0.36417
"72",3855,0.341087
"73",3860,0.33029
"74",3865,0.348179
"75",3870,0.349713
"76",3875,0.362665
"77",3880,0.37548
"78",3885,0.395534
"79",3890,0.454211
"80",3895,0.501382
"81",3900,0.512893
"82",3905,0.496238
"83",3910,0.530325
"84",3915,0.535905
"85",3920,0.496875
"86",3925,0.420071
"87",3930,0.327412
"88",3935,0.28857
"89",3940,0.329654
"90",3945,0.420143
"91",3950,0.513823
"92",3955,0.548676
"93",3960,0.484893
"94",3965,0.374222
"95",3970,0.337126
"96",3975,0.428986
"97",3980,0.555739
"98",3985,0.638924
"99",3990,0.694736
"100",3995,0.724631
"101",4000,0.744536
"102",4005,0.753342
"103",4010,0.773227
"104",4015,0.791735
"105",4020,0.807552
"106",4025,0.80252
"107",4030,0.773737
"108",4035,0.781875
"109",4040,0.777317
"110",4045,0.748317
"111",4050,0.757758
"112",4055,0.746743
"113",4060,0.722609
"114",4065,0.71233
"115",4070,0.711412
"116",4075,0.724842
"117",4080,0.770474
"118",4085,0.826985
"119",4090,0.843695
"120",4095,0.798549
"121",4100,0.747924
"122",4105,0.753742
"123",4110,0.791402
"124",4115,0.819479
"125",4120,0.826524
"126",4125,0.815837
"127",4130,0.789901
"128",4135,0.790723
"129",4140,0.786145
"130",4145,0.773821
"131",4150,0.766221
"132",4155,0.76565
"133",4160,0.790295
"134",4165,0.801705
"135",4170,0.779529
"136",4175,0.755324
"137",4180,0.748163
"138",4185,0.753905
"139",4190,0.764698
"140",4195,0.744594
"141",4200,0.736227
"142",4205,0.784201
"143",4210,0.826045
"144",4215,0.833795
"145",4220,0.816613
"146",4225,0.755597
"147",4230,0.75101
"148",4235,0.760519
"149",4240,0.788328
"150",4245,0.803269
"151",4250,0.792271
"152",4255,0.788541
"153",4260,0.78676
"154",4265,0.793388
"155",4270,0.762595
"156",4275,0.762595
"157",4280,0.775828
"158",4285,0.763806
"159",4290,0.741871
"160",4295,0.69985
"161",4300,0.624427
"162",4305,0.569682
"163",4310,0.599787
"164",4315,0.74696
"165",4320,0.840276
"166",4325,0.837647
"167",4330,0.850613
"168",4335,0.839897
"169",4340,0.815334
"170",4345,0.848006
"171",4350,0.866522
"172",4355,0.881019
"173",4360,0.911759
"174",4365,0.934343
"175",4370,0.918863
"176",4375,0.883851
"177",4380,0.825805
"178",4385,0.784547
"179",4390,0.808624
"180",4395,0.855148
"181",4400,0.870965
"182",4405,0.862823
"183",4410,0.890339
"184",4415,0.918021
"185",4420,0.952695
"186",4425,0.959568
"187",4430,0.956136
"188",4435,0.954204
"189",4440,0.971503
"190",4445,0.988532
"191",4450,0.975952
"192",4455,0.91917
"193",4460,0.895723
"194",4465,0.931122
"195",4470,0.981705
"196",4475,1.022481
"197",4480,1.031022
"198",4485,1.034874
"199",4490,1.02627
"200",4495,1.028853
"201",4500,1.063703
"202",4505,1.104894
"203",4510,1.12526
"204",4515,1.116418
"205",4520,1.083206
"206",4525,1.016383
"207",4530,0.981292
"208",4535,1.003973
"209",4540,1.029831
"210",4545,1.02747
"211",4550,1.025361
"212",4555,1.045333
"213",4560,1.065533
"214",4565,1.0707
"215",4570,1.076334
"216",4575,1.076917
"217",4580,1.062159
"218",4585,1.054973
"219",4590,1.047905
"220",4595,1.032791
"221",4600,1.040147
"222",4605,1.059633
"223",4610,1.078622
"224",4615,1.086879
"225",4620,1.098122
"226",4625,1.103162
"227",4630,1.106995
"228",4635,1.088538
"229",4640,1.059684
"230",4645,1.026082
"231",4650,1.013391
"232",4655,1.025367
"233",4660,1.037493
"234",4665,1.007769
"235",4670,0.991625
"236",4675,0.997879
"237",4680,1.007671
"238",4685,1.026084
"239",4690,1.026048
"240",4695,1.014083
"241",4700,0.986305
"242",4705,0.971403
"243",4710,0.975488
"244",4715,1.011569
"245",4720,1.04737
"246",4725,1.056331
"247",4730,1.041044
"248",4735,1.041082
"249",4740,1.057719
"250",4745,1.07887
"251",4750,1.090467
"252",4755,1.082574
"253",4760,1.072327
"254",4765,1.048562
"255",4770,1.050702
"256",4775,1.081374
"257",4780,1.105268
"258",4785,1.096095
"259",4790,1.090235
"260",4795,1.10328
"261",4800,1.10841
"262",4805,1.099381
"263",4810,1.100185
"264",4815,1.11208
"265",4820,1.114781
"266",4825,1.100912
"267",4830,1.089681
"268",4835,1.084519
"269",4840,1.07231
"270",4845,1.074824
"271",4850,1.057625
"272",4855,0.997261
"273",4860,0.930489
"274",4865,0.921417
"275",4870,0.939481
"276",4875,0.965328
"277",4880,1.011345
"278",4885,1.003899
"279",4890,0.996248
"280",4895,1.045207
"281",4900,1.076684
"282",4905,1.079443
"283",4910,1.05442
"284",4915,1.035879
"285",4920,0.987565
"286",4925,1.013249
"287",4930,1.055306
"288",4935,1.035106
"289",4940,1.03128
"290",4945,1.07576
"291",4950,1.095687
"292",4955,1.074536
"293",4960,1.055047
"294",4965,1.066176
"295",4970,1.063565
"296",4975,1.069009
"297",4980,1.033175
"298",4985,1.013214
"299",4990,1.03053
"300",4995,1.037155
"301",5000,1.026194
"302",5005,0.993632
"303",5010,0.981242
"304",5015,0.957203
"305",5020,0.961401
"306",5025,0.986828
"307",5030,1.007873
"308",5035,1.006493
"309",5040,0.977417
"310",5045,0.98873
"311",5050,1.008759
"312",5055,1.037613
"313",5060,1.069599
"314",5065,1.052855
"315",5070,1.028236
"316",5075,1.009734
"317",5080,0.982995
"318",5085,1.001732
"319",5090,1.032965
"320",5095,1.031394
"321",5100,1.007833
"322",5105,1.006483
"323",5110,1.00194
"324",5115,1.029645
"325",5120,1.033996
"326",5125,0.998839
"327",5130,0.983027
"328",5135,0.976472
"329",5140,0.965044
"330",5145,0.962869
"331",5150,0.963476
"332",5155,0.974763
"333",5160,0.965183
"334",5165,0.872377
"335",5170,0.806498
"336",5175,0.852504
"337",5180,0.89428
"338",5185,0.877115
"339",5190,0.910041
"340",5195,0.940384
"341",5200,0.978859
"342",5205,0.967084
"343",5210,0.973855
"344",5215,0.999161
"345",5220,1.007347
"346",5225,0.980544
"347",5230,0.962554
"348",5235,0.991239
"349",5240,1.025826
"350",5245,1.037771
"351",5250,1.031218
"352",5255,1.036138
"353",5260,1.012922
"354",5265,0.924741
"355",5270,0.884339
"356",5275,0.919321
"357",5280,0.978586
"358",5285,1.021394
"359",5290,1.063653
"360",5295,1.048762
"361",5300,1.028066
"362",5305,1.054935
"363",5310,1.078768
"364",5315,1.07857
"365",5320,1.050383
"366",5325,0.995055
"367",5330,0.976714
"368",5335,1.005901
"369",5340,1.013256
"370",5345,1.023511
"371",5350,1.036947
"372",5355,1.0705
"373",5360,1.07669
"374",5365,1.0346
"375",5370,0.995272
"376",5375,1.021386
"377",5380,1.042267
"378",5385,1.041116
"379",5390,1.022325
"380",5395,0.992319
"381",5400,0.975126
"382",5405,0.955933
"383",5410,0.960452
"384",5415,0.99486
"385",5420,1.01311
"386",5425,1.014548
"387",5430,1.001163
"388",5435,1.00185
"389",5440,1.030923
"390",5445,1.021387
"391",5450,1.029047
"392",5455,1.022314
"393",5460,1.033753
"394",5465,1.023698
"395",5470,1.026484
"396",5475,1.004938
"397",5480,0.988932
"398",5485,1.00502
"399",5490,1.018315
"400",5495,1.02622
"401",5500,1.022987
"402",5505,1.012371
"403",5510,1.003988
"404",5515,1.009486
"405",5520,1.026209
"406",5525,1.014356
"407",5530,0.998587
"408",5535,0.999882
"409",5540,1.012995
"410",5545,1.023597
"411",5550,1.039264
"412",5555,1.031855
"413",5560,1.018973
"414",5565,1.001158
"415",5570,0.99011
"416",5575,0.996985
"417",5580,1.00285
"418",5585,0.968922
"419",5590,0.939925
"420",5595,0.954359
"421",5600,0.965258
"422",5605,1.00212
"423",5610,1.032866
"424",5615,0.998093
"425",5620,0.981976
"426",5625,0.988042
"427",5630,1.005494
"428",5635,1.003186
"429",5640,0.997321
"430",5645,1.005508
"431",5650,1.009625
"432",5655,0.981852
"433",5660,0.961235
"434",5665,0.975412
"435",5670,1.003319
"436",5675,1.016907
"437",5680,1.005531
"438",5685,0.989737
"439",5690,0.993053
"440",5695,1.001619
"441",5700,0.986906
"442",5705,0.96346
"443",5710,0.946489
"444",5715,0.977042
"445",5720,1.014182
"446",5725,1.032483
"447",5730,1.028496
"448",5735,1.028863
"449",5740,1.027437
"450",5745,1.014143
"451",5750,0.995062
"452",5755,0.98881
"453",5760,0.996333
"454",5765,1.007812
"455",5770,1.018608
"456",5775,1.004921
"457",5780,0.976433
"458",5785,0.964111
"459",5790,0.984357
"460",5795,0.999603
"461",5800,1.007011
"462",5805,1.003082
"463",5810,1.005746
"464",5815,1.011242
"465",5820,1.025552
"466",5825,1.030707
"467",5830,1.029313
"468",5835,1.025271
"469",5840,1.026206
"470",5845,1.019324
"471",5850,1.003653
"472",5855,0.98008
"473",5860,0.980791
"474",5865,0.998341
"475",5870,1.012193
"476",5875,1.013216
"477",5880,0.994692
"478",5885,0.933768
"479",5890,0.854283
"480",5895,0.870069
"481",5900,0.939253
"482",5905,0.975621
"483",5910,0.983629
"484",5915,0.986626
"485",5920,0.995444
"486",5925,0.990977
"487",5930,0.981427
"488",5935,0.991753
"489",5940,0.994804
"490",5945,0.979159
"491",5950,0.968823
"492",5955,0.97558
"493",5960,0.988417
"494",5965,0.99222
"495",5970,0.991148
"496",5975,0.977169
"497",5980,0.969323
"498",5985,0.959777
"499",5990,0.9696
"500",5995,0.972337
"501",6000,0.965894
"502",6005,0.959276
"503",6010,0.952009
"504",6015,0.943457
"505",6020,0.93954
"506",6025,0.956261
"507",6030,0.975622
"508",6035,0.981703
"509",6040,0.978911
"510",6045,0.982394
"511",6050,0.979711
"512",6055,0.970777
"513",6060,0.970467
"514",6065,0.972119
"515",6070,0.979053
"516",6075,0.964819
"517",6080,0.95029
"518",6085,0.947656
"519",6090,0.94522
"520",6095,0.937769
"521",6100,0.927311
"522",6105,0.938332
"523",6110,0.954552
"524",6115,0.944813
"525",6120,0.930026
"526",6125,0.936671
"527",6130,0.935876
"528",6135,0.911768
"529",6140,0.919102
"530",6145,0.935455
"531",6150,0.934357
"532",6155,0.914877
"533",6160,0.889322
"534",6165,0.890659
"535",6170,0.906001
"536",6175,0.926869
"537",6180,0.936855
"538",6185,0.92994
"539",6190,0.926395
"540",6195,0.94335
"541",6200,0.953345
"542",6205,0.954635
"543",6210,0.942747
"544",6215,0.928674
"545",6220,0.923288
"546",6225,0.920474
"547",6230,0.910431
"548",6235,0.913374
"549",6240,0.909205
"550",6245,0.898888
"551",6250,0.900458
"552",6255,0.891531
"553",6260,0.903334
"554",6265,0.915606
"555",6270,0.92028
"556",6275,0.908665
"557",6280,0.89861
"558",6285,0.911115
"559",6290,0.914929
"560",6295,0.90398
"561",6300,0.891685
"562",6305,0.902037
"563",6310,0.90394
"564",6315,0.890555
"565",6320,0.894028
"566",6325,0.910654
"567",6330,0.911179
"568",6335,0.902279
"569",6340,0.901904
"570",6345,0.907929
"571",6350,0.910048
"572",6355,0.896685
"573",6360,0.888377
"574",6365,0.900867
"575",6370,0.919894
"576",6375,0.922171
"577",6380,0.919313
"578",6385,0.920165
"579",6390,0.91261
"580",6395,0.904421
"581",6400,0.894703
"582",6405,0.89235
"583",6410,0.888853
"584",6415,0.892457
"585",6420,0.89386
"586",6425,0.904198
"587",6430,0.902391
"588",6435,0.903651
"589",6440,0.899643
"590",6445,0.900328
"591",6450,0.895276
"592",6455,0.895236
"593",6460,0.888305
"594",6465,0.891441
"595",6470,0.897289
"596",6475,0.896102
"597",6480,0.889814
"598",6485,0.885788
"599",6490,0.875924
"600",6495,0.854755
"601",6500,0.874299
"602",6505,0.901902
"603",6510,0.912533
"604",6515,0.90513
"605",6520,0.89968
"606",6525,0.899948
"607",6530,0.898198
"608",6535,0.900535
"609",6540,0.897173
"610",6545,0.87953
"611",6550,0.852312
"612",6555,0.814031
"613",6560,0.771451
"614",6565,0.798213
"615",6570,0.844359
"616",6575,0.868601
"617",6580,0.881368
"618",6585,0.880331
"619",6590,0.873986
"620",6595,0.87305
"621",6600,0.885677
"622",6605,0.888009
"623",6610,0.890797
"624",6615,0.896811
"625",6620,0.896475
"626",6625,0.889964
"627",6630,0.876413
"628",6635,0.872862
"629",6640,0.87821
"630",6645,0.88412
"631",6650,0.889178
"632",6655,0.883511
"633",6660,0.874747
"634",6665,0.872693
"635",6670,0.87648
"636",6675,0.875532
"637",6680,0.875226
"638",6685,0.882397
"639",6690,0.881461
"640",6695,0.875585
"641",6700,0.870065
"642",6705,0.86194
"643",6710,0.85836
"644",6715,0.8528
"645",6720,0.854892
"646",6725,0.859444
"647",6730,0.859966
"648",6735,0.864135
"649",6740,0.863569
"650",6745,0.861179
