"","angstrom","value"
"1",3500,0.051665
"2",3505,0.050315
"3",3510,0.047657
"4",3515,0.047851
"5",3520,0.04973
"6",3525,0.051611
"7",3530,0.055091
"8",3535,0.061177
"9",3540,0.065241
"10",3545,0.063218
"11",3550,0.058923
"12",3555,0.056697
"13",3560,0.055105
"14",3565,0.051835
"15",3570,0.046847
"16",3575,0.041263
"17",3580,0.038572
"18",3585,0.041523
"19",3590,0.047533
"20",3595,0.052596
"21",3600,0.052338
"22",3605,0.044963
"23",3610,0.039369
"24",3615,0.043561
"25",3620,0.051272
"26",3625,0.055271
"27",3630,0.058737
"28",3635,0.064944
"29",3640,0.067147
"30",3645,0.060546
"31",3650,0.058145
"32",3655,0.071121
"33",3660,0.085549
"34",3665,0.086473
"35",3670,0.079912
"36",3675,0.075127
"37",3680,0.073385
"38",3685,0.074117
"39",3690,0.077405
"40",3695,0.082592
"41",3700,0.085394
"42",3705,0.0821
"43",3710,0.074911
"44",3715,0.06714
"45",3720,0.060635
"46",3725,0.056464
"47",3730,0.054013
"48",3735,0.052491
"49",3740,0.052054
"50",3745,0.053012
"51",3750,0.055337
"52",3755,0.05892
"53",3760,0.063657
"54",3765,0.069728
"55",3770,0.078415
"56",3775,0.089003
"57",3780,0.091687
"58",3785,0.079373
"59",3790,0.064897
"60",3795,0.06189
"61",3800,0.067233
"62",3805,0.073554
"63",3810,0.07324
"64",3815,0.062094
"65",3820,0.049837
"66",3825,0.046356
"67",3830,0.048266
"68",3835,0.05055
"69",3840,0.054928
"70",3845,0.062784
"71",3850,0.06742
"72",3855,0.063391
"73",3860,0.058357
"74",3865,0.060103
"75",3870,0.063807
"76",3875,0.064287
"77",3880,0.067522
"78",3885,0.078967
"79",3890,0.090817
"80",3895,0.095286
"81",3900,0.097915
"82",3905,0.104378
"83",3910,0.107564
"84",3915,0.099638
"85",3920,0.082656
"86",3925,0.062139
"87",3930,0.047595
"88",3935,0.047366
"89",3940,0.06113
"90",3945,0.084218
"91",3950,0.103248
"92",3955,0.10548
"93",3960,0.089466
"94",3965,0.062359
"95",3970,0.054419
"96",3975,0.088503
"97",3980,0.134737
"98",3985,0.160363
"99",3990,0.173816
"100",3995,0.189044
"101",4000,0.200858
"102",4005,0.203763
"103",4010,0.210165
"104",4015,0.22944
"105",4020,0.240956
"106",4025,0.226751
"107",4030,0.209563
"108",4035,0.213002
"109",4040,0.223477
"110",4045,0.223071
"111",4050,0.213748
"112",4055,0.20263
"113",4060,0.197587
"114",4065,0.202969
"115",4070,0.208299
"116",4075,0.206455
"117",4080,0.218563
"118",4085,0.25853
"119",4090,0.283154
"120",4095,0.25549
"121",4100,0.22074
"122",4105,0.225978
"123",4110,0.24361
"124",4115,0.23895
"125",4120,0.223605
"126",4125,0.21592
"127",4130,0.214891
"128",4135,0.214681
"129",4140,0.209451
"130",4145,0.197612
"131",4150,0.194574
"132",4155,0.211967
"133",4160,0.22929
"134",4165,0.225622
"135",4170,0.210472
"136",4175,0.199958
"137",4180,0.206206
"138",4185,0.232051
"139",4190,0.247161
"140",4195,0.227314
"141",4200,0.205879
"142",4205,0.218726
"143",4210,0.254117
"144",4215,0.287077
"145",4220,0.287268
"146",4225,0.241341
"147",4230,0.209265
"148",4235,0.244187
"149",4240,0.298668
"150",4245,0.316707
"151",4250,0.308658
"152",4255,0.297626
"153",4260,0.291358
"154",4265,0.29284
"155",4270,0.301345
"156",4275,0.312921
"157",4280,0.314396
"158",4285,0.296498
