"","angstrom","value"
"1",3500,0.043949
"2",3505,0.044096
"3",3510,0.053723
"4",3515,0.055152
"5",3520,0.055917
"6",3525,0.052334
"7",3530,0.056629
"8",3535,0.063485
"9",3540,0.064219
"10",3545,0.058622
"11",3550,0.058761
"12",3555,0.05875
"13",3560,0.054685
"14",3565,0.045247
"15",3570,0.041421
"16",3575,0.037021
"17",3580,0.031304
"18",3585,0.035406
"19",3590,0.046001
"20",3595,0.057086
"21",3600,0.052901
"22",3605,0.045663
"23",3610,0.04292
"24",3615,0.04638
"25",3620,0.051899
"26",3625,0.058079
"27",3630,0.056227
"28",3635,0.059841
"29",3640,0.063191
"30",3645,0.057881
"31",3650,0.060105
"32",3655,0.072171
"33",3660,0.082063
"34",3665,0.080792
"35",3670,0.076965
"36",3675,0.074731
"37",3680,0.069785
"38",3685,0.068971
"39",3690,0.073444
"40",3695,0.080536
"41",3700,0.078493
"42",3705,0.066318
"43",3710,0.064974
"44",3715,0.063009
"45",3720,0.055919
"46",3725,0.055222
"47",3730,0.048284
"48",3735,0.041971
"49",3740,0.043947
"50",3745,0.043476
"51",3750,0.048388
"52",3755,0.055564
"53",3760,0.056854
"54",3765,0.061969
"55",3770,0.072134
"56",3775,0.079196
"57",3780,0.08115
"58",3785,0.073744
"59",3790,0.065321
"60",3795,0.061534
"61",3800,0.064102
"62",3805,0.068427
"63",3810,0.06705
"64",3815,0.056412
"65",3820,0.048084
"66",3825,0.046131
"67",3830,0.046696
"68",3835,0.047607
"69",3840,0.052474
"70",3845,0.059945
"71",3850,0.059237
"72",3855,0.054304
"73",3860,0.053055
"74",3865,0.057047
"75",3870,0.058411
"76",3875,0.056196
"77",3880,0.056477
"78",3885,0.059961
"79",3890,0.068087
"80",3895,0.071665
"81",3900,0.073591
"82",3905,0.077863
"83",3910,0.082431
"84",3915,0.076502
"85",3920,0.063669
"86",3925,0.049444
"87",3930,0.035212
"88",3935,0.033599
"89",3940,0.045978
"90",3945,0.061375
"91",3950,0.07561
"92",3955,0.076568
"93",3960,0.061485
"94",3965,0.04408
"95",3970,0.045247
"96",3975,0.069473
"97",3980,0.096308
"98",3985,0.115782
"99",3990,0.126849
"100",3995,0.13414
"101",4000,0.143928
"102",4005,0.149664
"103",4010,0.157827
"104",4015,0.168757
"105",4020,0.171582
"106",4025,0.166029
"107",4030,0.155854
"108",4035,0.159871
"109",4040,0.165281
"110",4045,0.156466
"111",4050,0.165662
"112",4055,0.162902
"113",4060,0.154909
"114",4065,0.15715
"115",4070,0.163335
"116",4075,0.162362
"117",4080,0.174331
"118",4085,0.201032
"119",4090,0.212541
"120",4095,0.195447
"121",4100,0.178061
"122",4105,0.183163
"123",4110,0.186127
"124",4115,0.181469
"125",4120,0.180179
"126",4125,0.181942
"127",4130,0.171284
"128",4135,0.169258
"129",4140,0.165237
"130",4145,0.162566
"131",4150,0.16823
"132",4155,0.182879
"133",4160,0.197666
"134",4165,0.191548
"135",4170,0.177145
"136",4175,0.170545
"137",4180,0.178609
"138",4185,0.190084
"139",4190,0.194645
"140",4195,0.1854
"141",4200,0.174186
"142",4205,0.186855
"143",4210,0.204112
"144",4215,0.213868
"145",4220,0.208575
"146",4225,0.169663
"147",4230,0.172635
"148",4235,0.20028
"149",4240,0.231552
"150",4245,0.247494
"151",4250,0.229987
"152",4255,0.217995
"153",4260,0.228355
"154",4265,0.245714
"155",4270,0.232238
"156",4275,0.232412
"157",4280,0.243162
"158",4285,0.224843
"159",4290,0.204965
"160",4295,0.20877
"161",4300,0.201997
"162",4305,0.192487
"163",4310,0.221918
"164",4315,0.298163
"165",4320,0.333705
"166",4325,0.319183
"167",4330,0.33257
"168",4335,0.338807
"169",4340,0.329828
"170",4345,0.352973
"171",4350,0.359312
"172",4355,0.370449
"173",4360,0.390267
"174",4365,0.404095
"175",4370,0.389109
"176",4375,0.361605
"177",4380,0.319543
"178",4385,0.290304
"179",4390,0.310723
"180",4395,0.350939
"181",4400,0.362716
"182",4405,0.329596
"183",4410,0.33718
"184",4415,0.352089
"185",4420,0.374083
"186",4425,0.379635
"187",4430,0.380459
"188",4435,0.377796
"189",4440,0.397049
"190",4445,0.420187
"191",4450,0.422585
"192",4455,0.376595
"193",4460,0.345998
"194",4465,0.369256
"195",4470,0.412203
"196",4475,0.463005
"197",4480,0.48418
"198",4485,0.493583
"199",4490,0.474543
"200",4495,0.463581
"201",4500,0.499664
"202",4505,0.546173
"203",4510,0.555188
"204",4515,0.539935
"205",4520,0.515327
"206",4525,0.451861
"207",4530,0.416393
"208",4535,0.443269
"209",4540,0.472798
"210",4545,0.485726
"211",4550,0.489717
"212",4555,0.510068
"213",4560,0.535962
"214",4565,0.542502
"215",4570,0.547987
"216",4575,0.544319
"217",4580,0.533071
"218",4585,0.549587
"219",4590,0.552141
"220",4595,0.529075
"221",4600,0.523175
"222",4605,0.56044
"223",4610,0.61723
"224",4615,0.648316
"225",4620,0.655019
"226",4625,0.649475
"227",4630,0.632908
"228",4635,0.589686
"229",4640,0.557216
"230",4645,0.535162
"231",4650,0.554012
"232",4655,0.601745
"233",4660,0.629633
"234",4665,0.573171
"235",4670,0.551298
"236",4675,0.578397
"237",4680,0.592613
"238",4685,0.591894
"239",4690,0.594982
"240",4695,0.614062
"241",4700,0.608474
"242",4705,0.592973
"243",4710,0.585128
"244",4715,0.61886
"245",4720,0.653113
"246",4725,0.629872
"247",4730,0.592385
"248",4735,0.611692
"249",4740,0.63739
"250",4745,0.658921
"251",4750,0.667531
"252",4755,0.647882
"253",4760,0.619744
"254",4765,0.596813
"255",4770,0.611176
"256",4775,0.652538
"257",4780,0.653635
"258",4785,0.617857
"259",4790,0.613339
"260",4795,0.652511
"261",4800,0.678076
"262",4805,0.677913
"263",4810,0.670763
"264",4815,0.696625
"265",4820,0.71343
"266",4825,0.691224
"267",4830,0.669726
"268",4835,0.677087
"269",4840,0.674683
"270",4845,0.679146
"271",4850,0.672098
"272",4855,0.64094
"273",4860,0.602348
"274",4865,0.601639
"275",4870,0.613259
"276",4875,0.636568
"277",4880,0.655081
"278",4885,0.62004
"279",4890,0.627013
"280",4895,0.718397
"281",4900,0.759628
"282",4905,0.746917
"283",4910,0.712512
"284",4915,0.696016
"285",4920,0.654669
"286",4925,0.702398
"287",4930,0.759619
"288",4935,0.713387
"289",4940,0.691049
"290",4945,0.763159
"291",4950,0.811158
"292",4955,0.774118
"293",4960,0.728286
"294",4965,0.718476
"295",4970,0.731326
"296",4975,0.747981
"297",4980,0.702142
"298",4985,0.681903
"299",4990,0.696656
"300",4995,0.703234
"301",5000,0.679044
"302",5005,0.654927
"303",5010,0.645433
"304",5015,0.613977
"305",5020,0.628554
"306",5025,0.679931
"307",5030,0.722758
"308",5035,0.694028
"309",5040,0.635315
"310",5045,0.686325
"311",5050,0.735933
"312",5055,0.784181
"313",5060,0.799746
"314",5065,0.746598
"315",5070,0.710612
"316",5075,0.689734
"317",5080,0.652786
"318",5085,0.686424
"319",5090,0.737099
"320",5095,0.737332
"321",5100,0.707404
"322",5105,0.683699
"323",5110,0.674725
"324",5115,0.724434
"325",5120,0.725184
"326",5125,0.659344
"327",5130,0.660331
"328",5135,0.696781
"329",5140,0.693884
"330",5145,0.65843
"331",5150,0.637286
"332",5155,0.697503
"333",5160,0.728095
"334",5165,0.589905
"335",5170,0.495618
"336",5175,0.562919
"337",5180,0.615397
"338",5185,0.640406
"339",5190,0.679684
"340",5195,0.697386
"341",5200,0.699739
"342",5205,0.618828
"343",5210,0.625127
"344",5215,0.732702
"345",5220,0.769111
"346",5225,0.719718
"347",5230,0.736963
"348",5235,0.806066
"349",5240,0.849695
"350",5245,0.799357
"351",5250,0.739653
"352",5255,0.777651
"353",5260,0.783682
"354",5265,0.685895
"355",5270,0.652989
"356",5275,0.754869
"357",5280,0.84987
"358",5285,0.901252
"359",5290,0.924868
"360",5295,0.852649
"361",5300,0.817866
"362",5305,0.911428
"363",5310,0.971207
"364",5315,0.959419
"365",5320,0.911792
"366",5325,0.818911
"367",5330,0.795576
"368",5335,0.878863
"369",5340,0.896367
"370",5345,0.888169
"371",5350,0.919032
"372",5355,1.010843
"373",5360,1.036861
"374",5365,0.96379
"375",5370,0.892819
"376",5375,0.948813
"377",5380,0.988701
"378",5385,0.95456
"379",5390,0.899945
"380",5395,0.860586
"381",5400,0.844208
"382",5405,0.819752
"383",5410,0.852773
"384",5415,0.954747
"385",5420,0.988292
"386",5425,0.975242
"387",5430,0.917687
"388",5435,0.894885
"389",5440,0.96038
"390",5445,0.956823
"391",5450,0.949545
"392",5455,0.930033
"393",5460,0.952321
"394",5465,0.954789
"395",5470,0.944617
"396",5475,0.900684
"397",5480,0.891886
"398",5485,0.922013
"399",5490,0.95005
"400",5495,0.970845
"401",5500,0.969261
"402",5505,0.943656
"403",5510,0.920605
"404",5515,0.932521
"405",5520,0.991633
"406",5525,0.999339
"407",5530,0.988848
"408",5535,0.994576
"409",5540,1.02538
"410",5545,1.040033
"411",5550,1.067369
"412",5555,1.059269
"413",5560,1.038826
"414",5565,1.010189
"415",5570,1.010497
"416",5575,1.040643
"417",5580,1.043634
"418",5585,0.982013
"419",5590,0.93561
"420",5595,0.967234
"421",5600,0.984692
"422",5605,1.040876
"423",5610,1.079211
"424",5615,1.024599
"425",5620,0.995701
"426",5625,0.986456
"427",5630,1.025255
"428",5635,1.02059
"429",5640,0.998838
"430",5645,1.008031
"431",5650,1.029131
"432",5655,1.016092
"433",5660,0.978771
"434",5665,0.993603
"435",5670,1.02861
"436",5675,1.080099
"437",5680,1.074734
"438",5685,1.046924
"439",5690,1.056447
"440",5695,1.059076
"441",5700,1.011788
"442",5705,0.965919
"443",5710,0.943538
"444",5715,1.028646
"445",5720,1.103597
"446",5725,1.109071
"447",5730,1.090327
"448",5735,1.095878
"449",5740,1.090011
"450",5745,1.089727
"451",5750,1.076831
"452",5755,1.081137
"453",5760,1.094836
"454",5765,1.119446
"455",5770,1.14082
"456",5775,1.113446
"457",5780,1.041093
"458",5785,0.998793
"459",5790,1.042197
"460",5795,1.096587
"461",5800,1.143091
"462",5805,1.138478
"463",5810,1.134762
"464",5815,1.137349
"465",5820,1.172623
"466",5825,1.186696
"467",5830,1.190552
"468",5835,1.179039
"469",5840,1.190884
"470",5845,1.181214
"471",5850,1.137356
"472",5855,1.095244
"473",5860,1.09563
"474",5865,1.113108
"475",5870,1.148917
"476",5875,1.151884
"477",5880,1.111993
"478",5885,1.027238
"479",5890,0.84358
"480",5895,0.836949
"481",5900,0.962126
"482",5905,1.075476
"483",5910,1.123168
"484",5915,1.107781
"485",5920,1.110675
"486",5925,1.119359
"487",5930,1.127094
"488",5935,1.134892
"489",5940,1.119673
"490",5945,1.134644
"491",5950,1.128975
"492",5955,1.117664
"493",5960,1.150074
"494",5965,1.175225
"495",5970,1.201222
"496",5975,1.167824
"497",5980,1.133233
"498",5985,1.126826
"499",5990,1.156381
"500",5995,1.165609
"501",6000,1.148649
"502",6005,1.127072
"503",6010,1.116238
"504",6015,1.104432
"505",6020,1.113644
"506",6025,1.157105
"507",6030,1.189397
"508",6035,1.212662
"509",6040,1.219401
"510",6045,1.241401
"511",6050,1.24233
"512",6055,1.207399
"513",6060,1.187775
"514",6065,1.1919
"515",6070,1.248937
"516",6075,1.246978
"517",6080,1.191927
"518",6085,1.161966
"519",6090,1.147983
"520",6095,1.165395
"521",6100,1.167727
"522",6105,1.163342
"523",6110,1.186123
"524",6115,1.185093
"525",6120,1.151217
"526",6125,1.142321
"527",6130,1.149284
"528",6135,1.068852
"529",6140,1.088025
"530",6145,1.156532
"531",6150,1.16396
"532",6155,1.148362
"533",6160,1.065581
"534",6165,1.040514
"535",6170,1.056623
"536",6175,1.104627
"537",6180,1.145249
"538",6185,1.122843
"539",6190,1.063917
"540",6195,1.08986
"541",6200,1.121561
"542",6205,1.14955
"543",6210,1.108859
"544",6215,1.029286
"545",6220,1.005264
"546",6225,1.019175
"547",6230,1.008972
"548",6235,1.046527
"549",6240,1.008966
"550",6245,1.009145
"551",6250,1.025387
"552",6255,0.958256
"553",6260,0.968567
"554",6265,1.037439
"555",6270,1.069543
"556",6275,1.072213
"557",6280,1.055599
"558",6285,1.095777
"559",6290,1.128776
"560",6295,1.077186
"561",6300,1.066362
"562",6305,1.1055
"563",6310,1.127201
"564",6315,1.092903
"565",6320,1.098527
"566",6325,1.149164
"567",6330,1.177381
"568",6335,1.154644
"569",6340,1.148287
"570",6345,1.163313
"571",6350,1.187583
"572",6355,1.132505
"573",6360,1.070768
"574",6365,1.116114
"575",6370,1.208055
"576",6375,1.22821
"577",6380,1.218017
"578",6385,1.229238
"579",6390,1.206387
"580",6395,1.191121
"581",6400,1.194219
"582",6405,1.217367
"583",6410,1.212491
"584",6415,1.199341
"585",6420,1.191661
"586",6425,1.220814
"587",6430,1.204986
"588",6435,1.21632
"589",6440,1.237585
"590",6445,1.249549
"591",6450,1.198557
"592",6455,1.229419
"593",6460,1.24183
"594",6465,1.227728
"595",6470,1.239786
"596",6475,1.236114
"597",6480,1.215455
"598",6485,1.224308
"599",6490,1.186354
"600",6495,1.048719
"601",6500,1.067048
"602",6505,1.177602
"603",6510,1.239034
"604",6515,1.252617
"605",6520,1.251654
"606",6525,1.257597
"607",6530,1.248345
"608",6535,1.261052
"609",6540,1.275534
"610",6545,1.243183
"611",6550,1.213645
"612",6555,1.171887
"613",6560,1.093373
"614",6565,1.115684
"615",6570,1.190094
"616",6575,1.199676
"617",6580,1.238826
"618",6585,1.26095
"619",6590,1.250942
"620",6595,1.22005
"621",6600,1.247694
"622",6605,1.227104
"623",6610,1.223309
"624",6615,1.282805
"625",6620,1.297716
"626",6625,1.266561
"627",6630,1.246363
"628",6635,1.244931
"629",6640,1.25843
"630",6645,1.248861
"631",6650,1.257537
"632",6655,1.25856
"633",6660,1.235261
"634",6665,1.211526
"635",6670,1.238476
"636",6675,1.230152
"637",6680,1.222325
"638",6685,1.260157
"639",6690,1.27055
"640",6695,1.255529
"641",6700,1.247724
"642",6705,1.237031
"643",6710,1.223193
"644",6715,1.1957
"645",6720,1.215296
"646",6725,1.237434
"647",6730,1.240036
"648",6735,1.228109
"649",6740,1.196023
"650",6745,1.184026
"651",6750,1.182558
"652",6755,1.219004
"653",6760,1.258566
"654",6765,1.230816
"655",6770,1.211176
"656",6775,1.251493
"657",6780,1.264994
"658",6785,1.226095
"659",6790,1.230444
"660",6795,1.23245
"661",6800,1.250891
"662",6805,1.24931
"663",6810,1.24247
"664",6815,1.249002
"665",6820,1.265589
"666",6825,1.270216
"667",6830,1.254022
"668",6835,1.249686
"669",6840,1.240403
"670",6845,1.24968
"671",6850,1.255045
"672",6855,1.244152
"673",6860,1.242971
"674",6865,1.260895
"675",6870,1.259638
"676",6875,1.251306
"677",6880,1.254784
"678",6885,1.260143
"679",6890,1.270304
"680",6895,1.265583
"681",6900,1.264707
"682",6905,1.266549
"683",6910,1.256893
"684",6915,1.254782
"685",6920,1.261848
"686",6925,1.248734
"687",6930,1.247323
"688",6935,1.250221
"689",6940,1.251642
"690",6945,1.240275
"691",6950,1.242592
"692",6955,1.243192
"693",6960,1.25246
"694",6965,1.259407
"695",6970,1.256724
"696",6975,1.217108
"697",6980,1.187338
"698",6985,1.242201
"699",6990,1.256014
"700",6995,1.258388
"701",7000,1.239122
"702",7005,1.235231
"703",7010,1.247126
"704",7015,1.216747
"705",7020,1.232602
"706",7025,1.233066
"707",7030,1.258173
"708",7035,1.278766
"709",7040,1.301035
"710",7045,1.34511
"711",7050,1.329428
