"","angstrom","value"
"1",3500,0.101833
"2",3505,0.105694
"3",3510,0.104911
"4",3515,0.099901
"5",3520,0.096595
"6",3525,0.099888
"7",3530,0.105017
"8",3535,0.106628
"9",3540,0.106665
"10",3545,0.107517
"11",3550,0.106042
"12",3555,0.099587
"13",3560,0.092982
"14",3565,0.090752
"15",3570,0.08872
"16",3575,0.08292
"17",3580,0.078935
"18",3585,0.082552
"19",3590,0.090822
"20",3595,0.099256
"21",3600,0.105961
"22",3605,0.110199
"23",3610,0.113255
"24",3615,0.116824
"25",3620,0.122207
"26",3625,0.129561
"27",3630,0.134856
"28",3635,0.135126
"29",3640,0.135838
"30",3645,0.142461
"31",3650,0.152026
"32",3655,0.160376
"33",3660,0.16703
"34",3665,0.171594
"35",3670,0.170335
"36",3675,0.161245
"37",3680,0.152539
"38",3685,0.1521
"39",3690,0.156268
"40",3695,0.159351
"41",3700,0.159079
"42",3705,0.154928
"43",3710,0.149933
"44",3715,0.14624
"45",3720,0.138896
"46",3725,0.124369
"47",3730,0.11193
"48",3735,0.110205
"49",3740,0.112441
"50",3745,0.110924
"51",3750,0.109471
"52",3755,0.113108
"53",3760,0.120167
"54",3765,0.128037
"55",3770,0.137027
"56",3775,0.146679
"57",3780,0.150553
"58",3785,0.143988
"59",3790,0.135442
"60",3795,0.133336
"61",3800,0.132846
"62",3805,0.127785
"63",3810,0.119795
"64",3815,0.111834
"65",3820,0.104312
"66",3825,0.097481
"67",3830,0.093497
"68",3835,0.09413
"69",3840,0.097693
"70",3845,0.101697
"71",3850,0.103897
"72",3855,0.103121
"73",3860,0.10224
"74",3865,0.104267
"75",3870,0.108725
"76",3875,0.11457
"77",3880,0.121963
"78",3885,0.131056
"79",3890,0.140748
"80",3895,0.149981
"81",3900,0.159127
"82",3905,0.155319
"83",3910,0.160775
"84",3915,0.160359
"85",3920,0.150404
"86",3925,0.130562
"87",3930,0.109545
"88",3935,0.099798
"89",3940,0.10771
"90",3945,0.131087
"91",3950,0.156546
"92",3955,0.168475
"93",3960,0.163158
"94",3965,0.148974
"95",3970,0.143751
"96",3975,0.162395
"97",3980,0.201493
"98",3985,0.246897
"99",3990,0.284716
"100",3995,0.307479
"101",4000,0.319014
"102",4005,0.327267
"103",4010,0.33603
"104",4015,0.343007
"105",4020,0.34115
"106",4025,0.327502
"107",4030,0.309028
"108",4035,0.296161
"109",4040,0.296313
"110",4045,0.307703
"111",4050,0.317155
"112",4055,0.313974
"113",4060,0.300287
"114",4065,0.286848
"115",4070,0.28629
"116",4075,0.303266
"117",4080,0.32893
"118",4085,0.349506
"119",4090,0.354505
"120",4095,0.343332
"121",4100,0.32885
"122",4105,0.323607
"123",4110,0.326936
"124",4115,0.331168
"125",4120,0.330611
"126",4125,0.323296
"127",4130,0.310368
"128",4135,0.296234
"129",4140,0.287344
"130",4145,0.286868
"131",4150,0.294161
"132",4155,0.30585
"133",4160,0.313644
"134",4165,0.312432
"135",4170,0.30716
"136",4175,0.304137
"137",4180,0.304507
"138",4185,0.307394
"139",4190,0.312151
"140",4195,0.318804
"141",4200,0.329459
"142",4205,0.344584
"143",4210,0.357964
"144",4215,0.363494
"145",4220,0.362772
"146",4225,0.361936
"147",4230,0.370263
"148",4235,0.392719
"149",4240,0.417073
"150",4245,0.428095
"151",4250,0.426722
"152",4255,0.419552
"153",4260,0.41047
"154",4265,0.404277
"155",4270,0.402025
"156",4275,0.401052
"157",4280,0.401852
"158",4285,0.402731
"159",4290,0.393071
"160",4295,0.369786
"161",4300,0.35444
"162",4305,0.366677
"163",4310,0.397098
"164",4315,0.429806
"165",4320,0.459438
"166",4325,0.484542
"167",4330,0.508072
"168",4335,0.531572
"169",4340,0.547344
"170",4345,0.550278
"171",4350,0.548264
"172",4355,0.550993
"173",4360,0.55964
"174",4365,0.568718
"175",4370,0.566383
"176",4375,0.544882
"177",4380,0.516586
"178",4385,0.499181
"179",4390,0.496895
"180",4395,0.507428
"181",4400,0.524955
"182",4405,0.541497
"183",4410,0.55678
"184",4415,0.573861
"185",4420,0.588307
"186",4425,0.597922
"187",4430,0.611066
"188",4435,0.631395
"189",4440,0.649704
"190",4445,0.656107
"191",4450,0.647745
"192",4455,0.631568
"193",4460,0.626891
"194",4465,0.646946
"195",4470,0.681766
"196",4475,0.712178
"197",4480,0.723941
"198",4485,0.714898
"199",4490,0.701546
"200",4495,0.703269
"201",4500,0.723839
"202",4505,0.753614
"203",4510,0.774893
"204",4515,0.773604
"205",4520,0.75312
"206",4525,0.726494
"207",4530,0.705734
"208",4535,0.698421
"209",4540,0.704434
"210",4545,0.719708
"211",4550,0.740983
"212",4555,0.764256
"213",4560,0.780274
"214",4565,0.782252
"215",4570,0.778367
"216",4575,0.778246
"217",4580,0.77742
"218",4585,0.770747
"219",4590,0.764015
"220",4595,0.764044
"221",4600,0.773357
"222",4605,0.792726
"223",4610,0.817906
"224",4615,0.841293
"225",4620,0.855755
"226",4625,0.854422
"227",4630,0.833013
"228",4635,0.796914
"229",4640,0.766727
"230",4645,0.760118
"231",4650,0.771068
"232",4655,0.783259
"233",4660,0.787176
"234",4665,0.780828
"235",4670,0.771183
"236",4675,0.768746
"237",4680,0.774008
"238",4685,0.779893
"239",4690,0.782416
"240",4695,0.779441
"241",4700,0.771626
"242",4705,0.765765
"243",4710,0.768961
"244",4715,0.782573
"245",4720,0.800965
"246",4725,0.815394
"247",4730,0.821016
"248",4735,0.820717
"249",4740,0.823323
"250",4745,0.834622
"251",4750,0.848648
"252",4755,0.855269
"253",4760,0.854749
"254",4765,0.852978
"255",4770,0.852819
"256",4775,0.856627
"257",4780,0.863669
"258",4785,0.870309
"259",4790,0.877092
"260",4795,0.885789
"261",4800,0.894889
"262",4805,0.902327
"263",4810,0.905939
"264",4815,0.903481
"265",4820,0.895419
"266",4825,0.885401
"267",4830,0.879248
"268",4835,0.879307
"269",4840,0.879371
"270",4845,0.871864
"271",4850,0.856985
"272",4855,0.840927
"273",4860,0.82985
"274",4865,0.827003
"275",4870,0.832116
"276",4875,0.840522
"277",4880,0.845785
"278",4885,0.847973
"279",4890,0.856339
"280",4895,0.877184
"281",4900,0.900626
"282",4905,0.911223
"283",4910,0.906472
"284",4915,0.892564
"285",4920,0.87649
"286",4925,0.866695
"287",4930,0.868477
"288",4935,0.879484
"289",4940,0.893944
"290",4945,0.90655
"291",4950,0.911487
"292",4955,0.908186
"293",4960,0.906198
"294",4965,0.910701
"295",4970,0.912219
"296",4975,0.902175
"297",4980,0.885713
"298",4985,0.871642
"299",4990,0.862929
"300",4995,0.857452
"301",5000,0.848246
"302",5005,0.831748
"303",5010,0.81764
"304",5015,0.816119
"305",5020,0.824889
"306",5025,0.835711
"307",5030,0.840108
"308",5035,0.834734
"309",5040,0.826801
"310",5045,0.82586
"311",5050,0.833958
"312",5055,0.846229
"313",5060,0.854266
"314",5065,0.851416
"315",5070,0.839174
"316",5075,0.824619
"317",5080,0.814094
"318",5085,0.81007
"319",5090,0.810877
"320",5095,0.812067
"321",5100,0.808532
"322",5105,0.800567
"323",5110,0.79469
"324",5115,0.795683
"325",5120,0.801311
"326",5125,0.804632
"327",5130,0.802058
"328",5135,0.795919
"329",5140,0.789596
"330",5145,0.78695
"331",5150,0.789979
"332",5155,0.792267
"333",5160,0.781096
"334",5165,0.752075
"335",5170,0.720419
"336",5175,0.707414
"337",5180,0.721737
"338",5185,0.756604
"339",5190,0.792044
"340",5195,0.809547
"341",5200,0.805086
"342",5205,0.789539
"343",5210,0.786557
"344",5215,0.809571
"345",5220,0.842743
"346",5225,0.865923
"347",5230,0.879481
"348",5235,0.892799
"349",5240,0.908143
"350",5245,0.919338
"351",5250,0.912887
"352",5255,0.880078
"353",5260,0.833728
"354",5265,0.799133
"355",5270,0.798728
"356",5275,0.83822
"357",5280,0.892981
"358",5285,0.931302
"359",5290,0.943029
"360",5295,0.936929
"361",5300,0.93172
"362",5305,0.941598
"363",5310,0.958587
"364",5315,0.963806
"365",5320,0.951387
"366",5325,0.927788
"367",5330,0.905985
"368",5335,0.90173
"369",5340,0.921436
"370",5345,0.956971
"371",5350,0.990932
"372",5355,1.007921
"373",5360,1.003624
"374",5365,0.986307
"375",5370,0.972303
"376",5375,0.970765
"377",5380,0.97458
"378",5385,0.971368
"379",5390,0.955626
"380",5395,0.932508
"381",5400,0.917638
"382",5405,0.923359
"383",5410,0.948574
"384",5415,0.981444
"385",5420,1.000024
"386",5425,0.992822
"387",5430,0.976438
"388",5435,0.971529
"389",5440,0.9828
"390",5445,1.0032
"391",5450,1.019777
"392",5455,1.022968
"393",5460,1.013058
"394",5465,0.997177
"395",5470,0.985347
"396",5475,0.982968
"397",5480,0.986257
"398",5485,0.990147
"399",5490,0.995864
"400",5495,1.004579
"401",5500,1.007838
"402",5505,0.998869
"403",5510,0.986999
"404",5515,0.98408
"405",5520,0.989613
"406",5525,0.998804
"407",5530,1.009759
"408",5535,1.019486
"409",5540,1.024589
"410",5545,1.024969
"411",5550,1.021873
"412",5555,1.017467
"413",5560,1.014119
"414",5565,1.011637
"415",5570,1.009548
"416",5575,1.006452
"417",5580,0.996721
"418",5585,0.979129
"419",5590,0.965291
"420",5595,0.966446
"421",5600,0.980388
"422",5605,0.998718
"423",5610,1.013641
"424",5615,1.019525
"425",5620,1.015602
"426",5625,1.007629
"427",5630,1.007536
"428",5635,1.021893
"429",5640,1.040748
"430",5645,1.049923
"431",5650,1.047224
"432",5655,1.038861
"433",5660,1.032297
"434",5665,1.034575
"435",5670,1.047536
"436",5675,1.065054
"437",5680,1.077043
"438",5685,1.076402
"439",5690,1.063724
"440",5695,1.044833
"441",5700,1.023376
"442",5705,1.002698
"443",5710,0.995051
"444",5715,1.008554
"445",5720,1.032861
"446",5725,1.054441
"447",5730,1.065891
"448",5735,1.064613
"449",5740,1.057085
"450",5745,1.052184
"451",5750,1.053727
"452",5755,1.062174
"453",5760,1.074468
"454",5765,1.084867
"455",5770,1.088024
"456",5775,1.081156
"457",5780,1.065807
"458",5785,1.048048
"459",5790,1.036385
"460",5795,1.037559
"461",5800,1.052555
"462",5805,1.0755
"463",5810,1.096193
"464",5815,1.106311
"465",5820,1.104497
"466",5825,1.096402
"467",5830,1.089694
"468",5835,1.087665
"469",5840,1.087553
"470",5845,1.08429
"471",5850,1.076258
"472",5855,1.067999
"473",5860,1.065314
"474",5865,1.068523
"475",5870,1.070731
"476",5875,1.061825
"477",5880,1.037805
"478",5885,1.006459
"479",5890,0.982697
"480",5895,0.978604
"481",5900,0.99553
"482",5905,1.023641
"483",5910,1.049103
"484",5915,1.064596
"485",5920,1.071386
"486",5925,1.074537
"487",5930,1.077953
"488",5935,1.080587
"489",5940,1.079855
"490",5945,1.076905
"491",5950,1.076207
"492",5955,1.082142
"493",5960,1.094244
"494",5965,1.106156
"495",5970,1.11065
"496",5975,1.105189
"497",5980,1.093798
"498",5985,1.08354
"499",5990,1.07863
"500",5995,1.077783
"501",6000,1.07596
"502",6005,1.070468
"503",6010,1.06086
"504",6015,1.056613
"505",6020,1.057477
"506",6025,1.077585
"507",6030,1.103518
"508",6035,1.126658
"509",6040,1.135952
"510",6045,1.140564
"511",6050,1.134139
"512",6055,1.120679
"513",6060,1.111699
"514",6065,1.115014
"515",6070,1.126443
"516",6075,1.131543
"517",6080,1.114642
"518",6085,1.094749
"519",6090,1.081502
"520",6095,1.07914
"521",6100,1.084092
"522",6105,1.086145
"523",6110,1.094891
"524",6115,1.092608
"525",6120,1.071756
"526",6125,1.05585
"527",6130,1.062231
"528",6135,1.050529
"529",6140,1.056691
"530",6145,1.071795
"531",6150,1.065986
"532",6155,1.057365
"533",6160,1.034886
"534",6165,1.026812
"535",6170,1.042035
"536",6175,1.063107
"537",6180,1.078625
"538",6185,1.075433
"539",6190,1.055705
"540",6195,1.062747
"541",6200,1.071859
"542",6205,1.079591
"543",6210,1.071022
"544",6215,1.044663
"545",6220,1.031611
"546",6225,1.035693
"547",6230,1.027624
"548",6235,1.025423
"549",6240,1.026649
"550",6245,1.010478
"551",6250,1.017679
"552",6255,1.003359
"553",6260,0.994837
"554",6265,1.028494
"555",6270,1.041249
"556",6275,1.049907
"557",6280,1.050545
"558",6285,1.061941
"559",6290,1.068013
"560",6295,1.052555
"561",6300,1.039219
"562",6305,1.042038
"563",6310,1.046997
"564",6315,1.039535
"565",6320,1.037093
"566",6325,1.05273
"567",6330,1.066378
"568",6335,1.063233
"569",6340,1.053636
"570",6345,1.054038
"571",6350,1.056782
"572",6355,1.046874
"573",6360,1.0225
"574",6365,1.02914
"575",6370,1.061987
"576",6375,1.082987
"577",6380,1.089944
"578",6385,1.093394
"579",6390,1.093458
"580",6395,1.077638
"581",6400,1.076001
"582",6405,1.068748
"583",6410,1.065002
"584",6415,1.065999
"585",6420,1.06614
"586",6425,1.078452
"587",6430,1.077952
"588",6435,1.074958
"589",6440,1.08293
"590",6445,1.087376
"591",6450,1.071891
"592",6455,1.074374
"593",6460,1.085301
"594",6465,1.085581
"595",6470,1.082404
"596",6475,1.079811
"597",6480,1.074074
"598",6485,1.057367
