"","angstrom","value"
"1",3500,0.129615
"2",3505,0.140089
"3",3510,0.141499
"4",3515,0.128616
"5",3520,0.116704
"6",3525,0.120954
"7",3530,0.135771
"8",3535,0.151595
"9",3540,0.163789
"10",3545,0.16894
"11",3550,0.163594
"12",3555,0.14694
"13",3560,0.128779
"14",3565,0.1176
"15",3570,0.106035
"16",3575,0.087429
"17",3580,0.073842
"18",3585,0.077283
"19",3590,0.090863
"20",3595,0.104253
"21",3600,0.112303
"22",3605,0.112907
"23",3610,0.11098
"24",3615,0.111656
"25",3620,0.113923
"26",3625,0.115734
"27",3630,0.117049
"28",3635,0.118374
"29",3640,0.120397
"30",3645,0.12455
"31",3650,0.135057
"32",3655,0.154184
"33",3660,0.17356
"34",3665,0.183584
"35",3670,0.180361
"36",3675,0.164334
"37",3680,0.147575
"38",3685,0.141557
"39",3690,0.143712
"40",3695,0.148132
"41",3700,0.149596
"42",3705,0.144303
"43",3710,0.133444
"44",3715,0.119673
"45",3720,0.106476
"46",3725,0.096639
"47",3730,0.089306
"48",3735,0.083328
"49",3740,0.080022
"50",3745,0.081138
"51",3750,0.087685
"52",3755,0.099162
"53",3760,0.109762
"54",3765,0.115895
"55",3770,0.128145
"56",3775,0.154028
"57",3780,0.174618
"58",3785,0.17158
"59",3790,0.155391
"60",3795,0.141262
"61",3800,0.134542
"62",3805,0.135423
"63",3810,0.133344
"64",3815,0.119266
"65",3820,0.100994
"66",3825,0.088812
"67",3830,0.086087
"68",3835,0.093112
"69",3840,0.104829
"70",3845,0.115019
"71",3850,0.118169
"72",3855,0.111898
"73",3860,0.105626
"74",3865,0.10809
"75",3870,0.113497
"76",3875,0.11495
"77",3880,0.115666
"78",3885,0.119823
"79",3890,0.125328
"80",3895,0.129832
"81",3900,0.136225
"82",3905,0.146875
"83",3910,0.156805
"84",3915,0.160111
"85",3920,0.154518
"86",3925,0.140542
"87",3930,0.126214
"88",3935,0.120136
"89",3940,0.125684
"90",3945,0.142227
"91",3950,0.158317
"92",3955,0.16258
"93",3960,0.154748
"94",3965,0.140833
"95",3970,0.140857
"96",3975,0.170201
"97",3980,0.21166
"98",3985,0.244611
"99",3990,0.267335
"100",3995,0.28274
"101",4000,0.293333
"102",4005,0.302003
"103",4010,0.313558
"104",4015,0.32955
"105",4020,0.336585
"106",4025,0.32247
"107",4030,0.29479
"108",4035,0.267318
"109",4040,0.258833
"110",4045,0.280441
"111",4050,0.307569
"112",4055,0.314471
"113",4060,0.306402
"114",4065,0.295993
"115",4070,0.294373
"116",4075,0.30945
"117",4080,0.337747
"118",4085,0.371299
"119",4090,0.39556
"120",4095,0.398785
"121",4100,0.387001
"122",4105,0.371224
"123",4110,0.364646
"124",4115,0.375414
"125",4120,0.389315
"126",4125,0.390746
"127",4130,0.380896
"128",4135,0.365547
"129",4140,0.352043
"130",4145,0.34745
"131",4150,0.356157
"132",4155,0.377474
"133",4160,0.393095
"134",4165,0.387255
"135",4170,0.37198
"136",4175,0.363179
"137",4180,0.364477
"138",4185,0.37388
"139",4190,0.379183
"140",4195,0.37119
"141",4200,0.362959
"142",4205,0.366637
"143",4210,0.368493
"144",4215,0.351727
"145",4220,0.313141
"146",4225,0.261414
"147",4230,0.239138
"148",4235,0.278056
"149",4240,0.332612
"150",4245,0.353318
"151",4250,0.352253
"152",4255,0.351395
"153",4260,0.350759
"154",4265,0.346244
"155",4270,0.339242
"156",4275,0.333442
"157",4280,0.336254
"158",4285,0.349696
"159",4290,0.35053
"160",4295,0.323036
"161",4300,0.306854
"162",4305,0.338981
"163",4310,0.390521
"164",4315,0.42636
"165",4320,0.452429
"166",4325,0.48198
"167",4330,0.516506
"168",4335,0.551224
"169",4340,0.567999
"170",4345,0.55587
"171",4350,0.545905
"172",4355,0.567443
"173",4360,0.600842
"174",4365,0.616402
"175",4370,0.593156
"176",4375,0.526037
"177",4380,0.464851
"178",4385,0.456189
"179",4390,0.478902
"180",4395,0.49998
"181",4400,0.506698
"182",4405,0.497932
"183",4410,0.498671
"184",4415,0.528434
"185",4420,0.558744
"186",4425,0.561612
"187",4430,0.558991
"188",4435,0.575356
"189",4440,0.595334
"190",4445,0.598096
"191",4450,0.580825
"192",4455,0.552135
"193",4460,0.548335
"194",4465,0.596462
"195",4470,0.658752
"196",4475,0.692101
"197",4480,0.69683
"198",4485,0.686415
"199",4490,0.683521
"200",4495,0.705633
"201",4500,0.740335
"202",4505,0.769757
"203",4510,0.784131
"204",4515,0.776777
"205",4520,0.74527
"206",4525,0.694117
"207",4530,0.651307
"208",4535,0.643377
"209",4540,0.667578
"210",4545,0.711471
"211",4550,0.753147
"212",4555,0.776069
"213",4560,0.794659
"214",4565,0.822972
"215",4570,0.842644
"216",4575,0.835256
"217",4580,0.814578
"218",4585,0.79887
"219",4590,0.792174
"220",4595,0.79442
"221",4600,0.803322
"222",4605,0.816374
"223",4610,0.832389
"224",4615,0.849527
"225",4620,0.862
"226",4625,0.864452
"227",4630,0.857214
"228",4635,0.842759
"229",4640,0.826439
"230",4645,0.814091
"231",4650,0.810595
"232",4655,0.818091
"233",4660,0.828706
"234",4665,0.834197
"235",4670,0.834859
"236",4675,0.834022
"237",4680,0.838603
"238",4685,0.85113
"239",4690,0.852964
"240",4695,0.828914
"241",4700,0.798745
"242",4705,0.786379
"243",4710,0.797418
"244",4715,0.827602
"245",4720,0.851521
"246",4725,0.847546
"247",4730,0.830294
"248",4735,0.819346
"249",4740,0.817889
"250",4745,0.822159
"251",4750,0.816983
"252",4755,0.791021
"253",4760,0.759687
"254",4765,0.739429
"255",4770,0.724094
"256",4775,0.706603
"257",4780,0.6988
"258",4785,0.712842
"259",4790,0.743224
"260",4795,0.779918
"261",4800,0.812457
"262",4805,0.83246
"263",4810,0.840338
"264",4815,0.837905
"265",4820,0.823814
"266",4825,0.799457
"267",4830,0.780341
"268",4835,0.780956
"269",4840,0.797619
"270",4845,0.820468
"271",4850,0.833096
"272",4855,0.822975
"273",4860,0.799659
"274",4865,0.777392
"275",4870,0.767093
"276",4875,0.773811
"277",4880,0.782436
"278",4885,0.779577
"279",4890,0.778881
"280",4895,0.794354
"281",4900,0.814395
"282",4905,0.822641
"283",4910,0.809303
"284",4915,0.773632
"285",4920,0.744496
"286",4925,0.747764
"287",4930,0.767704
"288",4935,0.782451
"289",4940,0.787205
"290",4945,0.782736
"291",4950,0.775045
"292",4955,0.771018
"293",4960,0.775873
"294",4965,0.789808
"295",4970,0.794624
"296",4975,0.775179
"297",4980,0.746949
"298",4985,0.72825
"299",4990,0.71813
"300",4995,0.710615
"301",5000,0.698911
"302",5005,0.679284
"303",5010,0.66105
"304",5015,0.654914
"305",5020,0.66409
"306",5025,0.686264
"307",5030,0.704495
"308",5035,0.703564
"309",5040,0.689774
"310",5045,0.674781
"311",5050,0.670121
"312",5055,0.681063
"313",5060,0.687905
"314",5065,0.672532
"315",5070,0.648165
"316",5075,0.632135
"317",5080,0.626898
"318",5085,0.630471
"319",5090,0.638007
"320",5095,0.643739
"321",5100,0.641112
"322",5105,0.627367
"323",5110,0.615727
"324",5115,0.617588
"325",5120,0.621066
"326",5125,0.614526
"327",5130,0.61061
"328",5135,0.62128
"329",5140,0.631497
"330",5145,0.626033
"331",5150,0.615899
"332",5155,0.612498
"333",5160,0.602564
"334",5165,0.572253
"335",5170,0.530085
"336",5175,0.492123
"337",5180,0.482235
"338",5185,0.515814
"339",5190,0.566543
"340",5195,0.603044
"341",5200,0.615422
"342",5205,0.60765
"343",5210,0.617695
"344",5215,0.674683
"345",5220,0.738376
"346",5225,0.766653
"347",5230,0.779235
"348",5235,0.802988
"349",5240,0.83154
"350",5245,0.850289
"351",5250,0.844968
"352",5255,0.807423
"353",5260,0.753636
"354",5265,0.706461
"355",5270,0.692116
"356",5275,0.72707
"357",5280,0.785462
"358",5285,0.83583
"359",5290,0.866659
"360",5295,0.875957
"361",5300,0.879876
"362",5305,0.893401
"363",5310,0.9087
"364",5315,0.912522
"365",5320,0.892764
"366",5325,0.84614
"367",5330,0.803494
"368",5335,0.79446
"369",5340,0.809709
"370",5345,0.834409
"371",5350,0.870696
"372",5355,0.917838
"373",5360,0.946644
"374",5365,0.933589
"375",5370,0.906249
"376",5375,0.897352
"377",5380,0.909105
"378",5385,0.930919
"379",5390,0.931512
"380",5395,0.888837
"381",5400,0.838473
"382",5405,0.821268
"383",5410,0.841529
"384",5415,0.888638
"385",5420,0.928818
"386",5425,0.934314
"387",5430,0.924624
"388",5435,0.924616
"389",5440,0.933398
"390",5445,0.943285
"391",5450,0.94518
"392",5455,0.935753
"393",5460,0.93616
"394",5465,0.961386
"395",5470,0.977256
"396",5475,0.954554
"397",5480,0.933051
"398",5485,0.953073
"399",5490,0.988168
"400",5495,1.00295
"401",5500,0.993082
"402",5505,0.966123
"403",5510,0.946173
"404",5515,0.953968
"405",5520,0.98027
"406",5525,1.009296
"407",5530,1.029069
"408",5535,1.033536
"409",5540,1.036533
"410",5545,1.050861
"411",5550,1.065279
"412",5555,1.065889
"413",5560,1.052205
"414",5565,1.029133
"415",5570,1.009736
"416",5575,1.004125
"417",5580,1.002448
"418",5585,0.991436
"419",5590,0.964106
"420",5595,0.924463
"421",5600,0.914182
"422",5605,0.965171
"423",5610,1.032624
"424",5615,1.065352
"425",5620,1.063342
"426",5625,1.042887
"427",5630,1.034318
"428",5635,1.058634
"429",5640,1.085466
"430",5645,1.084072
"431",5650,1.073569
"432",5655,1.076321
"433",5660,1.077809
"434",5665,1.063788
"435",5670,1.058007
"436",5675,1.081512
"437",5680,1.106556
"438",5685,1.104626
"439",5690,1.092959
"440",5695,1.09165
"441",5700,1.086488
"442",5705,1.063735
"443",5710,1.045865
"444",5715,1.055736
"445",5720,1.081524
"446",5725,1.106081
"447",5730,1.125633
"448",5735,1.139718
"449",5740,1.14774
"450",5745,1.149497
"451",5750,1.146477
"452",5755,1.140592
"453",5760,1.133753
"454",5765,1.12757
"455",5770,1.122434
"456",5775,1.118432
"457",5780,1.115654
"458",5785,1.1143
"459",5790,1.115029
"460",5795,1.11861
"461",5800,1.125816
"462",5805,1.136883
"463",5810,1.14991
"464",5815,1.16246
"465",5820,1.172098
"466",5825,1.177059
"467",5830,1.178268
"468",5835,1.177322
"469",5840,1.175817
"470",5845,1.17449
"471",5850,1.170645
"472",5855,1.160724
"473",5860,1.141169
"474",5865,1.109855
"475",5870,1.070382
"476",5875,1.027784
"477",5880,0.987091
"478",5885,0.953008
"479",5890,0.928917
"480",5895,0.917874
"481",5900,0.922932
"482",5905,0.945569
"483",5910,0.980953
"484",5915,1.022675
"485",5920,1.064326
"486",5925,1.100619
