"","angstrom","value"
"1",3500,0.363673
"2",3505,0.508835
"3",3510,0.473609
"4",3515,0.260858
"5",3520,0.0743
"6",3525,0.220835
"7",3530,0.718373
"8",3535,1.090047
"9",3540,1.173237
"10",3545,1.059905
"11",3550,0.989429
"12",3555,0.955207
"13",3560,0.823418
"14",3565,0.546362
"15",3570,0.221182
"16",3575,0.042486
"17",3580,0.035999
"18",3585,0.113092
"19",3590,0.103474
"20",3595,0.044062
"21",3600,0.100534
"22",3605,0.179899
"23",3610,0.231083
"24",3615,0.400123
"25",3620,0.592212
"26",3625,0.616347
"27",3630,0.463456
"28",3635,0.380126
"29",3640,0.674735
"30",3645,0.799869
"31",3650,0.604461
"32",3655,0.965435
"33",3660,1.402914
"34",3665,1.145849
"35",3670,1.072791
"36",3675,1.184364
"37",3680,0.623356
"38",3685,0.291202
"39",3690,0.865712
"40",3695,1.616685
"41",3700,1.776089
"42",3705,0.972714
"43",3710,0.283024
"44",3715,0.334221
"45",3720,0.392322
"46",3725,0.268359
"47",3730,0.151755
"48",3735,0.15612
"49",3740,0.207016
"50",3745,0.13468
"51",3750,0.185898
"52",3755,0.44932
"53",3760,0.556038
"54",3765,0.650854
"55",3770,1.088928
"56",3775,1.846538
"57",3780,2.358937
"58",3785,1.882336
"59",3790,1.239574
"60",3795,1.163994
"61",3800,1.337977
"62",3805,1.448645
"63",3810,1.296971
"64",3815,0.848512
"65",3820,0.305197
"66",3825,0.157233
"67",3830,0.330684
"68",3835,0.544432
"69",3840,0.925198
"70",3845,1.222588
"71",3850,0.913908
"72",3855,0.452034
"73",3860,0.334659
"74",3865,0.542649
"75",3870,0.771342
"76",3875,0.693055
"77",3880,0.341788
"78",3885,0.163799
"79",3890,0.700613
"80",3895,1.143214
"81",3900,0.800059
"82",3905,0.647199
"83",3910,0.891415
"84",3915,0.810143
"85",3920,0.482729
"86",3925,0.213371
"87",3930,0.139305
"88",3935,0.158009
"89",3940,0.163801
"90",3945,0.400564
"91",3950,0.667241
"92",3955,0.429795
"93",3960,0.106728
"94",3965,0.11461
"95",3970,0.317857
"96",3975,0.624043
"97",3980,0.932773
"98",3985,0.960894
"99",3990,0.829133
"100",3995,1.13713
"101",4000,1.567686
"102",4005,1.56333
"103",4010,1.503494
"104",4015,1.567548
"105",4020,1.547901
"106",4025,1.176251
"107",4030,0.633677
"108",4035,0.762733
"109",4040,1.151536
"110",4045,1.030175
"111",4050,0.867119
"112",4055,0.874094
"113",4060,0.840325
"114",4065,0.903307
"115",4070,1.040815
"116",4075,0.831745
"117",4080,0.68266
"118",4085,1.111331
"119",4090,1.355554
"120",4095,1.006278
"121",4100,0.656958
"122",4105,0.651782
"123",4110,0.94372
"124",4115,0.964627
"125",4120,0.765174
"126",4125,0.909507
"127",4130,0.881507
"128",4135,0.404425
"129",4140,0.188462
"130",4145,0.454685
"131",4150,1.033574
"132",4155,1.61838
"133",4160,1.720705
"134",4165,0.946594
"135",4170,0.253748
"136",4175,0.366522
"137",4180,0.837611
"138",4185,1.14357
"139",4190,0.94966
"140",4195,0.635645
"141",4200,0.510754
"142",4205,0.445922
"143",4210,0.362077
"144",4215,0.245361
"145",4220,0.1147
"146",4225,0.037685
"147",4230,0.101177
"148",4235,0.265339
"149",4240,0.460794
"150",4245,0.63098
"151",4250,0.613015
"152",4255,0.358417
"153",4260,0.322849
"154",4265,0.472665
"155",4270,0.345465
"156",4275,0.305667
"157",4280,0.568323
"158",4285,0.650803
"159",4290,0.460793
"160",4295,0.247808
"161",4300,0.43963
"162",4305,0.794655
"163",4310,0.587861
"164",4315,0.27454
"165",4320,0.381206
"166",4325,0.455416
"167",4330,0.329933
"168",4335,0.265996
"169",4340,0.319689
"170",4345,0.409066
"171",4350,0.370393
"172",4355,0.277449
"173",4360,0.289172
"174",4365,0.384507
"175",4370,0.496148
"176",4375,0.547781
"177",4380,0.483884
"178",4385,0.352897
